Date, Open, High, Low, Close, Volume, Open Interest
2021-05-12, o-472.75, h-472.75, l-470.165, c-470.4, v-14896, oi-0.0
2021-05-12, o-470.45, h-471.01, l-470.145, c-470.24, v-4717, oi-0.0
2021-05-12, o-469.77, h-471.99, l-469.77, c-471.7, v-1627, oi-0.0
2021-05-12, o-471.245, h-472.38, l-470.7, c-470.875, v-3236, oi-0.0
2021-05-12, o-471.45, h-472.77, l-471.45, c-472.77, v-1160, oi-0.0
2021-05-12, o-472.45, h-474.37, l-472.45, c-474, v-1186, oi-0.0
2021-05-12, o-473.51, h-473.51, l-472.24, c-472.32, v-2136, oi-0.0
2021-05-12, o-472.06, h-472.92, l-471.43, c-472.2, v-4360, oi-0.0
2021-05-12, o-472.06, h-472.92, l-471.45, c-472.66, v-4941, oi-0.0
2021-05-12, o-471.87, h-472.58, l-471.7, c-471.83, v-4707, oi-0.0
2021-05-12, o-471.66, h-473.07, l-471.38, c-473.07, v-1469, oi-0.0
2021-05-12, o-473.08, h-474.62, l-473.08, c-474.42, v-3387, oi-0.0
2021-05-12, o-474.82, h-474.9, l-474.43, c-474.43, v-746, oi-0.0
2021-05-12, o-473.095, h-473.29, l-472.32, c-473.08, v-4097, oi-0.0
2021-05-12, o-472.68, h-473.29, l-472.27, c-473.29, v-2335, oi-0.0
2021-05-12, o-473.23, h-473.56, l-472.42, c-473.11, v-9620, oi-0.0
2021-05-12, o-473.43, h-474.26, l-470.82, c-472.09, v-29482, oi-0.0
2021-05-13, o-476.95, h-479.69, l-475.15, c-475.28, v-7858, oi-0.0
2021-05-13, o-476.47, h-476.755, l-473.97, c-476.175, v-4291, oi-0.0
2021-05-13, o-477.86, h-480.12, l-477.86, c-480.01, v-5380, oi-0.0
2021-05-13, o-479.965, h-480.07, l-478.71, c-478.74, v-5003, oi-0.0
2021-05-13, o-478.63, h-478.83, l-476.74, c-476.8, v-4300, oi-0.0
2021-05-13, o-476.905, h-480.28, l-476.905, c-479.22, v-4219, oi-0.0
2021-05-13, o-477.91, h-477.99, l-475.92, c-476.32, v-2646, oi-0.0
2021-05-13, o-476.17, h-476.17, l-474.71, c-474.71, v-1573, oi-0.0
2021-05-13, o-475.25, h-475.68, l-474.54, c-474.54, v-1965, oi-0.0
2021-05-13, o-472.77, h-474.78, l-472.74, c-474.29, v-3521, oi-0.0
2021-05-13, o-474.99, h-475.51, l-474.78, c-475.51, v-1643, oi-0.0
2021-05-13, o-475.385, h-475.42, l-474.98, c-474.98, v-610, oi-0.0
2021-05-13, o-475.91, h-476.8, l-474.92, c-475.175, v-4889, oi-0.0
2021-05-13, o-475.195, h-475.65, l-473.22, c-473.27, v-2842, oi-0.0
2021-05-13, o-472.99, h-473.915, l-472.76, c-473.77, v-3868, oi-0.0
2021-05-13, o-474.305, h-474.34, l-472.67, c-473.275, v-4668, oi-0.0
2021-05-13, o-473.14, h-473.23, l-471.77, c-472.86, v-7910, oi-0.0
2021-05-13, o-473.305, h-473.855, l-472.46, c-473.49, v-6764, oi-0.0
2021-05-13, o-474.23, h-476.22, l-473.89, c-476.22, v-4909, oi-0.0
2021-05-13, o-475.745, h-475.76, l-474.61, c-474.84, v-2985, oi-0.0
2021-05-13, o-475.17, h-476.49, l-474.45, c-476.49, v-4588, oi-0.0
2021-05-13, o-476.36, h-476.74, l-475.515, c-475.515, v-3416, oi-0.0
2021-05-13, o-475.865, h-476.97, l-475.51, c-475.57, v-4711, oi-0.0
2021-05-13, o-475.78, h-476.39, l-475.34, c-476.24, v-2534, oi-0.0
2021-05-13, o-476.61, h-477.18, l-476.15, c-476.64, v-5401, oi-0.0
2021-05-13, o-476.29, h-476.73, l-473.78, c-474.06, v-14983, oi-0.0
2021-05-14, o-481.46, h-482.43, l-478.965, c-479.27, v-4330, oi-0.0
2021-05-14, o-478.79, h-482.37, l-478.79, c-482.37, v-3449, oi-0.0
2021-05-14, o-481.96, h-483.48, l-481.37, c-483.25, v-4580, oi-0.0
2021-05-14, o-483.18, h-484.88, l-483.15, c-483.74, v-9118, oi-0.0
2021-05-14, o-484.05, h-484.87, l-483.93, c-484.21, v-6588, oi-0.0
2021-05-14, o-484.26, h-485.34, l-483.9, c-484.98, v-2480, oi-0.0
2021-05-14, o-485.01, h-486.12, l-484.83, c-485.91, v-2897, oi-0.0
2021-05-14, o-486.06, h-486.07, l-485.605, c-485.85, v-2209, oi-0.0
2021-05-14, o-485.69, h-486.72, l-485.56, c-486.44, v-1548, oi-0.0
2021-05-14, o-486.645, h-486.645, l-485.39, c-485.39, v-2556, oi-0.0
2021-05-14, o-485.4, h-486.03, l-485.4, c-485.84, v-1386, oi-0.0
2021-05-14, o-485.92, h-485.92, l-485.2, c-485.37, v-1422, oi-0.0
2021-05-14, o-485.29, h-485.41, l-484.63, c-484.85, v-2419, oi-0.0
2021-05-14, o-484.86, h-485.67, l-484.86, c-485.67, v-1961, oi-0.0
2021-05-14, o-485.83, h-485.87, l-485.83, c-485.87, v-376, oi-0.0
2021-05-14, o-485.76, h-485.76, l-485.14, c-485.28, v-1409, oi-0.0
2021-05-14, o-485.71, h-485.71, l-484.91, c-485.33, v-2121, oi-0.0
2021-05-14, o-485.585, h-485.64, l-485.51, c-485.51, v-1102, oi-0.0
2021-05-14, o-485.5, h-485.88, l-485.43, c-485.88, v-4919, oi-0.0
2021-05-14, o-485.68, h-485.86, l-485.415, c-485.72, v-1913, oi-0.0
2021-05-14, o-485.65, h-486.67, l-485.59, c-486.67, v-2356, oi-0.0
