Date, Open, High, Low, Close, Volume, Open Interest
2020-11-23, o-461.41, h-464.49, l-456.6778, c-462.71, v-2269427, oi-0.0
2020-11-24, o-466.29, h-472.525, l-464.845, c-470.08, v-2152001, oi-0.0
2020-11-26, o-476.9, h-482.405, l-474.86, c-477.03, v-1518907, oi-0.0
2020-11-29, o-480, h-480.86, l-469.2, c-478.595, v-1961264, oi-0.0
2020-11-30, o-482.01, h-482.01, l-471.6328, c-479.17, v-2143878, oi-0.0
2020-12-01, o-475.67, h-481.32, l-470.12, c-481.26, v-1840846, oi-0.0
2020-12-02, o-482.21, h-492.81, l-481.5, c-484.65, v-2525622, oi-0.0
2020-12-03, o-485.67, h-491.3899, l-484.3601, c-485.91, v-2362054, oi-0.0
2020-12-06, o-487, h-499.28, l-487, c-492.19, v-2756589, oi-0.0
2020-12-07, o-492.29, h-496.04, l-486.2001, c-495.28, v-1821386, oi-0.0
2020-12-08, o-496.03, h-497, l-479.26, c-482.79, v-2704674, oi-0.0
2020-12-09, o-483.74, h-488.29, l-470.95, c-476.87, v-3407760, oi-0.0
2020-12-10, o-475.9752, h-478.89, l-468.82, c-476.11, v-2856546, oi-0.0
2020-12-13, o-475.61, h-488.41, l-475.5, c-486.66, v-2933135, oi-0.0
2020-12-14, o-489.05, h-489.5, l-480.53, c-482.64, v-2039901, oi-0.0
2020-12-15, o-485, h-491.5, l-484.11, c-489.91, v-1576490, oi-0.0
2020-12-16, o-493, h-496.99, l-490.63, c-495.46, v-1703097, oi-0.0
2020-12-17, o-497.61, h-504.07, l-493.57, c-502.88, v-2576736, oi-0.0
2020-12-20, o-498.05, h-502, l-491.5, c-498.23, v-1672151, oi-0.0
2020-12-21, o-498.36, h-506.92, l-495.83, c-504.17, v-1516966, oi-0.0
2020-12-22, o-505.13, h-505.46, l-496.59, c-496.91, v-1187955, oi-0.0
2020-12-23, o-499.16, h-503.01, l-497.28, c-499.67, v-533583, oi-0.0
2020-12-27, o-505.61, h-506.04, l-496.815, c-499.13, v-1297265, oi-0.0
2020-12-28, o-501.165, h-505.35, l-499.74, c-502.48, v-1072891, oi-0.0
2020-12-29, o-503.05, h-504.37, l-496.3275, c-497.05, v-1344464, oi-0.0
2020-12-30, o-497.99, h-500.66, l-494.89, c-499.7, v-1043447, oi-0.0
2021-01-03, o-500.3, h-500.79, l-476.28, c-485.02, v-2989648, oi-0.0
2021-01-04, o-485.88, h-486.08, l-479.195, c-485.69, v-1691802, oi-0.0
2021-01-05, o-474.0984, h-475.8666, l-466, c-466.13, v-3762598, oi-0.0
2021-01-06, o-471, h-479.64, l-468.25, c-477.74, v-2239984, oi-0.0
2021-01-07, o-480, h-485.54, l-477.21, c-484.68, v-1866600, oi-0.0
2021-01-10, o-481.99, h-482.59, l-471.3, c-474.23, v-1858056, oi-0.0
2021-01-11, o-474.41, h-475, l-464, c-471.65, v-2661008, oi-0.0
2021-01-12, o-472, h-477.85, l-469.3, c-472.05, v-1777472, oi-0.0
2021-01-13, o-472.41, h-473.55, l-462.2, c-463.35, v-2798603, oi-0.0
2021-01-14, o-462.5, h-467.88, l-457.49, c-458.07, v-2792120, oi-0.0
2021-01-18, o-461.17, h-461.5899, l-453.34, c-456.44, v-3975520, oi-0.0
2021-01-19, o-462.73, h-472.385, l-458.77, c-469.71, v-3449740, oi-0.0
2021-01-20, o-470.26, h-474.69, l-466.1, c-472.29, v-2448576, oi-0.0
2021-01-21, o-472.5, h-476.35, l-470.61, c-472.47, v-2241631, oi-0.0
2021-01-24, o-474.51, h-477.7, l-463.98, c-473.43, v-2430983, oi-0.0
2021-01-25, o-473.73, h-477.22, l-467.76, c-476.445, v-2066329, oi-0.0
2021-01-26, o-470.99, h-473.67, l-455.07, c-460.12, v-3083867, oi-0.0
2021-01-27, o-459.07, h-475.02, l-459.07, c-465.21, v-2642007, oi-0.0
2021-01-28, o-462.17, h-465, l-455.11, c-459.16, v-2480927, oi-0.0
2021-01-31, o-462.28, h-474.8, l-459.82, c-469.65, v-2195921, oi-0.0
2021-02-01, o-473.65, h-487.37, l-472.55, c-484.92, v-2759363, oi-0.0
2021-02-02, o-487.09, h-488.85, l-479.17, c-482.18, v-1721063, oi-0.0
2021-02-03, o-484.2196, h-489.88, l-481.92, c-489.69, v-1788548, oi-0.0
2021-02-04, o-490.92, h-495.1, l-488, c-492.06, v-1422892, oi-0.0
2021-02-07, o-494.26, h-497.86, l-489.21, c-493.84, v-1508708, oi-0.0
2021-02-08, o-495, h-497.95, l-492.01, c-496.05, v-1136830, oi-0.0
2021-02-09, o-499.17, h-499.9874, l-490.27, c-492.68, v-1426769, oi-0.0
2021-02-10, o-494.53, h-497, l-491.08, c-496.89, v-1341870, oi-0.0
2021-02-11, o-495.16, h-499.36, l-491.76, c-498.84, v-1258041, oi-0.0
2021-02-15, o-500.03, h-506.51, l-497.595, c-501.38, v-1626734, oi-0.0
2021-02-16, o-495.41, h-495.55, l-485.51, c-491.23, v-1883586, oi-0.0
2021-02-17, o-486.32, h-489.8, l-480, c-488.17, v-1585919, oi-0.0
2021-02-18, o-487.16, h-488.65, l-476.1, c-478.75, v-2373067, oi-0.0
2021-02-21, o-470.48, h-472.1, l-466.66, c-467.39, v-2130588, oi-0.0
2021-02-22, o-461.02, h-471.44, l-450.12, c-467.8, v-3715414, oi-0.0
2021-02-23, o-463.49, h-477.35, l-460.29, c-477.05, v-3233791, oi-0.0
2021-02-24, o-471.24, h-476.31, l-456.01, c-459.27, v-2904570, oi-0.0
2021-02-25, o-462.8046, h-467.32, l-456.01, c-459.48, v-2520437, oi-0.0
2021-02-28, o-465.68, h-470.5, l-462.65, c-469.85, v-1981567, oi-0.0
2021-03-01, o-473.03, h-473.8016, l-463.46, c-466.95, v-1793080, oi-0.0
2021-03-02, o-463.22, h-464.68, l-448.09, c-448.46, v-2430021, oi-0.0
2021-03-03, o-446.45, h-457.53, l-437.63, c-438.57, v-4115339, oi-0.0
2021-03-04, o-444.88, h-444.95, l-423.7101, c-440.83, v-4053563, oi-0.0
2021-03-07, o-439.76, h-440.99, l-420.78, c-421.04, v-3467795, oi-0.0
2021-03-08, o-437.84, h-442.75, l-436, c-439.18, v-3304143, oi-0.0
2021-03-09, o-445.7277, h-448.46, l-436.82, c-437.35, v-2497452, oi-0.0
2021-03-10, o-448.1361, h-454.07, l-447.305, c-451.05, v-2466354, oi-0.0
2021-03-11, o-443.45, h-445.89, l-438.6, c-444.3, v-1923978, oi-0.0
2021-03-14, o-444.4, h-447.79, l-437.77, c-447.59, v-2080132, oi-0.0
2021-03-15, o-452.01, h-457.41, l-449.6701, c-450.46, v-2222214, oi-0.0
2021-03-16, o-445.44, h-453.94, l-441.02, c-451.11, v-1881802, oi-0.0
2021-03-17, o-443.16, h-446.86, l-438.5, c-439.18, v-2575703, oi-0.0
2021-03-18, o-439.18, h-444.5, l-438.14, c-441.5, v-2602331, oi-0.0
2021-03-21, o-444.86, h-457.82, l-444.86, c-452.42, v-2197842, oi-0.0
2021-03-22, o-457.35, h-466.88, l-456.41, c-460.5, v-4267124, oi-0.0
2021-03-23, o-465.365, h-465.61, l-448.34, c-451.62, v-4709592, oi-0.0
2021-03-24, o-446.77, h-456.87, l-445.41, c-451, v-2907311, oi-0.0
2021-03-25, o-450.25, h-469.77, l-449.05, c-469.09, v-3038967, oi-0.0
2021-03-28, o-469.45, h-472, l-462.5, c-469.42, v-2761910, oi-0.0
2021-03-29, o-462.58, h-469.0925, l-461.5, c-465.11, v-2036665, oi-0.0
2021-03-30, o-469.7, h-482.41, l-468.7, c-475.39, v-2421293, oi-0.0
2021-03-31, o-482.71, h-487.04, l-480.71, c-483.52, v-2336349, oi-0.0
2021-04-04, o-481.35, h-495.51, l-480.5, c-491.83, v-2276774, oi-0.0
2021-04-05, o-492.32, h-495.59, l-487.57, c-491.34, v-1578154, oi-0.0
2021-04-06, o-492.98, h-494.85, l-487.89, c-493.4, v-1265950, oi-0.0
2021-04-07, o-500.16, h-504.6, l-498.1401, c-499.86, v-1716961, oi-0.0
2021-04-08, o-498.37, h-504.44, l-492.6, c-504.15, v-1577839, oi-0.0
2021-04-11, o-499.29, h-506.94, l-498.44, c-506.05, v-1357831, oi-0.0
2021-04-12, o-506.85, h-517.2645, l-506.78, c-514.85, v-1694736, oi-0.0
2021-04-13, o-514.59, h-517.78, l-509.13, c-510.95, v-1493560, oi-0.0
2021-04-14, o-515.67, h-524.59, l-515.1, c-523.29, v-1797774, oi-0.0
2021-04-15, o-523.57, h-525.44, l-518.55, c-525.08, v-1606964, oi-0.0
2021-04-18, o-523.05, h-524, l-514.4401, c-516.27, v-1500412, oi-0.0
2021-04-19, o-515.18, h-517.29, l-510.6, c-514.31, v-1405420, oi-0.0
2021-04-20, o-515.02, h-515.48, l-509.55, c-512.31, v-1344858, oi-0.0
2021-04-21, o-509.1, h-512.77, l-504.06, c-507.29, v-1785970, oi-0.0
2021-04-22, o-508.21, h-517.4973, l-508.21, c-516.13, v-1600143, oi-0.0
2021-04-25, o-513.64, h-516.31, l-510.25, c-515.7, v-1167441, oi-0.0
2021-04-26, o-517.16, h-519.155, l-511.3455, c-517.34, v-1710187, oi-0.0
