Date, Open, High, Low, Close, Volume, Open Interest
2021-05-12, o-147.64, h-149.33, l-145.62, c-146.65, v-3233649, oi-0.0
2021-05-13, o-147.99, h-150.77, l-146.63, c-149.61, v-4210043, oi-0.0
2021-05-16, o-148.96, h-148.96, l-145.83, c-148.09, v-4347287, oi-0.0
2021-05-17, o-149.61, h-149.79, l-145.81, c-145.89, v-3817786, oi-0.0
2021-05-18, o-145.08, h-153.33, l-144.07, c-153.2, v-6436499, oi-0.0
2021-05-19, o-154.8, h-161.2, l-154.8, c-159.47, v-5372538, oi-0.0
2021-05-20, o-159.74, h-160.77, l-158.98, c-159.38, v-2783525, oi-0.0
2021-05-23, o-160.99, h-162.985, l-160.73, c-162.5, v-2456456, oi-0.0
2021-05-24, o-164.16, h-165.17, l-162.69, c-163.78, v-3066644, oi-0.0
2021-05-25, o-163.86, h-165.16, l-162.67, c-162.97, v-1529488, oi-0.0
