Date, Open, High, Low, Close, Volume, Open Interest
2021-05-19, o-188.03, h-188.265, l-187.97, c-188.18, v-1493, oi-0.0
2021-05-19, o-188.13, h-188.35, l-188.13, c-188.265, v-2219, oi-0.0
2021-05-19, o-188.245, h-188.74, l-188.245, c-188.715, v-2482, oi-0.0
2021-05-19, o-189.095, h-189.64, l-189.095, c-189.64, v-2054, oi-0.0
2021-05-19, o-189.48, h-189.61, l-189.48, c-189.61, v-316, oi-0.0
2021-05-19, o-189.71, h-189.71, l-189.47, c-189.65, v-611, oi-0.0
2021-05-19, o-189.51, h-189.57, l-189.36, c-189.41, v-1370, oi-0.0
2021-05-19, o-189.29, h-189.29, l-188.95, c-189.06, v-1234, oi-0.0
2021-05-19, o-189.075, h-189.55, l-189.075, c-189.47, v-719, oi-0.0
2021-05-19, o-189.525, h-189.63, l-188.71, c-189.21, v-2023, oi-0.0
2021-05-19, o-189.21, h-190.06, l-188.99, c-190.06, v-1756, oi-0.0
2021-05-19, o-190.09, h-190.22, l-189.52, c-189.52, v-746, oi-0.0
2021-05-19, o-189.6, h-189.64, l-189.43, c-189.64, v-810, oi-0.0
2021-05-19, o-189.64, h-190.1, l-189.64, c-189.99, v-1021, oi-0.0
2021-05-19, o-189.97, h-190.46, l-189.97, c-190.215, v-438, oi-0.0
2021-05-19, o-190.27, h-190.305, l-190.01, c-190.17, v-1821, oi-0.0
2021-05-19, o-190.04, h-190.96, l-189.88, c-190.92, v-6059, oi-0.0
2021-05-20, o-191.14, h-192.08, l-191.14, c-191.445, v-3028, oi-0.0
2021-05-20, o-191.71, h-192.43, l-191.69, c-192.43, v-3460, oi-0.0
2021-05-20, o-192.255, h-192.48, l-192.24, c-192.31, v-803, oi-0.0
2021-05-20, o-192.55, h-192.985, l-192.55, c-192.89, v-939, oi-0.0
2021-05-20, o-193.12, h-193.57, l-193.07, c-193.57, v-701, oi-0.0
2021-05-20, o-193.46, h-193.575, l-193.37, c-193.575, v-1227, oi-0.0
2021-05-20, o-193.64, h-194.2, l-193.5, c-194.2, v-1666, oi-0.0
2021-05-20, o-194.02, h-194.08, l-193.82, c-194.06, v-1531, oi-0.0
2021-05-20, o-194.14, h-194.81, l-194.09, c-194.66, v-3143, oi-0.0
2021-05-20, o-194.815, h-194.815, l-194.59, c-194.59, v-268, oi-0.0
2021-05-20, o-194.58, h-194.58, l-194.58, c-194.58, v-100, oi-0.0
2021-05-20, o-194.73, h-194.73, l-194.5, c-194.71, v-780, oi-0.0
2021-05-20, o-194.49, h-194.49, l-194.25, c-194.25, v-361, oi-0.0
2021-05-20, o-194.44, h-194.44, l-194.44, c-194.44, v-136, oi-0.0
2021-05-20, o-194.65, h-194.71, l-194.63, c-194.71, v-641, oi-0.0
2021-05-20, o-194.69, h-194.82, l-194.67, c-194.71, v-2093, oi-0.0
2021-05-20, o-194.8, h-194.885, l-194.8, c-194.885, v-326, oi-0.0
2021-05-20, o-194.745, h-194.745, l-194.33, c-194.43, v-1082, oi-0.0
2021-05-20, o-194.65, h-194.7, l-194.62, c-194.65, v-592, oi-0.0
2021-05-20, o-194.655, h-194.655, l-194.45, c-194.45, v-348, oi-0.0
2021-05-20, o-194.66, h-194.77, l-194.58, c-194.77, v-803, oi-0.0
2021-05-20, o-194.74, h-194.84, l-194.69, c-194.715, v-1691, oi-0.0
2021-05-20, o-194.6, h-194.76, l-194.59, c-194.72, v-1807, oi-0.0
2021-05-20, o-194.8, h-195.13, l-194.75, c-195.12, v-2748, oi-0.0
2021-05-20, o-194.91, h-194.91, l-194.415, c-194.415, v-2034, oi-0.0
2021-05-20, o-194.43, h-194.53, l-194.03, c-194.03, v-6827, oi-0.0
2021-05-21, o-195.39, h-195.77, l-195.23, c-195.43, v-3317, oi-0.0
2021-05-21, o-195.97, h-196.32, l-195.71, c-196.32, v-1051, oi-0.0
2021-05-21, o-196.325, h-196.64, l-196.17, c-196.53, v-1675, oi-0.0
2021-05-21, o-196.65, h-196.74, l-195.85, c-195.85, v-1763, oi-0.0
2021-05-21, o-196.04, h-196.13, l-195.65, c-195.82, v-1716, oi-0.0
2021-05-21, o-195.69, h-195.97, l-195.69, c-195.835, v-2459, oi-0.0
2021-05-21, o-195.695, h-195.695, l-195.33, c-195.53, v-1041, oi-0.0
2021-05-21, o-195.44, h-195.52, l-194.79, c-194.79, v-1460, oi-0.0
2021-05-21, o-194.88, h-195.26, l-194.88, c-195.09, v-1686, oi-0.0
2021-05-21, o-195.24, h-195.24, l-194.92, c-194.92, v-692, oi-0.0
2021-05-21, o-195.04, h-195.04, l-194.89, c-194.89, v-1258, oi-0.0
2021-05-21, o-194.92, h-194.92, l-194.69, c-194.895, v-578, oi-0.0
2021-05-21, o-194.9, h-195.04, l-194.87, c-194.97, v-865, oi-0.0
2021-05-21, o-194.735, h-194.735, l-194.44, c-194.44, v-689, oi-0.0
2021-05-21, o-194.53, h-194.64, l-194.51, c-194.51, v-498, oi-0.0
2021-05-21, o-194.8, h-194.94, l-194.8, c-194.94, v-426, oi-0.0
2021-05-21, o-195.02, h-195.12, l-194.98, c-195.07, v-1098, oi-0.0
2021-05-21, o-195.09, h-195.14, l-195.03, c-195.03, v-1994, oi-0.0
2021-05-21, o-195.03, h-195.33, l-195.03, c-195.33, v-601, oi-0.0
2021-05-21, o-195.39, h-195.39, l-195.27, c-195.27, v-1124, oi-0.0
2021-05-21, o-195.31, h-195.31, l-195.19, c-195.19, v-571, oi-0.0
2021-05-21, o-195.32, h-195.46, l-195.23, c-195.42, v-867, oi-0.0
2021-05-21, o-195.4, h-195.49, l-195.185, c-195.41, v-2787, oi-0.0
2021-05-21, o-195.41, h-195.725, l-195.41, c-195.57, v-3092, oi-0.0
2021-05-21, o-195.47, h-195.5, l-194.97, c-194.97, v-5939, oi-0.0
2021-05-21, o-194.97, h-195.52, l-194.87, c-195.23, v-14789, oi-0.0
2021-05-24, o-196.2, h-197.04, l-196.2, c-197.03, v-893, oi-0.0
2021-05-24, o-197.21, h-197.49, l-197.16, c-197.49, v-876, oi-0.0
2021-05-24, o-197.82, h-198.065, l-197.65, c-197.85, v-861, oi-0.0
2021-05-24, o-197.955, h-198.11, l-197.895, c-198.08, v-3488, oi-0.0
2021-05-24, o-197.91, h-197.97, l-197.57, c-197.91, v-2450, oi-0.0
2021-05-24, o-198.04, h-198.25, l-197.99, c-197.99, v-2315, oi-0.0
2021-05-24, o-197.91, h-197.93, l-197.46, c-197.5, v-1733, oi-0.0
2021-05-24, o-197.41, h-197.76, l-197.4, c-197.73, v-861, oi-0.0
2021-05-24, o-197.76, h-197.76, l-197.46, c-197.625, v-1247, oi-0.0
2021-05-24, o-197.68, h-197.725, l-197.53, c-197.53, v-724, oi-0.0
2021-05-24, o-197.515, h-197.55, l-197.07, c-197.13, v-1149, oi-0.0
2021-05-24, o-197.13, h-197.13, l-196.95, c-196.95, v-1122, oi-0.0
2021-05-24, o-197.07, h-197.2, l-197.07, c-197.09, v-1970, oi-0.0
