Date, Open, High, Low, Close, Volume, Open Interest
2021-02-25, o-176.4, h-177.54, l-173.72, c-173.88, v-1799823, oi-0.0
2021-02-28, o-175.77, h-178.455, l-174.575, c-177.67, v-1320912, oi-0.0
2021-03-01, o-177.51, h-177.99, l-173.86, c-174.84, v-1313824, oi-0.0
2021-03-02, o-173.52, h-175.09, l-172.32, c-174.49, v-1310918, oi-0.0
2021-03-03, o-174.33, h-175.87, l-169.925, c-171.041, v-1656363, oi-0.0
2021-03-04, o-171.83, h-179, l-171.5003, c-178.26, v-2129124, oi-0.0
2021-03-07, o-179.27, h-183.64, l-177.74, c-180.42, v-1848293, oi-0.0
2021-03-08, o-182.02, h-184.29, l-181.12, c-183.06, v-1625891, oi-0.0
2021-03-09, o-183.72, h-184.59, l-181.27, c-182.08, v-1230078, oi-0.0
2021-03-10, o-180.48, h-183.985, l-180.205, c-181.63, v-1065715, oi-0.0
2021-03-11, o-180.72, h-183.08, l-180.55, c-182.82, v-1003834, oi-0.0
2021-03-14, o-182.77, h-189.32, l-182.77, c-189.07, v-2127785, oi-0.0
2021-03-15, o-188.75, h-190.5, l-187.94, c-188.25, v-1489459, oi-0.0
2021-03-16, o-187.26, h-188.36, l-185.76, c-187.88, v-1379338, oi-0.0
2021-03-17, o-185.77, h-188.39, l-185.42, c-186.06, v-1328150, oi-0.0
2021-03-18, o-186.04, h-187.13, l-182.48, c-183.93, v-2525461, oi-0.0
2021-03-21, o-182.96, h-184.88, l-182.52, c-184.39, v-1086510, oi-0.0
2021-03-22, o-185.68, h-185.78, l-183.08, c-184.01, v-1450657, oi-0.0
2021-03-23, o-183.3096, h-187.94, l-183.3096, c-185.27, v-1675119, oi-0.0
2021-03-24, o-187.51, h-188.15, l-186.01, c-186.99, v-1651478, oi-0.0
2021-03-25, o-187.14, h-192.98, l-186.83, c-192.76, v-1674152, oi-0.0
2021-03-28, o-191.76, h-192.99, l-190.04, c-192.62, v-1162136, oi-0.0
2021-03-29, o-192.73, h-193.44, l-187.21, c-187.86, v-1436687, oi-0.0
2021-03-30, o-187.9, h-189.57, l-187.05, c-188.49, v-1200703, oi-0.0
2021-03-31, o-190.22, h-190.22, l-188.13, c-189.47, v-1020107, oi-0.0
2021-04-04, o-190.07, h-193.765, l-189.78, c-193.09, v-1098640, oi-0.0
2021-04-05, o-192.75, h-192.75, l-188.77, c-189.49, v-1254646, oi-0.0
2021-04-06, o-188.83, h-189.26, l-185.61, c-185.76, v-1301629, oi-0.0
2021-04-07, o-186.82, h-188.46, l-186.05, c-188.23, v-1413917, oi-0.0
2021-04-08, o-188.11, h-189.83, l-187, c-189.34, v-778795, oi-0.0
2021-04-11, o-188.72, h-190.21, l-188.43, c-189.76, v-1001603, oi-0.0
2021-04-12, o-189.86, h-192.22, l-189.55, c-191.92, v-1363586, oi-0.0
2021-04-13, o-191.4221, h-193.29, l-190.69, c-191.24, v-1136884, oi-0.0
2021-04-14, o-192.56, h-193.32, l-191.38, c-191.81, v-849892, oi-0.0
2021-04-15, o-192.61, h-193.5247, l-191.756, c-192.94, v-992491, oi-0.0
2021-04-18, o-192.54, h-193.16, l-191.67, c-192.71, v-705290, oi-0.0
2021-04-19, o-192.77, h-193.97, l-192.07, c-192.81, v-972489, oi-0.0
2021-04-20, o-193.47, h-194.56, l-193, c-194.31, v-926404, oi-0.0
2021-04-21, o-193.93, h-195.92, l-193.22, c-194.92, v-940101, oi-0.0
2021-04-22, o-195.09, h-197.28, l-193.62, c-195.86, v-988903, oi-0.0
2021-04-25, o-195.5, h-196.54, l-194.72, c-195.16, v-1026332, oi-0.0
2021-04-26, o-194.87, h-196, l-193.84, c-195.87, v-1132564, oi-0.0
2021-04-27, o-191.19, h-191.5, l-186.03, c-186.54, v-2715649, oi-0.0
2021-04-28, o-186.96, h-189.26, l-185.65, c-188.41, v-1529185, oi-0.0
2021-04-29, o-186.5, h-188.32, l-184.85, c-186.98, v-1514633, oi-0.0
2021-05-02, o-188.7, h-191.57, l-188.69, c-191.47, v-1167148, oi-0.0
2021-05-03, o-190.47, h-194.38, l-189.58, c-193.97, v-1779608, oi-0.0
2021-05-04, o-190.96, h-194.57, l-189.3, c-193.66, v-1618938, oi-0.0
2021-05-05, o-195.29, h-195.37, l-192.86, c-195.33, v-976365, oi-0.0
2021-05-06, o-196.57, h-196.57, l-191.93, c-194.86, v-1607568, oi-0.0
2021-05-09, o-195.99, h-196.665, l-194.26, c-194.39, v-1318254, oi-0.0
2021-05-10, o-194.96, h-196.61, l-193.01, c-194.48, v-1447967, oi-0.0
2021-05-11, o-193.5744, h-193.5744, l-188.96, c-189.36, v-1359967, oi-0.0
2021-05-12, o-189.7, h-193.93, l-189.59, c-192.47, v-1021876, oi-0.0
2021-05-13, o-194.35, h-195.67, l-192.89, c-194.63, v-780467, oi-0.0
2021-05-16, o-194.06, h-195.17, l-192.37, c-194.58, v-661586, oi-0.0
2021-05-17, o-194.66, h-196.425, l-192.38, c-192.54, v-1051565, oi-0.0
2021-05-18, o-190.32, h-191.99, l-187.29, c-190.8, v-1219568, oi-0.0
2021-05-19, o-191.09, h-195.1607, l-190.82, c-194.135, v-1005704, oi-0.0
2021-05-20, o-194.73, h-196.79, l-194.26, c-195.33, v-921838, oi-0.0
2021-05-23, o-196.32, h-198.35, l-196.18, c-196.92, v-943593, oi-0.0
2021-05-24, o-197.17, h-197.22, l-194.89, c-195.26, v-1450997, oi-0.0
2021-05-25, o-195.92, h-196.16, l-193.61, c-193.9, v-339281, oi-0.0
