Date, Open, High, Low, Close, Volume, Open Interest
2020-05-27, o-82.62, h-85.62, l-82.62, c-85.1, v-2907184, oi-0.0
2020-05-28, o-84.99, h-85.85, l-84.31, c-85.44, v-2493189, oi-0.0
2020-05-31, o-85.08, h-86.4636, l-84.86, c-86.15, v-1521557, oi-0.0
2020-06-01, o-86.81, h-86.84, l-85.26, c-86.01, v-1449993, oi-0.0
2020-06-02, o-86.31, h-87.96, l-86.12, c-86.98, v-1687913, oi-0.0
2020-06-03, o-86.39, h-86.54, l-83.38, c-84.39, v-2002639, oi-0.0
2020-06-04, o-84.99, h-87.1, l-84.72, c-85.55, v-2280817, oi-0.0
2020-06-07, o-85.43, h-88.115, l-85.02, c-87.85, v-1845644, oi-0.0
2020-06-08, o-87.31, h-87.35, l-84.82, c-85.985, v-1564310, oi-0.0
2020-06-09, o-85.83, h-86.901, l-85.295, c-85.4, v-1755360, oi-0.0
2020-06-10, o-84.08, h-84.35, l-81, c-81.87, v-3577252, oi-0.0
2020-06-11, o-83, h-83.03, l-81.78, c-81.88, v-453312, oi-0.0
2020-06-14, o-80.16, h-82.17, l-79.7, c-81.77, v-2610479, oi-0.0
2020-06-15, o-83.52, h-84.015, l-81.19, c-81.63, v-3021852, oi-0.0
2020-06-16, o-82.25, h-82.75, l-80.91, c-82.24, v-1515183, oi-0.0
2020-06-17, o-81.86, h-82.39, l-80.98, c-81.74, v-1575909, oi-0.0
2020-06-18, o-82.62, h-82.62, l-79.66, c-79.73, v-3884168, oi-0.0
2020-06-21, o-79.6, h-81.16, l-79.32, c-80.59, v-2313619, oi-0.0
2020-06-22, o-81.5, h-81.97, l-80.0592, c-80.93, v-3157695, oi-0.0
2020-06-23, o-80.23, h-80.96, l-79.765, c-80.72, v-3009955, oi-0.0
2020-06-24, o-80.41, h-80.605, l-78.755, c-79.31, v-3201655, oi-0.0
2020-06-25, o-79.31, h-80.23, l-77.15, c-77.99, v-3225098, oi-0.0
2020-06-28, o-78.72, h-79.57, l-78.19, c-79.57, v-1954096, oi-0.0
2020-06-29, o-79.7, h-80.78, l-79.05, c-79.62, v-1898530, oi-0.0
2020-06-30, o-79.76, h-82.51, l-79.71, c-82, v-1963379, oi-0.0
2020-07-01, o-82.67, h-83.29, l-82.3, c-82.55, v-1453011, oi-0.0
2020-07-05, o-83.11, h-83.72, l-81.1152, c-82.11, v-1920214, oi-0.0
2020-07-06, o-81.3, h-82.565, l-80.64, c-82.38, v-2612261, oi-0.0
2020-07-07, o-82.18, h-82.9, l-81.714, c-82.44, v-1489129, oi-0.0
2020-07-08, o-81.92, h-82.43, l-80.48, c-82.02, v-1862063, oi-0.0
2020-07-09, o-82.05, h-84.44, l-82.05, c-84.13, v-2770408, oi-0.0
2020-07-12, o-83.9, h-85.08, l-83.53, c-84.76, v-2933875, oi-0.0
2020-07-13, o-84.6, h-86.06, l-84.44, c-85.36, v-2315234, oi-0.0
2020-07-14, o-86.03, h-87.04, l-84.42, c-84.67, v-2346640, oi-0.0
2020-07-15, o-84.79, h-85.55, l-84.55, c-85.39, v-1910583, oi-0.0
2020-07-16, o-85.79, h-87.75, l-85.19, c-87.54, v-2506261, oi-0.0
