Date, Open, High, Low, Close, Volume, Open Interest
2021-05-25, o-607.55, h-607.55, l-607.55, c-607.55, v-101, oi-0.0
2021-05-25, o-609.38, h-610.3, l-608.61, c-608.61, v-663, oi-0.0
2021-05-25, o-606.94, h-607.5, l-606.94, c-607.5, v-202, oi-0.0
2021-05-25, o-607.025, h-607.025, l-603.24, c-603.24, v-480, oi-0.0
2021-05-25, o-602.47, h-602.99, l-601.01, c-601.055, v-1109, oi-0.0
2021-05-25, o-600.33, h-601.35, l-600.09, c-600.87, v-775, oi-0.0
2021-05-25, o-599.52, h-599.52, l-597.32, c-597.32, v-597, oi-0.0
2021-05-25, o-596.8, h-597.325, l-596.19, c-596.4, v-1074, oi-0.0
2021-05-25, o-596.44, h-596.44, l-595.55, c-595.57, v-1557, oi-0.0
2021-05-25, o-597.06, h-597.17, l-597.06, c-597.17, v-343, oi-0.0
2021-05-25, o-598.12, h-598.12, l-598.12, c-598.12, v-100, oi-0.0
2021-05-25, o-597.61, h-597.61, l-596.59, c-596.59, v-672, oi-0.0
2021-05-25, o-596.98, h-596.98, l-596.98, c-596.98, v-126, oi-0.0
2021-05-25, o-596.92, h-597.425, l-596.55, c-597.425, v-445, oi-0.0
2021-05-25, o-597.43, h-597.43, l-596.785, c-596.785, v-636, oi-0.0
2021-05-25, o-596.87, h-596.94, l-596.315, c-596.76, v-516, oi-0.0
2021-05-25, o-597.12, h-597.925, l-597.12, c-597.925, v-439, oi-0.0
2021-05-25, o-596.92, h-596.92, l-596.685, c-596.685, v-335, oi-0.0
2021-05-25, o-596.64, h-597.26, l-596.64, c-597.26, v-201, oi-0.0
2021-05-25, o-597, h-597, l-597, c-597, v-244, oi-0.0
2021-05-25, o-597.94, h-597.94, l-597.11, c-597.11, v-332, oi-0.0
2021-05-25, o-597.8, h-597.81, l-597.8, c-597.81, v-233, oi-0.0
2021-05-25, o-596.35, h-596.35, l-594.665, c-594.665, v-405, oi-0.0
2021-05-25, o-596.24, h-596.24, l-596.24, c-596.24, v-280, oi-0.0
2021-05-25, o-595.44, h-595.44, l-595.44, c-595.44, v-208, oi-0.0
2021-05-25, o-596.82, h-596.82, l-596.82, c-596.82, v-105, oi-0.0
2021-05-25, o-596.365, h-597.25, l-596.365, c-597.25, v-324, oi-0.0
2021-05-25, o-597.94, h-597.94, l-597.94, c-597.94, v-232, oi-0.0
2021-05-25, o-597.54, h-597.54, l-597.54, c-597.54, v-113, oi-0.0
2021-05-25, o-597.79, h-597.79, l-596.73, c-596.73, v-428, oi-0.0
2021-05-25, o-595.98, h-595.98, l-595.98, c-595.98, v-101, oi-0.0
2021-05-25, o-597.28, h-597.28, l-597.28, c-597.28, v-100, oi-0.0
2021-05-25, o-597.6, h-597.6, l-597.6, c-597.6, v-200, oi-0.0
2021-05-25, o-597.59, h-597.59, l-597.59, c-597.59, v-100, oi-0.0
2021-05-25, o-597.55, h-597.55, l-597.4, c-597.4, v-269, oi-0.0
