Date, Open, High, Low, Close, Volume, Open Interest
2020-11-23, o-483.01, h-486, l-465.46, c-475, v-473338, oi-0.0
2020-11-24, o-470.69, h-474.6089, l-465.76, c-474.27, v-295047, oi-0.0
2020-11-26, o-470.92, h-477.17, l-468.14, c-475.53, v-205941, oi-0.0
2020-11-29, o-472.4, h-483.8775, l-471.31, c-481.29, v-498704, oi-0.0
2020-11-30, o-487.46, h-508.96, l-485.6, c-500.12, v-1016546, oi-0.0
2020-12-01, o-496.57, h-507.64, l-491.785, c-505.48, v-506364, oi-0.0
2020-12-02, o-506.24, h-516.295, l-505.305, c-511.87, v-512604, oi-0.0
2020-12-03, o-511.96, h-524.88, l-510.32, c-521.85, v-584375, oi-0.0
2020-12-06, o-521.9, h-524.61, l-515.5, c-518.39, v-410859, oi-0.0
2020-12-07, o-516.75, h-518.17, l-509.27, c-516.2, v-379937, oi-0.0
2020-12-08, o-516.24, h-520.88, l-507.305, c-509.01, v-355868, oi-0.0
2020-12-09, o-506.89, h-511.32, l-499.5739, c-508.39, v-313203, oi-0.0
2020-12-10, o-507, h-509.5, l-498.255, c-507, v-231957, oi-0.0
2020-12-13, o-510.9, h-522.34, l-502.31, c-503.59, v-341221, oi-0.0
2020-12-14, o-511.8, h-519.06, l-502.6, c-515.93, v-291083, oi-0.0
2020-12-15, o-511.08, h-520.38, l-510.27, c-516.3301, v-229193, oi-0.0
2020-12-16, o-522, h-527.25, l-516.95, c-526.22, v-286317, oi-0.0
2020-12-17, o-533.01, h-535, l-521.65, c-529.64, v-443299, oi-0.0
2020-12-20, o-518.09, h-531.6049, l-513.34, c-530.12, v-270237, oi-0.0
2020-12-21, o-531.99, h-536.6, l-527.6, c-536.6, v-263467, oi-0.0
2020-12-22, o-540.52, h-543.654, l-524.99, c-525.56, v-242857, oi-0.0
2020-12-23, o-528.14, h-529.2139, l-521.13, c-528.02, v-143132, oi-0.0
2020-12-27, o-532.32, h-532.74, l-518.84, c-520.76, v-195701, oi-0.0
2020-12-28, o-524.92, h-525.77, l-512.8, c-520.45, v-172647, oi-0.0
2020-12-29, o-522.29, h-527.9699, l-519.75, c-524, v-204633, oi-0.0
2020-12-30, o-526.87, h-535.4, l-523.33, c-534.55, v-236013, oi-0.0
2021-01-03, o-549.61, h-560, l-519.7, c-525.96, v-518477, oi-0.0
2021-01-04, o-526.97, h-544.07, l-526.7657, c-543.4, v-280762, oi-0.0
2021-01-05, o-534.33, h-546.48, l-531.46, c-540.88, v-338988, oi-0.0
2021-01-06, o-547.78, h-561.35, l-544.27, c-557.76, v-427001, oi-0.0
2021-01-07, o-561.63, h-579.5, l-559, c-570.46, v-401035, oi-0.0
2021-01-10, o-565.01, h-566.1, l-551.8254, c-557.68, v-300322, oi-0.0
2021-01-11, o-552.34, h-562.39, l-548.41, c-552.65, v-280409, oi-0.0
2021-01-12, o-551.26, h-553.76, l-543.91, c-551.63, v-241230, oi-0.0
2021-01-13, o-546.51, h-561.12, l-543.01, c-554.63, v-255388, oi-0.0
2021-01-14, o-553.19, h-569.655, l-548, c-567.23, v-467460, oi-0.0
2021-01-18, o-574.72, h-574.72, l-545.075, c-557.41, v-418576, oi-0.0
