Date, Open, High, Low, Close, Volume, Open Interest
2020-05-27, o-113.13, h-115.99, l-111.76, c-114.44, v-5160119, oi-0.0
2020-05-28, o-115.38, h-120.19, l-114.0209, c-120.03, v-5518452, oi-0.0
2020-05-31, o-119.3, h-121.5, l-117.26, c-118.92, v-3663126, oi-0.0
2020-06-01, o-117.67, h-118.3108, l-114.42, c-116.33, v-3401067, oi-0.0
2020-06-02, o-116.85, h-117.6, l-113.61, c-113.77, v-2288750, oi-0.0
2020-06-03, o-113.19, h-114.3, l-112.76, c-113.65, v-2315444, oi-0.0
2020-06-04, o-113.78, h-116.42, l-112.63, c-115.17, v-1198942, oi-0.0
2020-06-07, o-114.61, h-120.5, l-114.61, c-119.56, v-2409072, oi-0.0
2020-06-08, o-119.01, h-120.17, l-115.78, c-116.16, v-2851388, oi-0.0
2020-06-09, o-115.99, h-117.295, l-115.345, c-116.32, v-2660996, oi-0.0
2020-06-10, o-115, h-115.03, l-109.85, c-109.87, v-2116237, oi-0.0
2020-06-11, o-111.9, h-112.11, l-109.52, c-109.52, v-886618, oi-0.0
2020-06-14, o-108.23, h-111.64, l-107.75, c-110.44, v-3375683, oi-0.0
2020-06-15, o-112.28, h-114.71, l-109.83, c-113.42, v-1717852, oi-0.0
2020-06-16, o-114.15, h-116.8, l-113.93, c-115.53, v-2601572, oi-0.0
2020-06-17, o-114.68, h-116.82, l-114.15, c-116.31, v-1136247, oi-0.0
2020-06-18, o-116.95, h-119.52, l-116.2, c-119.23, v-3038259, oi-0.0
2020-06-21, o-118.86, h-119.78, l-116.83, c-116.92, v-1259743, oi-0.0
2020-06-22, o-117.74, h-119.5, l-115.06, c-115.44, v-1633546, oi-0.0
2020-06-23, o-113.96, h-115.75, l-111.36, c-111.84, v-1842131, oi-0.0
2020-06-24, o-111.62, h-113.65, l-110.75, c-113.465, v-1176432, oi-0.0
2020-06-25, o-113.48, h-114.62, l-110.54, c-113.62, v-1452445, oi-0.0
2020-06-28, o-113.59, h-113.88, l-110.58, c-111.28, v-1401837, oi-0.0
2020-06-29, o-110.99, h-112.85, l-110.7, c-112.12, v-1445067, oi-0.0
2020-06-30, o-112.06, h-113.08, l-110.96, c-112.35, v-1204526, oi-0.0
2020-07-01, o-114.49, h-114.49, l-111.72, c-112.3, v-1090953, oi-0.0
2020-07-05, o-113.75, h-113.99, l-112.42, c-113.54, v-1151459, oi-0.0
2020-07-06, o-113, h-113.44, l-112.285, c-112.47, v-1249186, oi-0.0
2020-07-07, o-112.8, h-113, l-107.94, c-108, v-2133276, oi-0.0
2020-07-08, o-108.71, h-109.25, l-106.235, c-108.47, v-1648838, oi-0.0
2020-07-09, o-108.38, h-109.2, l-107.77, c-108.9, v-764218, oi-0.0
2020-07-12, o-108.75, h-110.32, l-106.4, c-107.07, v-1279867, oi-0.0
2020-07-13, o-106.89, h-109.14, l-105.67, c-108.56, v-1535403, oi-0.0
2020-07-14, o-109.06, h-111.51, l-108.36, c-111.06, v-1148831, oi-0.0
2020-07-15, o-111.23, h-111.39, l-108.01, c-109.66, v-894247, oi-0.0
2020-07-16, o-109.94, h-110.4, l-107.85, c-109.28, v-1236273, oi-0.0
2020-07-19, o-109.83, h-111.25, l-109.48, c-109.5, v-906727, oi-0.0
2020-07-20, o-109.37, h-109.5905, l-106.51, c-107, v-1666096, oi-0.0
2020-07-21, o-107.5, h-107.86, l-104.77, c-105.95, v-1559538, oi-0.0
2020-07-22, o-106.28, h-106.79, l-104.52, c-104.8, v-710144, oi-0.0
2020-07-23, o-104.4, h-104.615, l-100.83, c-101.5, v-2278245, oi-0.0
2020-07-26, o-102.32, h-107.84, l-102.175, c-106.85, v-2256205, oi-0.0
2020-07-27, o-107.21, h-107.77, l-104.79, c-105.22, v-1068094, oi-0.0
2020-07-28, o-105.59, h-105.99, l-104.29, c-104.62, v-1130081, oi-0.0
2020-07-29, o-105.2, h-108.48, l-104.52, c-104.81, v-1911201, oi-0.0
2020-07-30, o-103.88, h-104.79, l-101.26, c-102.47, v-1806948, oi-0.0
2020-08-02, o-102.67, h-105.13, l-101.75, c-104.84, v-867160, oi-0.0
2020-08-03, o-104.73, h-105.3, l-103.14, c-105.22, v-1349303, oi-0.0
2020-08-04, o-105.37, h-105.67, l-102.26, c-102.73, v-1007503, oi-0.0
2020-08-05, o-103.05, h-104.44, l-102, c-103.9, v-1101442, oi-0.0
2020-08-06, o-103.6, h-104.16, l-102.31, c-103.26, v-1659722, oi-0.0
2020-08-09, o-102.74, h-102.76, l-101.11, c-101.88, v-1520466, oi-0.0
2020-08-10, o-102.86, h-102.86, l-101.1, c-101.23, v-1280054, oi-0.0
2020-08-11, o-100.79, h-103, l-100.78, c-102.78, v-1359817, oi-0.0
2020-08-12, o-102.54, h-103.29, l-101.74, c-101.9, v-919696, oi-0.0
2020-08-13, o-101.18, h-103.46, l-101.1735, c-102.96, v-686790, oi-0.0
2020-08-16, o-102.96, h-103.41, l-102.0901, c-102.79, v-1168812, oi-0.0
2020-08-17, o-103.24, h-104.29, l-102.16, c-103.31, v-1133608, oi-0.0
2020-08-18, o-103.71, h-104, l-101.29, c-101.7, v-974589, oi-0.0
2020-08-19, o-101.6, h-102.065, l-100.25, c-100.92, v-1208007, oi-0.0
2020-08-20, o-100.8, h-101.14, l-99.91, c-100.52, v-1031056, oi-0.0
2020-08-23, o-101, h-102.84, l-100.75, c-102.44, v-1551659, oi-0.0
2020-08-24, o-101.94, h-103.36, l-101.54, c-103.35, v-1009903, oi-0.0
2020-08-25, o-103.01, h-104.47, l-102.5, c-104.26, v-1418705, oi-0.0
2020-08-26, o-104.34, h-106.5, l-103.77, c-106.11, v-1137473, oi-0.0
2020-08-27, o-106.5386, h-107.08, l-104.75, c-106.98, v-953037, oi-0.0
2020-08-30, o-107.7, h-118, l-107.66, c-114.26, v-5205418, oi-0.0
2020-08-31, o-114.8, h-117.34, l-111.91, c-112.74, v-2217916, oi-0.0
2020-09-01, o-113, h-114.66, l-112.06, c-113.82, v-1273186, oi-0.0
2020-09-02, o-114.32, h-114.32, l-110.59, c-111.45, v-2068789, oi-0.0
2020-09-03, o-111.83, h-113.94, l-110.69, c-112.97, v-1952000, oi-0.0
2020-09-07, o-111.72, h-111.78, l-108.07, c-108.27, v-1754188, oi-0.0
2020-09-08, o-108.5, h-110.11, l-102.82, c-108.2, v-2174247, oi-0.0
2020-09-09, o-109.26, h-109.275, l-105.79, c-106.01, v-964652, oi-0.0
2020-09-10, o-106.54, h-107.62, l-104.25, c-105.36, v-1303913, oi-0.0
2020-09-13, o-106.95, h-110.62, l-106.405, c-108.77, v-2003976, oi-0.0
2020-09-14, o-110.22, h-120.81, l-109.53, c-115.58, v-4796432, oi-0.0
2020-09-15, o-115.2554, h-117.965, l-114.12, c-116.58, v-2421193, oi-0.0
2020-09-16, o-114.97, h-115.25, l-112.72, c-114.13, v-1809313, oi-0.0
2020-09-17, o-114.39, h-114.77, l-109.8, c-113.71, v-2187670, oi-0.0
2020-09-20, o-111.41, h-112.43, l-109.51, c-111.81, v-1917710, oi-0.0
2020-09-21, o-111.44, h-114.8, l-110.72, c-114.52, v-1534984, oi-0.0
2020-09-22, o-114.65, h-114.995, l-111.52, c-112.47, v-1599083, oi-0.0
2020-09-23, o-112.02, h-113.6, l-110.41, c-112.03, v-1066183, oi-0.0
2020-09-24, o-111.19, h-114.9399, l-109.93, c-114.45, v-1535087, oi-0.0
2020-09-27, o-115.7, h-115.76, l-112.73, c-113.31, v-1060059, oi-0.0
2020-09-28, o-113.57, h-114.12, l-112.035, c-112.45, v-851562, oi-0.0
