Date, Open, High, Low, Close, Volume, Open Interest
2021-05-21, o-77.5, h-77.5, l-77.5, c-77.5, v-662, oi-0.0
2021-05-21, o-77.5, h-77.52, l-77.495, c-77.495, v-1451, oi-0.0
2021-05-21, o-77.48, h-77.495, l-77.48, c-77.495, v-200, oi-0.0
2021-05-21, o-77.5, h-77.5, l-77.5, c-77.5, v-112, oi-0.0
2021-05-21, o-77.5, h-77.53, l-77.48, c-77.53, v-614, oi-0.0
2021-05-21, o-77.5, h-77.5, l-77.42, c-77.42, v-1493, oi-0.0
2021-05-21, o-77.41, h-77.41, l-77.31, c-77.35, v-1702, oi-0.0
2021-05-21, o-77.36, h-77.37, l-77.34, c-77.35, v-737, oi-0.0
2021-05-21, o-77.355, h-77.39, l-77.355, c-77.385, v-1246, oi-0.0
2021-05-21, o-77.37, h-77.4, l-77.37, c-77.4, v-1056, oi-0.0
2021-05-21, o-77.44, h-77.46, l-77.44, c-77.46, v-496, oi-0.0
2021-05-21, o-77.45, h-77.45, l-77.45, c-77.45, v-705, oi-0.0
2021-05-21, o-77.41, h-77.41, l-77.41, c-77.41, v-300, oi-0.0
2021-05-21, o-77.41, h-77.41, l-77.41, c-77.41, v-956, oi-0.0
2021-05-21, o-77.39, h-77.39, l-77.39, c-77.39, v-401, oi-0.0
2021-05-21, o-77.43, h-77.44, l-77.43, c-77.44, v-432, oi-0.0
2021-05-21, o-77.41, h-77.41, l-77.28, c-77.29, v-1232, oi-0.0
2021-05-21, o-77.3, h-77.32, l-77.3, c-77.32, v-209, oi-0.0
2021-05-21, o-77.34, h-77.39, l-77.34, c-77.39, v-834, oi-0.0
2021-05-21, o-77.36, h-77.375, l-77.33, c-77.375, v-1303, oi-0.0
2021-05-21, o-77.38, h-77.38, l-77.35, c-77.35, v-984, oi-0.0
2021-05-21, o-77.34, h-77.345, l-77.34, c-77.345, v-1701, oi-0.0
2021-05-21, o-77.3, h-77.3, l-77.3, c-77.3, v-159, oi-0.0
2021-05-21, o-77.27, h-77.28, l-77.255, c-77.28, v-1005, oi-0.0
2021-05-21, o-77.32, h-77.375, l-77.32, c-77.375, v-1033, oi-0.0
2021-05-21, o-77.36, h-77.37, l-77.35, c-77.37, v-701, oi-0.0
2021-05-21, o-77.325, h-77.325, l-77.305, c-77.305, v-2200, oi-0.0
2021-05-21, o-77.32, h-77.33, l-77.295, c-77.295, v-628, oi-0.0
2021-05-21, o-77.3, h-77.34, l-77.295, c-77.34, v-633, oi-0.0
2021-05-21, o-77.37, h-77.39, l-77.37, c-77.38, v-868, oi-0.0
2021-05-21, o-77.39, h-77.425, l-77.39, c-77.405, v-683, oi-0.0
2021-05-21, o-77.41, h-77.44, l-77.41, c-77.425, v-2693, oi-0.0
