Date, Open, High, Low, Close, Volume, Open Interest
2020-11-23, o-222.45, h-223.05, l-219.82, c-220.43, v-2182432, oi-0.0
2020-11-24, o-221.095, h-223.77, l-218.92, c-220.35, v-1952895, oi-0.0
2020-11-26, o-221.41, h-226.21, l-221.39, c-224.81, v-1363069, oi-0.0
2020-11-29, o-224.33, h-225.2775, l-219.45, c-222.24, v-2342186, oi-0.0
2020-11-30, o-224.88, h-225.78, l-222.72, c-225.09, v-2292053, oi-0.0
2020-12-01, o-225.08, h-230.0799, l-224.6092, c-226.56, v-2243745, oi-0.0
2020-12-02, o-226, h-228.45, l-225.52, c-226.78, v-1579499, oi-0.0
2020-12-03, o-225.75, h-230.33, l-225.75, c-229.21, v-1553563, oi-0.0
2020-12-06, o-229, h-229.21, l-225.11, c-226.5205, v-1338151, oi-0.0
2020-12-07, o-229.01, h-229.1, l-226.345, c-229.02, v-1422070, oi-0.0
2020-12-08, o-229.78, h-231.59, l-227.88, c-229.63, v-1395646, oi-0.0
2020-12-09, o-229.62, h-230, l-227.52, c-228.17, v-1166658, oi-0.0
2020-12-10, o-226.47, h-227.8, l-225.495, c-227.43, v-1390402, oi-0.0
2020-12-13, o-229.48, h-232.19, l-227.58, c-229.46, v-2082622, oi-0.0
2020-12-14, o-229.01, h-231.28, l-227, c-230.54, v-2023894, oi-0.0
2020-12-15, o-229.99, h-231.28, l-228.11, c-228.38, v-1657281, oi-0.0
2020-12-16, o-229.12, h-231.38, l-228.83, c-231.15, v-2023543, oi-0.0
2020-12-17, o-232.04, h-232.04, l-227.25, c-228.5, v-2568923, oi-0.0
2020-12-20, o-225.68, h-227.94, l-221.58, c-227.31, v-1779141, oi-0.0
2020-12-21, o-225.72, h-226.475, l-220.08, c-221.08, v-2572730, oi-0.0
2020-12-22, o-221.48, h-223.58, l-220.66, c-223.09, v-1480694, oi-0.0
2020-12-23, o-223.24, h-224.58, l-222.29, c-222.95, v-722652, oi-0.0
2020-12-27, o-223.03, h-226.9, l-223.03, c-223.64, v-1238235, oi-0.0
2020-12-28, o-225.88, h-229.47, l-225.2733, c-226.89, v-1351987, oi-0.0
2020-12-29, o-227.98, h-229.03, l-226.58, c-226.98, v-1265903, oi-0.0
2020-12-30, o-227.31, h-230.25, l-225.89, c-229.85, v-1284729, oi-0.0
2021-01-03, o-231.25, h-231.25, l-223.67, c-226.68, v-2274086, oi-0.0
2021-01-04, o-226.94, h-228.895, l-224.35, c-227.72, v-1894770, oi-0.0
2021-01-05, o-225, h-233.53, l-225, c-233.51, v-2885740, oi-0.0
2021-01-06, o-231.86, h-235.37, l-231.465, c-234.02, v-1969715, oi-0.0
2021-01-07, o-235.53, h-238.86, l-235.1, c-238.51, v-1899207, oi-0.0
2021-01-10, o-240, h-240.35, l-234.43, c-237.44, v-1943240, oi-0.0
2021-01-11, o-237.12, h-238.78, l-235.35, c-236.6, v-1282235, oi-0.0
