Date, Open, High, Low, Close, Volume, Open Interest
2021-05-19, o-3218.1, h-3219.78, l-3214, c-3214, v-2498, oi-0.0
2021-05-19, o-3213.03, h-3214.27, l-3206.465, c-3207.85, v-2019, oi-0.0
2021-05-19, o-3205.89, h-3206.14, l-3205.89, c-3206.14, v-889, oi-0.0
2021-05-19, o-3213.13, h-3216, l-3212.08, c-3216, v-1508, oi-0.0
2021-05-19, o-3216.32, h-3221.91, l-3216.32, c-3219.8, v-2257, oi-0.0
2021-05-19, o-3218.05, h-3219.46, l-3217.72, c-3219.46, v-951, oi-0.0
2021-05-19, o-3215.4, h-3216.4, l-3209.16, c-3209.16, v-1719, oi-0.0
2021-05-19, o-3210.52, h-3225.99, l-3210.24, c-3225.99, v-2114, oi-0.0
2021-05-19, o-3223, h-3226.25, l-3223, c-3226.25, v-637, oi-0.0
2021-05-19, o-3224.77, h-3224.77, l-3218.65, c-3219.4, v-2008, oi-0.0
2021-05-19, o-3220.5, h-3225.41, l-3220.5, c-3225.41, v-654, oi-0.0
2021-05-19, o-3221.97, h-3223.36, l-3219.57, c-3219.57, v-588, oi-0.0
2021-05-19, o-3220.52, h-3220.52, l-3220.495, c-3220.495, v-229, oi-0.0
2021-05-19, o-3218.26, h-3218.27, l-3217.4, c-3217.4, v-1256, oi-0.0
2021-05-19, o-3221.495, h-3221.495, l-3217.19, c-3217.19, v-2164, oi-0.0
2021-05-19, o-3220.945, h-3220.945, l-3218.3, c-3218.3, v-932, oi-0.0
2021-05-19, o-3217.51, h-3217.51, l-3217.51, c-3217.51, v-360, oi-0.0
2021-05-19, o-3220.29, h-3222, l-3220.29, c-3222, v-357, oi-0.0
2021-05-19, o-3218.03, h-3218.12, l-3218.03, c-3218.08, v-739, oi-0.0
2021-05-19, o-3221.16, h-3221.16, l-3221.16, c-3221.16, v-115, oi-0.0
2021-05-19, o-3219.24, h-3219.91, l-3219.24, c-3219.91, v-907, oi-0.0
2021-05-19, o-3220, h-3220, l-3220, c-3220, v-290, oi-0.0
2021-05-19, o-3215.52, h-3218.74, l-3215.52, c-3218.29, v-901, oi-0.0
2021-05-19, o-3218.35, h-3218.35, l-3216.99, c-3216.99, v-1190, oi-0.0
2021-05-19, o-3217.48, h-3218.06, l-3216.93, c-3216.93, v-708, oi-0.0
2021-05-19, o-3215.61, h-3215.61, l-3214.85, c-3215.545, v-608, oi-0.0
2021-05-19, o-3210.34, h-3210.34, l-3210.34, c-3210.34, v-134, oi-0.0
2021-05-19, o-3212.22, h-3216.69, l-3212.22, c-3216.69, v-331, oi-0.0
2021-05-19, o-3217.335, h-3217.335, l-3217.335, c-3217.335, v-102, oi-0.0
2021-05-19, o-3220.5, h-3220.5, l-3220.5, c-3220.5, v-549, oi-0.0
2021-05-19, o-3219.845, h-3222.03, l-3218.1, c-3218.1, v-1847, oi-0.0
2021-05-19, o-3218.47, h-3218.88, l-3214.68, c-3215.71, v-1767, oi-0.0
2021-05-19, o-3214.96, h-3214.96, l-3213.91, c-3213.91, v-713, oi-0.0
2021-05-19, o-3210.52, h-3212.525, l-3210.52, c-3212.34, v-1105, oi-0.0
2021-05-19, o-3209.46, h-3212.12, l-3209.46, c-3212.11, v-541, oi-0.0
2021-05-19, o-3214.51, h-3214.51, l-3213.38, c-3213.38, v-235, oi-0.0
2021-05-19, o-3210.97, h-3214.56, l-3207.28, c-3207.28, v-1557, oi-0.0
2021-05-19, o-3200.55, h-3203.57, l-3200.02, c-3200.02, v-3881, oi-0.0
2021-05-19, o-3206.605, h-3206.605, l-3200.59, c-3201.465, v-956, oi-0.0
2021-05-19, o-3201.92, h-3207.51, l-3201.905, c-3207.37, v-1190, oi-0.0
2021-05-19, o-3215.6, h-3228.57, l-3214.79, c-3224.13, v-1074, oi-0.0
2021-05-19, o-3226.34, h-3227.77, l-3225.73, c-3227.77, v-609, oi-0.0
2021-05-19, o-3229.69, h-3229.69, l-3223.92, c-3223.92, v-1273, oi-0.0
2021-05-19, o-3222.35, h-3222.35, l-3214.2, c-3215, v-1340, oi-0.0
2021-05-19, o-3213.07, h-3213.4, l-3210.205, c-3211.29, v-911, oi-0.0
2021-05-19, o-3209.15, h-3211.03, l-3208.2, c-3209.99, v-1059, oi-0.0
2021-05-19, o-3210.77, h-3210.95, l-3210.77, c-3210.95, v-940, oi-0.0
2021-05-19, o-3214.27, h-3215.44, l-3214.27, c-3215.44, v-720, oi-0.0
2021-05-19, o-3209.96, h-3211.26, l-3209.63, c-3211.26, v-1206, oi-0.0
2021-05-19, o-3210.84, h-3213.87, l-3210.84, c-3213.42, v-434, oi-0.0
