Date, Open, High, Low, Close, Volume, Open Interest
2019-05-28, o-1823.18, h-1830, l-1807.5327, c-1820.2, v-3730772, oi-0.0
2019-05-29, o-1824.31, h-1829.47, l-1807.825, c-1815.81, v-2934611, oi-0.0
2019-05-30, o-1790.01, h-1795.585, l-1772.7034, c-1775.07, v-3916862, oi-0.0
2019-06-02, o-1760.01, h-1766.29, l-1672, c-1692.76, v-8372675, oi-0.0
2019-06-03, o-1699.24, h-1730.82, l-1680.89, c-1730.18, v-5141474, oi-0.0
2019-06-04, o-1749.6, h-1752, l-1715.2513, c-1739.48, v-3781000, oi-0.0
2019-06-05, o-1737.71, h-1759.99, l-1726.13, c-1754.6292, v-3355072, oi-0.0
2019-06-06, o-1762.4, h-1806.2538, l-1759.49, c-1804.02, v-4065603, oi-0.0
2019-06-09, o-1822, h-1884.87, l-1818, c-1860.63, v-4968998, oi-0.0
2019-06-10, o-1883.25, h-1893.7, l-1858, c-1863.7, v-3629018, oi-0.0
2019-06-11, o-1853.98, h-1865, l-1844.38, c-1855.3, v-2450925, oi-0.0
2019-06-12, o-1866.72, h-1883.09, l-1862.22, c-1870.748, v-4993238, oi-0.0
2019-06-13, o-1864.92, h-1876, l-1859, c-1870.17, v-4923087, oi-0.0
2019-06-16, o-1876.5, h-1895.688, l-1875.45, c-1886, v-2397289, oi-0.0
2019-06-17, o-1901.35, h-1921.67, l-1899.79, c-1902.15, v-3523736, oi-0.0
2019-06-18, o-1907.84, h-1919.5807, l-1892.6223, c-1909.03, v-2565954, oi-0.0
2019-06-19, o-1933.33, h-1935.2, l-1905.8, c-1917.95, v-2858789, oi-0.0
2019-06-20, o-1912.5, h-1925.95, l-1907.58, c-1911.1, v-3243263, oi-0.0
2019-06-23, o-1912.66, h-1916.86, l-1901.3, c-1913.96, v-1931200, oi-0.0
2019-06-24, o-1911.84, h-1916.385, l-1872.42, c-1878.64, v-2712393, oi-0.0
2019-06-25, o-1892.91, h-1903.8, l-1887.32, c-1897.75, v-2011515, oi-0.0
2019-06-26, o-1902, h-1911.24, l-1898.04, c-1903.67, v-1923521, oi-0.0
2019-06-27, o-1912.8, h-1912.8, l-1884, c-1889.83, v-2263386, oi-0.0
2019-06-30, o-1922.98, h-1929.82, l-1914.66, c-1922.26, v-2917672, oi-0.0
2019-07-01, o-1919.38, h-1934.79, l-1906.63, c-1934.79, v-2407604, oi-0.0
2019-07-02, o-1935.89, h-1941.59, l-1930.5, c-1939, v-1475704, oi-0.0
2019-07-04, o-1928.6, h-1945.9, l-1925.3, c-1943.1, v-2418081, oi-0.0
2019-07-07, o-1934.12, h-1956, l-1928.2532, c-1952.33, v-2593566, oi-0.0
2019-07-08, o-1947.88, h-1990.01, l-1943.475, c-1987.35, v-3966987, oi-0.0
2019-07-09, o-1996.51, h-2024.94, l-1995.4, c-2017.77, v-4445939, oi-0.0
2019-07-10, o-2025.62, h-2035.8, l-1995.3, c-2001.07, v-3957307, oi-0.0
2019-07-11, o-2008.27, h-2017, l-2003.87, c-2010.02, v-2199931, oi-0.0
2019-07-14, o-2021.4, h-2022.9, l-2001.55, c-2021, v-2598695, oi-0.0
2019-07-15, o-2010.58, h-2026.3196, l-2001.22, c-2010, v-2356968, oi-0.0
2019-07-16, o-2007.05, h-2012, l-1992.12, c-1992.16, v-2257978, oi-0.0
2019-07-17, o-1980.01, h-1987.5, l-1951.55, c-1978.67, v-3163219, oi-0.0
2019-07-18, o-1991.02, h-1996, l-1962.2255, c-1965, v-2898302, oi-0.0
2019-07-21, o-1971.14, h-1989, l-1958.26, c-1985.92, v-2574102, oi-0.0
2019-07-22, o-1995.99, h-1997.79, l-1973.13, c-1994.47, v-2309402, oi-0.0
2019-07-23, o-1969.3, h-2001.2, l-1965.87, c-2001.04, v-2306251, oi-0.0
2019-07-24, o-2001, h-2001.2, l-1972.72, c-1975.02, v-2871851, oi-0.0
2019-07-25, o-1942, h-1950.895, l-1924.51, c-1943.05, v-4535583, oi-0.0
2019-07-28, o-1930, h-1932.226, l-1890.54, c-1912.87, v-4140433, oi-0.0
2019-07-29, o-1891.98, h-1909.89, l-1883.48, c-1899.22, v-2709016, oi-0.0
2019-07-30, o-1898.11, h-1899.55, l-1849.44, c-1866.39, v-4056598, oi-0.0
2019-07-31, o-1872.35, h-1897.92, l-1844.01, c-1855.33, v-4444048, oi-0.0
2019-08-01, o-1845.07, h-1846.3634, l-1808.02, c-1823.52, v-3812376, oi-0.0
2019-08-04, o-1771.26, h-1788.6678, l-1748.78, c-1765.13, v-5334410, oi-0.0
2019-08-05, o-1791, h-1793.77, l-1753.4, c-1787.44, v-4598728, oi-0.0
2019-08-06, o-1773.99, h-1798.93, l-1757, c-1793.39, v-4044619, oi-0.0
2019-08-07, o-1806, h-1834.26, l-1798.11, c-1834.26, v-3268663, oi-0.0
2019-08-08, o-1826, h-1831.091, l-1802.22, c-1807.88, v-2495170, oi-0.0
2019-08-11, o-1795.99, h-1800.98, l-1777, c-1784.75, v-2510579, oi-0.0
2019-08-12, o-1781.04, h-1831.7429, l-1780, c-1824.29, v-3656625, oi-0.0
2019-08-13, o-1793.01, h-1795.6514, l-1757.215, c-1762.96, v-4353369, oi-0.0
2019-08-14, o-1781.99, h-1788, l-1761.96, c-1775.41, v-3427389, oi-0.0
2019-08-15, o-1792.89, h-1802.9082, l-1784.5496, c-1791.8, v-2767735, oi-0.0
2019-08-18, o-1818.08, h-1826, l-1812.61, c-1816.83, v-2483931, oi-0.0
2019-08-19, o-1814.5, h-1816.82, l-1799.88, c-1801.35, v-1677671, oi-0.0
2019-08-20, o-1819.39, h-1829.5785, l-1815, c-1823.38, v-1852417, oi-0.0
2019-08-21, o-1827.35, h-1829.4111, l-1800.1, c-1804.25, v-2284144, oi-0.0
2019-08-22, o-1793.03, h-1804.8962, l-1745.23, c-1750.77, v-4622453, oi-0.0
2019-08-25, o-1767.5, h-1770, l-1743.51, c-1770, v-2669759, oi-0.0
2019-08-26, o-1775.73, h-1779.4, l-1746.68, c-1761.92, v-2491245, oi-0.0
2019-08-27, o-1755, h-1767.86, l-1744.0505, c-1764, v-2220361, oi-0.0
2019-08-28, o-1783, h-1798.55, l-1777.25, c-1786.46, v-2683039, oi-0.0
2019-08-29, o-1797.49, h-1799.74, l-1764.57, c-1776.19, v-2577738, oi-0.0
2019-09-02, o-1770, h-1800.8, l-1768, c-1789.51, v-3164026, oi-0.0
2019-09-03, o-1805, h-1807.6309, l-1796.23, c-1800.46, v-2144301, oi-0.0
2019-09-04, o-1821.84, h-1842, l-1815.575, c-1840.73, v-2970700, oi-0.0
2019-09-05, o-1838.22, h-1840.65, l-1826.4, c-1833.51, v-2157266, oi-0.0
2019-09-08, o-1841, h-1850, l-1824.61, c-1831.29, v-2632165, oi-0.0
2019-09-09, o-1822.75, h-1825.81, l-1805.3356, c-1821.31, v-2202645, oi-0.0
2019-09-10, o-1811.97, h-1833.42, l-1809.08, c-1822.49, v-2005996, oi-0.0
2019-09-11, o-1838.1, h-1853.66, l-1834.28, c-1843, v-2521448, oi-0.0
2019-09-12, o-1842.01, h-1846.1215, l-1835.17, c-1839.34, v-1645917, oi-0.0
2019-09-15, o-1824.02, h-1825.6941, l-1800.2, c-1808.23, v-3214425, oi-0.0
2019-09-16, o-1807.2, h-1823.99, l-1804.1, c-1822.62, v-1767317, oi-0.0
2019-09-17, o-1818.13, h-1822.06, l-1795.5, c-1817.59, v-2250447, oi-0.0
2019-09-18, o-1821.06, h-1832.57, l-1817.9, c-1821.54, v-1793657, oi-0.0
2019-09-19, o-1821.71, h-1830.63, l-1780.92, c-1794.89, v-4714413, oi-0.0
2019-09-22, o-1777, h-1792.7, l-1767.32, c-1784.29, v-2557364, oi-0.0
2019-09-23, o-1790.605, h-1795.705, l-1735.545, c-1742.34, v-4199402, oi-0.0
2019-09-24, o-1747.36, h-1773, l-1723, c-1768.08, v-3087299, oi-0.0
2019-09-25, o-1762.79, h-1763.37, l-1731.5, c-1740.12, v-3136278, oi-0.0
2019-09-26, o-1747.8, h-1749.12, l-1713.82, c-1725.85, v-3613379, oi-0.0
2019-09-29, o-1726.99, h-1737.46, l-1709.22, c-1736.12, v-2300015, oi-0.0
2019-09-30, o-1746, h-1755.6, l-1728.41, c-1736.11, v-2721128, oi-0.0
2019-10-01, o-1727.74, h-1728.89, l-1705, c-1713.23, v-2954213, oi-0.0
2019-10-02, o-1713, h-1725, l-1685.06, c-1724.25, v-3105457, oi-0.0
2019-10-03, o-1726.06, h-1740.575, l-1719.23, c-1739.4, v-4348820, oi-0.0
2019-10-06, o-1731.63, h-1747.83, l-1723.7, c-1732.5, v-3700680, oi-0.0
2019-10-07, o-1722.49, h-1727, l-1705, c-1705.25, v-4559696, oi-0.0
2019-10-08, o-1719.61, h-1729.95, l-1714.36, c-1721.79, v-3594275, oi-0.0
2019-10-09, o-1725, h-1738.29, l-1713.75, c-1720.56, v-4724970, oi-0.0
2019-10-10, o-1742.92, h-1745.45, l-1729.86, c-1729.98, v-5936898, oi-0.0
2019-10-13, o-1728.69, h-1741.8887, l-1722, c-1736.5, v-3293125, oi-0.0
2019-10-14, o-1742.14, h-1776.45, l-1740.62, c-1767.35, v-5739023, oi-0.0
2019-10-15, o-1772, h-1786.24, l-1770.521, c-1777.42, v-4891217, oi-0.0
2019-10-16, o-1796, h-1798.85, l-1782.02, c-1787.47, v-4695257, oi-0.0
2019-10-17, o-1787.8, h-1793.98, l-1749.2001, c-1757.79, v-6127556, oi-0.0
2019-10-20, o-1768.63, h-1785.88, l-1765, c-1785.835, v-1771449, oi-0.0
2019-10-21, o-1788.15, h-1789.7799, l-1762, c-1765.34, v-1925469, oi-0.0
2019-10-22, o-1761.3, h-1770.05, l-1742, c-1761.99, v-1920970, oi-0.0
2019-10-23, o-1771.09, h-1788.3379, l-1760.27, c-1781.5935, v-2931765, oi-0.0
2019-10-24, o-1697.55, h-1764.21, l-1695, c-1762, v-8773821, oi-0.0
2019-10-27, o-1750.7, h-1778.7, l-1742.5, c-1777.04, v-3399815, oi-0.0
2019-10-28, o-1775, h-1777, l-1755.81, c-1763.04, v-2063458, oi-0.0
2019-10-29, o-1760.24, h-1782.38, l-1759.115, c-1780, v-2194972, oi-0.0
2019-10-30, o-1775.99, h-1792, l-1771.4753, c-1777.1431, v-2375710, oi-0.0
2019-10-31, o-1788.01, h-1797.445, l-1785.279, c-1791.47, v-2375327, oi-0.0
2019-11-03, o-1801.5, h-1815.06, l-1801.01, c-1805.27, v-2513437, oi-0.0
2019-11-04, o-1809.16, h-1810.25, l-1794, c-1801.7, v-1650756, oi-0.0
2019-11-05, o-1801, h-1802.5, l-1788.58, c-1795.94, v-1790400, oi-0.0
2019-11-06, o-1803.76, h-1805.9, l-1783.48, c-1788.2, v-2365870, oi-0.0
2019-11-07, o-1787.89, h-1789.88, l-1774.04, c-1785.88, v-1930135, oi-0.0
2019-11-10, o-1778.1, h-1780, l-1767.13, c-1771.9, v-1776035, oi-0.0
2019-11-11, o-1774.66, h-1786.22, l-1771.91, c-1778.23, v-1830806, oi-0.0
2019-11-12, o-1773.39, h-1775, l-1747.3217, c-1753.4, v-2777022, oi-0.0
2019-11-13, o-1750.27, h-1766.5931, l-1749.56, c-1754.65, v-2017087, oi-0.0
2019-11-14, o-1760.05, h-1761.68, l-1732.86, c-1739.08, v-3623321, oi-0.0
2019-11-17, o-1738.3, h-1753.7, l-1722.71, c-1752.86, v-2585138, oi-0.0
2019-11-18, o-1756.99, h-1760.68, l-1743.03, c-1753.16, v-1854190, oi-0.0
2019-11-19, o-1749.14, h-1762.524, l-1734.12, c-1746.6335, v-2321723, oi-0.0
2019-11-20, o-1743, h-1746.87, l-1730.36, c-1735, v-2377252, oi-0.0
2019-11-21, o-1739, h-1746.43, l-1731, c-1745.85, v-2165005, oi-0.0
2019-11-24, o-1753.25, h-1777.42, l-1753.24, c-1773.69, v-2906729, oi-0.0
2019-11-25, o-1779.92, h-1797.03, l-1778.35, c-1796.99, v-2708603, oi-0.0
2019-11-26, o-1801, h-1824.5, l-1797.31, c-1818.23, v-2769246, oi-0.0
2019-11-28, o-1817.78, h-1823.98, l-1800.79, c-1800.96, v-1594416, oi-0.0
2019-12-01, o-1804, h-1805.55, l-1762.68, c-1781.61, v-3420336, oi-0.0
2019-12-02, o-1761.13, h-1772.87, l-1747.23, c-1770.33, v-3215969, oi-0.0
2019-12-03, o-1774.01, h-1789.0894, l-1760.2201, c-1760.48, v-2387073, oi-0.0
2019-12-04, o-1763.5, h-1763.5, l-1740, c-1740.48, v-2472575, oi-0.0
2019-12-05, o-1752.33, h-1754.4, l-1740.13, c-1751.59, v-2739956, oi-0.0
2019-12-08, o-1750.66, h-1766.8918, l-1745.61, c-1749.42, v-2123839, oi-0.0
2019-12-09, o-1747.4, h-1750.67, l-1735, c-1739.49, v-2186409, oi-0.0
2019-12-10, o-1741.67, h-1750, l-1735.7102, c-1748.9, v-1716841, oi-0.0
2019-12-11, o-1750.7, h-1764, l-1745.44, c-1760.18, v-2695799, oi-0.0
2019-12-12, o-1765, h-1768.99, l-1755, c-1760.93, v-2377943, oi-0.0
2019-12-15, o-1767, h-1769.5, l-1757.05, c-1769.21, v-2730112, oi-0.0
2019-12-16, o-1778.01, h-1792, l-1777.39, c-1790.66, v-3202975, oi-0.0
2019-12-17, o-1795.45, h-1797.86, l-1782.36, c-1782.36, v-2834170, oi-0.0
2019-12-18, o-1780.5, h-1792.99, l-1774.06, c-1792.29, v-1947166, oi-0.0
2019-12-19, o-1799.64, h-1802.97, l-1782.45, c-1786.57, v-3782377, oi-0.0
2019-12-22, o-1788.26, h-1793, l-1784.51, c-1793, v-1759437, oi-0.0
2019-12-23, o-1793.81, h-1795.57, l-1787.575, c-1789.63, v-800738, oi-0.0
2019-12-25, o-1801.2, h-1870.46, l-1799.5, c-1869.02, v-6125518, oi-0.0
2019-12-26, o-1882.92, h-1901.4, l-1866.01, c-1869.26, v-5755838, oi-0.0
2019-12-29, o-1874, h-1884, l-1840.62, c-1847.18, v-3444132, oi-0.0
2019-12-30, o-1841.99, h-1853.26, l-1832.23, c-1847.64, v-2138549, oi-0.0
2020-01-01, o-1874.79, h-1898, l-1864.15, c-1897.71, v-3583611, oi-0.0
2020-01-02, o-1864.5, h-1886.1965, l-1864.5, c-1874.93, v-3293469, oi-0.0
2020-01-05, o-1860, h-1903.69, l-1860, c-1903.33, v-3598872, oi-0.0
2020-01-06, o-1904.5, h-1913.89, l-1892.0433, c-1906.86, v-3569706, oi-0.0
2020-01-07, o-1898.68, h-1910.9999, l-1886.4448, c-1892.09, v-3100021, oi-0.0
2020-01-08, o-1909.89, h-1917.82, l-1895.8038, c-1901, v-2913887, oi-0.0
2020-01-09, o-1905.37, h-1906.94, l-1880, c-1882.98, v-2652859, oi-0.0
