Date, Open, High, Low, Close, Volume, Open Interest
2017-05-31, o-126.92, h-127.89, l-125.44, c-127.8525, v-602083, oi-0.0
2017-06-01, o-128.65, h-129.53, l-128.46, c-129.49, v-262438, oi-0.0
2017-06-04, o-129.2, h-129.85, l-128.731, c-129.54, v-188308, oi-0.0
2017-06-05, o-128.89, h-129.62, l-128.03, c-128.4, v-479455, oi-0.0
2017-06-06, o-128.93, h-129.26, l-127.74, c-128.34, v-376220, oi-0.0
2017-06-07, o-128.53, h-128.75, l-126, c-126.96, v-440285, oi-0.0
2017-06-08, o-127.3, h-127.66, l-122.89, c-124.52, v-403145, oi-0.0
2017-06-11, o-123.64, h-124.12, l-120, c-122.39, v-890698, oi-0.0
2017-06-12, o-122.69, h-122.725, l-121.01, c-122.48, v-517996, oi-0.0
2017-06-13, o-122.66, h-124.24, l-121.69, c-122.74, v-627624, oi-0.0
2017-06-14, o-121.56, h-121.9313, l-119.34, c-121.08, v-697720, oi-0.0
2017-06-15, o-120.82, h-122, l-120.44, c-121.77, v-1032197, oi-0.0
2017-06-18, o-122.76, h-124.37, l-122.13, c-122.59, v-562457, oi-0.0
2017-06-19, o-122.22, h-124.54, l-120.3, c-120.95, v-615248, oi-0.0
2017-06-20, o-121.11, h-122.84, l-120.94, c-122.37, v-578100, oi-0.0
2017-06-21, o-122.54, h-123.28, l-121.53, c-122.65, v-278127, oi-0.0
2017-06-22, o-122.5, h-123.46, l-122.19, c-122.52, v-452640, oi-0.0
2017-06-25, o-122.83, h-123.805, l-122.335, c-122.78, v-237528, oi-0.0
2017-06-26, o-122.87, h-123.36, l-121.13, c-121.27, v-420383, oi-0.0
2017-06-27, o-121.9, h-122.47, l-120.94, c-122.04, v-423918, oi-0.0
2017-06-28, o-121.98, h-122.98, l-119.93, c-120.42, v-385664, oi-0.0
2017-06-29, o-120.63, h-122.39, l-120.63, c-121.65, v-847736, oi-0.0
2017-07-02, o-122.31, h-123.99, l-120.34, c-120.45, v-282198, oi-0.0
2017-07-04, o-120.58, h-121.24, l-119.75, c-120.87, v-438822, oi-0.0
2017-07-05, o-120.15, h-121.43, l-119.85, c-120.93, v-225430, oi-0.0
2017-07-06, o-121.31, h-123.04, l-121.24, c-122.39, v-175526, oi-0.0
2017-07-09, o-122.49, h-123.38, l-121.8, c-122.26, v-232812, oi-0.0
2017-07-10, o-122.39, h-123.17, l-121.92, c-122.82, v-174905, oi-0.0
2017-07-11, o-123.66, h-124.94, l-123.33, c-124.66, v-208360, oi-0.0
2017-07-12, o-124.87, h-125.17, l-123.53, c-124.48, v-215223, oi-0.0
2017-07-13, o-124.42, h-124.69, l-123.53, c-124.59, v-213716, oi-0.0
2017-07-16, o-124.41, h-125.14, l-123.83, c-124.67, v-272675, oi-0.0
2017-07-17, o-124.9, h-125.13, l-124.0738, c-125.021, v-215159, oi-0.0
2017-07-18, o-125.14, h-126.32, l-124.66, c-126.18, v-236976, oi-0.0
2017-07-19, o-126.2, h-126.335, l-125.322, c-126.03, v-166400, oi-0.0
2017-07-20, o-125.85, h-127.14, l-125.36, c-126.67, v-165164, oi-0.0
2017-07-23, o-126.55, h-127.59, l-126.3901, c-127.42, v-163053, oi-0.0
2017-07-24, o-127.55, h-128.6, l-127.2501, c-127.91, v-159302, oi-0.0
2017-07-25, o-128.26, h-128.56, l-127.39, c-127.87, v-144778, oi-0.0
2017-07-26, o-128.23, h-128.57, l-126.95, c-127.58, v-283710, oi-0.0
2017-07-27, o-127.25, h-128.99, l-126.75, c-128.41, v-154034, oi-0.0
2017-07-30, o-128.8, h-129.85, l-128.41, c-129.55, v-316090, oi-0.0
2017-07-31, o-129.52, h-131.63, l-129.025, c-130.2, v-442007, oi-0.0
2017-08-01, o-130.45, h-130.45, l-126.72, c-127.4, v-511190, oi-0.0
2017-08-02, o-123.84, h-126.1386, l-121.3722, c-123.34, v-973922, oi-0.0
2017-08-03, o-124.02, h-125.45, l-123.55, c-124.32, v-355771, oi-0.0
2017-08-06, o-124.47, h-125.26, l-123.84, c-124.97, v-170798, oi-0.0
2017-08-07, o-124.91, h-127.69, l-124.34, c-124.43, v-157675, oi-0.0
2017-08-08, o-123.98, h-125.07, l-123.525, c-124.76, v-158763, oi-0.0
2017-08-09, o-124.42, h-124.755, l-122.65, c-122.7, v-266836, oi-0.0
2017-08-10, o-123.23, h-123.84, l-122.45, c-122.97, v-229518, oi-0.0
2017-08-13, o-124.04, h-125.38, l-123.925, c-125.2, v-182796, oi-0.0
2017-08-14, o-125.72, h-126.32, l-124.92, c-126.06, v-191320, oi-0.0
2017-08-15, o-126.5, h-128.72, l-125.92, c-128.53, v-318419, oi-0.0
2017-08-16, o-128.42, h-128.91, l-125.5, c-125.52, v-235980, oi-0.0
2017-08-17, o-125.53, h-126.31, l-124.38, c-125.58, v-192173, oi-0.0
2017-08-20, o-125.77, h-126.95, l-125.08, c-126.55, v-163051, oi-0.0
2017-08-21, o-127, h-129.34, l-126.87, c-129, v-201934, oi-0.0
2017-08-22, o-127.81, h-128.94, l-127.2, c-127.24, v-301866, oi-0.0
2017-08-23, o-127.43, h-127.88, l-126.34, c-127.1, v-161907, oi-0.0
2017-08-24, o-127.93, h-128.55, l-127.3, c-127.79, v-125525, oi-0.0
2017-08-27, o-128.1, h-128.48, l-127.19, c-127.63, v-138342, oi-0.0
2017-08-28, o-127.16, h-127.16, l-126.04, c-126.56, v-220126, oi-0.0
2017-08-29, o-126.23, h-127.95, l-126.1301, c-127.92, v-169249, oi-0.0
2017-08-30, o-128.39, h-128.89, l-127.43, c-128.82, v-267043, oi-0.0
2017-08-31, o-128.57, h-129.57, l-127.71, c-128.09, v-255664, oi-0.0
2017-09-04, o-128, h-128.52, l-126.93, c-128.48, v-222501, oi-0.0
2017-09-05, o-128.67, h-128.99, l-127.22, c-127.69, v-202507, oi-0.0
2017-09-06, o-128.17, h-128.88, l-127.64, c-128.46, v-155789, oi-0.0
2017-09-07, o-128.31, h-129.115, l-127.87, c-128.455, v-159580, oi-0.0
2017-09-10, o-129.28, h-130.46, l-128.39, c-129.81, v-306706, oi-0.0
2017-09-11, o-129.49, h-132.07, l-129.14, c-132.01, v-273608, oi-0.0
2017-09-12, o-131.68, h-132.74, l-131.34, c-131.5, v-233839, oi-0.0
2017-09-13, o-131.43, h-131.43, l-128.96, c-129.14, v-388145, oi-0.0
2017-09-14, o-129.08, h-129.08, l-120.79, c-121.79, v-1238661, oi-0.0
2017-09-17, o-121.78, h-123.83, l-121.37, c-123.57, v-424997, oi-0.0
2017-09-18, o-123.3, h-123.84, l-122.31, c-123.42, v-635377, oi-0.0
2017-09-19, o-123.5, h-124.37, l-122.52, c-122.97, v-584408, oi-0.0
2017-09-20, o-123, h-123.21, l-120.33, c-120.81, v-501029, oi-0.0
2017-09-21, o-120.3, h-122.26, l-120.08, c-122, v-383178, oi-0.0
2017-09-24, o-121.82, h-122.13, l-119.49, c-120.74, v-397221, oi-0.0
2017-09-25, o-121, h-121.15, l-119.2, c-120.65, v-281282, oi-0.0
2017-09-26, o-121, h-121.45, l-119.78, c-120.89, v-427185, oi-0.0
2017-09-27, o-120.38, h-121.95, l-120.38, c-121.6, v-422114, oi-0.0
2017-09-28, o-121.67, h-122.83, l-121.3408, c-122.73, v-272409, oi-0.0
2017-10-01, o-123.16, h-124.59, l-123.16, c-123.79, v-236997, oi-0.0
2017-10-02, o-123.73, h-124.87, l-123.62, c-124.635, v-208271, oi-0.0
2017-10-03, o-124.31, h-124.69, l-124, c-124.52, v-305331, oi-0.0
2017-10-04, o-125.21, h-125.28, l-124.3, c-125.23, v-238265, oi-0.0
2017-10-05, o-125.12, h-126.21, l-124.13, c-126.03, v-275596, oi-0.0
2017-10-08, o-125.95, h-126.37, l-125.19, c-126.08, v-132541, oi-0.0
2017-10-09, o-126.66, h-126.875, l-125.775, c-126.21, v-145394, oi-0.0
2017-10-10, o-126.3, h-127.27, l-125.91, c-127.14, v-221612, oi-0.0
2017-10-11, o-127.11, h-129.78, l-126.88, c-129.24, v-346260, oi-0.0
2017-10-12, o-129.82, h-130.255, l-129.34, c-129.94, v-182137, oi-0.0
2017-10-15, o-130.15, h-131.48, l-129.585, c-131.31, v-300804, oi-0.0
2017-10-16, o-131.24, h-131.86, l-129.1, c-129.71, v-282709, oi-0.0
2017-10-17, o-130.22, h-130.31, l-129.39, c-129.58, v-225009, oi-0.0
2017-10-18, o-129.36, h-129.92, l-127.68, c-129.88, v-315463, oi-0.0
2017-10-19, o-130.26, h-131.04, l-129.505, c-130.94, v-313662, oi-0.0
2017-10-22, o-131.44, h-132.47, l-131.05, c-131.25, v-113825, oi-0.0
2017-10-23, o-131.31, h-132.14, l-130.451, c-132.08, v-125125, oi-0.0
2017-10-24, o-131.61, h-133.4, l-131.38, c-132.89, v-179113, oi-0.0
