Date, Open, High, Low, Close, Volume, Open Interest
2021-05-17, o-626.755, h-627.225, l-626.45, c-627.225, v-1084, oi-0.0
2021-05-17, o-627.195, h-628.53, l-627.195, c-628.53, v-768, oi-0.0
2021-05-17, o-628.71, h-628.71, l-628.71, c-628.71, v-103, oi-0.0
2021-05-17, o-628.95, h-629.75, l-628.95, c-629.75, v-515, oi-0.0
2021-05-17, o-629.54, h-630.68, l-629.535, c-630.545, v-600, oi-0.0
2021-05-17, o-630.545, h-631.31, l-630.545, c-631.31, v-1009, oi-0.0
2021-05-17, o-631.34, h-631.37, l-630.96, c-630.96, v-1340, oi-0.0
2021-05-17, o-630.815, h-630.815, l-630.045, c-630.045, v-859, oi-0.0
2021-05-17, o-629.99, h-630.59, l-629.39, c-630.59, v-1754, oi-0.0
2021-05-17, o-631.265, h-632.53, l-631.05, c-632.53, v-2451, oi-0.0
2021-05-17, o-632.71, h-632.76, l-631.92, c-632.76, v-1373, oi-0.0
2021-05-17, o-633, h-633.9, l-632.685, c-633.9, v-1453, oi-0.0
2021-05-17, o-633.06, h-633.68, l-632.77, c-633.68, v-929, oi-0.0
2021-05-17, o-633.56, h-634.9, l-633.56, c-634.9, v-2982, oi-0.0
2021-05-17, o-635.225, h-635.43, l-634.48, c-635.22, v-4834, oi-0.0
2021-05-18, o-640.63, h-641.37, l-637.09, c-637.41, v-4032, oi-0.0
2021-05-18, o-637.27, h-639.26, l-637.27, c-638.87, v-995, oi-0.0
2021-05-18, o-639.66, h-639.66, l-638.54, c-638.54, v-437, oi-0.0
2021-05-18, o-637.8, h-637.8, l-636.87, c-636.87, v-667, oi-0.0
2021-05-18, o-637.335, h-638.73, l-637.335, c-638.71, v-433, oi-0.0
2021-05-18, o-639.19, h-640.52, l-639.01, c-640.52, v-734, oi-0.0
2021-05-18, o-638.7, h-638.7, l-638.7, c-638.7, v-377, oi-0.0
2021-05-18, o-640.13, h-640.13, l-639.77, c-639.77, v-558, oi-0.0
2021-05-18, o-640.34, h-640.34, l-640.34, c-640.34, v-125, oi-0.0
2021-05-18, o-639.99, h-641.27, l-639.895, c-641.27, v-714, oi-0.0
2021-05-18, o-641.28, h-642.07, l-641.28, c-642.07, v-336, oi-0.0
2021-05-18, o-643.49, h-643.5, l-642.28, c-642.28, v-970, oi-0.0
2021-05-18, o-642.43, h-642.45, l-642.43, c-642.45, v-370, oi-0.0
2021-05-18, o-643.04, h-643.04, l-643.04, c-643.04, v-133, oi-0.0
2021-05-18, o-642.88, h-643.07, l-641.41, c-641.41, v-658, oi-0.0
2021-05-18, o-640.86, h-641.14, l-640.76, c-641.12, v-501, oi-0.0
2021-05-18, o-641.86, h-641.86, l-640.755, c-640.755, v-410, oi-0.0
2021-05-18, o-640.905, h-641.33, l-640.905, c-641.33, v-993, oi-0.0
2021-05-18, o-640.625, h-641.61, l-640.625, c-641.61, v-1002, oi-0.0
2021-05-18, o-641.63, h-642.11, l-641.63, c-642.11, v-798, oi-0.0
2021-05-18, o-641.61, h-641.61, l-641.61, c-641.61, v-172, oi-0.0
2021-05-18, o-640.93, h-640.97, l-640.93, c-640.97, v-233, oi-0.0
2021-05-18, o-638.29, h-638.29, l-638.29, c-638.29, v-100, oi-0.0
2021-05-18, o-637.76, h-637.85, l-636.84, c-636.84, v-518, oi-0.0
2021-05-18, o-637.64, h-637.64, l-637.64, c-637.64, v-233, oi-0.0
2021-05-18, o-637.84, h-637.84, l-637.84, c-637.84, v-100, oi-0.0
2021-05-18, o-636.96, h-636.96, l-636.96, c-636.96, v-100, oi-0.0
2021-05-18, o-636.8, h-637.04, l-636.8, c-637.04, v-599, oi-0.0
2021-05-18, o-639.59, h-639.6, l-639.19, c-639.19, v-700, oi-0.0
2021-05-18, o-639.5, h-639.5, l-639.5, c-639.5, v-279, oi-0.0
2021-05-18, o-639.4, h-639.4, l-638.78, c-638.78, v-642, oi-0.0
2021-05-18, o-638.88, h-638.88, l-638.88, c-638.88, v-148, oi-0.0
2021-05-18, o-638.41, h-638.41, l-638.38, c-638.38, v-273, oi-0.0
2021-05-18, o-638.655, h-638.655, l-637.87, c-637.87, v-356, oi-0.0
2021-05-18, o-637.78, h-638.01, l-637.78, c-638.01, v-502, oi-0.0
2021-05-18, o-637.6, h-637.6, l-637.6, c-637.6, v-100, oi-0.0
2021-05-18, o-638.6, h-638.6, l-638.57, c-638.57, v-448, oi-0.0
2021-05-18, o-638.14, h-638.465, l-637.81, c-637.81, v-1036, oi-0.0
2021-05-18, o-638.15, h-638.15, l-637.58, c-637.58, v-437, oi-0.0
2021-05-18, o-638.085, h-638.25, l-638.085, c-638.25, v-216, oi-0.0
2021-05-18, o-639.08, h-639.08, l-639.08, c-639.08, v-259, oi-0.0
2021-05-18, o-638.49, h-638.49, l-638.49, c-638.49, v-139, oi-0.0
2021-05-18, o-636.67, h-636.67, l-636.67, c-636.67, v-408, oi-0.0
2021-05-18, o-634.47, h-635.47, l-634.47, c-635.47, v-240, oi-0.0
2021-05-18, o-635.08, h-635.08, l-633.51, c-633.51, v-359, oi-0.0
2021-05-18, o-633.38, h-633.38, l-633.38, c-633.38, v-100, oi-0.0
2021-05-18, o-635.04, h-635.04, l-634.76, c-634.76, v-200, oi-0.0
2021-05-18, o-635.735, h-635.895, l-635.67, c-635.895, v-705, oi-0.0
2021-05-18, o-636.325, h-636.325, l-636.325, c-636.325, v-329, oi-0.0
2021-05-18, o-635.265, h-635.615, l-635.265, c-635.59, v-591, oi-0.0
2021-05-18, o-635.56, h-636.29, l-635.56, c-636.29, v-336, oi-0.0
2021-05-18, o-637.08, h-637.08, l-636.75, c-636.75, v-200, oi-0.0
2021-05-18, o-637.47, h-637.47, l-637.47, c-637.47, v-284, oi-0.0
2021-05-18, o-637.09, h-637.09, l-637.09, c-637.09, v-101, oi-0.0
2021-05-18, o-636.21, h-636.21, l-635.82, c-635.82, v-801, oi-0.0
2021-05-18, o-634.57, h-634.74, l-633.29, c-633.29, v-1165, oi-0.0
2021-05-18, o-633.08, h-633.74, l-631.8, c-631.8, v-2215, oi-0.0
2021-05-19, o-608.01, h-609.24, l-607.97, c-609.24, v-804, oi-0.0
2021-05-19, o-614.63, h-614.63, l-609.75, c-609.75, v-1988, oi-0.0
2021-05-19, o-610.15, h-611.03, l-607.8, c-610.72, v-2228, oi-0.0
2021-05-19, o-610.74, h-610.74, l-608.5, c-610.34, v-784, oi-0.0
2021-05-19, o-611.47, h-613.23, l-611.47, c-613.23, v-1105, oi-0.0
2021-05-19, o-612.16, h-614.01, l-612.16, c-613.46, v-778, oi-0.0
2021-05-19, o-612.885, h-612.885, l-610.48, c-610.48, v-1028, oi-0.0
2021-05-19, o-610.91, h-612.54, l-610.1, c-612.54, v-773, oi-0.0
2021-05-19, o-609.92, h-611.65, l-609.5, c-611.09, v-943, oi-0.0
2021-05-19, o-609.68, h-611.35, l-609.68, c-611.35, v-412, oi-0.0
2021-05-19, o-612.85, h-612.91, l-612.85, c-612.91, v-200, oi-0.0
2021-05-19, o-617.81, h-617.81, l-617.81, c-617.81, v-173, oi-0.0
2021-05-19, o-617.19, h-618.46, l-615.66, c-615.66, v-1890, oi-0.0
2021-05-19, o-616.44, h-616.44, l-614.205, c-614.49, v-1151, oi-0.0
2021-05-19, o-613.23, h-616.34, l-613.23, c-616.34, v-1022, oi-0.0
2021-05-19, o-616.83, h-616.83, l-616.83, c-616.83, v-133, oi-0.0
