Date, Open, High, Low, Close, Volume, Open Interest
2021-05-25, o-456.8, h-457.79, l-456.58, c-457.79, v-929, oi-0.0
2021-05-25, o-457.26, h-457.26, l-457.26, c-457.26, v-286, oi-0.0
2021-05-25, o-458.83, h-458.83, l-458.83, c-458.83, v-169, oi-0.0
2021-05-25, o-458.78, h-458.78, l-458.27, c-458.41, v-1336, oi-0.0
2021-05-25, o-458.18, h-458.18, l-458.18, c-458.18, v-146, oi-0.0
2021-05-25, o-457.685, h-458.27, l-457.685, c-458.27, v-261, oi-0.0
2021-05-25, o-459.18, h-459.33, l-459.18, c-459.33, v-235, oi-0.0
2021-05-25, o-459.17, h-459.17, l-458.69, c-458.69, v-310, oi-0.0
2021-05-25, o-459.22, h-459.22, l-459.22, c-459.22, v-300, oi-0.0
2021-05-25, o-458.82, h-458.885, l-458.77, c-458.885, v-318, oi-0.0
2021-05-25, o-459.22, h-460.05, l-459.22, c-459.91, v-890, oi-0.0
2021-05-25, o-459.77, h-460.32, l-459.49, c-460.06, v-1399, oi-0.0
2021-05-25, o-459.84, h-459.945, l-459.66, c-459.66, v-981, oi-0.0
2021-05-25, o-459.54, h-459.54, l-459.09, c-459.09, v-412, oi-0.0
2021-05-25, o-458.53, h-459.17, l-458.5, c-459.05, v-1771, oi-0.0
2021-05-25, o-458.84, h-458.95, l-458.52, c-458.95, v-2202, oi-0.0
2021-05-25, o-458.99, h-459.97, l-458.39, c-459.71, v-6233, oi-0.0
2021-05-26, o-461.37, h-461.94, l-460.095, c-460.095, v-2468, oi-0.0
2021-05-26, o-459.785, h-459.785, l-457.7, c-457.7, v-748, oi-0.0
2021-05-26, o-457.09, h-458.42, l-456.76, c-457.73, v-1326, oi-0.0
2021-05-26, o-458.38, h-458.73, l-458.06, c-458.25, v-1198, oi-0.0
2021-05-26, o-458.37, h-459.205, l-458.37, c-458.92, v-2896, oi-0.0
2021-05-26, o-459.15, h-459.15, l-458.15, c-458.35, v-2434, oi-0.0
2021-05-26, o-457.55, h-457.86, l-456.96, c-457.86, v-1565, oi-0.0
2021-05-26, o-458.145, h-458.145, l-456.39, c-456.66, v-2483, oi-0.0
2021-05-26, o-456.63, h-456.72, l-455.595, c-456.71, v-2235, oi-0.0
