Date, Open, High, Low, Close, Volume, Open Interest
2021-05-12, o-185.825, h-185.825, l-185.17, c-185.17, v-3324, oi-0.0
2021-05-12, o-185.18, h-185.48, l-185.02, c-185.48, v-4628, oi-0.0
2021-05-12, o-185.89, h-185.95, l-185.79, c-185.91, v-1566, oi-0.0
2021-05-12, o-185.59, h-185.97, l-185.47, c-185.97, v-3235, oi-0.0
2021-05-12, o-185.66, h-185.66, l-185.34, c-185.45, v-1194, oi-0.0
2021-05-12, o-185.52, h-186.29, l-185.52, c-186.29, v-2004, oi-0.0
2021-05-12, o-186.14, h-186.23, l-185.54, c-185.79, v-1440, oi-0.0
2021-05-12, o-185.81, h-185.95, l-185.43, c-185.51, v-2275, oi-0.0
2021-05-12, o-185.45, h-185.88, l-185.31, c-185.33, v-4063, oi-0.0
2021-05-12, o-185.22, h-185.35, l-185.02, c-185.05, v-4514, oi-0.0
2021-05-12, o-185.07, h-185.62, l-185.07, c-185.28, v-1636, oi-0.0
2021-05-12, o-185.21, h-185.43, l-185.06, c-185.06, v-2045, oi-0.0
2021-05-12, o-185.08, h-185.08, l-184.67, c-184.75, v-4078, oi-0.0
2021-05-12, o-184.76, h-184.76, l-184.19, c-184.19, v-3299, oi-0.0
2021-05-12, o-184.17, h-184.18, l-183.88, c-183.88, v-1396, oi-0.0
2021-05-12, o-183.61, h-183.9, l-183.54, c-183.9, v-2512, oi-0.0
2021-05-12, o-183.92, h-184.26, l-183.89, c-184, v-2878, oi-0.0
2021-05-12, o-184.29, h-184.35, l-183.86, c-183.86, v-1436, oi-0.0
2021-05-12, o-183.56, h-183.73, l-183.37, c-183.38, v-2052, oi-0.0
2021-05-12, o-183.34, h-183.34, l-183.11, c-183.11, v-2914, oi-0.0
2021-05-12, o-183.13, h-183.41, l-182.97, c-183.4, v-2803, oi-0.0
2021-05-12, o-183.61, h-183.64, l-182.73, c-183.2, v-3466, oi-0.0
2021-05-12, o-182.79, h-183.48, l-182.67, c-183.38, v-2535, oi-0.0
2021-05-12, o-183.38, h-183.51, l-183.09, c-183.51, v-2039, oi-0.0
2021-05-12, o-183.16, h-183.99, l-183.16, c-183.97, v-3167, oi-0.0
2021-05-12, o-183.69, h-184.21, l-183.66, c-184.07, v-2779, oi-0.0
2021-05-12, o-184.05, h-184.52, l-183.93, c-184.52, v-3001, oi-0.0
2021-05-12, o-184.35, h-184.7, l-184.345, c-184.57, v-3221, oi-0.0
2021-05-12, o-184.3, h-184.3, l-183.97, c-184, v-3918, oi-0.0
2021-05-12, o-183.59, h-183.79, l-183.37, c-183.37, v-751, oi-0.0
2021-05-12, o-183.45, h-183.45, l-183.23, c-183.37, v-1248, oi-0.0
2021-05-12, o-183.21, h-183.42, l-183.16, c-183.42, v-2134, oi-0.0
2021-05-12, o-183.29, h-183.47, l-183.19, c-183.45, v-3224, oi-0.0
2021-05-12, o-183.615, h-183.67, l-183.11, c-183.11, v-3685, oi-0.0
2021-05-12, o-183.22, h-183.47, l-183, c-183.32, v-4137, oi-0.0
2021-05-12, o-183.24, h-183.71, l-183.24, c-183.55, v-7527, oi-0.0
2021-05-12, o-183.455, h-183.47, l-183.18, c-183.18, v-3551, oi-0.0
2021-05-12, o-183.11, h-183.35, l-183.06, c-183.285, v-3774, oi-0.0
2021-05-12, o-183.34, h-183.6, l-183.3, c-183.38, v-6081, oi-0.0
2021-05-12, o-183.31, h-183.48, l-182.71, c-182.97, v-17930, oi-0.0
2021-05-12, o-183, h-183.505, l-182.89, c-183.31, v-17995, oi-0.0
2021-05-13, o-185, h-185, l-185, c-185, v-224, oi-0.0
2021-05-13, o-186.79, h-189.425, l-186.09, c-186.09, v-15307, oi-0.0
2021-05-13, o-186.02, h-186.45, l-185.11, c-185.18, v-12014, oi-0.0
2021-05-13, o-185.235, h-185.235, l-184.26, c-184.99, v-11680, oi-0.0
2021-05-13, o-184.935, h-185.355, l-182.75, c-183.035, v-14644, oi-0.0
2021-05-13, o-183.085, h-185.375, l-182.87, c-185.375, v-15350, oi-0.0
2021-05-13, o-185.25, h-186.4, l-185.24, c-186.11, v-5191, oi-0.0
2021-05-13, o-186.16, h-186.86, l-186.05, c-186.14, v-5937, oi-0.0
2021-05-13, o-186.09, h-186.34, l-185.71, c-186.295, v-7090, oi-0.0
2021-05-13, o-185.795, h-186.205, l-185.4, c-185.4, v-8434, oi-0.0
2021-05-13, o-185.505, h-185.59, l-184.55, c-184.595, v-5031, oi-0.0
2021-05-13, o-184.485, h-184.78, l-184.17, c-184.74, v-5817, oi-0.0
2021-05-13, o-184.66, h-184.785, l-183.96, c-184.29, v-6310, oi-0.0
2021-05-13, o-184.48, h-184.72, l-184.31, c-184.72, v-3832, oi-0.0
2021-05-13, o-184.67, h-184.67, l-183.515, c-183.52, v-8439, oi-0.0
2021-05-13, o-183.505, h-183.51, l-183.27, c-183.285, v-4999, oi-0.0
2021-05-13, o-183.2, h-183.61, l-183.12, c-183.265, v-2345, oi-0.0
2021-05-13, o-183.21, h-183.785, l-183.21, c-183.645, v-7477, oi-0.0
2021-05-13, o-183.605, h-184.155, l-183.605, c-183.96, v-9449, oi-0.0
2021-05-13, o-183.88, h-183.91, l-182.15, c-182.15, v-4906, oi-0.0
2021-05-13, o-182.13, h-182.385, l-181.71, c-182.385, v-6052, oi-0.0
2021-05-13, o-182.22, h-182.42, l-181.96, c-181.96, v-4437, oi-0.0
2021-05-13, o-181.89, h-182.09, l-181.765, c-181.9, v-5659, oi-0.0
2021-05-13, o-181.82, h-181.99, l-181.53, c-181.99, v-2365, oi-0.0
2021-05-13, o-181.83, h-181.83, l-181.42, c-181.43, v-2184, oi-0.0
2021-05-13, o-181.62, h-181.68, l-181.01, c-181.67, v-4075, oi-0.0
2021-05-13, o-181.56, h-182.55, l-181.56, c-182.55, v-6066, oi-0.0
2021-05-13, o-182.63, h-182.72, l-181.5, c-181.5, v-5442, oi-0.0
2021-05-13, o-181.24, h-181.38, l-181.08, c-181.38, v-1368, oi-0.0
2021-05-13, o-181.56, h-181.685, l-181.12, c-181.12, v-2051, oi-0.0
2021-05-13, o-181.49, h-181.49, l-180.25, c-180.25, v-5500, oi-0.0
2021-05-13, o-180.45, h-181.33, l-180.4, c-180.81, v-3770, oi-0.0
2021-05-13, o-180.635, h-181.1, l-180.635, c-181.1, v-4677, oi-0.0
2021-05-13, o-181.51, h-181.93, l-181.51, c-181.8, v-3394, oi-0.0
2021-05-13, o-181.7, h-181.745, l-181.35, c-181.45, v-2296, oi-0.0
2021-05-13, o-181.715, h-181.715, l-181.04, c-181.15, v-2595, oi-0.0
2021-05-13, o-181.46, h-181.8, l-181.41, c-181.8, v-2482, oi-0.0
2021-05-13, o-181.77, h-182.4, l-181.77, c-182.31, v-5133, oi-0.0
2021-05-13, o-182.34, h-182.34, l-181.97, c-181.97, v-5931, oi-0.0
2021-05-13, o-181.86, h-181.86, l-181.41, c-181.47, v-5500, oi-0.0
2021-05-13, o-181.64, h-181.88, l-181.475, c-181.88, v-4179, oi-0.0
2021-05-13, o-181.79, h-181.79, l-180.525, c-180.525, v-4032, oi-0.0
2021-05-13, o-180.4, h-180.4, l-179.72, c-180.19, v-2849, oi-0.0
2021-05-13, o-179.99, h-180.1, l-179.695, c-180.07, v-3101, oi-0.0
