Date, Open, High, Low, Close, Volume, Open Interest
2021-05-18, o-279.84, h-279.84, l-279.84, c-279.84, v-332, oi-0.0
2021-05-18, o-279.86, h-279.86, l-279.86, c-279.86, v-274, oi-0.0
2021-05-18, o-279.53, h-279.53, l-279.43, c-279.43, v-420, oi-0.0
2021-05-18, o-279.06, h-279.06, l-279.06, c-279.06, v-352, oi-0.0
2021-05-18, o-279.01, h-279.01, l-279.01, c-279.01, v-141, oi-0.0
2021-05-18, o-279.48, h-279.48, l-279.47, c-279.47, v-354, oi-0.0
2021-05-18, o-279.48, h-279.48, l-279.48, c-279.48, v-100, oi-0.0
2021-05-18, o-279.505, h-279.505, l-279.505, c-279.505, v-109, oi-0.0
2021-05-18, o-279.745, h-279.745, l-279.745, c-279.745, v-277, oi-0.0
2021-05-18, o-279.56, h-279.56, l-279.4, c-279.42, v-432, oi-0.0
2021-05-18, o-279.4, h-279.55, l-279.4, c-279.47, v-515, oi-0.0
2021-05-18, o-279.42, h-279.54, l-279.42, c-279.49, v-603, oi-0.0
2021-05-18, o-279.38, h-279.39, l-279.38, c-279.39, v-200, oi-0.0
2021-05-18, o-279.34, h-279.34, l-279.34, c-279.34, v-100, oi-0.0
2021-05-18, o-279.37, h-279.37, l-279.37, c-279.37, v-122, oi-0.0
2021-05-18, o-279.46, h-279.46, l-279.46, c-279.46, v-127, oi-0.0
2021-05-18, o-279.46, h-279.46, l-279.46, c-279.46, v-140, oi-0.0
2021-05-18, o-279.65, h-279.65, l-279.65, c-279.65, v-107, oi-0.0
2021-05-18, o-279.73, h-279.79, l-279.73, c-279.74, v-511, oi-0.0
2021-05-18, o-279.7, h-279.7, l-279.7, c-279.7, v-217, oi-0.0
2021-05-18, o-281.3, h-281.3, l-281.3, c-281.3, v-102, oi-0.0
2021-05-18, o-282.18, h-282.18, l-282.18, c-282.18, v-148, oi-0.0
2021-05-18, o-282.1, h-282.1, l-282.1, c-282.1, v-264, oi-0.0
2021-05-18, o-282.89, h-282.89, l-282.89, c-282.89, v-103, oi-0.0
2021-05-18, o-282.5, h-282.5, l-282.5, c-282.5, v-234, oi-0.0
2021-05-18, o-282.08, h-282.08, l-282.08, c-282.08, v-361, oi-0.0
2021-05-18, o-282.49, h-282.49, l-282.34, c-282.34, v-239, oi-0.0
2021-05-18, o-282.53, h-282.53, l-282.52, c-282.52, v-200, oi-0.0
2021-05-18, o-282.58, h-282.58, l-282.58, c-282.58, v-101, oi-0.0
2021-05-18, o-282.47, h-282.47, l-282.47, c-282.47, v-228, oi-0.0
2021-05-18, o-282.36, h-282.36, l-282.36, c-282.36, v-105, oi-0.0
2021-05-18, o-282.25, h-282.25, l-282.25, c-282.25, v-178, oi-0.0
2021-05-18, o-282.15, h-282.15, l-282.15, c-282.15, v-101, oi-0.0
2021-05-18, o-281.935, h-281.935, l-281.935, c-281.935, v-105, oi-0.0
2021-05-18, o-282.53, h-282.53, l-282.49, c-282.49, v-224, oi-0.0
2021-05-18, o-282.34, h-282.34, l-282.07, c-282.07, v-448, oi-0.0
2021-05-18, o-282.01, h-282.01, l-282.01, c-282.01, v-137, oi-0.0
2021-05-18, o-282.08, h-282.08, l-282.08, c-282.08, v-102, oi-0.0
2021-05-18, o-282.1, h-282.1, l-282.1, c-282.1, v-334, oi-0.0
2021-05-18, o-281.92, h-281.92, l-281.92, c-281.92, v-123, oi-0.0
2021-05-18, o-282.205, h-282.205, l-282.205, c-282.205, v-100, oi-0.0
2021-05-18, o-282.18, h-282.18, l-282.18, c-282.18, v-100, oi-0.0
2021-05-18, o-282.27, h-282.27, l-282.27, c-282.27, v-200, oi-0.0
2021-05-18, o-282.32, h-282.405, l-282.31, c-282.405, v-371, oi-0.0
2021-05-18, o-282.43, h-282.43, l-282.43, c-282.43, v-246, oi-0.0
2021-05-18, o-282.38, h-282.55, l-282.38, c-282.55, v-235, oi-0.0
2021-05-18, o-282.55, h-282.55, l-282.35, c-282.37, v-503, oi-0.0
2021-05-18, o-282.255, h-282.32, l-282.255, c-282.32, v-284, oi-0.0
2021-05-18, o-282.49, h-282.49, l-282.49, c-282.49, v-111, oi-0.0
2021-05-18, o-282.49, h-282.49, l-282.49, c-282.49, v-318, oi-0.0
2021-05-18, o-282.76, h-282.76, l-282.76, c-282.76, v-111, oi-0.0
2021-05-18, o-282.85, h-282.85, l-282.835, c-282.835, v-299, oi-0.0
2021-05-18, o-282.71, h-282.71, l-282.71, c-282.71, v-133, oi-0.0
2021-05-18, o-282.72, h-282.72, l-282.605, c-282.605, v-343, oi-0.0
2021-05-18, o-282.57, h-282.57, l-282.57, c-282.57, v-113, oi-0.0
2021-05-18, o-282.42, h-282.42, l-282.42, c-282.42, v-107, oi-0.0
2021-05-18, o-282.375, h-282.375, l-282.375, c-282.375, v-100, oi-0.0
2021-05-18, o-282.335, h-282.335, l-282.335, c-282.335, v-157, oi-0.0
2021-05-18, o-282.46, h-282.46, l-282.46, c-282.46, v-100, oi-0.0
2021-05-18, o-282.48, h-282.48, l-282.48, c-282.48, v-142, oi-0.0
2021-05-18, o-282.515, h-283, l-282.515, c-283, v-505, oi-0.0
2021-05-18, o-282.56, h-282.56, l-282.535, c-282.55, v-400, oi-0.0
2021-05-18, o-282.59, h-282.59, l-282.59, c-282.59, v-100, oi-0.0
2021-05-18, o-282.905, h-282.905, l-282.905, c-282.905, v-122, oi-0.0
2021-05-18, o-283.2, h-283.2, l-283.2, c-283.2, v-101, oi-0.0
2021-05-18, o-282.98, h-282.98, l-282.88, c-282.88, v-200, oi-0.0
2021-05-18, o-283.12, h-283.12, l-283.12, c-283.12, v-103, oi-0.0
2021-05-18, o-283.03, h-283.03, l-283.03, c-283.03, v-130, oi-0.0
2021-05-18, o-283.03, h-283.03, l-283.03, c-283.03, v-100, oi-0.0
2021-05-18, o-283.03, h-283.07, l-283.03, c-283.07, v-302, oi-0.0
2021-05-18, o-283.02, h-283.06, l-283.02, c-283.02, v-411, oi-0.0
2021-05-18, o-283.17, h-283.17, l-283.17, c-283.17, v-131, oi-0.0
2021-05-18, o-283.15, h-283.15, l-283.15, c-283.15, v-170, oi-0.0
2021-05-18, o-283.425, h-283.425, l-283.425, c-283.425, v-102, oi-0.0
2021-05-18, o-283.42, h-283.42, l-283.42, c-283.42, v-114, oi-0.0
2021-05-18, o-283.38, h-283.38, l-283.38, c-283.38, v-101, oi-0.0
2021-05-18, o-283.405, h-283.405, l-283.21, c-283.21, v-230, oi-0.0
2021-05-18, o-283.3, h-283.36, l-283.3, c-283.36, v-342, oi-0.0
2021-05-18, o-283.35, h-283.35, l-283.35, c-283.35, v-111, oi-0.0
2021-05-18, o-283.2, h-283.2, l-283.2, c-283.2, v-100, oi-0.0
2021-05-18, o-283.135, h-283.135, l-283.13, c-283.13, v-300, oi-0.0
2021-05-18, o-283.33, h-283.33, l-283.3, c-283.3, v-220, oi-0.0
2021-05-18, o-283.21, h-283.21, l-283.21, c-283.21, v-113, oi-0.0
2021-05-18, o-283.19, h-283.19, l-283.135, c-283.18, v-335, oi-0.0
2021-05-18, o-283.14, h-283.14, l-283.14, c-283.14, v-211, oi-0.0
2021-05-18, o-283, h-283, l-283, c-283, v-101, oi-0.0
2021-05-18, o-283.1, h-283.11, l-283.1, c-283.11, v-239, oi-0.0
2021-05-18, o-283.04, h-283.04, l-283.04, c-283.04, v-167, oi-0.0
2021-05-18, o-283.08, h-283.08, l-283.07, c-283.07, v-352, oi-0.0
2021-05-18, o-283.1, h-283.1, l-283.1, c-283.1, v-139, oi-0.0
2021-05-18, o-283.02, h-283.04, l-283.02, c-283.04, v-316, oi-0.0
2021-05-18, o-282.96, h-282.96, l-282.96, c-282.96, v-100, oi-0.0
2021-05-18, o-283.1, h-283.1, l-283.1, c-283.1, v-140, oi-0.0
2021-05-18, o-282.94, h-282.99, l-282.92, c-282.99, v-336, oi-0.0
2021-05-18, o-282.86, h-282.86, l-282.86, c-282.86, v-199, oi-0.0
2021-05-18, o-282.79, h-282.79, l-282.78, c-282.78, v-236, oi-0.0
2021-05-18, o-282.7, h-282.7, l-282.7, c-282.7, v-211, oi-0.0
2021-05-18, o-282.665, h-282.78, l-282.665, c-282.78, v-335, oi-0.0
2021-05-18, o-282.665, h-282.665, l-282.665, c-282.665, v-129, oi-0.0
2021-05-18, o-282.62, h-282.62, l-282.62, c-282.62, v-118, oi-0.0
2021-05-18, o-282, h-282, l-282, c-282, v-104, oi-0.0
