Date, Open, High, Low, Close, Volume, Open Interest
2021-05-19, o-2216.28, h-2216.28, l-2208.82, c-2208.82, v-205, oi-0.0
2021-05-19, o-2205.95, h-2211.39, l-2205.95, c-2211.39, v-274, oi-0.0
2021-05-19, o-2205.8, h-2205.8, l-2203.01, c-2203.01, v-404, oi-0.0
2021-05-19, o-2214.84, h-2223.73, l-2214.84, c-2222.2, v-776, oi-0.0
2021-05-19, o-2229.78, h-2229.8, l-2229.78, c-2229.8, v-334, oi-0.0
2021-05-19, o-2226.75, h-2235.105, l-2226.75, c-2235.105, v-524, oi-0.0
2021-05-19, o-2232.01, h-2235.97, l-2232.01, c-2235.97, v-501, oi-0.0
2021-05-19, o-2240.725, h-2240.725, l-2237, c-2237, v-333, oi-0.0
2021-05-19, o-2231, h-2231.71, l-2228.89, c-2229.18, v-1018, oi-0.0
2021-05-19, o-2232.7, h-2236.6, l-2232.64, c-2236.6, v-561, oi-0.0
2021-05-19, o-2237.8, h-2242.3, l-2237.8, c-2240.03, v-421, oi-0.0
2021-05-19, o-2241.63, h-2241.63, l-2233.2, c-2236.26, v-731, oi-0.0
2021-05-19, o-2235, h-2243.89, l-2235, c-2243.5, v-1540, oi-0.0
2021-05-19, o-2246.69, h-2247.01, l-2246.69, c-2247.01, v-531, oi-0.0
2021-05-19, o-2228.47, h-2248.81, l-2228.47, c-2248.81, v-438, oi-0.0
2021-05-19, o-2250.91, h-2250.91, l-2247.27, c-2247.27, v-281, oi-0.0
2021-05-19, o-2238.49, h-2238.49, l-2235.72, c-2235.72, v-426, oi-0.0
2021-05-19, o-2232.88, h-2249.14, l-2232.88, c-2249.14, v-383, oi-0.0
2021-05-19, o-2253.04, h-2257, l-2253.04, c-2257, v-370, oi-0.0
2021-05-19, o-2257.32, h-2262.955, l-2256.855, c-2261.38, v-1875, oi-0.0
2021-05-19, o-2261.82, h-2272.34, l-2261, c-2272.34, v-5403, oi-0.0
2021-05-20, o-2275.11, h-2281, l-2264.135, c-2264.135, v-1585, oi-0.0
2021-05-20, o-2265.94, h-2279.71, l-2265.94, c-2279.71, v-683, oi-0.0
2021-05-20, o-2290.18, h-2290.18, l-2283.43, c-2283.46, v-993, oi-0.0
2021-05-20, o-2281.5, h-2281.5, l-2274.13, c-2274.13, v-401, oi-0.0
2021-05-20, o-2271.85, h-2271.85, l-2271.85, c-2271.85, v-330, oi-0.0
2021-05-20, o-2282.85, h-2282.85, l-2282.85, c-2282.85, v-306, oi-0.0
2021-05-20, o-2295.74, h-2295.74, l-2292.9, c-2294.49, v-578, oi-0.0
2021-05-20, o-2298.73, h-2301.435, l-2298.73, c-2301.39, v-1892, oi-0.0
2021-05-20, o-2306.23, h-2307.75, l-2304.97, c-2307.71, v-680, oi-0.0
2021-05-20, o-2305.445, h-2307.03, l-2304.92, c-2307.03, v-504, oi-0.0
2021-05-20, o-2305.08, h-2306.07, l-2303.55, c-2304.2, v-658, oi-0.0
2021-05-20, o-2300.63, h-2300.63, l-2291.715, c-2294.17, v-887, oi-0.0
2021-05-20, o-2295.48, h-2297.17, l-2294.24, c-2297.17, v-1649, oi-0.0
2021-05-20, o-2299.6, h-2302.255, l-2299.6, c-2302.255, v-282, oi-0.0
2021-05-20, o-2301.28, h-2305.14, l-2298.51, c-2298.51, v-2206, oi-0.0
2021-05-20, o-2298.42, h-2298.89, l-2298.42, c-2298.89, v-309, oi-0.0
2021-05-20, o-2295.05, h-2296.03, l-2295.05, c-2296.03, v-202, oi-0.0
2021-05-20, o-2296.49, h-2296.49, l-2296.47, c-2296.47, v-362, oi-0.0
2021-05-20, o-2298.53, h-2298.53, l-2298.53, c-2298.53, v-177, oi-0.0
2021-05-20, o-2307.86, h-2307.86, l-2307.86, c-2307.86, v-234, oi-0.0
2021-05-20, o-2306.41, h-2306.57, l-2306.31, c-2306.31, v-390, oi-0.0
2021-05-20, o-2306.08, h-2307.2, l-2303.15, c-2307.2, v-611, oi-0.0
2021-05-20, o-2305.73, h-2309.65, l-2305.73, c-2309.65, v-919, oi-0.0
2021-05-20, o-2309.17, h-2309.31, l-2299.425, c-2299.425, v-1165, oi-0.0
2021-05-20, o-2301.73, h-2309.19, l-2299.46, c-2305.89, v-7151, oi-0.0
2021-05-21, o-2328.81, h-2333.73, l-2328.81, c-2332.09, v-843, oi-0.0
2021-05-21, o-2328.11, h-2331.19, l-2324.305, c-2324.305, v-1194, oi-0.0
2021-05-21, o-2316.13, h-2316.13, l-2312.03, c-2313.975, v-425, oi-0.0
2021-05-21, o-2292.55, h-2292.55, l-2283.47, c-2287.31, v-1188, oi-0.0
2021-05-21, o-2293.47, h-2296.465, l-2293.47, c-2296.465, v-463, oi-0.0
2021-05-21, o-2286.8, h-2288.63, l-2280.6, c-2284.49, v-1509, oi-0.0
2021-05-21, o-2292.28, h-2294.81, l-2292.28, c-2294.32, v-703, oi-0.0
2021-05-21, o-2278.34, h-2278.34, l-2278.34, c-2278.34, v-103, oi-0.0
2021-05-21, o-2281.27, h-2282.255, l-2281.27, c-2282.255, v-670, oi-0.0
2021-05-21, o-2281.94, h-2283.365, l-2281.94, c-2283.365, v-422, oi-0.0
2021-05-21, o-2279.03, h-2279.03, l-2273.84, c-2274.1, v-965, oi-0.0
2021-05-21, o-2279.2, h-2279.2, l-2279.2, c-2279.2, v-312, oi-0.0
2021-05-21, o-2284.53, h-2290.39, l-2284.53, c-2290.39, v-830, oi-0.0
2021-05-21, o-2287.6, h-2287.6, l-2287.6, c-2287.6, v-203, oi-0.0
2021-05-21, o-2291.21, h-2291.21, l-2291.21, c-2291.21, v-228, oi-0.0
2021-05-21, o-2287.97, h-2287.97, l-2287.97, c-2287.97, v-105, oi-0.0
2021-05-21, o-2292.99, h-2293.68, l-2292.99, c-2293.68, v-364, oi-0.0
2021-05-21, o-2287.8, h-2287.8, l-2285.14, c-2286.615, v-407, oi-0.0
2021-05-21, o-2284.19, h-2289.4, l-2284.19, c-2288.85, v-1657, oi-0.0
2021-05-21, o-2289.79, h-2290.62, l-2289.79, c-2290.62, v-326, oi-0.0
2021-05-21, o-2287.75, h-2287.75, l-2283.85, c-2283.9, v-714, oi-0.0
2021-05-21, o-2285.975, h-2290.18, l-2285.975, c-2290.18, v-606, oi-0.0
2021-05-21, o-2289.85, h-2289.85, l-2289.85, c-2289.85, v-271, oi-0.0
2021-05-21, o-2291.7, h-2298.31, l-2291.7, c-2298.31, v-1349, oi-0.0
2021-05-21, o-2292.53, h-2295.04, l-2292.53, c-2294.2, v-1574, oi-0.0
