Date, Open, High, Low, Close, Volume, Open Interest
2021-04-26, o-182.46, h-182.46, l-182.29, c-182.29, v-607, oi-0.0
2021-04-26, o-182.08, h-182.08, l-181.96, c-181.96, v-368, oi-0.0
2021-04-26, o-182.34, h-182.34, l-182.315, c-182.315, v-206, oi-0.0
2021-04-26, o-182.47, h-182.535, l-182.44, c-182.535, v-668, oi-0.0
2021-04-26, o-182.75, h-183.04, l-182.75, c-183.04, v-852, oi-0.0
2021-04-26, o-183.11, h-183.24, l-183.11, c-183.24, v-417, oi-0.0
2021-04-26, o-183.29, h-183.29, l-182.825, c-182.825, v-755, oi-0.0
2021-04-26, o-182.85, h-183.33, l-182.85, c-183.17, v-1723, oi-0.0
2021-04-26, o-183.13, h-183.23, l-183.04, c-183.13, v-1661, oi-0.0
2021-04-27, o-183.43, h-183.43, l-182.295, c-182.295, v-804, oi-0.0
2021-04-27, o-182.865, h-182.94, l-182.74, c-182.94, v-726, oi-0.0
2021-04-27, o-182.07, h-182.23, l-182.07, c-182.18, v-360, oi-0.0
2021-04-27, o-181.85, h-182.17, l-181.85, c-182.17, v-477, oi-0.0
2021-04-27, o-182.65, h-182.65, l-182.65, c-182.65, v-100, oi-0.0
2021-04-27, o-183.045, h-183.045, l-182.815, c-182.815, v-1699, oi-0.0
2021-04-27, o-182.91, h-182.91, l-182.225, c-182.23, v-1200, oi-0.0
2021-04-27, o-182.315, h-182.38, l-182.285, c-182.285, v-319, oi-0.0
2021-04-27, o-182.39, h-183.07, l-182.39, c-182.93, v-1407, oi-0.0
2021-04-27, o-183.14, h-183.22, l-183.01, c-183.115, v-871, oi-0.0
2021-04-27, o-183.165, h-183.22, l-183.165, c-183.22, v-200, oi-0.0
2021-04-27, o-182.89, h-182.89, l-182.61, c-182.63, v-400, oi-0.0
2021-04-27, o-182.685, h-182.78, l-182.685, c-182.78, v-300, oi-0.0
2021-04-27, o-182.99, h-183.11, l-182.99, c-183.11, v-503, oi-0.0
2021-04-27, o-183.16, h-183.16, l-183.1, c-183.1, v-266, oi-0.0
2021-04-27, o-182.89, h-182.89, l-182.89, c-182.89, v-199, oi-0.0
2021-04-27, o-182.81, h-182.85, l-182.8, c-182.84, v-420, oi-0.0
