Date, Open, High, Low, Close, Volume, Open Interest
2021-05-18, o-116.75, h-116.755, l-116.72, c-116.75, v-714, oi-0.0
2021-05-18, o-116.785, h-116.96, l-116.785, c-116.96, v-226, oi-0.0
2021-05-18, o-116.97, h-116.97, l-116.965, c-116.965, v-408, oi-0.0
2021-05-18, o-116.93, h-116.93, l-116.93, c-116.93, v-200, oi-0.0
2021-05-18, o-116.9, h-116.91, l-116.89, c-116.89, v-310, oi-0.0
2021-05-18, o-116.82, h-116.82, l-116.765, c-116.77, v-1433, oi-0.0
2021-05-18, o-116.72, h-116.77, l-116.72, c-116.77, v-509, oi-0.0
2021-05-18, o-116.73, h-116.73, l-116.69, c-116.69, v-400, oi-0.0
2021-05-18, o-116.64, h-116.64, l-116.64, c-116.64, v-100, oi-0.0
2021-05-18, o-116.69, h-116.69, l-116.64, c-116.66, v-600, oi-0.0
2021-05-18, o-116.625, h-116.625, l-116.625, c-116.625, v-104, oi-0.0
2021-05-18, o-116.515, h-116.515, l-116.44, c-116.44, v-880, oi-0.0
2021-05-18, o-116.44, h-116.445, l-116.39, c-116.39, v-508, oi-0.0
2021-05-18, o-116.33, h-116.33, l-116.33, c-116.33, v-100, oi-0.0
2021-05-18, o-116.32, h-116.32, l-116.32, c-116.32, v-300, oi-0.0
2021-05-18, o-116.21, h-116.25, l-116.21, c-116.25, v-501, oi-0.0
2021-05-18, o-116.26, h-116.26, l-116.26, c-116.26, v-100, oi-0.0
2021-05-18, o-116.19, h-116.19, l-116.11, c-116.12, v-742, oi-0.0
2021-05-18, o-116.17, h-116.17, l-116.03, c-116.045, v-1408, oi-0.0
2021-05-18, o-116.09, h-116.09, l-116.025, c-116.05, v-2016, oi-0.0
2021-05-18, o-116.08, h-116.13, l-116.04, c-116.04, v-1004, oi-0.0
2021-05-18, o-116.055, h-116.14, l-116.03, c-116.14, v-2659, oi-0.0
2021-05-18, o-116.135, h-116.205, l-116.135, c-116.145, v-2163, oi-0.0
2021-05-18, o-116.115, h-116.115, l-116.03, c-116.075, v-3221, oi-0.0
2021-05-18, o-116.07, h-116.155, l-116.07, c-116.155, v-2179, oi-0.0
2021-05-18, o-116.09, h-116.09, l-115.81, c-115.81, v-2130, oi-0.0
2021-05-18, o-115.74, h-115.795, l-115.64, c-115.64, v-1951, oi-0.0
2021-05-18, o-115.64, h-115.73, l-115.565, c-115.73, v-4428, oi-0.0
2021-05-19, o-114.48, h-115.47, l-114.25, c-115.47, v-3852, oi-0.0
2021-05-19, o-115.09, h-115.285, l-115.04, c-115.08, v-1525, oi-0.0
2021-05-19, o-114.9, h-114.9, l-114.9, c-114.9, v-150, oi-0.0
2021-05-19, o-115.35, h-115.35, l-115.32, c-115.32, v-454, oi-0.0
2021-05-19, o-115.37, h-115.59, l-115.37, c-115.59, v-423, oi-0.0
2021-05-19, o-115.7, h-115.71, l-115.67, c-115.67, v-514, oi-0.0
2021-05-19, o-115.69, h-115.69, l-115.69, c-115.69, v-200, oi-0.0
2021-05-19, o-115.73, h-115.73, l-115.65, c-115.65, v-734, oi-0.0
2021-05-19, o-115.585, h-115.69, l-115.585, c-115.61, v-749, oi-0.0
2021-05-19, o-115.47, h-115.48, l-115.47, c-115.48, v-424, oi-0.0
2021-05-19, o-115.52, h-115.55, l-115.49, c-115.52, v-400, oi-0.0
2021-05-19, o-115.36, h-115.36, l-115.13, c-115.13, v-722, oi-0.0
2021-05-19, o-115.13, h-115.14, l-115.07, c-115.14, v-608, oi-0.0
2021-05-19, o-115.2, h-115.2, l-115.14, c-115.2, v-918, oi-0.0
2021-05-19, o-115.31, h-115.38, l-115.12, c-115.12, v-1002, oi-0.0
2021-05-19, o-115.17, h-115.26, l-115.17, c-115.26, v-391, oi-0.0
2021-05-19, o-115.31, h-115.31, l-115.3, c-115.3, v-202, oi-0.0
2021-05-19, o-115.2, h-115.2, l-115.09, c-115.115, v-613, oi-0.0
2021-05-19, o-115.21, h-115.37, l-115.21, c-115.37, v-1743, oi-0.0
2021-05-19, o-115.41, h-115.43, l-115.175, c-115.175, v-1530, oi-0.0
2021-05-19, o-115.17, h-115.17, l-115.12, c-115.12, v-554, oi-0.0
2021-05-19, o-115.2, h-115.21, l-115.14, c-115.21, v-510, oi-0.0
2021-05-19, o-115.305, h-115.305, l-115.305, c-115.305, v-100, oi-0.0
2021-05-19, o-115.38, h-115.38, l-115.38, c-115.38, v-100, oi-0.0
2021-05-19, o-115.78, h-115.78, l-115.78, c-115.78, v-161, oi-0.0
2021-05-19, o-115.77, h-115.77, l-115.63, c-115.63, v-210, oi-0.0
2021-05-19, o-115.655, h-115.655, l-115.64, c-115.64, v-317, oi-0.0
2021-05-19, o-116.19, h-116.19, l-116.09, c-116.1, v-2188, oi-0.0
2021-05-19, o-116.03, h-116.03, l-115.805, c-115.83, v-1702, oi-0.0
2021-05-19, o-115.895, h-115.95, l-115.705, c-115.79, v-1178, oi-0.0
2021-05-19, o-115.74, h-115.77, l-115.74, c-115.77, v-424, oi-0.0
2021-05-19, o-115.77, h-115.77, l-115.77, c-115.77, v-100, oi-0.0
2021-05-19, o-115.89, h-115.89, l-115.84, c-115.85, v-610, oi-0.0
2021-05-19, o-115.89, h-116.12, l-115.89, c-116.12, v-400, oi-0.0
2021-05-19, o-116.08, h-116.08, l-116.08, c-116.08, v-100, oi-0.0
2021-05-19, o-116.29, h-116.29, l-116.29, c-116.29, v-136, oi-0.0
2021-05-19, o-116.23, h-116.23, l-116.15, c-116.15, v-209, oi-0.0
2021-05-19, o-116.105, h-116.12, l-116.105, c-116.12, v-297, oi-0.0
2021-05-19, o-116.08, h-116.08, l-115.91, c-115.91, v-265, oi-0.0
2021-05-19, o-115.98, h-115.98, l-115.96, c-115.96, v-580, oi-0.0
2021-05-19, o-116.02, h-116.04, l-116, c-116, v-1426, oi-0.0
2021-05-19, o-115.93, h-115.93, l-115.905, c-115.905, v-200, oi-0.0
2021-05-19, o-115.82, h-115.96, l-115.82, c-115.96, v-800, oi-0.0
2021-05-19, o-115.99, h-116, l-115.99, c-115.99, v-300, oi-0.0
2021-05-19, o-116.17, h-116.17, l-116.15, c-116.15, v-301, oi-0.0
2021-05-19, o-116.16, h-116.16, l-116.16, c-116.16, v-100, oi-0.0
2021-05-19, o-116.17, h-116.3, l-116.17, c-116.3, v-700, oi-0.0
2021-05-19, o-116.29, h-116.41, l-116.195, c-116.28, v-1762, oi-0.0
2021-05-19, o-116.24, h-116.25, l-116.155, c-116.155, v-2112, oi-0.0
2021-05-19, o-116.04, h-116.18, l-116.04, c-116.18, v-539, oi-0.0
