Date, Open, High, Low, Close, Volume, Open Interest
2021-05-21, o-690.53, h-690.53, l-690.53, c-690.53, v-296, oi-0.0
2021-05-21, o-690.18, h-690.18, l-689.59, c-689.59, v-876, oi-0.0
2021-05-21, o-690.08, h-690.08, l-690.08, c-690.08, v-100, oi-0.0
2021-05-21, o-689.87, h-689.87, l-689.87, c-689.87, v-112, oi-0.0
2021-05-21, o-689.785, h-689.785, l-689.785, c-689.785, v-123, oi-0.0
2021-05-21, o-689.655, h-689.655, l-689.655, c-689.655, v-117, oi-0.0
2021-05-21, o-688.93, h-688.93, l-688.93, c-688.93, v-130, oi-0.0
2021-05-21, o-688.93, h-688.93, l-688.93, c-688.93, v-109, oi-0.0
2021-05-21, o-688.94, h-688.94, l-688.94, c-688.94, v-612, oi-0.0
2021-05-21, o-688.595, h-688.595, l-688.595, c-688.595, v-207, oi-0.0
2021-05-21, o-688.36, h-688.36, l-688.23, c-688.23, v-338, oi-0.0
2021-05-21, o-688.38, h-688.38, l-688.38, c-688.38, v-192, oi-0.0
2021-05-21, o-688.38, h-688.38, l-688.38, c-688.38, v-255, oi-0.0
2021-05-21, o-688.97, h-688.97, l-688.97, c-688.97, v-104, oi-0.0
2021-05-21, o-688.77, h-688.77, l-688.77, c-688.77, v-241, oi-0.0
2021-05-21, o-689.05, h-689.06, l-689.05, c-689.06, v-283, oi-0.0
2021-05-21, o-689.63, h-689.63, l-689.63, c-689.63, v-169, oi-0.0
2021-05-21, o-689.505, h-689.505, l-689.505, c-689.505, v-215, oi-0.0
2021-05-21, o-689.43, h-689.43, l-689.18, c-689.25, v-850, oi-0.0
2021-05-21, o-688.9, h-688.9, l-688.9, c-688.9, v-107, oi-0.0
2021-05-21, o-688.765, h-688.765, l-688.765, c-688.765, v-225, oi-0.0
2021-05-21, o-688.865, h-688.865, l-688.865, c-688.865, v-347, oi-0.0
2021-05-21, o-689.25, h-689.25, l-689.25, c-689.25, v-183, oi-0.0
2021-05-21, o-690.05, h-690.05, l-690.005, c-690.005, v-424, oi-0.0
2021-05-21, o-690.33, h-690.6, l-690.33, c-690.6, v-420, oi-0.0
2021-05-21, o-691.38, h-691.38, l-691.38, c-691.38, v-239, oi-0.0
2021-05-21, o-691.85, h-691.85, l-691.85, c-691.85, v-103, oi-0.0
2021-05-21, o-692.13, h-692.13, l-692.13, c-692.13, v-206, oi-0.0
2021-05-21, o-692.26, h-692.26, l-692.26, c-692.26, v-209, oi-0.0
2021-05-21, o-691.51, h-691.51, l-691.35, c-691.35, v-417, oi-0.0
2021-05-21, o-691.19, h-691.19, l-691.19, c-691.19, v-107, oi-0.0
2021-05-21, o-691.23, h-691.24, l-691.23, c-691.24, v-331, oi-0.0
2021-05-21, o-691.35, h-691.35, l-691.35, c-691.35, v-143, oi-0.0
2021-05-21, o-691.4, h-691.4, l-691.4, c-691.4, v-186, oi-0.0
2021-05-21, o-691.64, h-691.64, l-691.62, c-691.62, v-208, oi-0.0
2021-05-21, o-691.47, h-691.47, l-691.47, c-691.47, v-288, oi-0.0
2021-05-21, o-691.57, h-691.57, l-691.57, c-691.57, v-239, oi-0.0
2021-05-21, o-691.92, h-691.92, l-691.92, c-691.92, v-109, oi-0.0
2021-05-21, o-691.665, h-691.665, l-691.665, c-691.665, v-248, oi-0.0
2021-05-21, o-691.49, h-691.49, l-691.49, c-691.49, v-439, oi-0.0
2021-05-21, o-691.165, h-691.165, l-691.165, c-691.165, v-102, oi-0.0
2021-05-21, o-690.22, h-690.22, l-690.22, c-690.22, v-205, oi-0.0
2021-05-21, o-690.62, h-690.62, l-690.38, c-690.38, v-341, oi-0.0
2021-05-21, o-690.52, h-690.52, l-690.37, c-690.37, v-254, oi-0.0
2021-05-21, o-690.21, h-690.21, l-690.21, c-690.21, v-100, oi-0.0
2021-05-21, o-690.57, h-690.57, l-690.52, c-690.52, v-633, oi-0.0
2021-05-21, o-690.635, h-690.635, l-690.625, c-690.625, v-496, oi-0.0
2021-05-21, o-690.65, h-690.77, l-690.65, c-690.77, v-328, oi-0.0
2021-05-21, o-690.99, h-691.02, l-690.99, c-691.02, v-637, oi-0.0
2021-05-21, o-691.34, h-691.81, l-691.34, c-691.81, v-457, oi-0.0
2021-05-21, o-691.4, h-691.4, l-691.05, c-691.05, v-521, oi-0.0
2021-05-21, o-691.69, h-691.92, l-691.69, c-691.92, v-556, oi-0.0
2021-05-21, o-691.51, h-691.72, l-691.51, c-691.66, v-689, oi-0.0
2021-05-24, o-700.29, h-700.29, l-700.29, c-700.29, v-346, oi-0.0
2021-05-24, o-698.625, h-698.625, l-698.625, c-698.625, v-300, oi-0.0
2021-05-24, o-698.95, h-698.95, l-698.95, c-698.95, v-225, oi-0.0
2021-05-24, o-697.94, h-698.57, l-697.94, c-698.485, v-904, oi-0.0
2021-05-24, o-696.77, h-696.77, l-695.97, c-696.03, v-440, oi-0.0
2021-05-24, o-693.53, h-693.53, l-693.53, c-693.53, v-361, oi-0.0
2021-05-24, o-693.28, h-693.28, l-692.58, c-692.58, v-538, oi-0.0
2021-05-24, o-692.125, h-692.125, l-692.125, c-692.125, v-138, oi-0.0
2021-05-24, o-692.95, h-692.95, l-692.95, c-692.95, v-264, oi-0.0
2021-05-24, o-695.13, h-696.68, l-695.13, c-696.68, v-656, oi-0.0
2021-05-24, o-696.35, h-696.35, l-696.35, c-696.35, v-158, oi-0.0
2021-05-24, o-698.025, h-698.025, l-698.025, c-698.025, v-111, oi-0.0
2021-05-24, o-698.32, h-698.32, l-698.32, c-698.32, v-102, oi-0.0
2021-05-24, o-698.54, h-698.54, l-698.54, c-698.54, v-319, oi-0.0
2021-05-24, o-697.97, h-697.97, l-697.97, c-697.97, v-266, oi-0.0
2021-05-24, o-697.81, h-698.17, l-697.81, c-698.17, v-740, oi-0.0
2021-05-24, o-698.925, h-698.925, l-698.925, c-698.925, v-119, oi-0.0
2021-05-24, o-698.51, h-698.51, l-698.475, c-698.475, v-616, oi-0.0
2021-05-24, o-698.98, h-699.04, l-698.98, c-699.04, v-208, oi-0.0
2021-05-24, o-699.3, h-699.3, l-699.3, c-699.3, v-278, oi-0.0
2021-05-24, o-701.445, h-701.445, l-701.445, c-701.445, v-120, oi-0.0
2021-05-24, o-701.96, h-701.99, l-701.96, c-701.97, v-500, oi-0.0
2021-05-24, o-701.79, h-701.79, l-701.33, c-701.33, v-545, oi-0.0
2021-05-24, o-700.61, h-700.61, l-700.61, c-700.61, v-207, oi-0.0
2021-05-24, o-700.64, h-700.66, l-700.64, c-700.66, v-326, oi-0.0
2021-05-24, o-700.82, h-700.82, l-700.82, c-700.82, v-151, oi-0.0
2021-05-24, o-702.02, h-702.02, l-702.02, c-702.02, v-120, oi-0.0
2021-05-24, o-702.34, h-702.34, l-702.34, c-702.34, v-222, oi-0.0
2021-05-24, o-702.32, h-702.71, l-702.32, c-702.71, v-338, oi-0.0
2021-05-24, o-703.26, h-703.42, l-703.26, c-703.42, v-223, oi-0.0
2021-05-24, o-703.23, h-703.33, l-703.23, c-703.33, v-242, oi-0.0
2021-05-24, o-703.53, h-703.54, l-703.53, c-703.54, v-234, oi-0.0
2021-05-24, o-703.96, h-703.98, l-703.96, c-703.98, v-267, oi-0.0
2021-05-24, o-703.52, h-703.52, l-703.52, c-703.52, v-114, oi-0.0
2021-05-24, o-704.235, h-704.235, l-704.205, c-704.205, v-449, oi-0.0
2021-05-24, o-705.325, h-705.325, l-705.325, c-705.325, v-173, oi-0.0
2021-05-24, o-705.305, h-705.6, l-705.305, c-705.585, v-978, oi-0.0
2021-05-24, o-704.25, h-704.41, l-703.86, c-704.41, v-1011, oi-0.0
