Date, Open, High, Low, Close, Volume, Open Interest
2021-05-12, o-56.88, h-56.895, l-56.78, c-56.8, v-4652, oi-0.0
2021-05-12, o-56.81, h-56.835, l-56.75, c-56.75, v-4784, oi-0.0
2021-05-12, o-56.8, h-56.86, l-56.78, c-56.805, v-11253, oi-0.0
2021-05-12, o-56.82, h-56.85, l-56.79, c-56.79, v-10161, oi-0.0
2021-05-12, o-56.73, h-56.73, l-56.65, c-56.65, v-3078, oi-0.0
2021-05-12, o-56.63, h-56.685, l-56.59, c-56.685, v-5795, oi-0.0
2021-05-12, o-56.68, h-56.775, l-56.68, c-56.775, v-3264, oi-0.0
2021-05-12, o-56.775, h-56.79, l-56.71, c-56.72, v-3283, oi-0.0
2021-05-12, o-56.7, h-56.77, l-56.69, c-56.735, v-3394, oi-0.0
2021-05-12, o-56.755, h-56.78, l-56.71, c-56.71, v-2730, oi-0.0
2021-05-12, o-56.675, h-56.69, l-56.615, c-56.69, v-7784, oi-0.0
2021-05-12, o-56.635, h-56.635, l-56.58, c-56.59, v-4528, oi-0.0
2021-05-12, o-56.585, h-56.67, l-56.585, c-56.66, v-3535, oi-0.0
2021-05-12, o-56.64, h-56.685, l-56.62, c-56.685, v-2625, oi-0.0
2021-05-12, o-56.69, h-56.78, l-56.65, c-56.78, v-4022, oi-0.0
2021-05-12, o-56.78, h-56.78, l-56.75, c-56.775, v-1261, oi-0.0
2021-05-12, o-56.78, h-56.84, l-56.775, c-56.84, v-4180, oi-0.0
2021-05-12, o-56.82, h-56.835, l-56.8, c-56.81, v-2359, oi-0.0
2021-05-12, o-56.8, h-56.8, l-56.73, c-56.73, v-2251, oi-0.0
2021-05-12, o-56.725, h-56.745, l-56.7, c-56.745, v-2782, oi-0.0
2021-05-12, o-56.735, h-56.76, l-56.685, c-56.685, v-5154, oi-0.0
2021-05-12, o-56.715, h-56.805, l-56.715, c-56.805, v-6416, oi-0.0
2021-05-12, o-56.785, h-56.785, l-56.715, c-56.725, v-6283, oi-0.0
2021-05-12, o-56.72, h-56.73, l-56.69, c-56.7, v-5931, oi-0.0
2021-05-12, o-56.705, h-56.785, l-56.685, c-56.77, v-4027, oi-0.0
2021-05-12, o-56.8, h-56.8, l-56.74, c-56.765, v-3947, oi-0.0
2021-05-12, o-56.775, h-56.78, l-56.73, c-56.73, v-3350, oi-0.0
2021-05-12, o-56.725, h-56.74, l-56.72, c-56.725, v-3986, oi-0.0
2021-05-12, o-56.72, h-56.73, l-56.67, c-56.695, v-5009, oi-0.0
2021-05-12, o-56.68, h-56.715, l-56.66, c-56.715, v-5333, oi-0.0
2021-05-12, o-56.72, h-56.735, l-56.685, c-56.735, v-5707, oi-0.0
2021-05-12, o-56.715, h-56.8, l-56.71, c-56.785, v-6819, oi-0.0
2021-05-12, o-56.775, h-56.905, l-56.76, c-56.9, v-8172, oi-0.0
2021-05-12, o-56.87, h-56.955, l-56.87, c-56.93, v-6321, oi-0.0
2021-05-12, o-56.905, h-56.96, l-56.905, c-56.945, v-6521, oi-0.0
2021-05-12, o-56.955, h-57, l-56.93, c-57, v-7633, oi-0.0
2021-05-12, o-56.995, h-57.04, l-56.995, c-57.005, v-5871, oi-0.0
2021-05-12, o-57.01, h-57.03, l-56.965, c-56.98, v-6712, oi-0.0
2021-05-12, o-56.965, h-56.99, l-56.915, c-56.92, v-17601, oi-0.0
2021-05-12, o-56.895, h-56.965, l-56.88, c-56.96, v-14170, oi-0.0
2021-05-12, o-56.99, h-57, l-56.86, c-56.87, v-9730, oi-0.0
2021-05-12, o-56.835, h-56.865, l-56.79, c-56.79, v-5082, oi-0.0
2021-05-12, o-56.795, h-56.82, l-56.73, c-56.75, v-4095, oi-0.0
2021-05-12, o-56.735, h-56.78, l-56.72, c-56.75, v-7422, oi-0.0
2021-05-12, o-56.745, h-56.75, l-56.67, c-56.74, v-6930, oi-0.0
2021-05-12, o-56.695, h-56.695, l-56.635, c-56.66, v-6542, oi-0.0
2021-05-12, o-56.66, h-56.755, l-56.645, c-56.74, v-6823, oi-0.0
2021-05-12, o-56.73, h-56.79, l-56.72, c-56.74, v-11457, oi-0.0
2021-05-12, o-56.74, h-56.8, l-56.58, c-56.61, v-37033, oi-0.0
2021-05-12, o-56.6, h-56.73, l-56.57, c-56.62, v-38009, oi-0.0
2021-05-13, o-56.67, h-57.14, l-56.585, c-57.09, v-31463, oi-0.0
2021-05-13, o-57.14, h-57.21, l-57.065, c-57.065, v-11273, oi-0.0
2021-05-13, o-57.09, h-57.275, l-57.09, c-57.275, v-24391, oi-0.0
2021-05-13, o-57.27, h-57.33, l-57.2, c-57.225, v-18690, oi-0.0
2021-05-13, o-57.2, h-57.39, l-57.2, c-57.35, v-30238, oi-0.0
2021-05-13, o-57.335, h-57.405, l-57.335, c-57.405, v-12435, oi-0.0
2021-05-13, o-57.43, h-57.55, l-57.43, c-57.545, v-6025, oi-0.0
2021-05-13, o-57.53, h-57.595, l-57.455, c-57.455, v-9560, oi-0.0
