Date, Open, High, Low, Close, Volume, Open Interest
2020-05-27, o-39.97, h-40.13, l-39.44, c-39.53, v-15067227, oi-0.0
2020-05-28, o-39.56, h-39.82, l-38.8, c-39.7, v-14082105, oi-0.0
2020-05-31, o-39.54, h-40.27, l-39.4, c-40.19, v-23859418, oi-0.0
2020-06-01, o-40.13, h-40.825, l-40.12, c-40.78, v-29844230, oi-0.0
2020-06-02, o-41.15, h-41.575, l-40.99, c-41.3, v-27568774, oi-0.0
2020-06-03, o-40.97, h-41.38, l-40.84, c-41.295, v-10621471, oi-0.0
2020-06-04, o-42.13, h-43.1, l-41.99, c-42.14, v-16456787, oi-0.0
2020-06-07, o-41.93, h-43.18, l-41.9022, c-43.11, v-26199142, oi-0.0
2020-06-08, o-42.67, h-42.89, l-41.88, c-42.19, v-20343660, oi-0.0
2020-06-09, o-42.1, h-42.12, l-41.13, c-41.35, v-13137762, oi-0.0
2020-06-10, o-40.91, h-41.27, l-39.19, c-39.25, v-35605906, oi-0.0
2020-06-11, o-39.59, h-39.97, l-39.17, c-39.225, v-3438612, oi-0.0
2020-06-14, o-39.29, h-40.085, l-38.54, c-39.83, v-27076280, oi-0.0
2020-06-15, o-40.54, h-41.05, l-39.14, c-39.76, v-35331665, oi-0.0
2020-06-16, o-39.78, h-39.89, l-39.115, c-39.2, v-26814389, oi-0.0
2020-06-17, o-39.19, h-39.6, l-38.95, c-39.44, v-23755514, oi-0.0
2020-06-18, o-39.85, h-40.46, l-38.87, c-39.1, v-19952419, oi-0.0
2020-06-21, o-38.8, h-39.05, l-38.315, c-38.44, v-13723127, oi-0.0
2020-06-22, o-38.93, h-39.65, l-38.69, c-39.2, v-20072234, oi-0.0
2020-06-23, o-39.48, h-39.48, l-38.13, c-38.58, v-16673185, oi-0.0
2020-06-24, o-38.36, h-38.735, l-37.77, c-38.58, v-14150573, oi-0.0
2020-06-25, o-38.3, h-38.74, l-38.03, c-38.67, v-18461667, oi-0.0
2020-06-28, o-38.87, h-39.03, l-38.39, c-38.96, v-16260415, oi-0.0
2020-06-29, o-38.5, h-39.13, l-38.12, c-38.97, v-15706815, oi-0.0
2020-06-30, o-39.61, h-40.21, l-39.4, c-39.69, v-15066472, oi-0.0
2020-07-01, o-40.04, h-40.279, l-39.165, c-39.26, v-15690070, oi-0.0
2020-07-05, o-39.8, h-40.37, l-39.65, c-40.34, v-14015997, oi-0.0
2020-07-06, o-40.04, h-40.35, l-40, c-40.08, v-16032091, oi-0.0
2020-07-07, o-40.13, h-40.24, l-39.52, c-39.72, v-10391041, oi-0.0
2020-07-08, o-39.7, h-39.72, l-39.025, c-39.3, v-13418069, oi-0.0
2020-07-09, o-39.23, h-40.54, l-39.14, c-40.5, v-17059000, oi-0.0
2020-07-12, o-40.47, h-41.0982, l-40.18, c-40.56, v-14906104, oi-0.0
2020-07-13, o-39.95, h-41.29, l-39.8309, c-41.18, v-17575081, oi-0.0
2020-07-14, o-41.11, h-42.08, l-41.05, c-41.96, v-18011428, oi-0.0
2020-07-15, o-41.71, h-42.18, l-41.66, c-42.105, v-11228002, oi-0.0
2020-07-16, o-42.48, h-42.48, l-41.9, c-42.18, v-13019557, oi-0.0
2020-07-19, o-41.99, h-42.105, l-41.76, c-41.95, v-10966385, oi-0.0
2020-07-20, o-42.14, h-42.77, l-42.06, c-42.57, v-19482813, oi-0.0
2020-07-21, o-42.5222, h-42.76, l-42.41, c-42.56, v-11197525, oi-0.0
2020-07-22, o-42.76, h-42.96, l-42.34, c-42.49, v-11209940, oi-0.0
2020-07-23, o-43.43, h-43.9, l-42.705, c-43.35, v-20150987, oi-0.0
2020-07-26, o-43.2, h-43.64, l-43.15, c-43.6, v-15569023, oi-0.0
2020-07-27, o-42.86, h-43.565, l-42.8, c-43.21, v-15997860, oi-0.0
2020-07-28, o-43.33, h-44.11, l-43.26, c-43.93, v-23986880, oi-0.0
2020-07-29, o-44.48, h-45.2, l-43.12, c-43.69, v-16049846, oi-0.0
2020-07-30, o-43.54, h-43.64, l-41.96, c-42.8, v-18804605, oi-0.0
2020-08-02, o-42.69, h-43.135, l-42.41, c-42.88, v-7672662, oi-0.0
2020-08-03, o-42.62, h-43.235, l-42.54, c-43.21, v-9631796, oi-0.0
2020-08-04, o-43.29, h-43.47, l-42.245, c-42.28, v-13344199, oi-0.0
2020-08-05, o-42.04, h-42.89, l-42.02, c-42.88, v-12222165, oi-0.0
2020-08-06, o-42.59, h-42.92, l-42.47, c-42.82, v-8188083, oi-0.0
2020-08-09, o-42.985, h-43.215, l-42.75, c-43.02, v-10415373, oi-0.0
2020-08-10, o-43.25, h-44, l-42.92, c-43, v-13462034, oi-0.0
2020-08-11, o-43.01, h-43.725, l-42.97, c-43.33, v-7985145, oi-0.0
2020-08-12, o-43.1, h-43.425, l-42.985, c-43.39, v-11078093, oi-0.0
2020-08-13, o-43.62, h-44.18, l-43.2, c-43.78, v-11588334, oi-0.0
2020-08-16, o-43.87, h-43.95, l-43.3, c-43.54, v-9495286, oi-0.0
2020-08-17, o-43.71, h-43.735, l-43.28, c-43.53, v-6918325, oi-0.0
2020-08-18, o-43.66, h-43.759, l-43.16, c-43.32, v-7994580, oi-0.0
2020-08-19, o-43.23, h-43.435, l-42.9, c-43.28, v-9047355, oi-0.0
2020-08-20, o-43.04, h-43.23, l-42.72, c-43.06, v-9382401, oi-0.0
2020-08-23, o-42.86, h-43.82, l-42.85, c-43.8, v-12437080, oi-0.0
2020-08-24, o-43.765, h-43.78, l-43.18, c-43.41, v-7247272, oi-0.0
2020-08-25, o-43.02, h-44.36, l-42.91, c-44.21, v-12358626, oi-0.0
2020-08-26, o-44.56, h-44.795, l-44.24, c-44.54, v-12227294, oi-0.0
2020-08-27, o-44.53, h-44.57, l-43.93, c-44.57, v-9237001, oi-0.0
2020-08-30, o-44.26, h-45.13, l-44.25, c-44.81, v-19399624, oi-0.0
2020-08-31, o-44.435, h-45.09, l-44.24, c-45.06, v-14255849, oi-0.0
2020-09-01, o-45.05, h-45.93, l-45.01, c-45.17, v-14028812, oi-0.0
2020-09-02, o-45.61, h-45.94, l-44.09, c-44.44, v-15024444, oi-0.0
2020-09-03, o-44.91, h-44.97, l-43.9, c-44.42, v-14450444, oi-0.0
2020-09-07, o-43.81, h-44.26, l-43.12, c-43.815, v-17202190, oi-0.0
2020-09-08, o-43.99, h-44.99, l-43.71, c-44.59, v-11361464, oi-0.0
2020-09-09, o-44.92, h-44.965, l-43.86, c-44.02, v-11739631, oi-0.0
2020-09-10, o-44.09, h-44.74, l-43.97, c-44.67, v-15519755, oi-0.0
