Date, Open, High, Low, Close, Volume, Open Interest
2021-05-11, o-377.85, h-378.53, l-377.505, c-378.04, v-10935, oi-0.0
2021-05-11, o-378.06, h-378.5, l-377.905, c-378.41, v-8060, oi-0.0
2021-05-12, o-375.74, h-376.33, l-374.91, c-375.14, v-2284, oi-0.0
2021-05-12, o-375.15, h-375.78, l-375.05, c-375.24, v-2663, oi-0.0
2021-05-12, o-375.21, h-375.21, l-374.27, c-374.47, v-1191, oi-0.0
2021-05-12, o-374.32, h-374.54, l-373.59, c-373.69, v-1752, oi-0.0
2021-05-12, o-373.17, h-374.34, l-373.17, c-373.63, v-1753, oi-0.0
2021-05-12, o-373.235, h-373.83, l-373.12, c-373.8, v-1861, oi-0.0
2021-05-12, o-373.84, h-373.84, l-372.21, c-372.34, v-1991, oi-0.0
2021-05-12, o-372.42, h-372.63, l-372.42, c-372.63, v-460, oi-0.0
2021-05-12, o-372.42, h-372.76, l-372.18, c-372.76, v-1619, oi-0.0
2021-05-12, o-372.685, h-373.21, l-372.49, c-373.21, v-1959, oi-0.0
2021-05-12, o-373.445, h-373.8, l-373.445, c-373.74, v-840, oi-0.0
2021-05-12, o-373.78, h-373.78, l-373.51, c-373.51, v-921, oi-0.0
2021-05-12, o-373.12, h-373.12, l-372.13, c-372.13, v-1526, oi-0.0
2021-05-12, o-371.795, h-372.27, l-371.795, c-372.27, v-1311, oi-0.0
2021-05-12, o-371.51, h-371.51, l-371.395, c-371.49, v-900, oi-0.0
2021-05-12, o-371.68, h-371.865, l-371.65, c-371.67, v-1461, oi-0.0
2021-05-12, o-371.67, h-372.045, l-371.67, c-372, v-1115, oi-0.0
2021-05-12, o-371.94, h-372.63, l-371.94, c-372.41, v-1070, oi-0.0
2021-05-12, o-372.405, h-372.575, l-372.1, c-372.575, v-1164, oi-0.0
2021-05-12, o-372.74, h-372.92, l-372.5, c-372.82, v-1741, oi-0.0
2021-05-12, o-372.83, h-372.83, l-372.58, c-372.59, v-6193, oi-0.0
