Date, Open, High, Low, Close, Volume, Open Interest
2021-05-25, o-128.525, h-128.55, l-128.45, c-128.45, v-1184, oi-0.0
2021-05-25, o-128.44, h-128.55, l-128.44, c-128.55, v-334, oi-0.0
2021-05-25, o-128.5, h-128.54, l-128.5, c-128.53, v-674, oi-0.0
2021-05-25, o-128.515, h-128.6, l-128.515, c-128.6, v-514, oi-0.0
2021-05-25, o-128.7, h-128.755, l-128.7, c-128.745, v-1037, oi-0.0
2021-05-25, o-128.82, h-128.87, l-128.79, c-128.795, v-2067, oi-0.0
2021-05-25, o-128.73, h-128.8, l-128.7, c-128.7, v-1374, oi-0.0
2021-05-25, o-128.73, h-128.785, l-128.73, c-128.785, v-969, oi-0.0
2021-05-25, o-128.79, h-128.795, l-128.7, c-128.715, v-1857, oi-0.0
2021-05-25, o-128.65, h-128.675, l-128.65, c-128.675, v-936, oi-0.0
2021-05-25, o-128.82, h-128.82, l-128.72, c-128.755, v-1625, oi-0.0
2021-05-25, o-128.695, h-128.695, l-128.605, c-128.64, v-985, oi-0.0
2021-05-25, o-128.7, h-128.7, l-128.7, c-128.7, v-103, oi-0.0
2021-05-25, o-128.645, h-128.645, l-128.48, c-128.48, v-422, oi-0.0
2021-05-25, o-128.42, h-128.42, l-128.26, c-128.26, v-318, oi-0.0
2021-05-25, o-128.11, h-128.12, l-128.075, c-128.08, v-420, oi-0.0
2021-05-25, o-128.03, h-128.06, l-127.85, c-127.85, v-568, oi-0.0
2021-05-25, o-128.205, h-128.225, l-128.165, c-128.225, v-602, oi-0.0
2021-05-25, o-128.27, h-128.29, l-128.27, c-128.29, v-208, oi-0.0
2021-05-25, o-128.33, h-128.455, l-128.33, c-128.455, v-415, oi-0.0
2021-05-25, o-128.425, h-128.425, l-128.425, c-128.425, v-202, oi-0.0
2021-05-25, o-128.27, h-128.35, l-128.27, c-128.35, v-406, oi-0.0
2021-05-25, o-128.21, h-128.21, l-128.21, c-128.21, v-101, oi-0.0
2021-05-25, o-128.14, h-128.14, l-128.055, c-128.055, v-216, oi-0.0
2021-05-25, o-128.09, h-128.09, l-128.03, c-128.03, v-597, oi-0.0
2021-05-25, o-127.98, h-128.02, l-127.98, c-128.02, v-300, oi-0.0
2021-05-25, o-127.91, h-127.91, l-127.91, c-127.91, v-233, oi-0.0
2021-05-25, o-127.76, h-127.76, l-127.76, c-127.76, v-208, oi-0.0
2021-05-25, o-127.735, h-127.735, l-127.67, c-127.67, v-201, oi-0.0
2021-05-25, o-127.785, h-127.785, l-127.785, c-127.785, v-104, oi-0.0
2021-05-25, o-127.97, h-127.97, l-127.94, c-127.94, v-308, oi-0.0
2021-05-25, o-127.9, h-127.94, l-127.9, c-127.94, v-200, oi-0.0
2021-05-25, o-127.99, h-127.99, l-127.99, c-127.99, v-102, oi-0.0
2021-05-25, o-127.93, h-127.93, l-127.93, c-127.93, v-144, oi-0.0
2021-05-25, o-127.88, h-127.88, l-127.88, c-127.88, v-297, oi-0.0
2021-05-25, o-127.93, h-127.93, l-127.87, c-127.91, v-2390, oi-0.0
2021-05-25, o-127.945, h-127.945, l-127.81, c-127.81, v-856, oi-0.0
2021-05-25, o-127.7, h-127.7, l-127.7, c-127.7, v-119, oi-0.0
2021-05-25, o-127.645, h-127.73, l-127.645, c-127.73, v-345, oi-0.0
2021-05-25, o-127.61, h-127.61, l-127.61, c-127.61, v-210, oi-0.0
2021-05-25, o-127.6, h-127.6, l-127.6, c-127.6, v-206, oi-0.0
2021-05-25, o-127.755, h-127.9, l-127.755, c-127.79, v-2867, oi-0.0
2021-05-25, o-127.745, h-127.815, l-127.745, c-127.815, v-491, oi-0.0
2021-05-25, o-127.81, h-127.81, l-127.81, c-127.81, v-201, oi-0.0
2021-05-25, o-127.73, h-127.73, l-127.7, c-127.7, v-434, oi-0.0
2021-05-25, o-127.82, h-127.82, l-127.75, c-127.75, v-478, oi-0.0
2021-05-25, o-127.95, h-127.95, l-127.95, c-127.95, v-151, oi-0.0
2021-05-25, o-127.955, h-127.955, l-127.955, c-127.955, v-207, oi-0.0
2021-05-25, o-127.86, h-127.86, l-127.86, c-127.86, v-266, oi-0.0
2021-05-25, o-127.82, h-127.88, l-127.775, c-127.775, v-1484, oi-0.0
2021-05-25, o-127.675, h-127.675, l-127.43, c-127.46, v-4730, oi-0.0
2021-05-25, o-127.535, h-127.85, l-127.535, c-127.85, v-2407, oi-0.0
2021-05-26, o-127.925, h-127.925, l-127.925, c-127.925, v-114, oi-0.0
2021-05-26, o-127.64, h-127.72, l-127.64, c-127.72, v-202, oi-0.0
2021-05-26, o-128, h-128, l-128, c-128, v-200, oi-0.0
2021-05-26, o-127.96, h-128.09, l-127.93, c-128.09, v-523, oi-0.0
2021-05-26, o-128.21, h-128.21, l-128.21, c-128.21, v-100, oi-0.0
2021-05-26, o-128, h-128.03, l-127.75, c-127.75, v-1243, oi-0.0
2021-05-26, o-127.89, h-128.11, l-127.89, c-128.11, v-734, oi-0.0
2021-05-26, o-127.98, h-127.98, l-127.98, c-127.98, v-100, oi-0.0
2021-05-26, o-127.95, h-127.97, l-127.95, c-127.97, v-240, oi-0.0
2021-05-26, o-127.92, h-127.92, l-127.88, c-127.88, v-343, oi-0.0
2021-05-26, o-127.81, h-127.81, l-127.81, c-127.81, v-243, oi-0.0
2021-05-26, o-127.92, h-127.92, l-127.76, c-127.76, v-205, oi-0.0
2021-05-26, o-127.725, h-127.725, l-127.725, c-127.725, v-100, oi-0.0
2021-05-26, o-127.67, h-127.67, l-127.42, c-127.42, v-740, oi-0.0
2021-05-26, o-127.51, h-127.51, l-127.49, c-127.51, v-320, oi-0.0
2021-05-26, o-127.22, h-127.22, l-127.14, c-127.14, v-215, oi-0.0
2021-05-26, o-127.13, h-127.18, l-127.11, c-127.18, v-423, oi-0.0
2021-05-26, o-127.19, h-127.19, l-127.05, c-127.05, v-626, oi-0.0
2021-05-26, o-127.065, h-127.18, l-127.065, c-127.11, v-647, oi-0.0
2021-05-26, o-127.03, h-127.03, l-127.03, c-127.03, v-134, oi-0.0
2021-05-26, o-127.06, h-127.06, l-127.06, c-127.06, v-110, oi-0.0
2021-05-26, o-127.03, h-127.03, l-126.9, c-126.9, v-467, oi-0.0
2021-05-26, o-126.88, h-127.11, l-126.88, c-127.11, v-457, oi-0.0
2021-05-26, o-127.165, h-127.165, l-127.1, c-127.1, v-230, oi-0.0
2021-05-26, o-127.14, h-127.14, l-127.14, c-127.14, v-200, oi-0.0
2021-05-26, o-127.045, h-127.19, l-127.045, c-127.19, v-290, oi-0.0
