Date, Open, High, Low, Close, Volume, Open Interest
2018-05-23, o-52.67, h-54.51, l-52.15, c-52.7, v-2247253, oi-0.0
2018-05-24, o-53, h-54.375, l-52.85, c-54.26, v-1822916, oi-0.0
2018-05-28, o-54.16, h-55.55, l-54.12, c-55.43, v-2275912, oi-0.0
2018-05-29, o-55.57, h-56.49, l-55.39, c-56.14, v-1822351, oi-0.0
2018-05-30, o-56.31, h-56.55, l-54.63, c-54.83, v-2393181, oi-0.0
2018-05-31, o-55.18, h-56.07, l-54.9, c-55.57, v-1179010, oi-0.0
2018-06-03, o-55.63, h-56.15, l-55.47, c-56.11, v-1761098, oi-0.0
2018-06-04, o-55.95, h-57.33, l-55.95, c-57.3, v-1740741, oi-0.0
2018-06-05, o-57.14, h-57.41, l-56.6324, c-57.15, v-1190753, oi-0.0
2018-06-06, o-57.42, h-57.42, l-56.43, c-57.07, v-928838, oi-0.0
2018-06-07, o-56.98, h-57.73, l-56.91, c-57.64, v-813263, oi-0.0
2018-06-10, o-57.83, h-58, l-57.29, c-57.56, v-1107341, oi-0.0
2018-06-11, o-57.58, h-57.8, l-57.34, c-57.61, v-813904, oi-0.0
2018-06-12, o-57.8, h-58.24, l-57.57, c-57.7, v-656752, oi-0.0
2018-06-13, o-57.72, h-58.19, l-57.325, c-58.09, v-1019537, oi-0.0
2018-06-14, o-57.98, h-58.32, l-57.33, c-58.21, v-1684235, oi-0.0
2018-06-17, o-57.92, h-58.96, l-57.77, c-58.82, v-967441, oi-0.0
2018-06-18, o-58.27, h-59.54, l-58.19, c-59.43, v-1219981, oi-0.0
2018-06-19, o-59.64, h-60.4, l-59.05, c-60.21, v-1124807, oi-0.0
2018-06-20, o-60.19, h-60.43, l-59.24, c-59.57, v-864015, oi-0.0
2018-06-21, o-60.23, h-60.295, l-59.7374, c-59.9, v-1018700, oi-0.0
2018-06-24, o-60, h-60.01, l-57.79, c-58.3, v-1143894, oi-0.0
2018-06-25, o-57.45, h-57.75, l-55.78, c-56.29, v-3150213, oi-0.0
2018-06-26, o-56.56, h-56.56, l-55.13, c-55.18, v-1967721, oi-0.0
2018-06-27, o-55.24, h-56.08, l-54.63, c-56.01, v-1788297, oi-0.0
2018-06-28, o-56.08, h-57.04, l-55.78, c-55.99, v-4702274, oi-0.0
2018-07-01, o-56.57, h-56.88, l-55.7, c-56.85, v-1902910, oi-0.0
