Date, Open, High, Low, Close, Volume, Open Interest
2021-05-21, o-52.72, h-52.72, l-52.68, c-52.695, v-518, oi-0.0
2021-05-21, o-52.69, h-52.69, l-52.69, c-52.69, v-105, oi-0.0
2021-05-21, o-52.675, h-52.675, l-52.675, c-52.675, v-221, oi-0.0
2021-05-21, o-52.67, h-52.695, l-52.665, c-52.665, v-2595, oi-0.0
2021-05-21, o-52.68, h-52.68, l-52.67, c-52.675, v-1254, oi-0.0
2021-05-21, o-52.67, h-52.67, l-52.67, c-52.67, v-927, oi-0.0
2021-05-21, o-52.655, h-52.655, l-52.65, c-52.65, v-1248, oi-0.0
2021-05-21, o-52.63, h-52.64, l-52.63, c-52.64, v-815, oi-0.0
2021-05-21, o-52.615, h-52.62, l-52.615, c-52.615, v-1101, oi-0.0
2021-05-21, o-52.64, h-52.645, l-52.615, c-52.645, v-3135, oi-0.0
2021-05-21, o-52.64, h-52.66, l-52.64, c-52.655, v-1457, oi-0.0
2021-05-21, o-52.635, h-52.655, l-52.635, c-52.655, v-2026, oi-0.0
2021-05-21, o-52.665, h-52.715, l-52.665, c-52.7, v-5535, oi-0.0
2021-05-21, o-52.705, h-52.705, l-52.7, c-52.7, v-887, oi-0.0
2021-05-21, o-52.67, h-52.67, l-52.665, c-52.665, v-321, oi-0.0
2021-05-21, o-52.675, h-52.675, l-52.655, c-52.655, v-831, oi-0.0
2021-05-21, o-52.665, h-52.665, l-52.655, c-52.655, v-830, oi-0.0
2021-05-21, o-52.655, h-52.675, l-52.655, c-52.675, v-1020, oi-0.0
2021-05-21, o-52.675, h-52.675, l-52.61, c-52.61, v-1382, oi-0.0
2021-05-21, o-52.615, h-52.62, l-52.615, c-52.62, v-788, oi-0.0
2021-05-21, o-52.625, h-52.63, l-52.62, c-52.62, v-1053, oi-0.0
2021-05-21, o-52.605, h-52.625, l-52.605, c-52.625, v-854, oi-0.0
2021-05-21, o-52.625, h-52.635, l-52.625, c-52.63, v-729, oi-0.0
2021-05-21, o-52.63, h-52.63, l-52.62, c-52.62, v-2302, oi-0.0
2021-05-21, o-52.64, h-52.64, l-52.64, c-52.64, v-209, oi-0.0
2021-05-21, o-52.64, h-52.65, l-52.64, c-52.64, v-830, oi-0.0
2021-05-21, o-52.64, h-52.64, l-52.64, c-52.64, v-229, oi-0.0
2021-05-21, o-52.64, h-52.64, l-52.635, c-52.635, v-624, oi-0.0
2021-05-21, o-52.62, h-52.62, l-52.62, c-52.62, v-232, oi-0.0
2021-05-21, o-52.63, h-52.63, l-52.63, c-52.63, v-100, oi-0.0
2021-05-21, o-52.63, h-52.635, l-52.63, c-52.635, v-349, oi-0.0
2021-05-21, o-52.635, h-52.65, l-52.635, c-52.645, v-473, oi-0.0
2021-05-21, o-52.645, h-52.645, l-52.645, c-52.645, v-102, oi-0.0
2021-05-21, o-52.65, h-52.65, l-52.65, c-52.65, v-1473, oi-0.0
2021-05-21, o-52.66, h-52.665, l-52.655, c-52.665, v-361, oi-0.0
2021-05-21, o-52.67, h-52.67, l-52.665, c-52.67, v-400, oi-0.0
2021-05-21, o-52.68, h-52.68, l-52.675, c-52.675, v-1000, oi-0.0
2021-05-21, o-52.675, h-52.675, l-52.64, c-52.645, v-701, oi-0.0
2021-05-21, o-52.655, h-52.665, l-52.655, c-52.665, v-332, oi-0.0
2021-05-21, o-52.64, h-52.64, l-52.64, c-52.64, v-219, oi-0.0
2021-05-21, o-52.64, h-52.645, l-52.64, c-52.645, v-235, oi-0.0
2021-05-21, o-52.645, h-52.645, l-52.64, c-52.645, v-400, oi-0.0
2021-05-21, o-52.615, h-52.62, l-52.61, c-52.62, v-698, oi-0.0
2021-05-21, o-52.59, h-52.61, l-52.59, c-52.61, v-412, oi-0.0
2021-05-21, o-52.615, h-52.63, l-52.615, c-52.62, v-702, oi-0.0
2021-05-21, o-52.6, h-52.6, l-52.585, c-52.585, v-753, oi-0.0
2021-05-21, o-52.61, h-52.61, l-52.61, c-52.61, v-200, oi-0.0
2021-05-21, o-52.605, h-52.61, l-52.6, c-52.6, v-759, oi-0.0
2021-05-21, o-52.59, h-52.59, l-52.59, c-52.59, v-303, oi-0.0
2021-05-21, o-52.59, h-52.6, l-52.59, c-52.6, v-875, oi-0.0
2021-05-21, o-52.595, h-52.64, l-52.595, c-52.64, v-1722, oi-0.0
2021-05-21, o-52.645, h-52.65, l-52.64, c-52.64, v-1901, oi-0.0
2021-05-21, o-52.63, h-52.63, l-52.62, c-52.62, v-697, oi-0.0
2021-05-21, o-52.62, h-52.62, l-52.62, c-52.62, v-1482, oi-0.0
2021-05-21, o-52.615, h-52.64, l-52.61, c-52.64, v-1256, oi-0.0
