Date, Open, High, Low, Close, Volume, Open Interest
2020-11-23, o-42.14, h-42.71, l-41.9, c-42.61, v-19696637, oi-0.0
2020-11-24, o-42.78, h-42.8, l-42.21, c-42.52, v-19296853, oi-0.0
2020-11-26, o-42.855, h-42.98, l-42.64, c-42.68, v-9527044, oi-0.0
2020-11-29, o-42.44, h-43.05, l-42.41, c-43.02, v-20084335, oi-0.0
2020-11-30, o-43.01, h-44.07, l-43.01, c-43.52, v-21003859, oi-0.0
2020-12-01, o-43.39, h-43.96, l-43.35, c-43.89, v-15412803, oi-0.0
2020-12-02, o-43.78, h-44.14, l-43.595, c-44.12, v-20977365, oi-0.0
2020-12-03, o-43.89, h-44.51, l-43.89, c-44.39, v-13776402, oi-0.0
2020-12-06, o-44.2868, h-44.49, l-43.91, c-44.36, v-11848327, oi-0.0
2020-12-07, o-44.2055, h-44.525, l-43.93, c-44.37, v-11518341, oi-0.0
2020-12-08, o-44.47, h-44.83, l-44.36, c-44.68, v-17616438, oi-0.0
2020-12-09, o-44.54, h-44.605, l-44.11, c-44.31, v-12878744, oi-0.0
2020-12-10, o-43.94, h-44.33, l-43.72, c-44.33, v-12055795, oi-0.0
2020-12-13, o-44.27, h-44.91, l-44.15, c-44.23, v-12729393, oi-0.0
2020-12-14, o-44.39, h-44.795, l-44.135, c-44.74, v-15018243, oi-0.0
2020-12-15, o-44.695, h-45.14, l-44.525, c-44.705, v-12994660, oi-0.0
2020-12-16, o-44.91, h-44.93, l-44.6, c-44.84, v-10888990, oi-0.0
2020-12-17, o-44.9, h-45.57, l-44.77, c-45.44, v-20497603, oi-0.0
2020-12-20, o-44.47, h-44.955, l-44.065, c-44.89, v-15250014, oi-0.0
2020-12-21, o-44.44, h-45.07, l-44.44, c-44.7, v-12371589, oi-0.0
2020-12-22, o-44.65, h-44.8029, l-44.35, c-44.38, v-9736424, oi-0.0
2020-12-23, o-44.45, h-44.59, l-44.23, c-44.54, v-4917976, oi-0.0
2020-12-27, o-44.93, h-45.34, l-44.72, c-44.92, v-10483616, oi-0.0
