Date, Open, High, Low, Close, Volume, Open Interest
2017-06-01, o-54.79, h-55.06, l-54.36, c-54.54, v-3964989, oi-0.0
2017-06-04, o-54.59, h-55, l-52.93, c-54.03, v-6455365, oi-0.0
2017-06-05, o-54.1, h-54.43, l-53.1, c-53.13, v-5079411, oi-0.0
2017-06-06, o-53.04, h-53.15, l-52.49, c-52.95, v-6874311, oi-0.0
2017-06-07, o-53.06, h-53.15, l-52.7, c-52.94, v-4566804, oi-0.0
2017-06-08, o-53.01, h-53.78, l-51.58, c-52.24, v-6854651, oi-0.0
2017-06-11, o-52.27, h-53.54, l-51.69, c-53.52, v-5619419, oi-0.0
2017-06-12, o-53.34, h-53.945, l-53.25, c-53.87, v-3366771, oi-0.0
2017-06-13, o-54.07, h-54.11, l-52.11, c-52.37, v-4908012, oi-0.0
2017-06-14, o-51.75, h-53.3928, l-51.72, c-53.29, v-5495289, oi-0.0
2017-06-15, o-53.14, h-53.16, l-52.49, c-52.74, v-6979207, oi-0.0
2017-06-18, o-53, h-53.67, l-52.87, c-53.26, v-8347748, oi-0.0
2017-06-19, o-53.07, h-53.07, l-52.045, c-52.13, v-6085216, oi-0.0
2017-06-20, o-52.28, h-52.36, l-51.2, c-52.2, v-3635326, oi-0.0
2017-06-21, o-52.12, h-52.72, l-51.95, c-52.6, v-3718726, oi-0.0
2017-06-22, o-52.54, h-53.03, l-51.8, c-52.68, v-4953028, oi-0.0
2017-06-25, o-53.1, h-53.75, l-52.8, c-53.12, v-3259452, oi-0.0
2017-06-26, o-53.13, h-53.63, l-52.96, c-53.34, v-6163332, oi-0.0
2017-06-27, o-53.7, h-54.655, l-53.42, c-54.58, v-4594966, oi-0.0
2017-06-28, o-54.56, h-54.74, l-53.51, c-53.82, v-5183717, oi-0.0
2017-06-29, o-54.75, h-54.789, l-53.73, c-53.73, v-3897264, oi-0.0
2017-07-02, o-53.92, h-54.675, l-53.56, c-54.49, v-2892315, oi-0.0
2017-07-04, o-54.5, h-55.31, l-54.49, c-55.09, v-3603982, oi-0.0
2017-07-05, o-54.63, h-55.06, l-54.44, c-54.6, v-3836636, oi-0.0
2017-07-06, o-54.72, h-55.28, l-54.37, c-54.85, v-3461774, oi-0.0
2017-07-09, o-54.65, h-55.21, l-53.71, c-54.89, v-3486333, oi-0.0
2017-07-10, o-54.83, h-54.87, l-53.92, c-54.15, v-3410171, oi-0.0
2017-07-11, o-54.72, h-55.32, l-54.31, c-54.35, v-3375384, oi-0.0
2017-07-12, o-54.29, h-55.09, l-53.99, c-54.825, v-2219609, oi-0.0
2017-07-13, o-54.96, h-55.195, l-54.13, c-54.24, v-3299811, oi-0.0
2017-07-16, o-54.15, h-54.915, l-53.53, c-54.63, v-3280688, oi-0.0
2017-07-17, o-54.49, h-54.84, l-54.16, c-54.62, v-5770706, oi-0.0
2017-07-18, o-53.02, h-53.15, l-50.68, c-51.87, v-26591945, oi-0.0
2017-07-19, o-51.91, h-52.13, l-50.33, c-50.88, v-19267979, oi-0.0
2017-07-20, o-50.6, h-51.83, l-50.51, c-51.68, v-9643499, oi-0.0
2017-07-23, o-51.54, h-51.93, l-49.9, c-50.82, v-12221438, oi-0.0
2017-07-24, o-50.98, h-51.77, l-50.67, c-50.78, v-7155145, oi-0.0
2017-07-25, o-50.66, h-52.4, l-50.08, c-52.07, v-8494224, oi-0.0
2017-07-26, o-52.09, h-52.11, l-49, c-49.24, v-13350378, oi-0.0
2017-07-27, o-48.62, h-49.48, l-48.12, c-49.23, v-8636198, oi-0.0
2017-07-30, o-49.19, h-49.7737, l-48.58, c-49.34, v-4968032, oi-0.0
2017-07-31, o-49.29, h-49.4, l-47.68, c-47.86, v-10343794, oi-0.0
2017-08-01, o-48.32, h-48.64, l-47.36, c-47.41, v-7480479, oi-0.0
2017-08-02, o-47.27, h-49.3, l-47.27, c-49.27, v-7422445, oi-0.0
2017-08-03, o-49.46, h-49.47, l-48.63, c-48.72, v-5588380, oi-0.0
2017-08-06, o-48.81, h-49, l-48.15, c-48.87, v-5229218, oi-0.0
2017-08-07, o-48.7, h-50.14, l-48.49, c-50.13, v-6278645, oi-0.0
2017-08-08, o-50.03, h-50.13, l-49.12, c-49.93, v-6053693, oi-0.0
2017-08-09, o-49.7, h-49.98, l-48.94, c-49.08, v-6166498, oi-0.0
2017-08-10, o-49.31, h-49.95, l-49.31, c-49.51, v-3737490, oi-0.0
2017-08-13, o-49.89, h-50.81, l-49.73, c-50.75, v-3998187, oi-0.0
2017-08-14, o-50.85, h-51.14, l-50.63, c-51.13, v-3290872, oi-0.0
2017-08-15, o-51.37, h-51.38, l-50.33, c-50.39, v-4764722, oi-0.0
2017-08-16, o-50.11, h-50.37, l-48.87, c-48.89, v-5688385, oi-0.0
2017-08-17, o-48.67, h-49.29, l-48.16, c-48.78, v-6203535, oi-0.0
2017-08-20, o-48.7, h-48.81, l-47.73, c-47.96, v-4970412, oi-0.0
2017-08-21, o-48.33, h-50, l-48.23, c-49.91, v-4832002, oi-0.0
2017-08-22, o-49.59, h-49.72, l-48.51, c-48.87, v-4356826, oi-0.0
2017-08-23, o-49.09, h-49.19, l-48.1175, c-48.37, v-4566624, oi-0.0
2017-08-24, o-48.42, h-49.02, l-47.66, c-48.86, v-3491698, oi-0.0
2017-08-27, o-49, h-49.57, l-48.905, c-49.51, v-4212430, oi-0.0
2017-08-28, o-49, h-49.92, l-48.9, c-49.78, v-4514209, oi-0.0
2017-08-29, o-49.69, h-50.1, l-49.35, c-49.84, v-4615520, oi-0.0
2017-08-30, o-49.83, h-50.36, l-49.23, c-50.2, v-4597272, oi-0.0
2017-08-31, o-50.38, h-50.58, l-49.53, c-49.77, v-2955939, oi-0.0
2017-09-04, o-49.67, h-49.69, l-48.69, c-48.99, v-6585953, oi-0.0
2017-09-05, o-49.13, h-51.34, l-49.065, c-49.65, v-7954247, oi-0.0
2017-09-06, o-49.68, h-51.58, l-49.52, c-51.49, v-7251037, oi-0.0
2017-09-07, o-51.42, h-51.55, l-50.41, c-50.57, v-4906763, oi-0.0
2017-09-10, o-50.88, h-51.53, l-50.85, c-51.49, v-3974166, oi-0.0
2017-09-11, o-51.46, h-52.18, l-51.14, c-51.93, v-3272157, oi-0.0
2017-09-12, o-51.98, h-52.1, l-51.48, c-52.07, v-3154686, oi-0.0
2017-09-13, o-51.84, h-52.51, l-51.43, c-51.5, v-3702145, oi-0.0
2017-09-14, o-51.31, h-52.5, l-51.27, c-52.485, v-5053948, oi-0.0
2017-09-17, o-52.44, h-52.69, l-51.835, c-51.85, v-3916807, oi-0.0
2017-09-18, o-51.95, h-52.18, l-51.18, c-51.79, v-4419949, oi-0.0
2017-09-19, o-51.82, h-52.84, l-51.64, c-52.82, v-2997276, oi-0.0
2017-09-20, o-52.76, h-52.8899, l-52.16, c-52.86, v-2967151, oi-0.0
2017-09-21, o-52.55, h-53.23, l-52.333, c-53.1, v-3042257, oi-0.0
2017-09-24, o-53.04, h-53.37, l-52.67, c-53.34, v-2733380, oi-0.0
2017-09-25, o-53.34, h-53.75, l-52.79, c-52.98, v-3369857, oi-0.0
2017-09-26, o-53.17, h-54.23, l-53.04, c-53.23, v-4072079, oi-0.0
2017-09-27, o-53.05, h-53.92, l-53.05, c-53.69, v-2620924, oi-0.0
2017-09-28, o-53.65, h-53.91, l-53.2, c-53.65, v-3395499, oi-0.0
2017-10-01, o-52.22, h-52.86, l-51.85, c-52.19, v-5487145, oi-0.0
