Date, Open, High, Low, Close, Volume, Open Interest
2021-05-19, o-97.885, h-97.98, l-97.87, c-97.98, v-1390, oi-0.0
2021-05-19, o-97.945, h-98.015, l-97.945, c-97.98, v-1047, oi-0.0
2021-05-19, o-98.06, h-98.08, l-98.03, c-98.04, v-1530, oi-0.0
2021-05-19, o-98, h-98.06, l-98, c-98.06, v-644, oi-0.0
2021-05-19, o-98.05, h-98.185, l-98.05, c-98.14, v-1974, oi-0.0
2021-05-19, o-98.18, h-98.2, l-98.135, c-98.2, v-1633, oi-0.0
2021-05-19, o-98.2, h-98.35, l-98.2, c-98.35, v-1566, oi-0.0
2021-05-19, o-98.37, h-98.37, l-98.29, c-98.34, v-1553, oi-0.0
2021-05-19, o-98.355, h-98.355, l-98.21, c-98.215, v-1494, oi-0.0
2021-05-19, o-98.245, h-98.25, l-98.205, c-98.22, v-1541, oi-0.0
2021-05-19, o-98.25, h-98.26, l-98.165, c-98.255, v-1531, oi-0.0
2021-05-19, o-98.215, h-98.295, l-98.215, c-98.24, v-1198, oi-0.0
2021-05-19, o-98.25, h-98.3, l-98.215, c-98.3, v-979, oi-0.0
2021-05-19, o-98.24, h-98.34, l-98.24, c-98.34, v-3788, oi-0.0
2021-05-19, o-98.335, h-98.34, l-98.32, c-98.34, v-929, oi-0.0
2021-05-19, o-98.28, h-98.41, l-98.28, c-98.385, v-1283, oi-0.0
2021-05-19, o-98.38, h-98.5, l-98.36, c-98.5, v-1098, oi-0.0
2021-05-19, o-98.475, h-98.475, l-98.445, c-98.46, v-421, oi-0.0
2021-05-19, o-98.45, h-98.48, l-98.425, c-98.445, v-1317, oi-0.0
2021-05-19, o-98.485, h-98.485, l-98.4, c-98.4, v-968, oi-0.0
2021-05-19, o-98.315, h-98.325, l-98.305, c-98.305, v-1403, oi-0.0
2021-05-19, o-98.335, h-98.335, l-98.29, c-98.3, v-784, oi-0.0
2021-05-19, o-98.28, h-98.28, l-98.12, c-98.225, v-1471, oi-0.0
2021-05-19, o-98.21, h-98.225, l-98.21, c-98.21, v-738, oi-0.0
2021-05-19, o-98.24, h-98.285, l-98.225, c-98.285, v-1264, oi-0.0
2021-05-19, o-98.33, h-98.395, l-98.31, c-98.395, v-1298, oi-0.0
2021-05-19, o-98.405, h-98.405, l-98.35, c-98.38, v-909, oi-0.0
2021-05-19, o-98.44, h-98.44, l-98.03, c-98.08, v-1411, oi-0.0
2021-05-19, o-98, h-98.08, l-97.9, c-98.07, v-1802, oi-0.0
2021-05-19, o-98.05, h-98.05, l-97.915, c-97.95, v-1799, oi-0.0
2021-05-19, o-97.82, h-97.825, l-97.745, c-97.825, v-1189, oi-0.0
2021-05-19, o-97.88, h-98.45, l-97.88, c-98.35, v-2297, oi-0.0
2021-05-19, o-98.33, h-98.35, l-98.225, c-98.29, v-1457, oi-0.0
2021-05-19, o-98.28, h-98.4, l-98.14, c-98.14, v-2427, oi-0.0
2021-05-19, o-98.1, h-98.18, l-97.96, c-98.04, v-2239, oi-0.0
2021-05-19, o-98.06, h-98.11, l-98.02, c-98.05, v-1638, oi-0.0
2021-05-19, o-98.06, h-98.09, l-97.98, c-98.07, v-1269, oi-0.0
2021-05-19, o-98.07, h-98.13, l-98.03, c-98.03, v-1489, oi-0.0
2021-05-19, o-98.1, h-98.24, l-98.065, c-98.08, v-1970, oi-0.0
2021-05-19, o-98.09, h-98.09, l-97.98, c-98, v-1691, oi-0.0
2021-05-19, o-98.06, h-98.2, l-98.06, c-98.18, v-1100, oi-0.0
2021-05-19, o-98.19, h-98.32, l-98.19, c-98.2, v-1922, oi-0.0
2021-05-19, o-98.24, h-98.3, l-98.22, c-98.28, v-984, oi-0.0
2021-05-19, o-98.3, h-98.47, l-98.28, c-98.45, v-2358, oi-0.0
2021-05-19, o-98.46, h-98.545, l-98.43, c-98.53, v-2252, oi-0.0
2021-05-19, o-98.48, h-98.48, l-98.34, c-98.365, v-2510, oi-0.0
2021-05-19, o-98.35, h-98.46, l-98.35, c-98.445, v-3026, oi-0.0
2021-05-19, o-98.45, h-98.45, l-98.335, c-98.335, v-3686, oi-0.0
2021-05-19, o-98.295, h-98.3, l-98.165, c-98.2, v-3734, oi-0.0
2021-05-19, o-98.24, h-98.33, l-98.22, c-98.25, v-10785, oi-0.0
2021-05-19, o-98.245, h-98.39, l-98.185, c-98.36, v-12282, oi-0.0
2021-05-20, o-98.04, h-98.28, l-98.04, c-98.09, v-1667, oi-0.0
2021-05-20, o-97.99, h-98.05, l-97.89, c-97.89, v-1777, oi-0.0
2021-05-20, o-97.85, h-97.85, l-97.44, c-97.54, v-3038, oi-0.0
2021-05-20, o-97.75, h-97.98, l-97.75, c-97.98, v-717, oi-0.0
2021-05-20, o-97.96, h-98.09, l-97.87, c-98.08, v-1220, oi-0.0
