Date, Open, High, Low, Close, Volume, Open Interest
2021-05-12, o-347.565, h-347.565, l-347.565, c-347.565, v-100, oi-0.0
2021-05-12, o-347.715, h-347.715, l-347.55, c-347.57, v-467, oi-0.0
2021-05-12, o-347.53, h-347.53, l-347.53, c-347.53, v-150, oi-0.0
2021-05-12, o-347.295, h-347.295, l-347.295, c-347.295, v-101, oi-0.0
2021-05-12, o-347.145, h-347.145, l-347.145, c-347.145, v-101, oi-0.0
2021-05-12, o-347.19, h-347.19, l-347.19, c-347.19, v-172, oi-0.0
2021-05-12, o-347.145, h-347.145, l-347.04, c-347.07, v-410, oi-0.0
2021-05-12, o-346.96, h-346.96, l-346.96, c-346.96, v-106, oi-0.0
2021-05-12, o-346.92, h-346.92, l-346.92, c-346.92, v-133, oi-0.0
2021-05-12, o-346.65, h-346.65, l-346.59, c-346.59, v-243, oi-0.0
2021-05-12, o-345.54, h-345.54, l-345.54, c-345.54, v-100, oi-0.0
2021-05-12, o-345.405, h-345.405, l-345.405, c-345.405, v-243, oi-0.0
2021-05-12, o-345.57, h-345.57, l-345.57, c-345.57, v-103, oi-0.0
2021-05-12, o-345.72, h-345.84, l-345.72, c-345.84, v-219, oi-0.0
2021-05-12, o-345.89, h-345.89, l-345.89, c-345.89, v-195, oi-0.0
2021-05-12, o-345.75, h-345.75, l-345.75, c-345.75, v-100, oi-0.0
2021-05-12, o-345.445, h-345.445, l-345.445, c-345.445, v-120, oi-0.0
2021-05-12, o-345.38, h-346.025, l-345.38, c-346.025, v-340, oi-0.0
2021-05-12, o-345.9, h-345.9, l-345.77, c-345.77, v-308, oi-0.0
2021-05-12, o-345.59, h-345.59, l-345.59, c-345.59, v-100, oi-0.0
2021-05-12, o-345.475, h-345.475, l-345.305, c-345.305, v-219, oi-0.0
2021-05-12, o-345.4, h-345.4, l-345.315, c-345.315, v-206, oi-0.0
2021-05-12, o-345, h-345, l-345, c-345, v-107, oi-0.0
2021-05-12, o-345.07, h-345.38, l-345.07, c-345.38, v-394, oi-0.0
2021-05-12, o-345.17, h-345.17, l-345.17, c-345.17, v-116, oi-0.0
2021-05-12, o-345.62, h-345.62, l-345.54, c-345.54, v-236, oi-0.0
2021-05-12, o-345.47, h-345.695, l-345.47, c-345.695, v-429, oi-0.0
2021-05-12, o-345.975, h-345.975, l-345.66, c-345.66, v-214, oi-0.0
2021-05-12, o-345.68, h-345.7, l-345.63, c-345.63, v-306, oi-0.0
2021-05-12, o-345.535, h-345.535, l-345.245, c-345.245, v-511, oi-0.0
2021-05-12, o-345.28, h-345.28, l-345.255, c-345.26, v-305, oi-0.0
2021-05-12, o-345.265, h-345.265, l-344.52, c-344.52, v-512, oi-0.0
2021-05-12, o-344.66, h-344.66, l-344.46, c-344.46, v-434, oi-0.0
2021-05-12, o-344.355, h-344.355, l-344.08, c-344.08, v-309, oi-0.0
2021-05-12, o-344.23, h-344.23, l-343.995, c-343.995, v-515, oi-0.0
2021-05-12, o-343.955, h-343.955, l-343.37, c-343.37, v-1013, oi-0.0
2021-05-12, o-343.37, h-343.5, l-343.225, c-343.225, v-865, oi-0.0
2021-05-12, o-343.49, h-343.49, l-343.21, c-343.3, v-855, oi-0.0
2021-05-12, o-343.28, h-343.865, l-343.28, c-343.8, v-764, oi-0.0
2021-05-12, o-343.76, h-343.93, l-343.715, c-343.715, v-984, oi-0.0
2021-05-12, o-343.925, h-343.96, l-343.76, c-343.76, v-960, oi-0.0
2021-05-13, o-345.69, h-345.69, l-345.69, c-345.69, v-100, oi-0.0
2021-05-13, o-345.905, h-345.905, l-345.905, c-345.905, v-200, oi-0.0
2021-05-13, o-345.63, h-345.63, l-345.63, c-345.63, v-202, oi-0.0
2021-05-13, o-347.48, h-347.48, l-347.17, c-347.17, v-206, oi-0.0
2021-05-13, o-347.32, h-347.32, l-346.995, c-346.995, v-206, oi-0.0
2021-05-13, o-347.005, h-347.005, l-347.005, c-347.005, v-101, oi-0.0
2021-05-13, o-347.67, h-347.67, l-347.515, c-347.515, v-645, oi-0.0
2021-05-13, o-347.23, h-347.64, l-347.11, c-347.64, v-806, oi-0.0
2021-05-13, o-348.28, h-348.28, l-348.28, c-348.28, v-113, oi-0.0
2021-05-13, o-348.76, h-348.76, l-348.76, c-348.76, v-112, oi-0.0
2021-05-13, o-348.56, h-348.56, l-348.55, c-348.55, v-362, oi-0.0
2021-05-13, o-348.56, h-348.56, l-348.41, c-348.41, v-310, oi-0.0
2021-05-13, o-349.13, h-349.19, l-349.13, c-349.19, v-572, oi-0.0
2021-05-13, o-349.605, h-349.64, l-349.605, c-349.64, v-202, oi-0.0
2021-05-13, o-350.01, h-350.01, l-350.01, c-350.01, v-100, oi-0.0
2021-05-13, o-349.19, h-349.19, l-349.15, c-349.15, v-300, oi-0.0
2021-05-13, o-349.3, h-349.3, l-349.3, c-349.3, v-200, oi-0.0
2021-05-13, o-348.95, h-348.95, l-348.95, c-348.95, v-170, oi-0.0
2021-05-13, o-348.83, h-348.83, l-348.83, c-348.83, v-103, oi-0.0
2021-05-13, o-348.64, h-348.64, l-348.64, c-348.64, v-100, oi-0.0
2021-05-13, o-348.38, h-348.38, l-348.38, c-348.38, v-100, oi-0.0
2021-05-13, o-348.37, h-348.37, l-348.37, c-348.37, v-105, oi-0.0
2021-05-13, o-347.93, h-347.93, l-347.93, c-347.93, v-137, oi-0.0
2021-05-13, o-348.75, h-348.75, l-348.75, c-348.75, v-142, oi-0.0
2021-05-13, o-348.99, h-348.99, l-348.99, c-348.99, v-100, oi-0.0
2021-05-13, o-349.57, h-349.57, l-349.57, c-349.57, v-148, oi-0.0
2021-05-13, o-349.385, h-349.385, l-349.385, c-349.385, v-176, oi-0.0
2021-05-13, o-349.7, h-349.7, l-349.605, c-349.605, v-542, oi-0.0
2021-05-13, o-350.125, h-350.125, l-350.125, c-350.125, v-100, oi-0.0
2021-05-13, o-350.07, h-350.07, l-350.07, c-350.07, v-204, oi-0.0
2021-05-13, o-350.275, h-350.275, l-350.275, c-350.275, v-110, oi-0.0
2021-05-13, o-350.15, h-350.15, l-350.15, c-350.15, v-108, oi-0.0
2021-05-13, o-349.98, h-349.98, l-349.98, c-349.98, v-133, oi-0.0
2021-05-13, o-350.015, h-350.015, l-350.015, c-350.015, v-104, oi-0.0
2021-05-13, o-349.92, h-349.98, l-349.92, c-349.98, v-210, oi-0.0
2021-05-13, o-349.845, h-349.845, l-349.845, c-349.845, v-100, oi-0.0
2021-05-13, o-349.56, h-349.56, l-349.56, c-349.56, v-122, oi-0.0
2021-05-13, o-348.79, h-348.79, l-348.79, c-348.79, v-200, oi-0.0
2021-05-13, o-349.4, h-349.4, l-349.4, c-349.4, v-295, oi-0.0
2021-05-13, o-349.3, h-349.3, l-349.3, c-349.3, v-128, oi-0.0
2021-05-13, o-349.52, h-349.52, l-349.52, c-349.52, v-100, oi-0.0
2021-05-13, o-349.36, h-349.36, l-349.36, c-349.36, v-200, oi-0.0
2021-05-13, o-349.135, h-349.135, l-349.135, c-349.135, v-100, oi-0.0
2021-05-13, o-348.73, h-348.8, l-348.73, c-348.8, v-539, oi-0.0
2021-05-13, o-349.48, h-349.48, l-349.48, c-349.48, v-110, oi-0.0
2021-05-13, o-350.04, h-350.04, l-350.04, c-350.04, v-100, oi-0.0
2021-05-13, o-350.23, h-350.33, l-350.23, c-350.32, v-645, oi-0.0
2021-05-13, o-349.86, h-349.86, l-349.86, c-349.86, v-137, oi-0.0
2021-05-13, o-349.905, h-349.905, l-349.905, c-349.905, v-149, oi-0.0
2021-05-13, o-349.63, h-349.63, l-349.63, c-349.63, v-110, oi-0.0
2021-05-13, o-350, h-350, l-350, c-350, v-100, oi-0.0
2021-05-13, o-349.985, h-349.985, l-349.985, c-349.985, v-231, oi-0.0
