Date, Open, High, Low, Close, Volume, Open Interest
2021-05-12, o-71.3, h-71.7, l-70.96, c-71.29, v-4616830, oi-0.0
2021-05-13, o-71.71, h-71.93, l-70.85, c-70.99, v-7370988, oi-0.0
2021-05-16, o-70.94, h-71.1, l-69.4, c-70.64, v-5842347, oi-0.0
2021-05-17, o-70.9, h-71.86, l-70.34, c-70.98, v-4320408, oi-0.0
2021-05-18, o-69.67, h-70.8, l-69.64, c-70.74, v-2678500, oi-0.0
2021-05-19, o-70.69, h-71.835, l-70.33, c-71.31, v-2991540, oi-0.0
2021-05-20, o-71.58, h-72.15, l-71.09, c-71.25, v-1843708, oi-0.0
2021-05-23, o-71.75, h-71.885, l-71, c-71.09, v-2854932, oi-0.0
2021-05-24, o-71.31, h-71.4, l-70.92, c-70.99, v-4642153, oi-0.0
2021-05-25, o-71.02, h-71.41, l-70.75, c-70.84, v-1582909, oi-0.0
