Date, Open, High, Low, Close, Volume, Open Interest
2021-05-19, o-187.15, h-187.245, l-187.15, c-187.245, v-430, oi-0.0
2021-05-19, o-187.935, h-188.67, l-187.935, c-188.555, v-1147, oi-0.0
2021-05-19, o-188.69, h-189.265, l-188.69, c-189.23, v-1467, oi-0.0
2021-05-19, o-189.08, h-189.405, l-189.08, c-189.405, v-1291, oi-0.0
2021-05-19, o-189.275, h-189.275, l-188.45, c-188.47, v-2187, oi-0.0
2021-05-19, o-188.43, h-188.99, l-188.43, c-188.99, v-552, oi-0.0
2021-05-19, o-188.81, h-188.81, l-188.81, c-188.81, v-100, oi-0.0
2021-05-19, o-188.16, h-188.16, l-188.16, c-188.16, v-181, oi-0.0
2021-05-19, o-188.45, h-188.45, l-188.45, c-188.45, v-210, oi-0.0
2021-05-19, o-188.08, h-188.08, l-188.08, c-188.08, v-111, oi-0.0
2021-05-19, o-187.87, h-187.87, l-187.45, c-187.45, v-350, oi-0.0
2021-05-19, o-187.28, h-187.31, l-187.28, c-187.31, v-217, oi-0.0
2021-05-19, o-187.19, h-187.19, l-187.19, c-187.19, v-127, oi-0.0
2021-05-19, o-187.55, h-188.24, l-187.55, c-188.24, v-419, oi-0.0
2021-05-19, o-188.48, h-188.48, l-188.48, c-188.48, v-103, oi-0.0
2021-05-19, o-188.32, h-188.32, l-188.32, c-188.32, v-154, oi-0.0
2021-05-19, o-188.2, h-188.26, l-188.2, c-188.26, v-464, oi-0.0
2021-05-19, o-187.72, h-187.72, l-187.72, c-187.72, v-100, oi-0.0
2021-05-19, o-188.48, h-188.48, l-188.48, c-188.48, v-100, oi-0.0
2021-05-19, o-188.01, h-188.01, l-188.01, c-188.01, v-100, oi-0.0
2021-05-19, o-187.51, h-187.51, l-187.51, c-187.51, v-100, oi-0.0
2021-05-19, o-187.55, h-187.76, l-187.55, c-187.76, v-402, oi-0.0
2021-05-19, o-187.98, h-188.32, l-187.98, c-188.32, v-295, oi-0.0
