Date, Open, High, Low, Close, Volume, Open Interest
2021-04-27, o-418.27, h-426.62, l-417.17, c-426.12, v-454264, oi-0.0
2021-04-28, o-428, h-428.94, l-418.65, c-422.78, v-637655, oi-0.0
2021-04-29, o-400, h-403.16, l-384.82, c-386.1, v-2569594, oi-0.0
2021-05-02, o-386.31, h-386.545, l-375.5, c-380.67, v-778649, oi-0.0
2021-05-03, o-378.17, h-378.97, l-366.225, c-371.75, v-812398, oi-0.0
2021-05-04, o-371.99, h-374.135, l-360.75, c-366.21, v-714924, oi-0.0
2021-05-05, o-360.75, h-362.88, l-350.645, c-357.34, v-773924, oi-0.0
2021-05-06, o-362.57, h-370.38, l-358.5, c-358.63, v-645850, oi-0.0
2021-05-09, o-358.56, h-359.27, l-342.42, c-342.55, v-746009, oi-0.0
2021-05-10, o-337.52, h-354.98, l-336.18, c-347.87, v-1510182, oi-0.0
2021-05-11, o-344, h-344, l-329.56, c-333.63, v-1031536, oi-0.0
2021-05-12, o-335.92, h-338, l-318.45, c-323.94, v-1164975, oi-0.0
2021-05-13, o-326.7, h-336.38, l-324.59, c-333.53, v-703189, oi-0.0
2021-05-16, o-331.2, h-333.68, l-321.93, c-325.43, v-711432, oi-0.0
2021-05-17, o-329.9861, h-337.48, l-328.87, c-329.93, v-734224, oi-0.0
2021-05-18, o-323.47, h-332.9, l-323, c-332.29, v-448005, oi-0.0
2021-05-19, o-336.08, h-345.76, l-333.7, c-344.12, v-428127, oi-0.0
2021-05-20, o-344.6, h-351.5, l-341.56, c-342.27, v-550987, oi-0.0
2021-05-23, o-346.74, h-363.01, l-343.74, c-355.39, v-1081695, oi-0.0
2021-05-24, o-354.79, h-359.22, l-352.83, c-353.25, v-539230, oi-0.0
2021-05-25, o-349.59, h-357.98, l-348.92, c-356.18, v-415165, oi-0.0
