Date, Open, High, Low, Close, Volume, Open Interest
2021-04-27, o-143.01, h-143.06, l-142.99, c-143, v-2193, oi-0.0
2021-04-27, o-143.185, h-143.185, l-143.185, c-143.185, v-205, oi-0.0
2021-04-27, o-143.16, h-143.16, l-142.99, c-143.13, v-452, oi-0.0
2021-04-27, o-143.22, h-143.335, l-143.12, c-143.335, v-1231, oi-0.0
2021-04-27, o-143.54, h-143.61, l-143.48, c-143.48, v-1555, oi-0.0
2021-04-27, o-143.63, h-144.02, l-143.58, c-143.73, v-2774, oi-0.0
2021-04-27, o-143.67, h-143.68, l-143.32, c-143.32, v-1252, oi-0.0
2021-04-27, o-143.32, h-143.48, l-143.18, c-143.48, v-2828, oi-0.0
2021-04-27, o-143.495, h-143.6, l-143.36, c-143.475, v-2887, oi-0.0
2021-04-27, o-143.53, h-143.63, l-143.52, c-143.55, v-1391, oi-0.0
2021-04-27, o-143.66, h-143.665, l-143.41, c-143.525, v-2675, oi-0.0
2021-04-27, o-143.355, h-143.42, l-143.035, c-143.24, v-4390, oi-0.0
2021-04-27, o-143.28, h-143.38, l-143.19, c-143.33, v-3412, oi-0.0
2021-04-27, o-143.33, h-143.56, l-143.27, c-143.55, v-5730, oi-0.0
2021-04-27, o-143.59, h-143.695, l-143.32, c-143.43, v-26061, oi-0.0
2021-04-28, o-144.01, h-144.53, l-143.44, c-143.59, v-5942, oi-0.0
2021-04-28, o-143.67, h-144.41, l-143.67, c-144.41, v-2002, oi-0.0
2021-04-28, o-144.41, h-144.55, l-144.15, c-144.55, v-4250, oi-0.0
2021-04-28, o-144.62, h-144.62, l-144.355, c-144.47, v-1631, oi-0.0
2021-04-28, o-144.51, h-144.68, l-144.35, c-144.53, v-2017, oi-0.0
2021-04-28, o-144.53, h-144.83, l-144.485, c-144.83, v-2427, oi-0.0
2021-04-28, o-144.67, h-144.67, l-144.54, c-144.67, v-840, oi-0.0
2021-04-28, o-144.7, h-144.7, l-144.22, c-144.22, v-1452, oi-0.0
2021-04-28, o-143.95, h-144.27, l-143.95, c-144.15, v-1542, oi-0.0
2021-04-28, o-144.02, h-144.02, l-143.59, c-143.68, v-1520, oi-0.0
2021-04-28, o-143.8, h-144.08, l-143.8, c-144.02, v-1644, oi-0.0
2021-04-28, o-144.015, h-144.19, l-144.015, c-144.175, v-3627, oi-0.0
2021-04-28, o-144.18, h-144.19, l-144.105, c-144.15, v-604, oi-0.0
2021-04-28, o-144.08, h-144.18, l-144.05, c-144.05, v-877, oi-0.0
2021-04-28, o-143.975, h-144.08, l-143.93, c-143.94, v-1229, oi-0.0
2021-04-28, o-143.98, h-144, l-143.775, c-143.775, v-734, oi-0.0
2021-04-28, o-143.725, h-143.725, l-143.65, c-143.71, v-404, oi-0.0
2021-04-28, o-143.68, h-143.735, l-143.68, c-143.7, v-1313, oi-0.0
2021-04-28, o-143.7, h-143.97, l-143.63, c-143.885, v-1215, oi-0.0
2021-04-28, o-143.93, h-144.15, l-143.84, c-144.15, v-3014, oi-0.0
2021-04-28, o-144.16, h-144.91, l-144.16, c-144.91, v-5285, oi-0.0
2021-04-28, o-144.91, h-144.91, l-144.54, c-144.55, v-2962, oi-0.0
2021-04-28, o-144.56, h-144.72, l-144.36, c-144.58, v-4993, oi-0.0
2021-04-28, o-144.55, h-144.55, l-144.445, c-144.54, v-3213, oi-0.0
2021-04-28, o-144.53, h-144.54, l-144.23, c-144.295, v-3498, oi-0.0
2021-04-28, o-144.335, h-144.39, l-143.93, c-143.93, v-12134, oi-0.0
2021-04-29, o-144.58, h-145.13, l-143.65, c-145.13, v-2957, oi-0.0
2021-04-29, o-145.24, h-145.26, l-144.95, c-145.09, v-2617, oi-0.0
2021-04-29, o-145.045, h-145.37, l-144.94, c-145.1, v-5221, oi-0.0
2021-04-29, o-144.9, h-145.16, l-144.805, c-145.095, v-4873, oi-0.0
2021-04-29, o-145.06, h-145.32, l-144.84, c-145.32, v-6013, oi-0.0
2021-04-29, o-145.25, h-145.34, l-144.98, c-145.32, v-3451, oi-0.0
2021-04-29, o-145.58, h-146.35, l-145.415, c-146.27, v-5453, oi-0.0
2021-04-29, o-146.15, h-146.37, l-145.925, c-145.925, v-3625, oi-0.0
2021-04-29, o-145.92, h-146.11, l-145.85, c-146.11, v-2764, oi-0.0
2021-04-29, o-146.04, h-146.185, l-145.69, c-145.69, v-6309, oi-0.0
2021-04-29, o-145.8, h-145.84, l-145.61, c-145.8, v-2186, oi-0.0
2021-04-29, o-145.77, h-146.005, l-145.72, c-145.98, v-3400, oi-0.0
2021-04-29, o-145.91, h-146.315, l-145.88, c-146.3, v-5027, oi-0.0
2021-04-29, o-146.29, h-146.49, l-146.27, c-146.4, v-3272, oi-0.0
2021-04-29, o-146.475, h-146.68, l-146.475, c-146.68, v-2913, oi-0.0
2021-04-29, o-146.665, h-146.715, l-146.6, c-146.6, v-1921, oi-0.0
2021-04-29, o-146.55, h-146.61, l-146.32, c-146.52, v-3153, oi-0.0
2021-04-29, o-146.24, h-146.345, l-146.09, c-146.09, v-2452, oi-0.0
2021-04-29, o-146.095, h-146.25, l-146.02, c-146.25, v-2639, oi-0.0
2021-04-29, o-146.195, h-146.195, l-146.1, c-146.12, v-1093, oi-0.0
2021-04-29, o-146.13, h-146.14, l-146.035, c-146.07, v-1946, oi-0.0
2021-04-29, o-146.12, h-146.29, l-146.005, c-146.29, v-2349, oi-0.0
2021-04-29, o-146.365, h-146.43, l-146.16, c-146.235, v-2202, oi-0.0
2021-04-29, o-146.2, h-146.22, l-146.01, c-146.165, v-3742, oi-0.0
2021-04-29, o-146.16, h-146.195, l-145.945, c-146.18, v-6183, oi-0.0
2021-04-29, o-146.175, h-146.43, l-146.17, c-146.34, v-15317, oi-0.0
2021-04-30, o-145.1, h-146.23, l-144.565, c-144.61, v-4260, oi-0.0
2021-04-30, o-144.56, h-144.73, l-144.41, c-144.41, v-2429, oi-0.0
2021-04-30, o-144.88, h-145.05, l-144.83, c-144.91, v-5573, oi-0.0
2021-04-30, o-144.98, h-145.17, l-144.805, c-145, v-8056, oi-0.0
2021-04-30, o-145.04, h-145.14, l-144.695, c-144.73, v-4949, oi-0.0
