Date, Open, High, Low, Close, Volume, Open Interest
2021-05-12, o-52.39, h-52.39, l-52.11, c-52.11, v-3029, oi-0.0
2021-05-12, o-52.165, h-52.21, l-52.11, c-52.15, v-1734, oi-0.0
2021-05-12, o-52.14, h-52.235, l-52.13, c-52.22, v-2145, oi-0.0
2021-05-12, o-52.245, h-52.245, l-52.185, c-52.23, v-1736, oi-0.0
2021-05-12, o-52.22, h-52.335, l-52.22, c-52.26, v-2319, oi-0.0
2021-05-12, o-52.27, h-52.41, l-52.27, c-52.405, v-2648, oi-0.0
2021-05-12, o-52.39, h-52.415, l-52.32, c-52.32, v-2734, oi-0.0
2021-05-12, o-52.33, h-52.37, l-52.27, c-52.34, v-1894, oi-0.0
2021-05-12, o-52.34, h-52.34, l-52.27, c-52.27, v-838, oi-0.0
2021-05-12, o-52.265, h-52.29, l-52.175, c-52.18, v-4031, oi-0.0
2021-05-12, o-52.16, h-52.265, l-52.16, c-52.22, v-3127, oi-0.0
2021-05-12, o-52.16, h-52.39, l-52.16, c-52.38, v-5041, oi-0.0
2021-05-12, o-52.35, h-52.47, l-52.35, c-52.435, v-2342, oi-0.0
2021-05-12, o-52.365, h-52.38, l-52.27, c-52.3, v-2573, oi-0.0
2021-05-12, o-52.27, h-52.28, l-52.1, c-52.15, v-3613, oi-0.0
2021-05-12, o-52.145, h-52.18, l-52.04, c-52.165, v-8997, oi-0.0
2021-05-12, o-52.14, h-52.175, l-51.98, c-51.98, v-19572, oi-0.0
2021-05-13, o-52.29, h-52.54, l-52.17, c-52.46, v-3416, oi-0.0
2021-05-13, o-52.5, h-52.68, l-52.48, c-52.61, v-1576, oi-0.0
2021-05-13, o-52.61, h-52.735, l-52.57, c-52.66, v-4022, oi-0.0
2021-05-13, o-52.66, h-52.745, l-52.655, c-52.67, v-3195, oi-0.0
2021-05-13, o-52.71, h-52.72, l-52.62, c-52.62, v-2708, oi-0.0
2021-05-13, o-52.61, h-52.8, l-52.6, c-52.79, v-3042, oi-0.0
2021-05-13, o-52.82, h-52.82, l-52.72, c-52.72, v-1825, oi-0.0
2021-05-13, o-52.68, h-52.84, l-52.68, c-52.83, v-3740, oi-0.0
2021-05-13, o-52.8, h-53.03, l-52.8, c-53, v-3094, oi-0.0
2021-05-13, o-52.955, h-53.07, l-52.95, c-53.06, v-2128, oi-0.0
2021-05-13, o-53.08, h-53.215, l-53.04, c-53.215, v-1444, oi-0.0
2021-05-13, o-53.24, h-53.24, l-53.09, c-53.13, v-3067, oi-0.0
2021-05-13, o-53.14, h-53.14, l-53.09, c-53.09, v-700, oi-0.0
2021-05-13, o-53.125, h-53.15, l-53.09, c-53.09, v-1686, oi-0.0
2021-05-13, o-53.1, h-53.15, l-53.06, c-53.15, v-1216, oi-0.0
2021-05-13, o-53.14, h-53.14, l-52.99, c-53.05, v-1933, oi-0.0
2021-05-13, o-53.1, h-53.1, l-52.94, c-53.01, v-1351, oi-0.0
2021-05-13, o-52.97, h-53.06, l-52.94, c-53.02, v-2436, oi-0.0
2021-05-13, o-53.08, h-53.25, l-53.07, c-53.25, v-2358, oi-0.0
2021-05-13, o-53.21, h-53.41, l-53.21, c-53.41, v-1691, oi-0.0
2021-05-13, o-53.42, h-53.51, l-53.415, c-53.47, v-2626, oi-0.0
2021-05-13, o-53.43, h-53.44, l-53.4, c-53.4, v-1536, oi-0.0
2021-05-13, o-53.45, h-53.47, l-53.36, c-53.36, v-2341, oi-0.0
2021-05-13, o-53.37, h-53.465, l-53.34, c-53.46, v-1080, oi-0.0
2021-05-13, o-53.44, h-53.5, l-53.385, c-53.44, v-4916, oi-0.0
2021-05-13, o-53.425, h-53.49, l-53.22, c-53.25, v-8159, oi-0.0
2021-05-14, o-53.36, h-53.71, l-53.36, c-53.58, v-3055, oi-0.0
2021-05-14, o-53.59, h-53.6, l-53.45, c-53.49, v-2443, oi-0.0
2021-05-14, o-53.515, h-53.6, l-53.38, c-53.47, v-3415, oi-0.0
2021-05-14, o-53.44, h-53.455, l-53.31, c-53.33, v-5088, oi-0.0
2021-05-14, o-53.28, h-53.31, l-53.19, c-53.29, v-2308, oi-0.0
2021-05-14, o-53.38, h-53.475, l-53.38, c-53.475, v-313, oi-0.0
2021-05-14, o-53.46, h-53.54, l-53.46, c-53.54, v-697, oi-0.0
2021-05-14, o-53.46, h-53.48, l-53.46, c-53.48, v-363, oi-0.0
2021-05-14, o-53.53, h-53.6, l-53.53, c-53.6, v-1826, oi-0.0
2021-05-14, o-53.605, h-53.61, l-53.6, c-53.61, v-1201, oi-0.0
2021-05-14, o-53.615, h-53.62, l-53.565, c-53.59, v-1513, oi-0.0
2021-05-14, o-53.625, h-53.775, l-53.625, c-53.775, v-1385, oi-0.0
2021-05-14, o-53.765, h-53.84, l-53.73, c-53.84, v-2990, oi-0.0
2021-05-14, o-53.875, h-53.875, l-53.835, c-53.835, v-838, oi-0.0
2021-05-14, o-53.84, h-53.855, l-53.84, c-53.855, v-342, oi-0.0
2021-05-14, o-53.845, h-53.845, l-53.795, c-53.815, v-401, oi-0.0
2021-05-14, o-53.805, h-53.84, l-53.805, c-53.835, v-892, oi-0.0
2021-05-14, o-53.865, h-53.865, l-53.815, c-53.815, v-415, oi-0.0
2021-05-14, o-53.84, h-53.84, l-53.79, c-53.805, v-1119, oi-0.0
2021-05-14, o-53.77, h-53.86, l-53.77, c-53.86, v-707, oi-0.0
2021-05-14, o-53.89, h-53.935, l-53.89, c-53.9, v-1478, oi-0.0
2021-05-14, o-53.88, h-54.005, l-53.87, c-54.005, v-2737, oi-0.0
2021-05-14, o-54.01, h-54.01, l-53.95, c-53.975, v-1628, oi-0.0
2021-05-14, o-53.98, h-54.04, l-53.97, c-53.98, v-2107, oi-0.0
2021-05-14, o-53.94, h-53.94, l-53.84, c-53.905, v-3796, oi-0.0
2021-05-14, o-53.915, h-54.025, l-53.915, c-53.96, v-6204, oi-0.0
2021-05-17, o-53.975, h-53.975, l-53.69, c-53.69, v-2577, oi-0.0
2021-05-17, o-53.61, h-53.62, l-53.41, c-53.62, v-1930, oi-0.0
2021-05-17, o-53.61, h-53.7, l-53.51, c-53.62, v-2907, oi-0.0
2021-05-17, o-53.52, h-53.52, l-53.49, c-53.49, v-496, oi-0.0
2021-05-17, o-53.35, h-53.36, l-53.22, c-53.33, v-3133, oi-0.0
2021-05-17, o-53.33, h-53.375, l-53.285, c-53.285, v-841, oi-0.0
2021-05-17, o-53.31, h-53.41, l-53.24, c-53.39, v-2895, oi-0.0
2021-05-17, o-53.455, h-53.49, l-53.35, c-53.35, v-2906, oi-0.0
2021-05-17, o-53.26, h-53.31, l-53.23, c-53.29, v-1562, oi-0.0
2021-05-17, o-53.345, h-53.38, l-53.275, c-53.375, v-2658, oi-0.0
2021-05-17, o-53.36, h-53.4, l-53.35, c-53.39, v-2318, oi-0.0
2021-05-17, o-53.365, h-53.54, l-53.365, c-53.54, v-2014, oi-0.0
2021-05-17, o-53.525, h-53.605, l-53.505, c-53.59, v-2190, oi-0.0
2021-05-17, o-53.585, h-53.585, l-53.55, c-53.555, v-1595, oi-0.0
2021-05-17, o-53.6, h-53.6, l-53.57, c-53.57, v-1976, oi-0.0
2021-05-17, o-53.59, h-53.595, l-53.53, c-53.59, v-1390, oi-0.0
2021-05-17, o-53.655, h-53.68, l-53.58, c-53.58, v-1290, oi-0.0
2021-05-17, o-53.62, h-53.64, l-53.615, c-53.615, v-1310, oi-0.0
2021-05-17, o-53.585, h-53.645, l-53.575, c-53.645, v-2419, oi-0.0
2021-05-17, o-53.635, h-53.8, l-53.635, c-53.8, v-1891, oi-0.0
2021-05-17, o-53.795, h-53.84, l-53.745, c-53.745, v-1785, oi-0.0
2021-05-17, o-53.75, h-53.795, l-53.735, c-53.785, v-1434, oi-0.0
2021-05-17, o-53.775, h-53.81, l-53.745, c-53.79, v-4198, oi-0.0
2021-05-17, o-53.765, h-53.795, l-53.73, c-53.73, v-1669, oi-0.0
2021-05-17, o-53.69, h-53.69, l-53.6, c-53.675, v-2612, oi-0.0
2021-05-17, o-53.65, h-53.68, l-53.615, c-53.675, v-8259, oi-0.0
2021-05-18, o-53.88, h-53.88, l-53.16, c-53.19, v-2489, oi-0.0
2021-05-18, o-53.19, h-53.19, l-52.96, c-52.96, v-1300, oi-0.0
2021-05-18, o-52.98, h-52.98, l-52.94, c-52.97, v-963, oi-0.0
2021-05-18, o-52.95, h-53.17, l-52.95, c-53.17, v-2624, oi-0.0
2021-05-18, o-53.155, h-53.17, l-53.06, c-53.155, v-1412, oi-0.0
2021-05-18, o-53.18, h-53.18, l-53.02, c-53.1, v-2121, oi-0.0
2021-05-18, o-53.13, h-53.16, l-53.06, c-53.06, v-2025, oi-0.0
2021-05-18, o-53.05, h-53.075, l-53.02, c-53.04, v-3117, oi-0.0
2021-05-18, o-52.98, h-53.01, l-52.92, c-52.92, v-3271, oi-0.0
2021-05-18, o-52.94, h-53.01, l-52.88, c-52.95, v-1880, oi-0.0
2021-05-18, o-52.935, h-53, l-52.93, c-52.99, v-5092, oi-0.0
2021-05-18, o-52.985, h-53.05, l-52.935, c-52.935, v-8246, oi-0.0
2021-05-18, o-52.94, h-52.975, l-52.895, c-52.945, v-11815, oi-0.0
2021-05-18, o-52.945, h-52.945, l-52.86, c-52.86, v-4011, oi-0.0
2021-05-18, o-52.88, h-52.91, l-52.85, c-52.885, v-4127, oi-0.0
2021-05-18, o-52.85, h-52.885, l-52.85, c-52.88, v-2363, oi-0.0
2021-05-18, o-52.88, h-52.91, l-52.855, c-52.86, v-1937, oi-0.0
2021-05-18, o-52.86, h-52.895, l-52.855, c-52.86, v-2658, oi-0.0
2021-05-18, o-52.845, h-52.895, l-52.825, c-52.835, v-4759, oi-0.0
2021-05-18, o-52.845, h-52.855, l-52.69, c-52.69, v-5264, oi-0.0
2021-05-18, o-52.715, h-52.74, l-52.585, c-52.585, v-4392, oi-0.0
2021-05-18, o-52.575, h-52.625, l-52.5, c-52.615, v-6296, oi-0.0
2021-05-18, o-52.6, h-52.65, l-52.59, c-52.625, v-4111, oi-0.0
2021-05-18, o-52.615, h-52.655, l-52.595, c-52.645, v-5724, oi-0.0
2021-05-18, o-52.645, h-52.71, l-52.63, c-52.71, v-7811, oi-0.0
2021-05-18, o-52.715, h-52.715, l-52.41, c-52.41, v-18112, oi-0.0
2021-05-19, o-52.305, h-52.305, l-51.62, c-51.805, v-4395, oi-0.0
2021-05-19, o-51.745, h-51.94, l-51.68, c-51.86, v-4962, oi-0.0
2021-05-19, o-51.855, h-51.855, l-51.49, c-51.49, v-5137, oi-0.0
2021-05-19, o-51.43, h-51.57, l-51.34, c-51.5, v-7011, oi-0.0
2021-05-19, o-51.51, h-51.56, l-51.29, c-51.34, v-4147, oi-0.0
2021-05-19, o-51.36, h-51.51, l-51.31, c-51.45, v-3778, oi-0.0
2021-05-19, o-51.45, h-51.62, l-51.39, c-51.6, v-2313, oi-0.0
2021-05-19, o-51.61, h-51.665, l-51.51, c-51.66, v-2671, oi-0.0
2021-05-19, o-51.655, h-51.685, l-51.515, c-51.525, v-4698, oi-0.0
2021-05-19, o-51.51, h-51.695, l-51.51, c-51.695, v-3139, oi-0.0
2021-05-19, o-51.68, h-51.76, l-51.665, c-51.745, v-2300, oi-0.0
2021-05-19, o-51.74, h-51.765, l-51.635, c-51.64, v-4603, oi-0.0
2021-05-19, o-51.645, h-51.715, l-51.645, c-51.7, v-1725, oi-0.0
2021-05-19, o-51.65, h-51.76, l-51.65, c-51.745, v-4166, oi-0.0
2021-05-19, o-51.755, h-51.81, l-51.745, c-51.795, v-2163, oi-0.0
2021-05-19, o-51.78, h-51.815, l-51.75, c-51.775, v-3228, oi-0.0
2021-05-19, o-51.76, h-51.76, l-51.64, c-51.66, v-2242, oi-0.0
2021-05-19, o-51.67, h-51.71, l-51.65, c-51.655, v-2493, oi-0.0
2021-05-19, o-51.66, h-51.705, l-51.425, c-51.46, v-6002, oi-0.0
2021-05-19, o-51.47, h-51.67, l-51.41, c-51.58, v-7540, oi-0.0
2021-05-19, o-51.6, h-51.685, l-51.48, c-51.505, v-7554, oi-0.0
2021-05-19, o-51.5, h-51.54, l-51.485, c-51.54, v-6660, oi-0.0
2021-05-19, o-51.5, h-51.67, l-51.455, c-51.635, v-5776, oi-0.0
2021-05-19, o-51.635, h-51.805, l-51.615, c-51.8, v-7251, oi-0.0
2021-05-19, o-51.765, h-51.8, l-51.71, c-51.785, v-16287, oi-0.0
2021-05-19, o-51.77, h-51.945, l-51.67, c-51.945, v-18145, oi-0.0
2021-05-20, o-51.92, h-52.06, l-51.8, c-52.03, v-2968, oi-0.0
2021-05-20, o-52.15, h-52.27, l-52.095, c-52.27, v-2895, oi-0.0
2021-05-20, o-52.26, h-52.355, l-52.19, c-52.26, v-2241, oi-0.0
2021-05-20, o-52.22, h-52.22, l-52.135, c-52.145, v-1445, oi-0.0
2021-05-20, o-52.145, h-52.25, l-52.12, c-52.22, v-3393, oi-0.0
2021-05-20, o-52.25, h-52.31, l-52.25, c-52.3, v-3667, oi-0.0
2021-05-20, o-52.295, h-52.38, l-52.295, c-52.35, v-3928, oi-0.0
2021-05-20, o-52.345, h-52.345, l-52.255, c-52.29, v-1954, oi-0.0
2021-05-20, o-52.36, h-52.405, l-52.36, c-52.4, v-4052, oi-0.0
2021-05-20, o-52.4, h-52.44, l-52.325, c-52.325, v-3139, oi-0.0
2021-05-20, o-52.29, h-52.29, l-52.235, c-52.265, v-3487, oi-0.0
2021-05-20, o-52.27, h-52.295, l-52.23, c-52.23, v-810, oi-0.0
2021-05-20, o-52.265, h-52.265, l-52.19, c-52.21, v-1555, oi-0.0
2021-05-20, o-52.24, h-52.31, l-52.235, c-52.31, v-1905, oi-0.0
2021-05-20, o-52.305, h-52.36, l-52.305, c-52.36, v-728, oi-0.0
2021-05-20, o-52.39, h-52.41, l-52.305, c-52.32, v-2071, oi-0.0
2021-05-20, o-52.335, h-52.335, l-52.295, c-52.31, v-6400, oi-0.0
2021-05-20, o-52.33, h-52.33, l-52.25, c-52.29, v-1174, oi-0.0
2021-05-20, o-52.295, h-52.295, l-52.27, c-52.285, v-1181, oi-0.0
2021-05-20, o-52.27, h-52.28, l-52.225, c-52.25, v-4393, oi-0.0
2021-05-20, o-52.235, h-52.31, l-52.22, c-52.31, v-6356, oi-0.0
2021-05-20, o-52.325, h-52.35, l-52.29, c-52.35, v-3481, oi-0.0
2021-05-20, o-52.33, h-52.41, l-52.32, c-52.385, v-3178, oi-0.0
2021-05-20, o-52.39, h-52.52, l-52.39, c-52.52, v-4005, oi-0.0
2021-05-20, o-52.48, h-52.51, l-52.425, c-52.435, v-6632, oi-0.0
2021-05-20, o-52.445, h-52.475, l-52.3, c-52.3, v-19021, oi-0.0
2021-05-21, o-52.48, h-52.93, l-52.43, c-52.87, v-3790, oi-0.0
2021-05-21, o-52.89, h-52.96, l-52.72, c-52.96, v-2958, oi-0.0
2021-05-21, o-52.83, h-52.83, l-52.72, c-52.75, v-1407, oi-0.0
2021-05-21, o-52.77, h-52.78, l-52.605, c-52.63, v-3059, oi-0.0
2021-05-21, o-52.6, h-52.66, l-52.52, c-52.55, v-2977, oi-0.0
2021-05-21, o-52.515, h-52.58, l-52.5, c-52.58, v-2080, oi-0.0
2021-05-21, o-52.59, h-52.63, l-52.53, c-52.58, v-2002, oi-0.0
2021-05-21, o-52.59, h-52.59, l-52.43, c-52.43, v-3330, oi-0.0
2021-05-21, o-52.39, h-52.43, l-52.36, c-52.38, v-2378, oi-0.0
2021-05-21, o-52.38, h-52.4, l-52.29, c-52.3, v-2672, oi-0.0
2021-05-21, o-52.31, h-52.31, l-52.18, c-52.3, v-2139, oi-0.0
2021-05-21, o-52.28, h-52.32, l-52.265, c-52.32, v-3732, oi-0.0
2021-05-21, o-52.32, h-52.39, l-52.295, c-52.355, v-3411, oi-0.0
2021-05-21, o-52.365, h-52.365, l-52.24, c-52.29, v-3610, oi-0.0
2021-05-21, o-52.31, h-52.37, l-52.31, c-52.355, v-3293, oi-0.0
2021-05-21, o-52.365, h-52.395, l-52.335, c-52.385, v-2067, oi-0.0
