Date, Open, High, Low, Close, Volume, Open Interest
2021-02-25, o-46.39, h-46.92, l-46.01, c-46.37, v-3086105, oi-0.0
2021-02-28, o-46.4416, h-48.79, l-46.4416, c-48.48, v-4540192, oi-0.0
2021-03-01, o-48.485, h-48.485, l-47.27, c-47.47, v-2724041, oi-0.0
2021-03-02, o-47.21, h-47.65, l-46.44, c-46.45, v-3197616, oi-0.0
2021-03-03, o-46.145, h-46.21, l-43.37, c-44.19, v-5364841, oi-0.0
2021-03-04, o-44.53, h-45.33, l-43.61, c-45.18, v-3378337, oi-0.0
2021-03-07, o-45.07, h-45.54, l-44.59, c-44.66, v-2560135, oi-0.0
2021-03-08, o-45.38, h-45.98, l-45.225, c-45.69, v-2679673, oi-0.0
2021-03-09, o-45.82, h-46.475, l-45.65, c-46.14, v-1986553, oi-0.0
2021-03-10, o-46.3, h-46.79, l-46.05, c-46.37, v-1941435, oi-0.0
2021-03-11, o-46.56, h-47.22, l-46.32, c-47.16, v-1905876, oi-0.0
2021-03-14, o-47.575, h-48.34, l-47.44, c-48.14, v-3748428, oi-0.0
2021-03-15, o-48.03, h-48.535, l-47.71, c-47.71, v-3235410, oi-0.0
2021-03-16, o-47.8, h-48.55, l-47.61, c-48.43, v-1774893, oi-0.0
2021-03-17, o-48.02, h-48.35, l-47.4, c-47.5, v-2439402, oi-0.0
2021-03-18, o-47.52, h-47.95, l-46.93, c-47.61, v-3982923, oi-0.0
2021-03-21, o-47.52, h-48.095, l-47.23, c-47.98, v-1907322, oi-0.0
2021-03-22, o-47.9, h-48.37, l-47.535, c-47.71, v-2245204, oi-0.0
2021-03-23, o-48.19, h-48.63, l-47.6988, c-48.26, v-1947350, oi-0.0
2021-03-24, o-48.41, h-49.41, l-47.96, c-49.21, v-2697799, oi-0.0
2021-03-25, o-49.24, h-50.61, l-49.2, c-50.58, v-2006198, oi-0.0
2021-03-28, o-50.61, h-51.1, l-50.37, c-50.68, v-2523284, oi-0.0
2021-03-29, o-50.37, h-50.765, l-50.02, c-50.61, v-1933444, oi-0.0
2021-03-30, o-50.77, h-50.96, l-50.22, c-50.28, v-2172232, oi-0.0
2021-03-31, o-50.37, h-51.16, l-50.25, c-51.11, v-2547100, oi-0.0
2021-04-04, o-51.41, h-51.54, l-50.9, c-51.44, v-2411179, oi-0.0
2021-04-05, o-51.24, h-51.67, l-51.08, c-51.27, v-2035050, oi-0.0
2021-04-06, o-51.16, h-51.2, l-49.875, c-49.93, v-2807876, oi-0.0
2021-04-07, o-50.19, h-50.37, l-49.83, c-50.22, v-2554380, oi-0.0
2021-04-08, o-50.12, h-50.23, l-49.225, c-50.04, v-3586787, oi-0.0
2021-04-11, o-50, h-50.85, l-49.84, c-50.77, v-3895568, oi-0.0
2021-04-12, o-49.11, h-50.01, l-48.57, c-49.98, v-6488003, oi-0.0
2021-04-13, o-49.9916, h-50.935, l-49.64, c-50.05, v-3641011, oi-0.0
2021-04-14, o-50.33, h-50.44, l-49.8001, c-50.4, v-2790506, oi-0.0
2021-04-15, o-50.2758, h-50.66, l-49.925, c-50.51, v-3155337, oi-0.0
2021-04-18, o-50.61, h-50.875, l-50, c-50.8, v-2054066, oi-0.0
2021-04-19, o-50.86, h-51.31, l-50.7401, c-51.14, v-2406789, oi-0.0
2021-04-20, o-51.23, h-52.12, l-51.23, c-52.05, v-1793165, oi-0.0
2021-04-21, o-52, h-52.3984, l-51.69, c-51.74, v-2557179, oi-0.0
2021-04-22, o-51.78, h-52.495, l-51.54, c-52.18, v-1735976, oi-0.0
2021-04-25, o-52.17, h-52.37, l-51.7, c-51.92, v-1764817, oi-0.0
2021-04-26, o-51.74, h-51.98, l-51.475, c-51.92, v-1692882, oi-0.0
2021-04-27, o-51.78, h-51.92, l-51.37, c-51.69, v-1509072, oi-0.0
2021-04-28, o-51.98, h-53.075, l-51.77, c-52.88, v-2361309, oi-0.0
2021-04-29, o-52.66, h-53.36, l-52.19, c-52.3, v-3384232, oi-0.0
2021-05-02, o-52.4, h-53.145, l-52.21, c-53, v-2604232, oi-0.0
2021-05-03, o-52.94, h-53.58, l-52.63, c-53.29, v-2567713, oi-0.0
2021-05-04, o-53.52, h-54.22, l-52.95, c-54.17, v-2981075, oi-0.0
2021-05-05, o-53.24, h-53.56, l-52.565, c-52.87, v-3761071, oi-0.0
2021-05-06, o-53.02, h-53.49, l-52.67, c-53.22, v-2620202, oi-0.0
2021-05-09, o-53.17, h-54.3203, l-53.08, c-53.75, v-2339277, oi-0.0
2021-05-10, o-53.49, h-53.7, l-52.75, c-52.88, v-3848328, oi-0.0
2021-05-11, o-52.54, h-53.04, l-51.96, c-52.01, v-2389643, oi-0.0
2021-05-12, o-52.3, h-53.53, l-52.11, c-53.23, v-1730952, oi-0.0
2021-05-13, o-53.6, h-54.06, l-53.18, c-53.9, v-1771170, oi-0.0
2021-05-16, o-53.88, h-54.02, l-53.21, c-53.68, v-1438835, oi-0.0
2021-05-17, o-53.78, h-53.98, l-52.36, c-52.38, v-2776422, oi-0.0
2021-05-18, o-52.09, h-52.305, l-51.29, c-51.93, v-2080792, oi-0.0
2021-05-19, o-51.9, h-52.535, l-51.8, c-52.32, v-1615339, oi-0.0
2021-05-20, o-52.62, h-53, l-52.15, c-52.38, v-1813774, oi-0.0
2021-05-23, o-52.82, h-53.08, l-52.385, c-52.84, v-1320478, oi-0.0
2021-05-24, o-53, h-53.13, l-52.55, c-52.7, v-1562644, oi-0.0
2021-05-25, o-52.7, h-52.7855, l-52.42, c-52.5964, v-469161, oi-0.0
