Date, Open, High, Low, Close, Volume, Open Interest
2021-05-25, o-116.14, h-116.14, l-116.08, c-116.11, v-696, oi-0.0
2021-05-25, o-116.17, h-116.18, l-116.07, c-116.14, v-1323, oi-0.0
2021-05-25, o-116.17, h-116.17, l-116.09, c-116.13, v-1076, oi-0.0
2021-05-25, o-116.16, h-116.17, l-116.08, c-116.08, v-1490, oi-0.0
2021-05-25, o-116.11, h-116.19, l-116.09, c-116.13, v-1300, oi-0.0
2021-05-25, o-116.09, h-116.11, l-116.08, c-116.11, v-840, oi-0.0
2021-05-25, o-116.075, h-116.16, l-116.075, c-116.11, v-865, oi-0.0
2021-05-25, o-116.13, h-116.18, l-116.12, c-116.12, v-860, oi-0.0
2021-05-25, o-116.1, h-116.13, l-116.09, c-116.09, v-705, oi-0.0
2021-05-25, o-116.22, h-116.24, l-116.16, c-116.16, v-644, oi-0.0
2021-05-25, o-116.14, h-116.22, l-116.14, c-116.15, v-807, oi-0.0
2021-05-25, o-116.08, h-116.22, l-116.08, c-116.21, v-1103, oi-0.0
2021-05-25, o-116.17, h-116.18, l-116.11, c-116.12, v-853, oi-0.0
2021-05-25, o-116, h-116.16, l-116, c-116.16, v-1133, oi-0.0
2021-05-25, o-116.18, h-116.21, l-116.085, c-116.11, v-1699, oi-0.0
2021-05-25, o-116.04, h-116.04, l-115.85, c-115.85, v-1228, oi-0.0
2021-05-25, o-115.78, h-115.85, l-115.755, c-115.85, v-1592, oi-0.0
2021-05-25, o-115.75, h-115.75, l-115.75, c-115.75, v-112, oi-0.0
2021-05-25, o-115.87, h-115.985, l-115.87, c-115.97, v-1154, oi-0.0
2021-05-25, o-116, h-116.07, l-115.98, c-116.07, v-405, oi-0.0
2021-05-25, o-115.98, h-116.04, l-115.98, c-116.015, v-1023, oi-0.0
2021-05-25, o-116.02, h-116.05, l-116.01, c-116.03, v-1300, oi-0.0
2021-05-25, o-116.05, h-116.085, l-116.05, c-116.055, v-1394, oi-0.0
2021-05-25, o-116.025, h-116.05, l-115.915, c-115.97, v-2431, oi-0.0
2021-05-25, o-115.93, h-115.94, l-115.805, c-115.895, v-1880, oi-0.0
2021-05-25, o-115.89, h-115.89, l-115.8, c-115.83, v-1722, oi-0.0
2021-05-25, o-115.85, h-115.86, l-115.8, c-115.8, v-700, oi-0.0
2021-05-25, o-115.84, h-115.84, l-115.59, c-115.62, v-1290, oi-0.0
2021-05-25, o-115.64, h-115.74, l-115.64, c-115.74, v-1583, oi-0.0
2021-05-25, o-115.74, h-115.83, l-115.74, c-115.8, v-1502, oi-0.0
2021-05-25, o-115.8, h-115.85, l-115.8, c-115.85, v-542, oi-0.0
2021-05-25, o-115.815, h-115.815, l-115.78, c-115.785, v-602, oi-0.0
2021-05-25, o-115.78, h-115.825, l-115.78, c-115.8, v-3275, oi-0.0
2021-05-25, o-115.78, h-115.9, l-115.77, c-115.875, v-9559, oi-0.0
2021-05-25, o-115.87, h-115.92, l-115.865, c-115.89, v-13804, oi-0.0
2021-05-25, o-115.835, h-115.895, l-115.835, c-115.835, v-15065, oi-0.0
