Date, Open, High, Low, Close, Volume, Open Interest
2019-05-28, o-86.65, h-86.91, l-85.95, c-86.83, v-2075317, oi-0.0
2019-05-29, o-86.96, h-87.71, l-86.61, c-87.13, v-1643015, oi-0.0
2019-05-30, o-86.3, h-86.77, l-85.19, c-85.9, v-3311335, oi-0.0
2019-06-02, o-86.09, h-86.46, l-82.24, c-82.68, v-4874266, oi-0.0
2019-06-03, o-84.23, h-86.23, l-83.53, c-86.18, v-4043251, oi-0.0
2019-06-04, o-87.45, h-88.45, l-87.04, c-88.36, v-2614649, oi-0.0
2019-06-05, o-88.27, h-89.44, l-88.01, c-89.41, v-3884170, oi-0.0
2019-06-06, o-90, h-90.72, l-89.6, c-89.74, v-3037098, oi-0.0
2019-06-09, o-90.1, h-91.09, l-89.43, c-90.58, v-2137138, oi-0.0
2019-06-10, o-91.27, h-91.38, l-88.14, c-89.66, v-2453775, oi-0.0
2019-06-11, o-89.71, h-90.1, l-88.9, c-89.77, v-2534554, oi-0.0
2019-06-12, o-90.08, h-90.49, l-88.33, c-88.67, v-3592553, oi-0.0
2019-06-13, o-88.7, h-89.34, l-88.35, c-89.2, v-3185806, oi-0.0
2019-06-16, o-89.17, h-89.585, l-88.18, c-88.97, v-1752031, oi-0.0
2019-06-17, o-89.36, h-90.09, l-88.28, c-89.11, v-2054420, oi-0.0
2019-06-18, o-89.78, h-90.1, l-88.48, c-89.99, v-2267004, oi-0.0
2019-06-19, o-90.79, h-91.79, l-90.29, c-91.68, v-2469067, oi-0.0
2019-06-20, o-92.16, h-92.29, l-91.04, c-91.5, v-3106239, oi-0.0
2019-06-23, o-91.86, h-92.09, l-90.63, c-90.81, v-1729447, oi-0.0
2019-06-24, o-90.87, h-91.02, l-89.73, c-90.28, v-2072552, oi-0.0
2019-06-25, o-91.22, h-92.2, l-90.14, c-90.21, v-2230149, oi-0.0
2019-06-26, o-90.34, h-91.28, l-90.12, c-90.85, v-2038604, oi-0.0
2019-06-27, o-91.34, h-91.38, l-90.47, c-91.13, v-2619990, oi-0.0
2019-06-30, o-92.3, h-92.69, l-91.33, c-92.51, v-2702647, oi-0.0
2019-07-01, o-92.54, h-93.61, l-92.15, c-93.605, v-2613542, oi-0.0
2019-07-02, o-94.37, h-94.44, l-93.66, c-94.18, v-1326389, oi-0.0
2019-07-04, o-93.34, h-94.48, l-92.51, c-94.46, v-1391032, oi-0.0
2019-07-07, o-94.1, h-94.6, l-93.52, c-93.58, v-2163784, oi-0.0
2019-07-08, o-92.82, h-93.9, l-92.28, c-93.82, v-2881953, oi-0.0
2019-07-09, o-94.36, h-94.89, l-93.3, c-93.86, v-2460235, oi-0.0
2019-07-10, o-93.8, h-94.3, l-93.17, c-93.69, v-2661822, oi-0.0
2019-07-11, o-93.87, h-94.64, l-93.33, c-94.5, v-2067973, oi-0.0
2019-07-14, o-94.94, h-95.42, l-94.4, c-94.75, v-1992677, oi-0.0
2019-07-15, o-94.72, h-95.22, l-93.655, c-93.92, v-1895394, oi-0.0
2019-07-16, o-94.11, h-94.7, l-93.6, c-94.12, v-2411310, oi-0.0
2019-07-17, o-94.17, h-96.98, l-94, c-96.88, v-7964654, oi-0.0
2019-07-18, o-96.72, h-97.25, l-94.9, c-95.38, v-4221727, oi-0.0
2019-07-21, o-95.83, h-96.16, l-95.2, c-95.295, v-2167751, oi-0.0
2019-07-22, o-95.77, h-95.77, l-94.33, c-95.29, v-2906306, oi-0.0
2019-07-23, o-95.07, h-95.29, l-92.86, c-94.17, v-3333204, oi-0.0
