Date, Open, High, Low, Close, Volume, Open Interest
2021-05-17, o-35.945, h-35.945, l-35.945, c-35.945, v-200, oi-0.0
2021-05-17, o-35.98, h-35.98, l-35.98, c-35.98, v-100, oi-0.0
2021-05-17, o-35.99, h-36.01, l-35.99, c-36.01, v-300, oi-0.0
2021-05-17, o-36.01, h-36.01, l-35.995, c-35.995, v-482, oi-0.0
2021-05-17, o-36.04, h-36.04, l-36.015, c-36.02, v-586, oi-0.0
2021-05-17, o-36.02, h-36.02, l-36.02, c-36.02, v-100, oi-0.0
2021-05-17, o-36.035, h-36.035, l-36.02, c-36.03, v-311, oi-0.0
2021-05-17, o-35.97, h-35.97, l-35.97, c-35.97, v-100, oi-0.0
2021-05-17, o-35.9, h-35.9, l-35.9, c-35.9, v-111, oi-0.0
2021-05-17, o-35.93, h-35.96, l-35.93, c-35.93, v-326, oi-0.0
2021-05-17, o-35.92, h-35.92, l-35.89, c-35.89, v-300, oi-0.0
2021-05-17, o-35.89, h-35.89, l-35.865, c-35.865, v-200, oi-0.0
2021-05-17, o-35.86, h-35.86, l-35.85, c-35.85, v-220, oi-0.0
2021-05-17, o-35.88, h-35.88, l-35.88, c-35.88, v-100, oi-0.0
2021-05-17, o-35.95, h-35.95, l-35.95, c-35.95, v-170, oi-0.0
2021-05-17, o-36.035, h-36.035, l-36.035, c-36.035, v-163, oi-0.0
2021-05-17, o-36.005, h-36.005, l-35.95, c-35.95, v-889, oi-0.0
2021-05-17, o-35.96, h-35.96, l-35.935, c-35.935, v-300, oi-0.0
2021-05-17, o-35.895, h-35.9, l-35.875, c-35.9, v-688, oi-0.0
2021-05-17, o-35.9, h-35.915, l-35.9, c-35.9, v-428, oi-0.0
2021-05-17, o-35.91, h-35.93, l-35.88, c-35.89, v-625, oi-0.0
2021-05-17, o-35.875, h-35.89, l-35.875, c-35.885, v-617, oi-0.0
2021-05-17, o-35.9, h-35.92, l-35.89, c-35.92, v-1047, oi-0.0
2021-05-17, o-35.925, h-35.925, l-35.91, c-35.91, v-406, oi-0.0
2021-05-17, o-35.91, h-35.915, l-35.84, c-35.84, v-831, oi-0.0
2021-05-17, o-35.855, h-35.87, l-35.855, c-35.86, v-1012, oi-0.0
2021-05-18, o-36.09, h-36.13, l-36.09, c-36.13, v-417, oi-0.0
2021-05-18, o-36.21, h-36.4, l-36.21, c-36.39, v-839, oi-0.0
2021-05-18, o-36.44, h-36.44, l-36.285, c-36.285, v-268, oi-0.0
2021-05-18, o-36.335, h-36.35, l-36.335, c-36.35, v-3400, oi-0.0
