Date, Open, High, Low, Close, Volume, Open Interest
2021-04-27, o-37.23, h-37.23, l-36.59, c-36.9, v-691048, oi-0.0
2021-04-28, o-37.08, h-37.26, l-36.56, c-36.84, v-747044, oi-0.0
2021-04-29, o-36.81, h-36.83, l-36.19, c-36.38, v-618281, oi-0.0
2021-05-02, o-36.57, h-36.72, l-35.76, c-35.77, v-776723, oi-0.0
2021-05-03, o-35.79, h-36.15, l-35.31, c-35.83, v-700917, oi-0.0
2021-05-04, o-35.6859, h-35.9, l-35.35, c-35.5, v-913482, oi-0.0
2021-05-05, o-35.75, h-37.36, l-35.78, c-36.68, v-679696, oi-0.0
2021-05-06, o-36.78, h-37.46, l-36.5221, c-37.15, v-934170, oi-0.0
2021-05-09, o-37.26, h-37.84, l-36.9112, c-37.25, v-823379, oi-0.0
2021-05-10, o-37.06, h-37.46, l-36.81, c-37.4, v-911315, oi-0.0
2021-05-11, o-37.41, h-37.67, l-36.39, c-36.48, v-1010783, oi-0.0
2021-05-12, o-36.48, h-37.51, l-36.39, c-37.06, v-892285, oi-0.0
2021-05-13, o-36.96, h-37.105, l-36.2071, c-36.26, v-1140970, oi-0.0
2021-05-16, o-36.9, h-37.1, l-35.82, c-35.83, v-1135337, oi-0.0
2021-05-17, o-35.98, h-36.8, l-35.98, c-36.3, v-818537, oi-0.0
2021-05-18, o-35.99, h-36.43, l-35.77, c-36.2, v-911205, oi-0.0
2021-05-19, o-36.06, h-36.58, l-36.04, c-36.14, v-707133, oi-0.0
2021-05-20, o-36.27, h-36.65, l-36.07, c-36.37, v-626443, oi-0.0
2021-05-23, o-36.37, h-36.78, l-36.01, c-36.31, v-615784, oi-0.0
2021-05-24, o-36.48, h-36.74, l-35.78, c-35.9, v-850977, oi-0.0
2021-05-25, o-36.01, h-36.77, l-35.74, c-36.26, v-448878, oi-0.0
