Date, Open, High, Low, Close, Volume, Open Interest
2021-05-24, o-37.73, h-37.73, l-37.73, c-37.73, v-182, oi-0.0
2021-05-24, o-37.76, h-37.76, l-37.76, c-37.76, v-101, oi-0.0
2021-05-24, o-37.765, h-37.765, l-37.76, c-37.76, v-300, oi-0.0
2021-05-24, o-37.745, h-37.745, l-37.745, c-37.745, v-301, oi-0.0
2021-05-24, o-37.72, h-37.72, l-37.72, c-37.72, v-198, oi-0.0
2021-05-24, o-37.71, h-37.71, l-37.7, c-37.7, v-300, oi-0.0
2021-05-24, o-37.695, h-37.695, l-37.695, c-37.695, v-113, oi-0.0
2021-05-24, o-37.68, h-37.68, l-37.68, c-37.68, v-100, oi-0.0
2021-05-24, o-37.69, h-37.69, l-37.69, c-37.69, v-101, oi-0.0
2021-05-24, o-37.72, h-37.72, l-37.72, c-37.72, v-387, oi-0.0
2021-05-24, o-37.715, h-37.72, l-37.715, c-37.72, v-411, oi-0.0
2021-05-24, o-37.725, h-37.725, l-37.725, c-37.725, v-294, oi-0.0
2021-05-24, o-37.705, h-37.705, l-37.705, c-37.705, v-167, oi-0.0
2021-05-24, o-37.71, h-37.72, l-37.71, c-37.72, v-500, oi-0.0
2021-05-24, o-37.685, h-37.69, l-37.685, c-37.69, v-333, oi-0.0
2021-05-24, o-37.68, h-37.68, l-37.68, c-37.68, v-289, oi-0.0
2021-05-24, o-37.67, h-37.67, l-37.67, c-37.67, v-306, oi-0.0
2021-05-24, o-37.66, h-37.66, l-37.66, c-37.66, v-201, oi-0.0
2021-05-24, o-37.615, h-37.615, l-37.615, c-37.615, v-100, oi-0.0
2021-05-24, o-37.62, h-37.62, l-37.62, c-37.62, v-203, oi-0.0
2021-05-24, o-37.65, h-37.65, l-37.65, c-37.65, v-402, oi-0.0
2021-05-24, o-37.65, h-37.65, l-37.65, c-37.65, v-102, oi-0.0
2021-05-24, o-37.64, h-37.64, l-37.64, c-37.64, v-302, oi-0.0
2021-05-24, o-37.61, h-37.61, l-37.6, c-37.6, v-300, oi-0.0
2021-05-24, o-37.61, h-37.61, l-37.58, c-37.58, v-329, oi-0.0
2021-05-24, o-37.565, h-37.565, l-37.565, c-37.565, v-168, oi-0.0
2021-05-24, o-37.53, h-37.53, l-37.53, c-37.53, v-200, oi-0.0
2021-05-24, o-37.54, h-37.54, l-37.535, c-37.535, v-451, oi-0.0
2021-05-24, o-37.505, h-37.505, l-37.505, c-37.505, v-100, oi-0.0
2021-05-24, o-37.55, h-37.55, l-37.55, c-37.55, v-200, oi-0.0
2021-05-24, o-37.57, h-37.57, l-37.57, c-37.57, v-200, oi-0.0
2021-05-24, o-37.58, h-37.58, l-37.58, c-37.58, v-101, oi-0.0
2021-05-24, o-37.59, h-37.59, l-37.59, c-37.59, v-101, oi-0.0
2021-05-24, o-37.595, h-37.595, l-37.595, c-37.595, v-100, oi-0.0
2021-05-24, o-37.565, h-37.565, l-37.565, c-37.565, v-129, oi-0.0
2021-05-24, o-37.56, h-37.56, l-37.56, c-37.56, v-101, oi-0.0
2021-05-24, o-37.605, h-37.605, l-37.605, c-37.605, v-101, oi-0.0
2021-05-24, o-37.625, h-37.625, l-37.625, c-37.625, v-100, oi-0.0
2021-05-24, o-37.62, h-37.62, l-37.62, c-37.62, v-302, oi-0.0
2021-05-24, o-37.59, h-37.59, l-37.59, c-37.59, v-101, oi-0.0
2021-05-24, o-37.59, h-37.59, l-37.59, c-37.59, v-100, oi-0.0
2021-05-24, o-37.595, h-37.595, l-37.58, c-37.58, v-1051, oi-0.0
2021-05-24, o-37.62, h-37.64, l-37.62, c-37.64, v-402, oi-0.0
2021-05-24, o-37.6, h-37.6, l-37.6, c-37.6, v-602, oi-0.0
2021-05-24, o-37.6, h-37.6, l-37.6, c-37.6, v-100, oi-0.0
2021-05-24, o-37.63, h-37.63, l-37.63, c-37.63, v-100, oi-0.0
2021-05-24, o-37.625, h-37.625, l-37.625, c-37.625, v-100, oi-0.0
2021-05-24, o-37.63, h-37.63, l-37.63, c-37.63, v-200, oi-0.0
2021-05-24, o-37.64, h-37.64, l-37.64, c-37.64, v-100, oi-0.0
2021-05-24, o-37.575, h-37.575, l-37.575, c-37.575, v-101, oi-0.0
2021-05-24, o-37.575, h-37.575, l-37.575, c-37.575, v-101, oi-0.0
2021-05-24, o-37.54, h-37.54, l-37.54, c-37.54, v-251, oi-0.0
2021-05-24, o-37.52, h-37.52, l-37.52, c-37.52, v-291, oi-0.0
2021-05-24, o-37.475, h-37.475, l-37.475, c-37.475, v-202, oi-0.0
2021-05-24, o-37.47, h-37.47, l-37.46, c-37.46, v-303, oi-0.0
2021-05-24, o-37.45, h-37.45, l-37.45, c-37.45, v-106, oi-0.0
