Date, Open, High, Low, Close, Volume, Open Interest
2021-04-27, o-37.93, h-38.28, l-37.58, c-37.8, v-2327616, oi-0.0
2021-04-28, o-38.03, h-38.26, l-37.505, c-37.78, v-2165103, oi-0.0
2021-04-29, o-37.71, h-37.83, l-37.22, c-37.41, v-3329231, oi-0.0
2021-05-02, o-37.75, h-37.95, l-36.6, c-36.61, v-3959484, oi-0.0
2021-05-03, o-36.93, h-37.13, l-36.24, c-36.78, v-3359150, oi-0.0
2021-05-04, o-36.96, h-37, l-36.225, c-36.33, v-2601691, oi-0.0
2021-05-05, o-36.46, h-38.41, l-36.55, c-37.57, v-3442925, oi-0.0
2021-05-06, o-37.49, h-38.44, l-37.35, c-38.31, v-1944959, oi-0.0
2021-05-09, o-38.32, h-39.46, l-38.11, c-38.83, v-2607260, oi-0.0
2021-05-10, o-38.59, h-39.04, l-38.015, c-38.5, v-2112574, oi-0.0
2021-05-11, o-38.9, h-38.75, l-37.89, c-37.93, v-2054797, oi-0.0
2021-05-12, o-37.96, h-39.16, l-37.85, c-38.74, v-1897974, oi-0.0
2021-05-13, o-38.49, h-38.66, l-37.14, c-37.27, v-4235575, oi-0.0
2021-05-16, o-37.67, h-38.22, l-36.72, c-36.77, v-3626776, oi-0.0
2021-05-17, o-37.04, h-37.72, l-36.9, c-37.35, v-3195240, oi-0.0
2021-05-18, o-36.84, h-37.61, l-36.8, c-37.35, v-2800733, oi-0.0
2021-05-19, o-37.27, h-37.77, l-37.17, c-37.25, v-2102628, oi-0.0
2021-05-20, o-37.31, h-37.852, l-37.16, c-37.58, v-2647959, oi-0.0
2021-05-23, o-37.6, h-37.9001, l-37.33, c-37.44, v-1504253, oi-0.0
2021-05-24, o-37.54, h-37.93, l-36.95, c-37.15, v-2189449, oi-0.0
2021-05-25, o-37.24, h-38.06, l-37.07, c-37.6279, v-669240, oi-0.0
