Date, Open, High, Low, Close, Volume, Open Interest
2017-06-01, o-64.9, h-65.55, l-64.76, c-65.41, v-5033494, oi-0.0
2017-06-04, o-65.59, h-65.79, l-65.04, c-65.48, v-5186769, oi-0.0
2017-06-05, o-65.19, h-65.38, l-64.64, c-64.84, v-5659115, oi-0.0
2017-06-06, o-65.03, h-65.17, l-64.2, c-64.3, v-6175656, oi-0.0
2017-06-07, o-64.16, h-64.58, l-64.055, c-64.12, v-5706177, oi-0.0
2017-06-08, o-64.11, h-64.94, l-63.95, c-64.68, v-7814567, oi-0.0
2017-06-11, o-64.6, h-66.7, l-64.55, c-65.43, v-8167098, oi-0.0
2017-06-12, o-65.61, h-65.65, l-65.01, c-65.15, v-6680867, oi-0.0
2017-06-13, o-64.92, h-65.365, l-64.54, c-65, v-5338358, oi-0.0
2017-06-14, o-64.76, h-65.16, l-64.0954, c-64.81, v-5620563, oi-0.0
2017-06-15, o-64.79, h-64.84, l-63.759, c-64.1, v-7230925, oi-0.0
2017-06-18, o-64.23, h-64.975, l-64.08, c-64.81, v-5963323, oi-0.0
2017-06-19, o-64.89, h-66, l-64.02, c-65.6, v-10757579, oi-0.0
2017-06-20, o-65.82, h-67.69, l-65.61, c-67.51, v-11722514, oi-0.0
2017-06-21, o-68.25, h-71.44, l-68.25, c-70.5, v-24980144, oi-0.0
2017-06-22, o-71.07, h-71.37, l-69.84, c-70.53, v-13127110, oi-0.0
2017-06-25, o-71.25, h-71.76, l-70.72, c-71.26, v-10829819, oi-0.0
2017-06-26, o-71.4, h-71.9, l-70.64, c-70.66, v-9160245, oi-0.0
2017-06-27, o-70.96, h-72.09, l-70.83, c-71.92, v-8813151, oi-0.0
2017-06-28, o-72.04, h-72.17, l-70.02, c-70.85, v-9794474, oi-0.0
2017-06-29, o-71.55, h-71.64, l-70.32, c-70.78, v-5058165, oi-0.0
2017-07-02, o-71.14, h-71.6, l-70.56, c-70.68, v-2561187, oi-0.0
2017-07-04, o-70.83, h-71.285, l-70.16, c-70.85, v-5907657, oi-0.0
2017-07-05, o-70.66, h-70.74, l-69.19, c-69.48, v-5861463, oi-0.0
2017-07-06, o-69.69, h-69.69, l-68.54, c-69.25, v-5148435, oi-0.0
2017-07-09, o-69.24, h-69.74, l-69.1233, c-69.29, v-4834182, oi-0.0
2017-07-10, o-68.99, h-69.495, l-68.61, c-69.35, v-5011442, oi-0.0
2017-07-11, o-69.74, h-70.13, l-69.605, c-69.82, v-4274113, oi-0.0
2017-07-12, o-69.99, h-70.98, l-69.5175, c-70.59, v-6154493, oi-0.0
2017-07-13, o-70.74, h-71.03, l-70.42, c-70.57, v-3955544, oi-0.0
2017-07-16, o-70.58, h-71.86, l-70.4, c-71.16, v-5202948, oi-0.0
2017-07-17, o-71.3, h-71.73, l-70.72, c-71.71, v-5102161, oi-0.0
2017-07-18, o-72, h-72.74, l-71.77, c-72.72, v-6916792, oi-0.0
