Date, Open, High, Low, Close, Volume, Open Interest
2021-05-25, o-66.575, h-66.58, l-66.54, c-66.54, v-736, oi-0.0
2021-05-25, o-66.57, h-66.57, l-66.57, c-66.57, v-346, oi-0.0
2021-05-25, o-66.565, h-66.585, l-66.565, c-66.585, v-3594, oi-0.0
2021-05-25, o-66.58, h-66.6, l-66.58, c-66.6, v-1140, oi-0.0
2021-05-25, o-66.58, h-66.58, l-66.495, c-66.495, v-600, oi-0.0
2021-05-25, o-66.485, h-66.495, l-66.475, c-66.495, v-1660, oi-0.0
2021-05-25, o-66.48, h-66.48, l-66.445, c-66.445, v-727, oi-0.0
2021-05-25, o-66.465, h-66.475, l-66.465, c-66.475, v-812, oi-0.0
2021-05-25, o-66.455, h-66.48, l-66.45, c-66.48, v-801, oi-0.0
2021-05-25, o-66.495, h-66.495, l-66.49, c-66.49, v-922, oi-0.0
2021-05-25, o-66.49, h-66.49, l-66.49, c-66.49, v-200, oi-0.0
2021-05-25, o-66.495, h-66.495, l-66.495, c-66.495, v-220, oi-0.0
2021-05-25, o-66.495, h-66.495, l-66.475, c-66.475, v-1551, oi-0.0
2021-05-25, o-66.48, h-66.495, l-66.48, c-66.495, v-420, oi-0.0
2021-05-25, o-66.495, h-66.495, l-66.47, c-66.47, v-515, oi-0.0
2021-05-25, o-66.475, h-66.475, l-66.46, c-66.46, v-297, oi-0.0
2021-05-25, o-66.445, h-66.445, l-66.43, c-66.43, v-531, oi-0.0
2021-05-25, o-66.42, h-66.455, l-66.42, c-66.455, v-1727, oi-0.0
2021-05-25, o-66.44, h-66.455, l-66.435, c-66.455, v-722, oi-0.0
2021-05-25, o-66.44, h-66.445, l-66.44, c-66.445, v-590, oi-0.0
2021-05-25, o-66.445, h-66.495, l-66.415, c-66.495, v-2884, oi-0.0
2021-05-25, o-66.485, h-66.485, l-66.48, c-66.48, v-806, oi-0.0
2021-05-25, o-66.48, h-66.48, l-66.47, c-66.475, v-402, oi-0.0
2021-05-25, o-66.495, h-66.495, l-66.47, c-66.47, v-1496, oi-0.0
2021-05-25, o-66.465, h-66.475, l-66.465, c-66.465, v-1030, oi-0.0
2021-05-25, o-66.465, h-66.465, l-66.425, c-66.445, v-425, oi-0.0
2021-05-25, o-66.43, h-66.43, l-66.405, c-66.405, v-371, oi-0.0
2021-05-25, o-66.395, h-66.395, l-66.35, c-66.39, v-1362, oi-0.0
2021-05-25, o-66.38, h-66.38, l-66.365, c-66.375, v-1868, oi-0.0
2021-05-25, o-66.375, h-66.405, l-66.375, c-66.405, v-540, oi-0.0
2021-05-25, o-66.405, h-66.405, l-66.385, c-66.385, v-828, oi-0.0
2021-05-25, o-66.385, h-66.385, l-66.355, c-66.355, v-410, oi-0.0
2021-05-25, o-66.36, h-66.375, l-66.36, c-66.375, v-519, oi-0.0
2021-05-25, o-66.405, h-66.405, l-66.405, c-66.405, v-298, oi-0.0
2021-05-25, o-66.405, h-66.405, l-66.375, c-66.38, v-1283, oi-0.0
2021-05-25, o-66.375, h-66.405, l-66.375, c-66.4, v-511, oi-0.0
2021-05-25, o-66.405, h-66.405, l-66.38, c-66.38, v-500, oi-0.0
2021-05-25, o-66.38, h-66.39, l-66.375, c-66.39, v-511, oi-0.0
