Date, Open, High, Low, Close, Volume, Open Interest
2021-04-27, o-64.62, h-64.7, l-63.855, c-64.46, v-7203471, oi-0.0
2021-04-28, o-64.48, h-64.63, l-63.33, c-63.86, v-7945402, oi-0.0
2021-04-29, o-62.4, h-64.1, l-61.945, c-63.47, v-10650853, oi-0.0
2021-05-02, o-63.94, h-65.895, l-63.77, c-65.8, v-8047730, oi-0.0
2021-05-03, o-65.72, h-66.63, l-65.37, c-65.65, v-8545825, oi-0.0
2021-05-04, o-65.91, h-67, l-65.52, c-66.52, v-5807638, oi-0.0
2021-05-05, o-66.03, h-66.68, l-65.135, c-66.54, v-6372443, oi-0.0
2021-05-06, o-66.57, h-67.54, l-66.3, c-66.54, v-4878673, oi-0.0
2021-05-09, o-66.78, h-68.4001, l-66.77, c-67.49, v-6725200, oi-0.0
2021-05-10, o-67.11, h-68.08, l-66.78, c-67.22, v-5281653, oi-0.0
2021-05-11, o-66.69, h-67.95, l-66.69, c-67.46, v-7195232, oi-0.0
2021-05-12, o-67.75, h-68.98, l-67.44, c-68.9, v-6128024, oi-0.0
2021-05-13, o-68.9, h-69.18, l-68.3884, c-68.53, v-6039858, oi-0.0
2021-05-16, o-68.46, h-69.65, l-68.45, c-69.08, v-5210995, oi-0.0
2021-05-17, o-69.41, h-69.87, l-68.8, c-68.85, v-5017773, oi-0.0
2021-05-18, o-68.27, h-68.57, l-67.55, c-68.5, v-4690703, oi-0.0
2021-05-19, o-68.66, h-69.98, l-68.37, c-69.35, v-5435990, oi-0.0
2021-05-20, o-69.77, h-70.11, l-68.71, c-68.76, v-5360178, oi-0.0
2021-05-23, o-69.13, h-69.24, l-67.38, c-67.39, v-6051724, oi-0.0
2021-05-24, o-67.31, h-67.4, l-66, c-66.23, v-8661232, oi-0.0
2021-05-25, o-66.24, h-66.24, l-65.55, c-66.115, v-2309792, oi-0.0
