Date, Open, High, Low, Close, Volume, Open Interest
2021-05-12, o-2247.31, h-2247.31, l-2238.44, c-2243.24, v-5188, oi-0.0
2021-05-12, o-2244.2, h-2245.12, l-2235.54, c-2237, v-2651, oi-0.0
2021-05-12, o-2238.155, h-2238.47, l-2236.01, c-2237.03, v-1470, oi-0.0
2021-05-12, o-2236.69, h-2242.93, l-2236.69, c-2242.93, v-358, oi-0.0
2021-05-12, o-2241.2, h-2245.4, l-2237.515, c-2237.71, v-1802, oi-0.0
2021-05-12, o-2241.67, h-2244.13, l-2241.46, c-2244.13, v-1615, oi-0.0
2021-05-12, o-2241.8, h-2248.37, l-2241.8, c-2246.18, v-2559, oi-0.0
2021-05-12, o-2246.15, h-2246.15, l-2241.685, c-2241.685, v-758, oi-0.0
2021-05-12, o-2242.22, h-2245.425, l-2242.22, c-2242.79, v-2372, oi-0.0
2021-05-12, o-2243.13, h-2246.675, l-2242.325, c-2242.325, v-2170, oi-0.0
2021-05-12, o-2245.31, h-2246.13, l-2242.45, c-2242.69, v-973, oi-0.0
2021-05-12, o-2241.92, h-2244.13, l-2241.92, c-2244.13, v-400, oi-0.0
2021-05-12, o-2245.01, h-2247.24, l-2244.01, c-2244.39, v-1193, oi-0.0
2021-05-12, o-2244.32, h-2251.19, l-2244.32, c-2250.1, v-2145, oi-0.0
2021-05-12, o-2248, h-2248, l-2243.88, c-2244.8, v-2403, oi-0.0
2021-05-12, o-2245.15, h-2248.775, l-2245.15, c-2248.16, v-1301, oi-0.0
2021-05-12, o-2247.78, h-2249.32, l-2245.09, c-2248.86, v-5587, oi-0.0
2021-05-12, o-2248.06, h-2248.3, l-2231, c-2239.37, v-18449, oi-0.0
2021-05-13, o-2264.21, h-2267.09, l-2249.4, c-2249.4, v-8205, oi-0.0
2021-05-13, o-2250.49, h-2254.99, l-2245, c-2254.58, v-5398, oi-0.0
2021-05-13, o-2256.74, h-2261.22, l-2256.74, c-2261.22, v-2108, oi-0.0
2021-05-13, o-2254.54, h-2258.24, l-2254.54, c-2256.67, v-435, oi-0.0
2021-05-13, o-2262.64, h-2263.05, l-2259.33, c-2260.43, v-766, oi-0.0
2021-05-13, o-2261.35, h-2268.99, l-2261.2, c-2268.99, v-2419, oi-0.0
2021-05-13, o-2263.08, h-2266.275, l-2259.99, c-2260.02, v-3501, oi-0.0
2021-05-13, o-2256.82, h-2259.7, l-2256.73, c-2257.2, v-1263, oi-0.0
2021-05-13, o-2257.65, h-2260.535, l-2257.16, c-2257.16, v-1545, oi-0.0
2021-05-13, o-2254.77, h-2257.6, l-2254.77, c-2255.85, v-2277, oi-0.0
2021-05-13, o-2257.58, h-2261.86, l-2256.14, c-2261.75, v-2532, oi-0.0
2021-05-13, o-2262.3, h-2263.2, l-2259.21, c-2263.2, v-2742, oi-0.0
2021-05-13, o-2264.94, h-2264.94, l-2258.44, c-2258.44, v-993, oi-0.0
2021-05-13, o-2260.755, h-2261.55, l-2252.41, c-2252.41, v-895, oi-0.0
2021-05-13, o-2250.98, h-2253.14, l-2248.89, c-2251.21, v-1403, oi-0.0
2021-05-13, o-2252.74, h-2252.74, l-2247.21, c-2250, v-458, oi-0.0
2021-05-13, o-2247.78, h-2247.78, l-2243.17, c-2245.26, v-1487, oi-0.0
2021-05-13, o-2247.34, h-2252.63, l-2244.07, c-2250.89, v-1704, oi-0.0
2021-05-13, o-2258.76, h-2260.82, l-2258.76, c-2260.82, v-1285, oi-0.0
2021-05-13, o-2261.51, h-2263.23, l-2260.69, c-2261.5, v-1179, oi-0.0
2021-05-13, o-2265.64, h-2269.32, l-2262.31, c-2269.32, v-1022, oi-0.0
2021-05-13, o-2267.8, h-2269.2, l-2267.36, c-2269.135, v-969, oi-0.0
2021-05-13, o-2270.33, h-2271, l-2264, c-2264, v-1637, oi-0.0
2021-05-13, o-2265.39, h-2267.08, l-2263.515, c-2267.08, v-1654, oi-0.0
2021-05-13, o-2272.82, h-2274.1, l-2271.24, c-2273.01, v-6285, oi-0.0
2021-05-13, o-2273.33, h-2275.9, l-2260.55, c-2261.35, v-7813, oi-0.0
2021-05-14, o-2287, h-2309.54, l-2284.48, c-2297, v-11367, oi-0.0
2021-05-14, o-2294.97, h-2302.86, l-2294, c-2300.305, v-2838, oi-0.0
2021-05-14, o-2301.92, h-2302.93, l-2295.445, c-2302.3, v-4069, oi-0.0
2021-05-14, o-2302.03, h-2303.56, l-2298.48, c-2303.56, v-2604, oi-0.0
2021-05-14, o-2302.21, h-2303.95, l-2298.99, c-2299.05, v-3981, oi-0.0
2021-05-14, o-2298.88, h-2309.86, l-2298.88, c-2309.86, v-1473, oi-0.0
2021-05-14, o-2309.19, h-2309.99, l-2308.69, c-2309.36, v-1518, oi-0.0
2021-05-14, o-2309.66, h-2312.27, l-2308.8, c-2308.8, v-2422, oi-0.0
2021-05-14, o-2308.585, h-2310.1, l-2308.585, c-2308.99, v-1966, oi-0.0
2021-05-14, o-2309.18, h-2309.18, l-2304.1, c-2304.15, v-2696, oi-0.0
2021-05-14, o-2307.84, h-2309.195, l-2307.84, c-2309.12, v-840, oi-0.0
2021-05-14, o-2307, h-2307, l-2306.46, c-2306.46, v-239, oi-0.0
2021-05-14, o-2308.55, h-2309.8, l-2306.83, c-2306.87, v-1111, oi-0.0
2021-05-14, o-2306.1, h-2306.1, l-2303.23, c-2304.61, v-1200, oi-0.0
2021-05-14, o-2307.8, h-2307.8, l-2307.06, c-2307.06, v-313, oi-0.0
2021-05-14, o-2308.48, h-2310.355, l-2308.48, c-2310.355, v-535, oi-0.0
2021-05-14, o-2310.49, h-2310.72, l-2310.09, c-2310.625, v-1938, oi-0.0
2021-05-14, o-2310.9, h-2313.245, l-2310.9, c-2313.245, v-524, oi-0.0
2021-05-14, o-2312.26, h-2313.04, l-2312.26, c-2312.5, v-1463, oi-0.0
2021-05-14, o-2311.98, h-2311.98, l-2310.17, c-2310.28, v-886, oi-0.0
2021-05-14, o-2312.145, h-2314.25, l-2311.98, c-2313.77, v-984, oi-0.0
2021-05-14, o-2314.39, h-2317.105, l-2314.39, c-2316.26, v-1845, oi-0.0
2021-05-14, o-2317.04, h-2317.75, l-2317.04, c-2317.17, v-1058, oi-0.0
2021-05-14, o-2316.02, h-2319.32, l-2316.02, c-2319.3, v-1266, oi-0.0
2021-05-14, o-2318.15, h-2319.99, l-2318.15, c-2318.8, v-658, oi-0.0
2021-05-14, o-2319.17, h-2320.375, l-2315.97, c-2317.65, v-6709, oi-0.0
2021-05-17, o-2301.36, h-2310, l-2295.93, c-2299.5, v-7422, oi-0.0
2021-05-17, o-2303.07, h-2306.19, l-2298.67, c-2303.67, v-3192, oi-0.0
2021-05-17, o-2299.155, h-2301.13, l-2299, c-2300.28, v-1694, oi-0.0
2021-05-17, o-2301.74, h-2317.46, l-2301.66, c-2316, v-3020, oi-0.0
2021-05-17, o-2313.07, h-2318.98, l-2308.72, c-2316.59, v-1367, oi-0.0
2021-05-17, o-2314.76, h-2318.84, l-2314.31, c-2316.52, v-2036, oi-0.0
2021-05-17, o-2318.625, h-2318.625, l-2305.36, c-2306.595, v-1647, oi-0.0
2021-05-17, o-2309.41, h-2310.46, l-2306.06, c-2306.06, v-2742, oi-0.0
2021-05-17, o-2305.975, h-2305.975, l-2305.7, c-2305.7, v-334, oi-0.0
2021-05-17, o-2307, h-2307.88, l-2303.955, c-2303.955, v-1529, oi-0.0
2021-05-17, o-2304.62, h-2308.67, l-2304.39, c-2305.5, v-1257, oi-0.0
2021-05-17, o-2304.64, h-2310.84, l-2304.64, c-2310.44, v-1463, oi-0.0
2021-05-17, o-2309.13, h-2314.14, l-2307.54, c-2314.14, v-1264, oi-0.0
2021-05-17, o-2310.31, h-2310.31, l-2306.075, c-2306.075, v-541, oi-0.0
2021-05-17, o-2306.4, h-2306.4, l-2304.655, c-2304.655, v-845, oi-0.0
2021-05-17, o-2303.85, h-2304.65, l-2303.85, c-2304.65, v-233, oi-0.0
2021-05-17, o-2305.88, h-2305.88, l-2304.25, c-2304.25, v-339, oi-0.0
2021-05-17, o-2304.65, h-2306.64, l-2304.65, c-2306.64, v-638, oi-0.0
2021-05-17, o-2312.06, h-2312.06, l-2312.06, c-2312.06, v-211, oi-0.0
2021-05-17, o-2310.81, h-2314.7, l-2310.81, c-2314.01, v-316, oi-0.0
2021-05-17, o-2319.51, h-2322.27, l-2319.4, c-2322.27, v-1395, oi-0.0
2021-05-17, o-2322, h-2323.34, l-2315.85, c-2316.495, v-2412, oi-0.0
2021-05-17, o-2315.53, h-2318.37, l-2314.69, c-2318.04, v-2251, oi-0.0
2021-05-17, o-2316.8, h-2321.62, l-2315.02, c-2321.44, v-4228, oi-0.0
2021-05-18, o-2333.25, h-2341.47, l-2332.08, c-2337.5, v-5410, oi-0.0
2021-05-18, o-2336.21, h-2340.15, l-2335.12, c-2337.12, v-2422, oi-0.0
2021-05-18, o-2331.23, h-2336.25, l-2330.71, c-2335.75, v-2367, oi-0.0
2021-05-18, o-2338.425, h-2341.41, l-2337.3, c-2339.37, v-1946, oi-0.0
2021-05-18, o-2341.14, h-2341.33, l-2336.77, c-2337, v-1940, oi-0.0
2021-05-18, o-2337.3, h-2338.185, l-2335.97, c-2336.75, v-2262, oi-0.0
2021-05-18, o-2338.56, h-2343.11, l-2338.56, c-2340.58, v-1202, oi-0.0
2021-05-18, o-2337.08, h-2337.92, l-2335.87, c-2335.95, v-841, oi-0.0
2021-05-18, o-2333.53, h-2333.67, l-2330.55, c-2332.01, v-1168, oi-0.0
2021-05-18, o-2328.295, h-2328.295, l-2328.295, c-2328.295, v-103, oi-0.0
2021-05-18, o-2320.9, h-2328.72, l-2320.9, c-2328.72, v-646, oi-0.0
2021-05-18, o-2328.93, h-2332.23, l-2328.93, c-2331.22, v-920, oi-0.0
2021-05-18, o-2335.33, h-2335.33, l-2334.94, c-2335.1, v-336, oi-0.0
2021-05-18, o-2334.58, h-2334.58, l-2329.21, c-2329.21, v-352, oi-0.0
2021-05-18, o-2330.72, h-2330.72, l-2329.66, c-2329.66, v-202, oi-0.0
2021-05-18, o-2328.73, h-2332.17, l-2328.73, c-2332.17, v-822, oi-0.0
2021-05-18, o-2332.08, h-2332.08, l-2328.93, c-2328.93, v-916, oi-0.0
2021-05-18, o-2327.26, h-2327.26, l-2323.44, c-2324.85, v-1049, oi-0.0
2021-05-18, o-2325.33, h-2326.43, l-2323.63, c-2326.21, v-1609, oi-0.0
2021-05-18, o-2326.09, h-2326.09, l-2323, c-2323, v-1624, oi-0.0
2021-05-18, o-2313.68, h-2313.91, l-2311.4, c-2311.95, v-1093, oi-0.0
2021-05-18, o-2311.02, h-2313.72, l-2309.11, c-2309.42, v-2394, oi-0.0
2021-05-18, o-2308.71, h-2317.14, l-2308.71, c-2315.97, v-1728, oi-0.0
2021-05-18, o-2317.85, h-2320.39, l-2317.85, c-2320.39, v-602, oi-0.0
2021-05-18, o-2322.55, h-2322.55, l-2318.7, c-2320.86, v-1644, oi-0.0
2021-05-18, o-2320.65, h-2320.81, l-2304.7, c-2304.7, v-3576, oi-0.0
2021-05-19, o-2272.42, h-2278.57, l-2267.75, c-2276.63, v-6219, oi-0.0
2021-05-19, o-2276.44, h-2285.78, l-2269, c-2281.75, v-6000, oi-0.0
2021-05-19, o-2282.25, h-2282.25, l-2270.5, c-2274.62, v-2145, oi-0.0
2021-05-19, o-2272.94, h-2286.08, l-2272.94, c-2285.78, v-2820, oi-0.0
2021-05-19, o-2287.11, h-2287.11, l-2278.07, c-2278.07, v-1347, oi-0.0
2021-05-19, o-2283.73, h-2287.58, l-2281.775, c-2287.33, v-1559, oi-0.0
2021-05-19, o-2283.11, h-2292.795, l-2283.11, c-2291.54, v-2432, oi-0.0
2021-05-19, o-2295.12, h-2295.12, l-2291.66, c-2291.66, v-455, oi-0.0
2021-05-19, o-2289.44, h-2294.17, l-2289.44, c-2292.21, v-1583, oi-0.0
2021-05-19, o-2291.27, h-2294.57, l-2289.91, c-2294.57, v-951, oi-0.0
2021-05-19, o-2295.71, h-2297.79, l-2295.71, c-2297.62, v-1869, oi-0.0
2021-05-19, o-2300.01, h-2300.15, l-2297.59, c-2298.66, v-973, oi-0.0
2021-05-19, o-2294.09, h-2294.32, l-2292.33, c-2292.97, v-1802, oi-0.0
2021-05-19, o-2291.91, h-2296.72, l-2291.91, c-2294.9, v-943, oi-0.0
2021-05-19, o-2298, h-2301.36, l-2298, c-2300.16, v-1281, oi-0.0
2021-05-19, o-2299.33, h-2301.32, l-2299.135, c-2300.74, v-2086, oi-0.0
2021-05-19, o-2302.36, h-2302.64, l-2299.08, c-2300, v-1812, oi-0.0
2021-05-19, o-2299.53, h-2303.28, l-2299.43, c-2303.24, v-2099, oi-0.0
2021-05-19, o-2305.79, h-2305.975, l-2299.94, c-2299.94, v-3046, oi-0.0
2021-05-19, o-2297.14, h-2312.61, l-2297.14, c-2312.61, v-1776, oi-0.0
2021-05-19, o-2316.45, h-2316.45, l-2302.65, c-2303.83, v-1710, oi-0.0
2021-05-19, o-2298.6, h-2302.83, l-2297.68, c-2302.83, v-1029, oi-0.0
2021-05-19, o-2300, h-2303.925, l-2298.67, c-2303.925, v-1222, oi-0.0
2021-05-19, o-2304.33, h-2312.39, l-2304.1, c-2312.39, v-1538, oi-0.0
2021-05-19, o-2305.78, h-2307.7, l-2301.76, c-2301.8, v-2156, oi-0.0
2021-05-19, o-2302.99, h-2309.67, l-2296.87, c-2307.79, v-6788, oi-0.0
2021-05-19, o-2308.71, h-2308.71, l-2308.71, c-2308.71, v-100, oi-0.0
2021-05-20, o-2328.265, h-2331.3, l-2326.17, c-2331.3, v-2034, oi-0.0
2021-05-20, o-2327.99, h-2333.25, l-2327.99, c-2330.25, v-2743, oi-0.0
2021-05-20, o-2335.27, h-2336.86, l-2333.6, c-2333.6, v-2083, oi-0.0
2021-05-20, o-2330.96, h-2333.24, l-2328.88, c-2333.24, v-2206, oi-0.0
2021-05-20, o-2333.37, h-2335.83, l-2333.31, c-2334.85, v-1694, oi-0.0
2021-05-20, o-2335.115, h-2338.11, l-2334.36, c-2334.36, v-2661, oi-0.0
