Date, Open, High, Low, Close, Volume, Open Interest
2021-05-19, o-383.26, h-383.53, l-382.85, c-382.85, v-1372, oi-0.0
2021-05-19, o-382.34, h-382.34, l-381.6, c-381.6, v-660, oi-0.0
2021-05-19, o-382.13, h-382.65, l-382.04, c-382.65, v-781, oi-0.0
2021-05-19, o-382.76, h-382.91, l-382.76, c-382.91, v-248, oi-0.0
2021-05-19, o-382.67, h-382.71, l-382.65, c-382.65, v-348, oi-0.0
2021-05-19, o-382.33, h-382.33, l-382.035, c-382.035, v-274, oi-0.0
2021-05-19, o-382.47, h-382.765, l-382.15, c-382.54, v-1213, oi-0.0
2021-05-19, o-382.65, h-382.72, l-382.57, c-382.72, v-873, oi-0.0
2021-05-19, o-382.66, h-382.66, l-382.22, c-382.27, v-622, oi-0.0
2021-05-19, o-382.81, h-383.96, l-382.75, c-383.96, v-1208, oi-0.0
2021-05-19, o-381.305, h-384.49, l-381.305, c-384.49, v-702, oi-0.0
2021-05-19, o-384.24, h-384.38, l-383.83, c-383.97, v-1593, oi-0.0
2021-05-19, o-384.02, h-384.02, l-383.63, c-383.89, v-337, oi-0.0
2021-05-19, o-384, h-384.99, l-384, c-384.99, v-735, oi-0.0
2021-05-19, o-385.1, h-385.87, l-384.74, c-385.43, v-2829, oi-0.0
2021-05-19, o-384.6, h-385.25, l-384.6, c-384.75, v-875, oi-0.0
2021-05-19, o-384.93, h-386.85, l-384.55, c-386.82, v-11097, oi-0.0
2021-05-20, o-391.81, h-393.39, l-391.48, c-393.39, v-1257, oi-0.0
2021-05-20, o-394.765, h-395.88, l-394.5, c-394.72, v-2020, oi-0.0
2021-05-20, o-395.135, h-397.145, l-395.135, c-397.06, v-1594, oi-0.0
2021-05-20, o-397.74, h-397.98, l-397.295, c-397.295, v-2061, oi-0.0
2021-05-20, o-397.37, h-397.94, l-397.25, c-397.405, v-1467, oi-0.0
2021-05-20, o-397.32, h-397.32, l-396.025, c-397.03, v-945, oi-0.0
2021-05-20, o-397.91, h-398.9, l-397.91, c-398.46, v-1923, oi-0.0
2021-05-20, o-398.83, h-400.47, l-398.73, c-400.47, v-2329, oi-0.0
2021-05-20, o-400.08, h-402.04, l-400.08, c-402.04, v-1089, oi-0.0
2021-05-20, o-402.09, h-402.2, l-402, c-402, v-732, oi-0.0
2021-05-20, o-401.84, h-403.35, l-401.53, c-403.35, v-996, oi-0.0
2021-05-20, o-402.63, h-403.18, l-402.215, c-403.18, v-1565, oi-0.0
2021-05-20, o-403.535, h-403.54, l-401.2, c-401.53, v-1722, oi-0.0
2021-05-20, o-401.985, h-402.28, l-401.78, c-402.17, v-843, oi-0.0
2021-05-20, o-402.12, h-403.01, l-402.12, c-402.75, v-1818, oi-0.0
2021-05-20, o-402.42, h-403.505, l-402.39, c-403.23, v-856, oi-0.0
2021-05-20, o-403.32, h-403.97, l-402.685, c-402.685, v-1823, oi-0.0
2021-05-20, o-402.86, h-402.86, l-401.51, c-401.51, v-980, oi-0.0
2021-05-20, o-402.08, h-402.08, l-400.97, c-401.23, v-1162, oi-0.0
2021-05-20, o-400.32, h-400.46, l-399.31, c-399.33, v-738, oi-0.0
2021-05-20, o-400.36, h-400.36, l-397.07, c-398.9, v-5884, oi-0.0
2021-05-20, o-397.27, h-401.235, l-397.27, c-401.14, v-3903, oi-0.0
2021-05-20, o-400.68, h-403.01, l-400.68, c-402.87, v-2275, oi-0.0
2021-05-20, o-402.855, h-403.01, l-401.49, c-401.65, v-3400, oi-0.0
2021-05-20, o-401.715, h-401.835, l-398.04, c-398.17, v-9173, oi-0.0
2021-05-20, o-398.35, h-398.43, l-396.15, c-396.18, v-16979, oi-0.0
2021-05-21, o-400.42, h-402.145, l-399.535, c-400.28, v-3264, oi-0.0
2021-05-21, o-398.94, h-402.245, l-398.73, c-402.245, v-2022, oi-0.0
2021-05-21, o-403.95, h-403.95, l-402.56, c-403.59, v-2823, oi-0.0
2021-05-21, o-403.44, h-404.56, l-402.35, c-404.24, v-2957, oi-0.0
2021-05-21, o-404.3, h-405.48, l-404.165, c-405.48, v-5651, oi-0.0
2021-05-21, o-405.28, h-405.28, l-403.14, c-404.69, v-4423, oi-0.0
2021-05-21, o-405.05, h-405.57, l-404.2, c-405.57, v-2570, oi-0.0
2021-05-21, o-405.59, h-406.275, l-404.6, c-404.6, v-2174, oi-0.0
2021-05-21, o-404.74, h-405.23, l-404.74, c-404.97, v-2233, oi-0.0
2021-05-21, o-404.66, h-404.89, l-403.94, c-404.06, v-2007, oi-0.0
2021-05-21, o-404.03, h-404.15, l-403.095, c-403.23, v-2107, oi-0.0
2021-05-21, o-402.39, h-402.39, l-401.8, c-402.075, v-821, oi-0.0
2021-05-21, o-401.5, h-402.04, l-401.5, c-401.93, v-754, oi-0.0
2021-05-21, o-400.935, h-400.935, l-400.87, c-400.91, v-701, oi-0.0
2021-05-21, o-400.62, h-400.62, l-400.14, c-400.16, v-708, oi-0.0
2021-05-21, o-400.255, h-400.825, l-400.2, c-400.825, v-643, oi-0.0
2021-05-21, o-401.17, h-401.42, l-401.17, c-401.315, v-631, oi-0.0
2021-05-21, o-401.25, h-401.97, l-401.1, c-401.1, v-811, oi-0.0
2021-05-21, o-401.18, h-401.885, l-400.9, c-401.885, v-2111, oi-0.0
2021-05-21, o-401.855, h-401.855, l-400.99, c-400.99, v-926, oi-0.0
2021-05-21, o-401.12, h-401.12, l-400.2, c-400.2, v-687, oi-0.0
2021-05-21, o-399.88, h-400.78, l-399.88, c-400.58, v-1988, oi-0.0
2021-05-21, o-400.51, h-400.51, l-400.02, c-400.02, v-375, oi-0.0
2021-05-21, o-400.69, h-400.84, l-400.58, c-400.58, v-669, oi-0.0
2021-05-21, o-400.51, h-401.29, l-399.68, c-399.68, v-1437, oi-0.0
2021-05-21, o-399.41, h-399.62, l-398.26, c-398.74, v-6102, oi-0.0
2021-05-24, o-402.79, h-405.39, l-402.09, c-403.83, v-5169, oi-0.0
2021-05-24, o-404.76, h-405.3, l-404.33, c-404.5, v-1901, oi-0.0
2021-05-24, o-404.84, h-405.66, l-404.305, c-405.54, v-1937, oi-0.0
2021-05-24, o-406.72, h-406.72, l-405.82, c-405.82, v-456, oi-0.0
2021-05-24, o-405.98, h-405.98, l-405.03, c-405.9, v-1203, oi-0.0
2021-05-24, o-406.41, h-406.41, l-406.35, c-406.35, v-243, oi-0.0
2021-05-24, o-406.1, h-406.1, l-404.97, c-405.77, v-1267, oi-0.0
2021-05-24, o-406.01, h-406.01, l-406.01, c-406.01, v-249, oi-0.0
2021-05-24, o-406.15, h-406.78, l-405.53, c-405.53, v-512, oi-0.0
2021-05-24, o-405.58, h-405.58, l-404.455, c-405, v-1243, oi-0.0
2021-05-24, o-405.18, h-405.43, l-404.96, c-404.96, v-936, oi-0.0
2021-05-24, o-404.98, h-404.98, l-404.76, c-404.76, v-814, oi-0.0
2021-05-24, o-404.76, h-404.98, l-404.29, c-404.4, v-1438, oi-0.0
2021-05-24, o-404.56, h-404.68, l-403.64, c-403.64, v-1070, oi-0.0
2021-05-24, o-403.92, h-403.92, l-402.88, c-402.88, v-526, oi-0.0
2021-05-24, o-402.98, h-403.17, l-402.925, c-403.17, v-648, oi-0.0
2021-05-24, o-403.49, h-403.53, l-403.27, c-403.52, v-701, oi-0.0
2021-05-24, o-403.65, h-403.65, l-403.36, c-403.36, v-593, oi-0.0
2021-05-24, o-403.2, h-403.2, l-402.07, c-402.07, v-1250, oi-0.0
2021-05-24, o-402.16, h-402.35, l-401.68, c-401.68, v-956, oi-0.0
2021-05-24, o-401.75, h-401.75, l-401.245, c-401.32, v-1299, oi-0.0
2021-05-24, o-401.5, h-401.97, l-401.5, c-401.8, v-602, oi-0.0
2021-05-24, o-401.87, h-402.09, l-401.87, c-401.93, v-696, oi-0.0
2021-05-24, o-401.52, h-401.7, l-401.52, c-401.52, v-621, oi-0.0
2021-05-24, o-400.97, h-401.25, l-400.86, c-401.035, v-1359, oi-0.0
2021-05-24, o-401.03, h-401.03, l-399.89, c-400.015, v-6107, oi-0.0
2021-05-25, o-401.68, h-403.46, l-400.88, c-403.46, v-993, oi-0.0
2021-05-25, o-402.72, h-403.22, l-402.72, c-403.05, v-868, oi-0.0
2021-05-25, o-402.555, h-402.555, l-402.31, c-402.41, v-674, oi-0.0
2021-05-25, o-402.38, h-402.38, l-401.47, c-401.85, v-1247, oi-0.0
2021-05-25, o-401.67, h-401.67, l-400.475, c-401.62, v-3201, oi-0.0
2021-05-25, o-402.52, h-402.61, l-401.62, c-402.61, v-1389, oi-0.0
2021-05-25, o-401.83, h-401.83, l-400.525, c-401.145, v-2821, oi-0.0
2021-05-25, o-401.15, h-401.15, l-399.55, c-399.55, v-2108, oi-0.0
2021-05-25, o-399.85, h-399.93, l-398.795, c-399.305, v-3661, oi-0.0
2021-05-25, o-399.7, h-400.11, l-399.09, c-400.11, v-1092, oi-0.0
2021-05-25, o-400.245, h-400.3, l-399.72, c-400.3, v-1257, oi-0.0
2021-05-25, o-400.34, h-400.35, l-400.07, c-400.15, v-717, oi-0.0
2021-05-25, o-400.34, h-401.74, l-400.34, c-401.74, v-1377, oi-0.0
2021-05-25, o-401.85, h-402.69, l-401.85, c-402.69, v-726, oi-0.0
2021-05-25, o-400.56, h-401.15, l-400.56, c-400.74, v-993, oi-0.0
2021-05-25, o-401.16, h-401.16, l-400.02, c-400.1, v-1260, oi-0.0
2021-05-25, o-399.92, h-399.95, l-399.03, c-399.54, v-1397, oi-0.0
2021-05-25, o-400.195, h-400.195, l-399.39, c-399.54, v-1016, oi-0.0
2021-05-25, o-399.58, h-399.58, l-398.86, c-399.14, v-1672, oi-0.0
2021-05-25, o-399.05, h-399.545, l-399.05, c-399.14, v-1131, oi-0.0
2021-05-25, o-399.35, h-399.39, l-398.37, c-398.56, v-2851, oi-0.0
2021-05-25, o-398.55, h-398.55, l-398.08, c-398.28, v-1185, oi-0.0
2021-05-25, o-397.64, h-398.03, l-397.28, c-397.77, v-1685, oi-0.0
2021-05-25, o-397.7, h-398.56, l-397.7, c-398.205, v-1348, oi-0.0
2021-05-25, o-398.06, h-398.495, l-397.87, c-398.305, v-3680, oi-0.0
2021-05-25, o-398.245, h-398.35, l-395.91, c-397.43, v-13807, oi-0.0
2021-05-26, o-397.9, h-399.36, l-397.9, c-399.36, v-1122, oi-0.0
2021-05-26, o-399.12, h-399.12, l-396.99, c-396.99, v-2027, oi-0.0
2021-05-26, o-396.23, h-397.92, l-395.7, c-397.85, v-1610, oi-0.0
2021-05-26, o-397.61, h-398.49, l-397.61, c-398.1, v-1505, oi-0.0
2021-05-26, o-399.07, h-399.14, l-397.825, c-398.145, v-3269, oi-0.0
2021-05-26, o-397.23, h-397.54, l-397.09, c-397.54, v-1001, oi-0.0
2021-05-26, o-397.83, h-398.5, l-397.2, c-398.35, v-1216, oi-0.0
2021-05-26, o-398.82, h-399.095, l-398.7, c-398.96, v-1458, oi-0.0
2021-05-26, o-398.775, h-399.385, l-398.36, c-399.385, v-1648, oi-0.0
