Date, Open, High, Low, Close, Volume, Open Interest
2021-05-20, o-83.5, h-83.53, l-83.5, c-83.53, v-400, oi-0.0
2021-05-20, o-83.55, h-83.57, l-83.545, c-83.57, v-400, oi-0.0
2021-05-20, o-83.595, h-83.595, l-83.595, c-83.595, v-101, oi-0.0
2021-05-20, o-83.485, h-83.485, l-83.48, c-83.48, v-308, oi-0.0
2021-05-20, o-83.37, h-83.46, l-83.37, c-83.46, v-470, oi-0.0
2021-05-20, o-83.47, h-83.47, l-83.45, c-83.45, v-240, oi-0.0
2021-05-20, o-83.44, h-83.545, l-83.44, c-83.545, v-756, oi-0.0
2021-05-20, o-83.52, h-83.52, l-83.49, c-83.49, v-667, oi-0.0
2021-05-20, o-83.495, h-83.59, l-83.45, c-83.59, v-1080, oi-0.0
2021-05-20, o-83.58, h-83.58, l-83.51, c-83.52, v-840, oi-0.0
2021-05-20, o-83.52, h-83.52, l-83.505, c-83.505, v-318, oi-0.0
2021-05-20, o-83.49, h-83.54, l-83.49, c-83.53, v-1369, oi-0.0
2021-05-20, o-83.53, h-83.53, l-83.5, c-83.5, v-510, oi-0.0
2021-05-20, o-83.495, h-83.55, l-83.49, c-83.52, v-1186, oi-0.0
2021-05-21, o-83.86, h-83.86, l-83.86, c-83.86, v-100, oi-0.0
2021-05-21, o-84.03, h-84.03, l-84.03, c-84.03, v-168, oi-0.0
2021-05-21, o-84.19, h-84.19, l-84.19, c-84.19, v-338, oi-0.0
2021-05-21, o-83.32, h-83.32, l-83.32, c-83.32, v-233, oi-0.0
2021-05-21, o-83.55, h-83.55, l-83.53, c-83.53, v-200, oi-0.0
2021-05-21, o-83.745, h-83.745, l-83.745, c-83.745, v-134, oi-0.0
2021-05-21, o-83.54, h-83.54, l-83.54, c-83.54, v-100, oi-0.0
2021-05-21, o-83.56, h-83.56, l-83.56, c-83.56, v-220, oi-0.0
2021-05-21, o-83.61, h-83.61, l-83.61, c-83.61, v-110, oi-0.0
2021-05-21, o-83.545, h-83.545, l-83.545, c-83.545, v-221, oi-0.0
2021-05-21, o-83.525, h-83.525, l-83.525, c-83.525, v-100, oi-0.0
2021-05-21, o-83.43, h-83.43, l-83.41, c-83.41, v-226, oi-0.0
2021-05-21, o-83.34, h-83.34, l-83.24, c-83.24, v-337, oi-0.0
2021-05-21, o-83.25, h-83.25, l-83.25, c-83.25, v-100, oi-0.0
2021-05-21, o-83.38, h-83.38, l-83.38, c-83.38, v-134, oi-0.0
2021-05-21, o-83.29, h-83.29, l-83.29, c-83.29, v-136, oi-0.0
2021-05-21, o-83.34, h-83.34, l-83.34, c-83.34, v-113, oi-0.0
2021-05-21, o-83.17, h-83.17, l-83.17, c-83.17, v-102, oi-0.0
2021-05-21, o-83.17, h-83.17, l-83.17, c-83.17, v-100, oi-0.0
