Date, Open, High, Low, Close, Volume, Open Interest
2021-05-21, o-56.29, h-56.29, l-56.29, c-56.29, v-802, oi-0.0
2021-05-21, o-56.285, h-56.285, l-56.285, c-56.285, v-111, oi-0.0
2021-05-21, o-56.285, h-56.285, l-56.285, c-56.285, v-127, oi-0.0
2021-05-21, o-56.285, h-56.285, l-56.285, c-56.285, v-553, oi-0.0
2021-05-21, o-56.285, h-56.3, l-56.285, c-56.3, v-603, oi-0.0
2021-05-21, o-56.29, h-56.29, l-56.29, c-56.29, v-117, oi-0.0
2021-05-21, o-56.295, h-56.3, l-56.295, c-56.3, v-205, oi-0.0
2021-05-21, o-56.3, h-56.3, l-56.29, c-56.29, v-301, oi-0.0
2021-05-21, o-56.275, h-56.275, l-56.24, c-56.25, v-1125, oi-0.0
2021-05-21, o-56.24, h-56.25, l-56.24, c-56.25, v-791, oi-0.0
2021-05-21, o-56.245, h-56.26, l-56.23, c-56.23, v-428, oi-0.0
2021-05-21, o-56.235, h-56.25, l-56.235, c-56.25, v-800, oi-0.0
2021-05-21, o-56.25, h-56.25, l-56.25, c-56.25, v-108, oi-0.0
2021-05-21, o-56.26, h-56.26, l-56.26, c-56.26, v-102, oi-0.0
2021-05-21, o-56.24, h-56.24, l-56.24, c-56.24, v-207, oi-0.0
2021-05-21, o-56.21, h-56.21, l-56.21, c-56.21, v-100, oi-0.0
2021-05-21, o-56.195, h-56.2, l-56.195, c-56.2, v-609, oi-0.0
2021-05-21, o-56.18, h-56.18, l-56.14, c-56.18, v-1477, oi-0.0
2021-05-21, o-56.185, h-56.185, l-56.185, c-56.185, v-603, oi-0.0
2021-05-21, o-56.19, h-56.225, l-56.19, c-56.225, v-901, oi-0.0
2021-05-21, o-56.225, h-56.225, l-56.225, c-56.225, v-108, oi-0.0
2021-05-21, o-56.24, h-56.25, l-56.24, c-56.25, v-838, oi-0.0
2021-05-21, o-56.25, h-56.25, l-56.245, c-56.245, v-995, oi-0.0
2021-05-21, o-56.22, h-56.22, l-56.215, c-56.215, v-201, oi-0.0
2021-05-21, o-56.215, h-56.215, l-56.215, c-56.215, v-202, oi-0.0
2021-05-21, o-56.215, h-56.215, l-56.215, c-56.215, v-608, oi-0.0
2021-05-21, o-56.2, h-56.2, l-56.13, c-56.13, v-3010, oi-0.0
2021-05-21, o-56.15, h-56.17, l-56.15, c-56.17, v-1162, oi-0.0
2021-05-21, o-56.19, h-56.19, l-56.18, c-56.18, v-311, oi-0.0
2021-05-21, o-56.19, h-56.195, l-56.19, c-56.19, v-472, oi-0.0
2021-05-21, o-56.195, h-56.195, l-56.195, c-56.195, v-200, oi-0.0
2021-05-21, o-56.185, h-56.185, l-56.185, c-56.185, v-101, oi-0.0
2021-05-21, o-56.19, h-56.205, l-56.19, c-56.205, v-501, oi-0.0
2021-05-21, o-56.195, h-56.195, l-56.19, c-56.19, v-304, oi-0.0
2021-05-21, o-56.195, h-56.195, l-56.195, c-56.195, v-100, oi-0.0
2021-05-21, o-56.19, h-56.19, l-56.19, c-56.19, v-402, oi-0.0
2021-05-21, o-56.18, h-56.19, l-56.17, c-56.19, v-311, oi-0.0
2021-05-21, o-56.195, h-56.2, l-56.19, c-56.195, v-1202, oi-0.0
2021-05-21, o-56.16, h-56.2, l-56.16, c-56.2, v-800, oi-0.0
2021-05-21, o-56.2, h-56.2, l-56.2, c-56.2, v-200, oi-0.0
2021-05-21, o-56.195, h-56.195, l-56.195, c-56.195, v-700, oi-0.0
2021-05-21, o-56.195, h-56.195, l-56.195, c-56.195, v-541, oi-0.0
2021-05-21, o-56.195, h-56.2, l-56.195, c-56.2, v-200, oi-0.0
2021-05-21, o-56.21, h-56.21, l-56.18, c-56.18, v-666, oi-0.0
2021-05-21, o-56.205, h-56.205, l-56.205, c-56.205, v-100, oi-0.0
2021-05-21, o-56.2, h-56.205, l-56.195, c-56.195, v-501, oi-0.0
2021-05-21, o-56.195, h-56.195, l-56.195, c-56.195, v-305, oi-0.0
2021-05-21, o-56.195, h-56.195, l-56.19, c-56.19, v-442, oi-0.0
2021-05-21, o-56.18, h-56.18, l-56.175, c-56.175, v-202, oi-0.0
2021-05-21, o-56.145, h-56.16, l-56.13, c-56.16, v-1081, oi-0.0
2021-05-21, o-56.16, h-56.17, l-56.16, c-56.165, v-400, oi-0.0
2021-05-21, o-56.155, h-56.155, l-56.14, c-56.14, v-845, oi-0.0
2021-05-21, o-56.16, h-56.16, l-56.16, c-56.16, v-302, oi-0.0
2021-05-21, o-56.145, h-56.145, l-56.14, c-56.14, v-401, oi-0.0
2021-05-21, o-56.13, h-56.165, l-56.13, c-56.16, v-505, oi-0.0
2021-05-21, o-56.17, h-56.21, l-56.17, c-56.21, v-602, oi-0.0
2021-05-21, o-56.225, h-56.23, l-56.21, c-56.21, v-405, oi-0.0
2021-05-21, o-56.225, h-56.225, l-56.21, c-56.21, v-500, oi-0.0
2021-05-21, o-56.195, h-56.195, l-56.195, c-56.195, v-1354, oi-0.0
2021-05-21, o-56.18, h-56.205, l-56.18, c-56.205, v-404, oi-0.0
