Date, Open, High, Low, Close, Volume, Open Interest
2021-05-24, o-440.1, h-440.1, l-440.1, c-440.1, v-193, oi-0.0
2021-05-24, o-440.31, h-440.33, l-440.31, c-440.33, v-203, oi-0.0
2021-05-24, o-440.2, h-440.2, l-440.2, c-440.2, v-178, oi-0.0
2021-05-24, o-440.17, h-440.17, l-440.17, c-440.17, v-196, oi-0.0
2021-05-24, o-440.41, h-440.41, l-440.41, c-440.41, v-110, oi-0.0
2021-05-24, o-440.27, h-440.27, l-440.27, c-440.27, v-135, oi-0.0
2021-05-24, o-440.43, h-440.43, l-440.43, c-440.43, v-201, oi-0.0
2021-05-24, o-440.38, h-440.38, l-440.38, c-440.38, v-232, oi-0.0
2021-05-24, o-440.47, h-440.47, l-440.36, c-440.36, v-633, oi-0.0
2021-05-24, o-440.39, h-440.39, l-440.39, c-440.39, v-100, oi-0.0
2021-05-24, o-440.39, h-440.39, l-440.39, c-440.39, v-144, oi-0.0
2021-05-24, o-440.69, h-440.69, l-440.585, c-440.585, v-336, oi-0.0
2021-05-24, o-440.47, h-440.47, l-440.47, c-440.47, v-108, oi-0.0
2021-05-24, o-440.54, h-440.59, l-440.54, c-440.59, v-301, oi-0.0
2021-05-24, o-440.945, h-440.945, l-440.945, c-440.945, v-115, oi-0.0
2021-05-24, o-441.13, h-441.13, l-441.13, c-441.13, v-104, oi-0.0
2021-05-24, o-441.22, h-441.22, l-441.22, c-441.22, v-159, oi-0.0
2021-05-24, o-441.41, h-441.45, l-441.41, c-441.45, v-300, oi-0.0
2021-05-24, o-441.46, h-441.46, l-441.46, c-441.46, v-133, oi-0.0
2021-05-24, o-441.63, h-441.71, l-441.63, c-441.71, v-236, oi-0.0
2021-05-24, o-441.21, h-441.21, l-441.21, c-441.21, v-286, oi-0.0
2021-05-24, o-441.18, h-441.18, l-441.18, c-441.18, v-133, oi-0.0
2021-05-24, o-441.2, h-441.21, l-441.2, c-441.21, v-219, oi-0.0
2021-05-24, o-441.255, h-441.255, l-441.255, c-441.255, v-100, oi-0.0
2021-05-24, o-441.11, h-441.11, l-441.11, c-441.11, v-110, oi-0.0
2021-05-24, o-441.08, h-441.08, l-441.08, c-441.08, v-212, oi-0.0
2021-05-24, o-440.86, h-440.86, l-440.84, c-440.84, v-264, oi-0.0
2021-05-24, o-440.945, h-440.945, l-440.945, c-440.945, v-106, oi-0.0
2021-05-24, o-440.88, h-440.9, l-440.88, c-440.9, v-372, oi-0.0
2021-05-24, o-440.835, h-440.835, l-440.835, c-440.835, v-141, oi-0.0
2021-05-24, o-441.03, h-441.03, l-441.02, c-441.02, v-417, oi-0.0
2021-05-24, o-440.98, h-440.98, l-440.565, c-440.61, v-538, oi-0.0
2021-05-24, o-440.31, h-440.31, l-440.22, c-440.22, v-241, oi-0.0
2021-05-24, o-440.14, h-440.14, l-440.14, c-440.14, v-100, oi-0.0
2021-05-24, o-440.08, h-440.08, l-440.08, c-440.08, v-219, oi-0.0
2021-05-24, o-440.23, h-440.23, l-440.23, c-440.23, v-152, oi-0.0
2021-05-24, o-440.3, h-440.3, l-440.3, c-440.3, v-122, oi-0.0
2021-05-24, o-440.1, h-440.21, l-440.09, c-440.21, v-347, oi-0.0
2021-05-24, o-440.65, h-440.65, l-440.65, c-440.65, v-137, oi-0.0
2021-05-24, o-440.95, h-440.95, l-440.95, c-440.95, v-122, oi-0.0
2021-05-24, o-440.68, h-440.68, l-440.68, c-440.68, v-148, oi-0.0
2021-05-24, o-440.89, h-440.91, l-440.89, c-440.91, v-274, oi-0.0
2021-05-24, o-440.37, h-440.37, l-440.37, c-440.37, v-325, oi-0.0
2021-05-24, o-440.52, h-440.52, l-440.52, c-440.52, v-167, oi-0.0
2021-05-24, o-440.51, h-440.65, l-440.51, c-440.65, v-313, oi-0.0
2021-05-24, o-440.695, h-440.695, l-440.695, c-440.695, v-142, oi-0.0
2021-05-24, o-440.48, h-440.48, l-440.38, c-440.38, v-788, oi-0.0
2021-05-24, o-440.21, h-440.21, l-440.14, c-440.14, v-550, oi-0.0
2021-05-24, o-440.12, h-440.12, l-440.12, c-440.12, v-182, oi-0.0
2021-05-24, o-440.23, h-440.23, l-440.23, c-440.23, v-265, oi-0.0
2021-05-24, o-440.04, h-440.17, l-440.04, c-440.17, v-498, oi-0.0
2021-05-25, o-440.97, h-440.99, l-439.525, c-439.54, v-874, oi-0.0
2021-05-25, o-439.21, h-439.87, l-439.21, c-439.87, v-288, oi-0.0
2021-05-25, o-439.62, h-439.92, l-439.62, c-439.92, v-301, oi-0.0
2021-05-25, o-440.02, h-440.52, l-440.02, c-440.52, v-432, oi-0.0
2021-05-25, o-439.94, h-439.94, l-439.01, c-439.175, v-335, oi-0.0
2021-05-25, o-438.92, h-438.92, l-438.92, c-438.92, v-117, oi-0.0
2021-05-25, o-439.27, h-439.27, l-439.27, c-439.27, v-138, oi-0.0
2021-05-25, o-438.66, h-438.905, l-438.66, c-438.89, v-481, oi-0.0
2021-05-25, o-439.17, h-439.44, l-439.17, c-439.39, v-400, oi-0.0
2021-05-25, o-439.225, h-439.48, l-439.225, c-439.45, v-591, oi-0.0
2021-05-25, o-439.77, h-439.77, l-439.59, c-439.6, v-769, oi-0.0
2021-05-25, o-439.235, h-439.8, l-439.235, c-439.8, v-615, oi-0.0
2021-05-25, o-440.01, h-440.01, l-440.01, c-440.01, v-139, oi-0.0
2021-05-25, o-438.635, h-438.84, l-438.42, c-438.84, v-801, oi-0.0
2021-05-25, o-439.5, h-439.5, l-439.5, c-439.5, v-245, oi-0.0
2021-05-25, o-439.53, h-439.53, l-439.53, c-439.53, v-100, oi-0.0
2021-05-25, o-438.85, h-438.85, l-438.85, c-438.85, v-116, oi-0.0
2021-05-25, o-437.54, h-437.54, l-437.54, c-437.54, v-100, oi-0.0
2021-05-25, o-437.43, h-437.43, l-437.43, c-437.43, v-140, oi-0.0
2021-05-25, o-437.78, h-437.78, l-437.78, c-437.78, v-159, oi-0.0
2021-05-25, o-438.15, h-438.72, l-438.15, c-438.72, v-200, oi-0.0
2021-05-25, o-438.75, h-438.75, l-438.54, c-438.54, v-479, oi-0.0
2021-05-25, o-438.83, h-438.83, l-438.64, c-438.64, v-334, oi-0.0
2021-05-25, o-438.09, h-438.09, l-438, c-438, v-581, oi-0.0
2021-05-25, o-437.95, h-438.05, l-437.95, c-438.05, v-306, oi-0.0
2021-05-25, o-436.88, h-437.72, l-436.88, c-437.72, v-567, oi-0.0
2021-05-25, o-437.08, h-437.55, l-437.08, c-437.55, v-400, oi-0.0
2021-05-25, o-437.61, h-437.61, l-437.61, c-437.61, v-132, oi-0.0
2021-05-25, o-437.9, h-437.9, l-437.9, c-437.9, v-135, oi-0.0
2021-05-25, o-438.59, h-438.59, l-438.59, c-438.59, v-239, oi-0.0
2021-05-25, o-438.55, h-439.57, l-438.36, c-439.57, v-704, oi-0.0
2021-05-25, o-439.08, h-439.08, l-439.08, c-439.08, v-156, oi-0.0
2021-05-25, o-438.54, h-439.01, l-438.53, c-439.01, v-873, oi-0.0
2021-05-25, o-438.62, h-438.62, l-438.62, c-438.62, v-133, oi-0.0
2021-05-25, o-439.09, h-439.09, l-439.09, c-439.09, v-209, oi-0.0
2021-05-25, o-438.48, h-438.48, l-438.2, c-438.2, v-255, oi-0.0
2021-05-25, o-438.48, h-438.48, l-438.48, c-438.48, v-106, oi-0.0
2021-05-25, o-437.31, h-437.31, l-437.31, c-437.31, v-100, oi-0.0
2021-05-25, o-437.67, h-437.96, l-437.67, c-437.96, v-233, oi-0.0
2021-05-25, o-438.22, h-438.22, l-438.22, c-438.22, v-124, oi-0.0
2021-05-25, o-438.37, h-438.37, l-438.37, c-438.37, v-100, oi-0.0
2021-05-25, o-438.17, h-438.17, l-438.08, c-438.08, v-473, oi-0.0
2021-05-25, o-438.26, h-438.26, l-438.26, c-438.26, v-110, oi-0.0
2021-05-25, o-438.35, h-438.35, l-438.35, c-438.35, v-100, oi-0.0
2021-05-25, o-438.565, h-438.635, l-438.565, c-438.635, v-675, oi-0.0
2021-05-25, o-439.02, h-439.02, l-439.02, c-439.02, v-203, oi-0.0
2021-05-25, o-439.46, h-439.65, l-439.46, c-439.65, v-406, oi-0.0
2021-05-25, o-439.66, h-439.66, l-439.66, c-439.66, v-233, oi-0.0
2021-05-25, o-438.25, h-438.25, l-438.25, c-438.25, v-174, oi-0.0
2021-05-25, o-438.35, h-438.35, l-438.25, c-438.25, v-300, oi-0.0
2021-05-25, o-438.36, h-438.36, l-438.36, c-438.36, v-100, oi-0.0
2021-05-25, o-438.37, h-438.37, l-438.37, c-438.37, v-100, oi-0.0
2021-05-25, o-438.2, h-438.565, l-438.2, c-438.565, v-200, oi-0.0
