Date, Open, High, Low, Close, Volume, Open Interest
2020-05-26, o-283.1449, h-283.1449, l-271.54, c-281.29, v-2563354, oi-0.0
2020-05-27, o-282, h-290.24, l-281.38, c-283.87, v-2999198, oi-0.0
2020-05-28, o-285.86, h-290.87, l-281.95, c-290.32, v-1035686, oi-0.0
2020-05-31, o-289.11, h-291.72, l-288.075, c-290.069, v-1066968, oi-0.0
2020-06-01, o-289.95, h-290, l-283.705, c-287.14, v-1934422, oi-0.0
2020-06-02, o-288.56, h-290.72, l-285.65, c-290.09, v-824993, oi-0.0
2020-06-03, o-286.93, h-288.46, l-280.96, c-282.75, v-2106806, oi-0.0
2020-06-04, o-280.77, h-289, l-275.63, c-288.18, v-1582539, oi-0.0
2020-06-07, o-285.36, h-293.29, l-284.11, c-293.07, v-1731034, oi-0.0
2020-06-08, o-292.63, h-295.25, l-290.6, c-291.25, v-2047450, oi-0.0
2020-06-09, o-293.95, h-298, l-291.1, c-295.87, v-805674, oi-0.0
2020-06-10, o-293.9, h-294.98, l-277.72, c-277.86, v-1139123, oi-0.0
2020-06-11, o-283.91, h-287.04, l-280.19, c-280.2, v-566650, oi-0.0
2020-06-14, o-275, h-285.14, l-274.19, c-283.38, v-1487564, oi-0.0
2020-06-15, o-289.98, h-293.4, l-285.42, c-288.47, v-2003302, oi-0.0
2020-06-16, o-291.31, h-291.9, l-286.05, c-286.48, v-693059, oi-0.0
2020-06-17, o-285.01, h-287.91, l-282.37, c-287.19, v-927962, oi-0.0
2020-06-18, o-289.53, h-291.99, l-285.27, c-286.455, v-3390561, oi-0.0
2020-06-21, o-285.8, h-294.2, l-285.29, c-294.06, v-993570, oi-0.0
2020-06-22, o-294.98, h-296.49, l-292.44, c-293.84, v-928890, oi-0.0
2020-06-23, o-291.44, h-296, l-284.2, c-285.84, v-733033, oi-0.0
2020-06-24, o-286.25, h-289.34, l-281.98, c-288.74, v-633630, oi-0.0
2020-06-25, o-286.5, h-289.995, l-283.92, c-286.49, v-839899, oi-0.0
2020-06-28, o-285.81, h-289.78, l-281.75, c-288.16, v-798158, oi-0.0
2020-06-29, o-289.15, h-297.92, l-288, c-296.28, v-1054104, oi-0.0
2020-06-30, o-297.41, h-304.92, l-297.02, c-302.44, v-1428242, oi-0.0
2020-07-01, o-304.85, h-307.78, l-303.11, c-305.05, v-985985, oi-0.0
2020-07-05, o-308, h-314.14, l-308, c-309.9, v-923981, oi-0.0
2020-07-06, o-309.18, h-314.725, l-307.19, c-307.92, v-921366, oi-0.0
2020-07-07, o-310.54, h-312.07, l-307.77, c-310.62, v-624931, oi-0.0
2020-07-08, o-309.72, h-311, l-303.95, c-307.97, v-832398, oi-0.0
2020-07-09, o-307.78, h-308.64, l-302.995, c-307.74, v-639493, oi-0.0
2020-07-12, o-309, h-311.23, l-296.98, c-296.995, v-948806, oi-0.0
2020-07-13, o-294.57, h-294.71, l-280.99, c-285.38, v-2605421, oi-0.0
