Date, Open, High, Low, Close, Volume, Open Interest
2021-02-25, o-743.9, h-747.7042, l-726.31, c-736.92, v-393360, oi-0.0
2021-02-28, o-749.04, h-760.77, l-745.665, c-759.23, v-433997, oi-0.0
2021-03-01, o-760, h-760, l-746.78, c-750.62, v-235887, oi-0.0
2021-03-02, o-746.06, h-746.06, l-721.481, c-727.6, v-403734, oi-0.0
2021-03-03, o-725, h-727.24, l-699.03, c-709.18, v-711113, oi-0.0
2021-03-04, o-712.25, h-718.44, l-687.24, c-713.36, v-655043, oi-0.0
2021-03-07, o-705.35, h-710.57, l-682.4, c-684.9, v-532931, oi-0.0
2021-03-08, o-697.54, h-710.25, l-690.01, c-702.8, v-523670, oi-0.0
2021-03-09, o-720.98, h-727.61, l-712.83, c-719.8, v-530023, oi-0.0
2021-03-10, o-730.36, h-738.98, l-724.3569, c-732, v-390460, oi-0.0
2021-03-11, o-721.12, h-736.41, l-720, c-733.98, v-402049, oi-0.0
2021-03-14, o-727.32, h-737.55, l-725.05, c-734.99, v-305967, oi-0.0
2021-03-15, o-740.41, h-741.5, l-721.51, c-726.21, v-315231, oi-0.0
2021-03-16, o-724.33, h-728.97, l-712.8, c-725.25, v-235531, oi-0.0
2021-03-17, o-715.72, h-719.57, l-695.06, c-698.72, v-569336, oi-0.0
2021-03-18, o-701.5, h-714.72, l-695.39, c-707.14, v-543423, oi-0.0
2021-03-21, o-707.72, h-721.155, l-703.14, c-715.26, v-244543, oi-0.0
2021-03-22, o-719.14, h-720.98, l-707.65, c-710.82, v-236350, oi-0.0
2021-03-23, o-712.17, h-720.34, l-705.49, c-710.8, v-335383, oi-0.0
2021-03-24, o-710.6493, h-714.42, l-693.62, c-704.5, v-369958, oi-0.0
2021-03-25, o-707.08, h-731.84, l-704.75, c-730.75, v-366678, oi-0.0
2021-03-28, o-729.45, h-734.14, l-717.325, c-723.87, v-353138, oi-0.0
2021-03-29, o-719.11, h-728.99, l-714.52, c-727.07, v-337671, oi-0.0
2021-03-30, o-727.99, h-743.93, l-727.26, c-739.28, v-393728, oi-0.0
2021-03-31, o-749.99, h-758.07, l-745.88, c-747.59, v-372708, oi-0.0
2021-04-04, o-750.21, h-770.63, l-750.21, c-765.93, v-436685, oi-0.0
2021-04-05, o-767, h-776.265, l-760.8, c-767.3, v-291321, oi-0.0
2021-04-06, o-767.39, h-771.015, l-759.57, c-761.02, v-241847, oi-0.0
2021-04-07, o-764.04, h-774.1, l-765.95, c-770.63, v-220005, oi-0.0
2021-04-08, o-773.58, h-786.32, l-768.4801, c-784.16, v-279786, oi-0.0
2021-04-11, o-778.13, h-785.66, l-777.315, c-779.69, v-261797, oi-0.0
2021-04-12, o-778.95, h-796.825, l-778.95, c-794.05, v-290895, oi-0.0
2021-04-13, o-792, h-800.245, l-784.8, c-786.63, v-257235, oi-0.0
2021-04-14, o-792.66, h-808, l-789.3, c-804.19, v-323239, oi-0.0
2021-04-15, o-807.65, h-813.4, l-801.85, c-813.12, v-426780, oi-0.0
2021-04-18, o-810.62, h-815.68, l-802.52, c-811.11, v-405333, oi-0.0
2021-04-19, o-806.66, h-824.53, l-806.65, c-810.51, v-513921, oi-0.0
2021-04-20, o-842.98, h-893.79, l-820, c-891.38, v-1951334, oi-0.0
2021-04-21, o-884.89, h-887.885, l-858.56, c-858.88, v-1011121, oi-0.0
2021-04-22, o-851.19, h-882.915, l-842.72, c-875.65, v-743329, oi-0.0
2021-04-25, o-869.93, h-872.07, l-860.174, c-865.95, v-460562, oi-0.0
2021-04-26, o-868.04, h-867, l-858.5, c-861.34, v-429737, oi-0.0
2021-04-27, o-862.57, h-875.83, l-860.98, c-869.12, v-463057, oi-0.0
2021-04-28, o-873.7, h-873.7, l-857.82, c-863, v-292697, oi-0.0
2021-04-29, o-859.27, h-865.91, l-855.27, c-865.5, v-336552, oi-0.0
2021-05-02, o-872.14, h-874.99, l-860.14, c-867.89, v-291260, oi-0.0
2021-05-03, o-861.72, h-862.08, l-834.105, c-848.99, v-529716, oi-0.0
2021-05-04, o-854.13, h-860.98, l-836.53, c-838.37, v-386598, oi-0.0
2021-05-05, o-834.26, h-842.69, l-825.66, c-841.75, v-336332, oi-0.0
2021-05-06, o-844.14, h-863.275, l-844.14, c-857.09, v-411053, oi-0.0
2021-05-09, o-859.88, h-862, l-833.06, c-834.48, v-406630, oi-0.0
2021-05-10, o-823.16, h-840.815, l-820.99, c-836.21, v-421292, oi-0.0
2021-05-11, o-828, h-825.48, l-804.27, c-811.87, v-466948, oi-0.0
2021-05-12, o-815, h-827.07, l-813.21, c-820.83, v-310450, oi-0.0
2021-05-13, o-822.9682, h-839.435, l-821.51, c-833.37, v-270554, oi-0.0
2021-05-16, o-828.78, h-828.78, l-811.6, c-816.91, v-543751, oi-0.0
2021-05-17, o-821.66, h-824, l-813.57, c-814.13, v-411891, oi-0.0
2021-05-18, o-801.74, h-817.03, l-797.71, c-816.58, v-360225, oi-0.0
2021-05-19, o-820.57, h-836.91, l-819.74, c-832.66, v-896432, oi-0.0
2021-05-20, o-835.98, h-843.01, l-824.08, c-824.705, v-367951, oi-0.0
2021-05-23, o-833.05, h-840.36, l-832.26, c-834.92, v-566752, oi-0.0
2021-05-24, o-840.29, h-846.76, l-838.38, c-846.42, v-567652, oi-0.0
2021-05-25, o-847.11, h-849.69, l-835.195, c-839.56, v-164386, oi-0.0
