Date, Open, High, Low, Close, Volume, Open Interest
2017-05-31, o-155.35, h-156.53, l-154.95, c-156.42, v-1012279, oi-0.0
2017-06-01, o-157.15, h-158.8299, l-157.01, c-158.73, v-1180112, oi-0.0
2017-06-04, o-158.89, h-160.4975, l-158.07, c-160.29, v-1294343, oi-0.0
2017-06-05, o-160.24, h-164.124, l-159.68, c-161.02, v-1615209, oi-0.0
2017-06-06, o-162.06, h-162.69, l-160.985, c-162.28, v-1173248, oi-0.0
2017-06-07, o-163.44, h-164.99, l-162.47, c-164.97, v-1353407, oi-0.0
2017-06-08, o-165.35, h-167.05, l-154.38, c-157.79, v-2754719, oi-0.0
2017-06-11, o-155.51, h-155.86, l-148.75, c-154.5, v-4300643, oi-0.0
2017-06-12, o-156.66, h-157.905, l-152.9, c-155.13, v-2015316, oi-0.0
2017-06-13, o-155.35, h-155.96, l-150.41, c-152.8, v-2022360, oi-0.0
2017-06-14, o-149.59, h-150.7564, l-147.6, c-148.48, v-3282235, oi-0.0
2017-06-15, o-148.83, h-150.97, l-147.66, c-148.21, v-2509520, oi-0.0
2017-06-18, o-150.19, h-151.95, l-149.9, c-150.99, v-2126676, oi-0.0
2017-06-19, o-151.5, h-152.94, l-149.525, c-150.11, v-1640741, oi-0.0
2017-06-20, o-150.31, h-151.25, l-149.15, c-150.92, v-1306333, oi-0.0
2017-06-21, o-151.32, h-152.415, l-149.52, c-150.04, v-1042211, oi-0.0
2017-06-22, o-149.81, h-152.82, l-149.5228, c-151.78, v-1595851, oi-0.0
2017-06-25, o-152.46, h-153.61, l-148.36, c-149.01, v-1874926, oi-0.0
2017-06-26, o-148.26, h-148.57, l-144.44, c-144.6208, v-2330975, oi-0.0
2017-06-27, o-145.17, h-148.17, l-142.8, c-147.83, v-2061207, oi-0.0
2017-06-28, o-146.08, h-146.499, l-140.01, c-142.37, v-2149705, oi-0.0
2017-06-29, o-143.37, h-143.57, l-140.83, c-141.42, v-2005198, oi-0.0
2017-07-02, o-142.71, h-143.38, l-139.24, c-139.28, v-1101692, oi-0.0
2017-07-04, o-140.42, h-142.7, l-139.94, c-142.53, v-1779288, oi-0.0
2017-07-05, o-141.18, h-144.72, l-140.67, c-143.9, v-1854435, oi-0.0
2017-07-06, o-147, h-149.68, l-146.4367, c-148.14, v-1916321, oi-0.0
2017-07-09, o-148.73, h-151.005, l-147.86, c-150.84, v-1563068, oi-0.0
2017-07-10, o-151.38, h-154.82, l-151.01, c-153.76, v-2009070, oi-0.0
2017-07-11, o-155.41, h-156.35, l-152.92, c-154.58, v-1200928, oi-0.0
2017-07-12, o-155.05, h-156.31, l-154.16, c-154.94, v-896725, oi-0.0
2017-07-13, o-155.69, h-157.61, l-154.96, c-157.29, v-953690, oi-0.0
2017-07-16, o-157.78, h-158.31, l-155.75, c-157, v-1259324, oi-0.0
2017-07-17, o-157, h-159.5876, l-156.2369, c-159.34, v-1036834, oi-0.0
2017-07-18, o-160.5, h-164.545, l-160.245, c-164.21, v-1914464, oi-0.0
2017-07-19, o-164.98, h-165.12, l-161.82, c-164.83, v-1490948, oi-0.0
2017-07-20, o-164.14, h-164.16, l-162.29, c-163.51, v-1409437, oi-0.0
2017-07-23, o-163.5, h-164.68, l-163.27, c-164.26, v-913848, oi-0.0
2017-07-24, o-164.08, h-164.82, l-162.475, c-164.47, v-1546084, oi-0.0
2017-07-25, o-165.4, h-168.44, l-165.22, c-168.43, v-2319582, oi-0.0
2017-07-26, o-169.1, h-170, l-161.271, c-164.76, v-4293625, oi-0.0
2017-07-27, o-164.25, h-164.969, l-160.7841, c-161.59, v-1854517, oi-0.0
2017-07-30, o-162.6, h-163, l-158.79, c-159.46, v-1578493, oi-0.0
2017-07-31, o-160.27, h-160.49, l-157.17, c-157.44, v-1946779, oi-0.0
2017-08-01, o-158.97, h-158.98, l-149.77, c-151.54, v-3757247, oi-0.0
2017-08-02, o-149.5, h-151.49, l-148.26, c-148.91, v-2273336, oi-0.0
2017-08-03, o-149.35, h-152.26, l-148.36, c-150.06, v-1655304, oi-0.0
2017-08-06, o-150.45, h-155.9, l-150.035, c-155.85, v-1873022, oi-0.0
2017-08-07, o-155.85, h-157.86, l-154.05, c-155.73, v-1674371, oi-0.0
2017-08-08, o-155.46, h-156.36, l-153.37, c-155.19, v-1251593, oi-0.0
2017-08-09, o-153.86, h-154.19, l-149.04, c-149.43, v-1739474, oi-0.0
2017-08-10, o-149.85, h-154.43, l-149.82, c-154.25, v-1294115, oi-0.0
2017-08-13, o-156.6, h-158.92, l-156.21, c-158.54, v-1452862, oi-0.0
2017-08-14, o-158.59, h-160.609, l-157.77, c-160.21, v-1176050, oi-0.0
2017-08-15, o-161.45, h-165.19, l-160.6401, c-163.21, v-4269855, oi-0.0
2017-08-16, o-162.5, h-163.57, l-158.3, c-158.45, v-1405344, oi-0.0
2017-08-17, o-160.2, h-161.87, l-158.35, c-160.49, v-1373009, oi-0.0
2017-08-20, o-161.12, h-161.46, l-157.0201, c-158.39, v-1129924, oi-0.0
2017-08-21, o-159.21, h-164.17, l-159.21, c-163.83, v-1562393, oi-0.0
2017-08-22, o-163.14, h-163.97, l-160.74, c-161.68, v-1271673, oi-0.0
2017-08-23, o-162.21, h-162.8, l-158.09, c-158.85, v-1042980, oi-0.0
2017-08-24, o-159.3, h-159.97, l-156.5214, c-157.87, v-888125, oi-0.0
2017-08-27, o-158.33, h-161.04, l-157.735, c-160.69, v-881689, oi-0.0
2017-08-28, o-158.62, h-162.84, l-158.1, c-162.35, v-834077, oi-0.0
2017-08-29, o-162.43, h-165, l-161.77, c-164.96, v-1106973, oi-0.0
2017-08-30, o-165.62, h-167.32, l-165.184, c-165.98, v-1151903, oi-0.0
2017-08-31, o-166.02, h-169.15, l-165.4364, c-166.8, v-1148185, oi-0.0
2017-09-04, o-165.69, h-166.4, l-162.52, c-164.09, v-1010802, oi-0.0
2017-09-05, o-165.25, h-165.85, l-163.04, c-164.98, v-969927, oi-0.0
2017-09-06, o-165.33, h-168.7, l-164.84, c-168.59, v-924746, oi-0.0
2017-09-07, o-167.74, h-168.7, l-165.3, c-165.84, v-923298, oi-0.0
2017-09-10, o-167.51, h-170.65, l-167.41, c-169.95, v-1008709, oi-0.0
2017-09-11, o-170.39, h-172.56, l-168.93, c-171.68, v-1033008, oi-0.0
2017-09-12, o-172.29, h-172.49, l-169.88, c-171.53, v-795490, oi-0.0
2017-09-13, o-170.84, h-174.37, l-170.29, c-172.57, v-1110788, oi-0.0
2017-09-14, o-172.61, h-174.13, l-171.85, c-173.06, v-1772202, oi-0.0
2017-09-17, o-174.41, h-178.18, l-173.95, c-177.28, v-1644608, oi-0.0
2017-09-18, o-177.57, h-178.03, l-176, c-177.09, v-1475414, oi-0.0
2017-09-19, o-177.41, h-177.64, l-170.4, c-172.99, v-1583535, oi-0.0
2017-09-20, o-173.17, h-173.5445, l-170.13, c-172.31, v-1209669, oi-0.0
2017-09-21, o-171.71, h-176.96, l-171.4, c-176.72, v-1216774, oi-0.0
2017-09-24, o-176, h-176, l-170, c-170.18, v-1559594, oi-0.0
2017-09-25, o-172.32, h-172.66, l-167.52, c-169.44, v-1742302, oi-0.0
2017-09-26, o-175.1, h-180.625, l-173.055, c-179.38, v-2384704, oi-0.0
2017-09-27, o-178.59, h-182.0789, l-177.69, c-181.87, v-1476588, oi-0.0
2017-09-28, o-182.9, h-185.23, l-181.42, c-184.96, v-1241033, oi-0.0
2017-10-01, o-185.04, h-187.57, l-183.4457, c-185.93, v-1397955, oi-0.0
2017-10-02, o-186.46, h-186.7, l-182.8184, c-184.88, v-1050062, oi-0.0
2017-10-03, o-183.97, h-185.27, l-182.1, c-185.02, v-995517, oi-0.0
2017-10-04, o-185.27, h-185.569, l-180.792, c-182.81, v-1110545, oi-0.0
2017-10-05, o-182.58, h-185.03, l-182.36, c-184.77, v-679812, oi-0.0
2017-10-08, o-184.92, h-185.95, l-183.73, c-184.65, v-844622, oi-0.0
2017-10-09, o-186.13, h-186.35, l-181.95, c-184.91, v-920983, oi-0.0
2017-10-10, o-184.22, h-186.21, l-183.95, c-186.18, v-998162, oi-0.0
2017-10-11, o-186.11, h-189.11, l-186.11, c-186.99, v-1550407, oi-0.0
2017-10-12, o-188.64, h-190.305, l-187.52, c-189.9, v-1154235, oi-0.0
2017-10-15, o-191, h-193.85, l-190.34, c-192.35, v-1782957, oi-0.0
2017-10-16, o-195.01, h-195.49, l-191.9, c-194.62, v-2754914, oi-0.0
2017-10-17, o-197.08, h-200.9108, l-193.12, c-200.49, v-4387955, oi-0.0
2017-10-18, o-198.39, h-201, l-194.93, c-200.98, v-2430283, oi-0.0
2017-10-19, o-202.42, h-206.34, l-202.42, c-205.34, v-2219438, oi-0.0
2017-10-22, o-206.22, h-208.41, l-204.05, c-205.91, v-2052598, oi-0.0
2017-10-23, o-206.67, h-206.76, l-203.2701, c-205.85, v-1412921, oi-0.0
2017-10-24, o-205.8, h-205.8, l-199, c-203.1, v-1818955, oi-0.0
2017-10-25, o-204.7, h-208.65, l-204.28, c-206.75, v-1426032, oi-0.0
2017-10-26, o-207.9, h-208.4, l-204.5, c-207.99, v-1466188, oi-0.0
2017-10-29, o-206.8, h-208.2, l-204.5, c-206.2, v-936182, oi-0.0
2017-10-30, o-207.33, h-210.09, l-206.52, c-208.57, v-1152454, oi-0.0
2017-10-31, o-210.45, h-210.45, l-200.5438, c-202.93, v-2048205, oi-0.0
2017-11-01, o-203, h-207.02, l-201.51, c-206.83, v-1671785, oi-0.0
2017-11-02, o-207.2, h-207.95, l-205.02, c-207.06, v-1246981, oi-0.0
2017-11-05, o-207.57, h-207.87, l-204.4, c-206.66, v-1154298, oi-0.0
2017-11-06, o-206.58, h-209.85, l-206.5, c-209.18, v-907561, oi-0.0
2017-11-07, o-209.2, h-211.41, l-206.88, c-211.24, v-904883, oi-0.0
2017-11-08, o-209.38, h-209.83, l-203.25, c-206.28, v-1501468, oi-0.0
2017-11-09, o-205.86, h-207.65, l-204.5601, c-207.39, v-1070073, oi-0.0
2017-11-12, o-205.37, h-209.37, l-204.56, c-209.19, v-888235, oi-0.0
