Date, Open, High, Low, Close, Volume, Open Interest
2021-05-19, o-587.05, h-589.75, l-586.62, c-589.55, v-24308, oi-0.0
2021-05-19, o-590.18, h-592.45, l-589.345, c-592.45, v-923, oi-0.0
2021-05-19, o-593.43, h-596.385, l-591.83, c-594.7, v-4843, oi-0.0
2021-05-19, o-595.39, h-596.24, l-595.19, c-596.24, v-1531, oi-0.0
2021-05-19, o-594.66, h-595.465, l-594.23, c-595.02, v-1290, oi-0.0
2021-05-19, o-594.225, h-599.345, l-594.225, c-599.28, v-2277, oi-0.0
2021-05-19, o-598.76, h-600.07, l-596.92, c-596.92, v-1778, oi-0.0
2021-05-19, o-598.025, h-598.285, l-595.83, c-595.83, v-2203, oi-0.0
2021-05-19, o-596.435, h-597.32, l-596.435, c-597.32, v-467, oi-0.0
2021-05-19, o-597.65, h-597.65, l-593.69, c-597.42, v-1906, oi-0.0
2021-05-19, o-596.335, h-602.93, l-595.24, c-602.01, v-3234, oi-0.0
2021-05-19, o-601.37, h-602.69, l-597.09, c-597.57, v-4450, oi-0.0
2021-05-19, o-597.84, h-600, l-596.52, c-598.335, v-3548, oi-0.0
2021-05-19, o-597.57, h-601.1, l-597.57, c-600.84, v-2415, oi-0.0
2021-05-19, o-600.54, h-601.92, l-600.12, c-601.92, v-1003, oi-0.0
2021-05-19, o-600.8, h-600.8, l-598.96, c-599.45, v-1748, oi-0.0
2021-05-19, o-597.54, h-602.635, l-595.69, c-602.635, v-7649, oi-0.0
2021-05-20, o-606.88, h-612.57, l-604.865, c-610.15, v-8463, oi-0.0
2021-05-20, o-610.08, h-612.12, l-605.55, c-607.86, v-5133, oi-0.0
2021-05-20, o-607.6, h-611.74, l-607.6, c-609.845, v-1527, oi-0.0
2021-05-20, o-609.35, h-609.49, l-605.56, c-605.91, v-3210, oi-0.0
2021-05-20, o-607.61, h-609.015, l-607.11, c-609.015, v-1103, oi-0.0
2021-05-20, o-609.32, h-613.14, l-609.215, c-612.34, v-2061, oi-0.0
2021-05-20, o-612.41, h-615.4, l-612.41, c-615.325, v-4545, oi-0.0
2021-05-20, o-615.36, h-619.69, l-615.36, c-619.385, v-6956, oi-0.0
2021-05-20, o-619.455, h-620.36, l-618.065, c-619.11, v-5897, oi-0.0
2021-05-20, o-619.115, h-619.75, l-618.83, c-619.47, v-2557, oi-0.0
2021-05-20, o-618.96, h-619.49, l-618.12, c-618.12, v-3146, oi-0.0
2021-05-20, o-618.08, h-620.165, l-617.015, c-617.015, v-2881, oi-0.0
2021-05-20, o-616.91, h-617.72, l-616.31, c-616.55, v-2270, oi-0.0
2021-05-20, o-617.13, h-618.76, l-617.13, c-618.55, v-1852, oi-0.0
2021-05-20, o-619.09, h-621.72, l-619.09, c-621.14, v-3639, oi-0.0
2021-05-20, o-620.635, h-623.54, l-620.36, c-623.375, v-8358, oi-0.0
2021-05-20, o-623.61, h-625.05, l-623.6, c-625.05, v-6558, oi-0.0
2021-05-20, o-625.51, h-626.05, l-622.02, c-622.98, v-3896, oi-0.0
2021-05-20, o-623.61, h-625.31, l-623.46, c-625.23, v-2789, oi-0.0
2021-05-20, o-625.775, h-628.515, l-625.32, c-628.515, v-5932, oi-0.0
2021-05-20, o-628.57, h-630.815, l-628.57, c-630.585, v-8683, oi-0.0
2021-05-20, o-630.8, h-633.7, l-630.34, c-633.21, v-7007, oi-0.0
2021-05-20, o-633.05, h-633.78, l-631.49, c-633.49, v-7546, oi-0.0
2021-05-20, o-633.3, h-633.36, l-630.81, c-630.81, v-5648, oi-0.0
2021-05-20, o-631.41, h-631.41, l-628.16, c-628.16, v-2817, oi-0.0
2021-05-20, o-628.53, h-628.53, l-625.44, c-626.34, v-8467, oi-0.0
2021-05-21, o-624.6, h-625.43, l-614.11, c-618.51, v-10568, oi-0.0
2021-05-21, o-614.61, h-621.2, l-612.77, c-621.2, v-6726, oi-0.0
2021-05-21, o-621.15, h-622.46, l-618.4, c-619.05, v-5619, oi-0.0
2021-05-21, o-617.72, h-618.69, l-615.34, c-616.68, v-1005, oi-0.0
2021-05-21, o-618.2, h-618.2, l-615.43, c-615.925, v-1828, oi-0.0
2021-05-21, o-615.21, h-616.975, l-614.425, c-616.975, v-916, oi-0.0
2021-05-21, o-617.16, h-617.45, l-616.15, c-617.45, v-1888, oi-0.0
2021-05-21, o-615.87, h-616.38, l-615.72, c-616.38, v-838, oi-0.0
2021-05-21, o-613.8, h-614.4, l-612.35, c-613.69, v-2466, oi-0.0
2021-05-21, o-613.1, h-613.665, l-610.555, c-611.38, v-947, oi-0.0
2021-05-21, o-611.57, h-614.55, l-611.57, c-614.06, v-722, oi-0.0
2021-05-21, o-613.755, h-613.9, l-612.71, c-613.64, v-1695, oi-0.0
2021-05-21, o-613.76, h-613.82, l-612.75, c-612.87, v-1412, oi-0.0
2021-05-21, o-611.685, h-612.62, l-611.685, c-612.375, v-301, oi-0.0
2021-05-21, o-615.02, h-615.02, l-614.65, c-614.7, v-300, oi-0.0
2021-05-21, o-615.19, h-615.57, l-615.19, c-615.57, v-347, oi-0.0
2021-05-21, o-616.99, h-617.56, l-616.98, c-617.56, v-1018, oi-0.0
2021-05-21, o-616.65, h-616.65, l-616.54, c-616.54, v-483, oi-0.0
2021-05-21, o-616.82, h-618.7, l-616.465, c-618.7, v-1037, oi-0.0
2021-05-21, o-618.64, h-618.64, l-616.85, c-616.85, v-603, oi-0.0
2021-05-21, o-617.54, h-617.54, l-614.885, c-615.91, v-3736, oi-0.0
2021-05-21, o-616.42, h-616.52, l-616.2, c-616.2, v-540, oi-0.0
2021-05-21, o-615.835, h-616.65, l-615.61, c-616.65, v-1156, oi-0.0
2021-05-21, o-617.32, h-618.13, l-617.02, c-618.07, v-4451, oi-0.0
2021-05-21, o-617.85, h-617.85, l-614.6, c-614.6, v-2348, oi-0.0
2021-05-21, o-614.16, h-614.91, l-613.79, c-614.23, v-5852, oi-0.0
2021-05-24, o-624.88, h-635.19, l-623.4, c-634.39, v-4875, oi-0.0
2021-05-24, o-635.07, h-635.93, l-634.2, c-634.51, v-6121, oi-0.0
2021-05-24, o-634.64, h-635.49, l-633, c-635.23, v-7167, oi-0.0
