Date, Open, High, Low, Close, Volume, Open Interest
2021-05-18, o-315.21, h-315.21, l-315.21, c-315.21, v-324, oi-0.0
2021-05-18, o-315.215, h-315.215, l-315.21, c-315.21, v-540, oi-0.0
2021-05-18, o-315.055, h-315.055, l-315.055, c-315.055, v-190, oi-0.0
2021-05-18, o-314.6, h-314.6, l-314.49, c-314.49, v-749, oi-0.0
2021-05-18, o-314.56, h-314.56, l-314.56, c-314.56, v-240, oi-0.0
2021-05-18, o-314.76, h-314.76, l-314.76, c-314.76, v-354, oi-0.0
2021-05-18, o-314.96, h-314.96, l-314.76, c-314.76, v-613, oi-0.0
2021-05-18, o-314.73, h-314.73, l-314.73, c-314.73, v-100, oi-0.0
2021-05-18, o-314.73, h-314.73, l-314.73, c-314.73, v-148, oi-0.0
2021-05-18, o-315.23, h-315.23, l-315.23, c-315.23, v-100, oi-0.0
2021-05-18, o-315.42, h-315.42, l-315.42, c-315.42, v-105, oi-0.0
2021-05-18, o-315.59, h-315.77, l-315.59, c-315.77, v-603, oi-0.0
2021-05-18, o-315.7, h-315.7, l-315.7, c-315.7, v-235, oi-0.0
2021-05-18, o-315.69, h-315.69, l-315.46, c-315.46, v-565, oi-0.0
2021-05-18, o-315.36, h-315.36, l-315.36, c-315.36, v-200, oi-0.0
2021-05-18, o-315.23, h-315.23, l-315.23, c-315.23, v-270, oi-0.0
2021-05-18, o-314.88, h-314.88, l-314.88, c-314.88, v-202, oi-0.0
2021-05-18, o-315.005, h-315.005, l-315.005, c-315.005, v-458, oi-0.0
2021-05-18, o-314.955, h-314.955, l-314.955, c-314.955, v-225, oi-0.0
2021-05-18, o-314.82, h-314.92, l-314.82, c-314.92, v-389, oi-0.0
2021-05-18, o-315.67, h-315.67, l-315.67, c-315.67, v-170, oi-0.0
2021-05-18, o-315.6, h-315.6, l-315.6, c-315.6, v-441, oi-0.0
2021-05-18, o-315.19, h-315.19, l-315.19, c-315.19, v-133, oi-0.0
2021-05-18, o-315.025, h-315.025, l-315.025, c-315.025, v-205, oi-0.0
2021-05-18, o-315.18, h-315.18, l-315.18, c-315.18, v-108, oi-0.0
2021-05-18, o-315.54, h-315.54, l-315.54, c-315.54, v-372, oi-0.0
2021-05-18, o-315.235, h-315.235, l-315.235, c-315.235, v-241, oi-0.0
2021-05-18, o-315.365, h-315.365, l-315.365, c-315.365, v-251, oi-0.0
2021-05-18, o-315.285, h-315.285, l-315.285, c-315.285, v-100, oi-0.0
2021-05-18, o-315.385, h-315.385, l-315.385, c-315.385, v-205, oi-0.0
2021-05-18, o-316, h-316, l-315.86, c-315.86, v-303, oi-0.0
2021-05-18, o-315.75, h-315.75, l-315.75, c-315.75, v-150, oi-0.0
2021-05-18, o-315.92, h-315.92, l-315.92, c-315.92, v-304, oi-0.0
2021-05-18, o-315.87, h-315.87, l-315.87, c-315.87, v-100, oi-0.0
2021-05-18, o-316.01, h-316.01, l-316.01, c-316.01, v-379, oi-0.0
2021-05-18, o-316.06, h-316.06, l-316.06, c-316.06, v-367, oi-0.0
2021-05-18, o-315.92, h-315.92, l-315.815, c-315.815, v-220, oi-0.0
2021-05-18, o-315.15, h-315.15, l-315.15, c-315.15, v-100, oi-0.0
2021-05-18, o-315.535, h-315.535, l-315.46, c-315.46, v-531, oi-0.0
2021-05-18, o-315.89, h-315.89, l-315.89, c-315.89, v-301, oi-0.0
2021-05-18, o-315.76, h-315.76, l-315.655, c-315.655, v-263, oi-0.0
2021-05-18, o-315.39, h-315.39, l-315.39, c-315.39, v-145, oi-0.0
2021-05-18, o-315.03, h-315.03, l-315.03, c-315.03, v-153, oi-0.0
2021-05-18, o-314.96, h-314.96, l-314.96, c-314.96, v-317, oi-0.0
2021-05-18, o-315.205, h-315.24, l-315.205, c-315.24, v-584, oi-0.0
2021-05-18, o-314.91, h-314.91, l-314.91, c-314.91, v-131, oi-0.0
2021-05-18, o-314.68, h-314.79, l-314.68, c-314.75, v-438, oi-0.0
2021-05-18, o-314.2, h-314.2, l-314.2, c-314.2, v-204, oi-0.0
2021-05-18, o-313.955, h-313.955, l-313.955, c-313.955, v-103, oi-0.0
2021-05-18, o-313.53, h-313.555, l-313.53, c-313.555, v-240, oi-0.0
2021-05-18, o-313.65, h-313.8, l-313.65, c-313.8, v-330, oi-0.0
2021-05-18, o-313.725, h-313.725, l-313.725, c-313.725, v-332, oi-0.0
2021-05-18, o-313.84, h-313.94, l-313.84, c-313.94, v-245, oi-0.0
2021-05-18, o-313.7, h-313.7, l-313.57, c-313.57, v-1142, oi-0.0
2021-05-18, o-313.24, h-313.38, l-313.24, c-313.38, v-395, oi-0.0
2021-05-18, o-313.19, h-313.19, l-313.19, c-313.19, v-149, oi-0.0
2021-05-18, o-313.42, h-313.42, l-313.42, c-313.42, v-514, oi-0.0
2021-05-18, o-313.16, h-313.16, l-313.16, c-313.16, v-424, oi-0.0
2021-05-18, o-313.32, h-313.32, l-313.32, c-313.32, v-206, oi-0.0
