Date, Open, High, Low, Close, Volume, Open Interest
2021-04-27, o-158.81, h-159.12, l-158.81, c-159.05, v-1611, oi-0.0
2021-04-27, o-159.16, h-159.3, l-159.14, c-159.3, v-1354, oi-0.0
2021-04-27, o-159.245, h-159.245, l-158.92, c-159.04, v-2105, oi-0.0
2021-04-27, o-159, h-159, l-158.31, c-158.31, v-801, oi-0.0
2021-04-27, o-158.12, h-158.16, l-158.12, c-158.16, v-200, oi-0.0
2021-04-27, o-158.18, h-158.4, l-158.18, c-158.38, v-318, oi-0.0
2021-04-27, o-158.125, h-158.125, l-158.04, c-158.06, v-815, oi-0.0
2021-04-27, o-157.94, h-158.13, l-157.83, c-158.13, v-768, oi-0.0
2021-04-27, o-158.155, h-158.32, l-157.86, c-158.11, v-3866, oi-0.0
2021-04-27, o-158.02, h-158.12, l-157.78, c-157.79, v-2473, oi-0.0
2021-04-27, o-157.78, h-158.07, l-157.73, c-157.89, v-2566, oi-0.0
2021-04-27, o-157.96, h-157.96, l-157.85, c-157.85, v-642, oi-0.0
2021-04-27, o-157.81, h-157.955, l-157.77, c-157.77, v-1673, oi-0.0
2021-04-27, o-157.74, h-157.765, l-157.65, c-157.73, v-2707, oi-0.0
2021-04-27, o-157.755, h-157.79, l-157.57, c-157.57, v-3583, oi-0.0
2021-04-27, o-157.71, h-158.01, l-157.71, c-157.86, v-1306, oi-0.0
2021-04-27, o-157.91, h-157.92, l-157.38, c-157.43, v-9167, oi-0.0
2021-04-28, o-156.435, h-156.435, l-154.655, c-154.83, v-5627, oi-0.0
2021-04-28, o-154.58, h-155.01, l-154.58, c-154.86, v-2362, oi-0.0
2021-04-28, o-154.9, h-155.59, l-154.805, c-155.575, v-1977, oi-0.0
2021-04-28, o-155.53, h-155.82, l-155.45, c-155.59, v-1855, oi-0.0
2021-04-28, o-155.52, h-155.52, l-154.75, c-154.985, v-1125, oi-0.0
2021-04-28, o-155.18, h-155.56, l-155.155, c-155.56, v-1348, oi-0.0
2021-04-28, o-155.55, h-155.55, l-155.39, c-155.51, v-580, oi-0.0
2021-04-28, o-154.99, h-155.12, l-154.9, c-155, v-2705, oi-0.0
2021-04-28, o-154.92, h-155.23, l-154.92, c-155.02, v-3067, oi-0.0
2021-04-28, o-154.89, h-154.91, l-154.73, c-154.81, v-2515, oi-0.0
2021-04-28, o-154.62, h-154.97, l-154.62, c-154.97, v-2781, oi-0.0
2021-04-28, o-154.825, h-154.825, l-154.62, c-154.73, v-1604, oi-0.0
2021-04-28, o-154.85, h-154.85, l-154.49, c-154.49, v-976, oi-0.0
2021-04-28, o-154.165, h-154.505, l-154.07, c-154.11, v-2320, oi-0.0
2021-04-28, o-154.14, h-154.62, l-154.14, c-154.62, v-1699, oi-0.0
2021-04-28, o-154.94, h-154.95, l-154.83, c-154.9, v-1704, oi-0.0
2021-04-28, o-154.915, h-154.975, l-154.79, c-154.87, v-2356, oi-0.0
2021-04-28, o-154.84, h-154.92, l-154.61, c-154.7, v-2107, oi-0.0
2021-04-28, o-154.42, h-154.87, l-154.275, c-154.31, v-4169, oi-0.0
2021-04-28, o-154.68, h-154.985, l-154.63, c-154.9, v-732, oi-0.0
2021-04-28, o-154.94, h-155.73, l-154.91, c-155.73, v-2263, oi-0.0
2021-04-28, o-155.72, h-155.795, l-155.255, c-155.395, v-4190, oi-0.0
2021-04-28, o-155.42, h-155.42, l-154.51, c-155.055, v-6105, oi-0.0
2021-04-28, o-154.81, h-155.13, l-154.81, c-155.04, v-3272, oi-0.0
2021-04-28, o-155.01, h-155.305, l-154.93, c-155.05, v-3452, oi-0.0
2021-04-28, o-155.135, h-155.14, l-154.42, c-154.61, v-8659, oi-0.0
2021-04-29, o-156.3, h-156.3, l-155.55, c-155.55, v-1788, oi-0.0
2021-04-29, o-155.85, h-155.85, l-155.03, c-155.18, v-1824, oi-0.0
2021-04-29, o-155.01, h-155.46, l-154.52, c-155.23, v-1642, oi-0.0
2021-04-29, o-155.09, h-155.65, l-155.02, c-155.57, v-501, oi-0.0
2021-04-29, o-155.11, h-155.11, l-154.375, c-154.62, v-700, oi-0.0
2021-04-29, o-154.5, h-155.19, l-154.33, c-155.19, v-1982, oi-0.0
2021-04-29, o-155.18, h-155.18, l-155.07, c-155.07, v-333, oi-0.0
2021-04-29, o-155.17, h-155.51, l-155.17, c-155.455, v-417, oi-0.0
2021-04-29, o-155.225, h-155.6, l-155.225, c-155.405, v-1006, oi-0.0
2021-04-29, o-155.44, h-155.49, l-154.9, c-154.9, v-815, oi-0.0
2021-04-29, o-153.7, h-153.7, l-153.64, c-153.64, v-333, oi-0.0
2021-04-29, o-153.72, h-154.36, l-153.72, c-154, v-487, oi-0.0
2021-04-29, o-154.16, h-154.16, l-154.16, c-154.16, v-134, oi-0.0
2021-04-29, o-154.23, h-154.4, l-154.23, c-154.4, v-602, oi-0.0
2021-04-29, o-154.24, h-154.51, l-154.14, c-154.51, v-1266, oi-0.0
2021-04-29, o-154.815, h-155.12, l-154.8, c-155.12, v-477, oi-0.0
2021-04-29, o-155.15, h-155.23, l-155.1, c-155.1, v-1241, oi-0.0
2021-04-29, o-155.11, h-155.11, l-155.08, c-155.095, v-471, oi-0.0
2021-04-29, o-155.1, h-155.11, l-155.02, c-155.1, v-1344, oi-0.0
2021-04-29, o-155.18, h-155.52, l-155.18, c-155.25, v-2061, oi-0.0
2021-04-29, o-155.19, h-155.29, l-155.19, c-155.29, v-809, oi-0.0
2021-04-29, o-155.66, h-155.66, l-155.515, c-155.515, v-455, oi-0.0
2021-04-29, o-155.94, h-155.94, l-155.79, c-155.82, v-948, oi-0.0
2021-04-29, o-155.61, h-155.61, l-155.43, c-155.45, v-1003, oi-0.0
2021-04-29, o-155.55, h-155.65, l-155.49, c-155.65, v-1574, oi-0.0
2021-04-29, o-155.79, h-155.99, l-155.58, c-155.99, v-11887, oi-0.0
2021-04-30, o-153.35, h-153.605, l-153, c-153.035, v-2436, oi-0.0
2021-04-30, o-153.25, h-154.07, l-153.25, c-154.04, v-2192, oi-0.0
2021-04-30, o-153.81, h-154.43, l-153.61, c-154.21, v-1868, oi-0.0
2021-04-30, o-154.37, h-154.72, l-153.86, c-154.72, v-1755, oi-0.0
2021-04-30, o-154.58, h-154.58, l-154.17, c-154.17, v-268, oi-0.0
2021-04-30, o-154.12, h-154.12, l-153.32, c-153.4, v-654, oi-0.0
2021-04-30, o-153.25, h-153.28, l-153.25, c-153.28, v-339, oi-0.0
2021-04-30, o-153.16, h-153.16, l-152.44, c-152.44, v-818, oi-0.0
2021-04-30, o-152.84, h-152.875, l-152.64, c-152.64, v-755, oi-0.0
2021-04-30, o-152.65, h-152.76, l-152.54, c-152.76, v-766, oi-0.0
2021-04-30, o-153.005, h-153.005, l-152.8, c-153, v-833, oi-0.0
2021-04-30, o-152.76, h-152.85, l-152.57, c-152.57, v-641, oi-0.0
2021-04-30, o-152.61, h-152.63, l-152.235, c-152.545, v-2927, oi-0.0
2021-04-30, o-152.57, h-152.71, l-152.23, c-152.26, v-2592, oi-0.0
2021-04-30, o-152.31, h-152.33, l-152.13, c-152.26, v-1154, oi-0.0
2021-04-30, o-151.92, h-152.09, l-151.915, c-151.915, v-463, oi-0.0
2021-04-30, o-151.98, h-152, l-151.75, c-151.75, v-1094, oi-0.0
2021-04-30, o-151.19, h-151.26, l-150.785, c-150.785, v-1649, oi-0.0
2021-04-30, o-150.85, h-151.045, l-150.68, c-150.91, v-3955, oi-0.0
2021-04-30, o-150.9, h-150.915, l-150.6, c-150.915, v-3972, oi-0.0
2021-04-30, o-150.99, h-151.12, l-150.68, c-151.11, v-2167, oi-0.0
2021-04-30, o-151.11, h-151.135, l-150.9, c-150.91, v-2490, oi-0.0
2021-04-30, o-150.94, h-150.94, l-150.43, c-150.43, v-1402, oi-0.0
2021-04-30, o-150.365, h-150.57, l-150.32, c-150.565, v-4066, oi-0.0
2021-04-30, o-150.58, h-150.59, l-150.29, c-150.29, v-3440, oi-0.0
2021-04-30, o-150.215, h-150.36, l-149.885, c-150.34, v-20605, oi-0.0
2021-05-03, o-152.24, h-152.35, l-151.53, c-152.05, v-8996, oi-0.0
2021-05-03, o-151.165, h-151.67, l-151.165, c-151.255, v-1077, oi-0.0
2021-05-03, o-151.1, h-151.125, l-150.17, c-150.23, v-4717, oi-0.0
2021-05-03, o-150.42, h-150.42, l-149.24, c-149.45, v-2482, oi-0.0
2021-05-03, o-149.57, h-149.935, l-149.43, c-149.43, v-666, oi-0.0
2021-05-03, o-149.7, h-149.7, l-148.935, c-148.98, v-1061, oi-0.0
2021-05-03, o-148.78, h-149.03, l-148.2, c-148.29, v-2089, oi-0.0
2021-05-03, o-148.225, h-148.46, l-147.95, c-147.95, v-3387, oi-0.0
2021-05-03, o-147.87, h-148.285, l-147.87, c-148.235, v-5535, oi-0.0
2021-05-03, o-148.485, h-148.55, l-148.155, c-148.155, v-899, oi-0.0
2021-05-03, o-148.11, h-148.21, l-148.02, c-148.055, v-592, oi-0.0
2021-05-03, o-147.85, h-147.965, l-147.635, c-147.635, v-1348, oi-0.0
2021-05-03, o-147.5, h-147.5, l-147.49, c-147.49, v-258, oi-0.0
2021-05-03, o-147.485, h-147.725, l-147.485, c-147.625, v-1919, oi-0.0
2021-05-03, o-147.57, h-147.98, l-147.57, c-147.82, v-1415, oi-0.0
2021-05-03, o-147.88, h-148.02, l-147.765, c-147.765, v-1437, oi-0.0
2021-05-03, o-147.7, h-147.93, l-147.61, c-147.79, v-2180, oi-0.0
2021-05-03, o-147.79, h-148.02, l-147.75, c-147.87, v-1053, oi-0.0
2021-05-03, o-147.99, h-148.025, l-147.99, c-148.005, v-683, oi-0.0
