Date, Open, High, Low, Close, Volume, Open Interest
2020-05-27, o-817.11, h-838.43, l-811.21, c-825.91, v-634430, oi-0.0
2020-05-28, o-835, h-855, l-830.945, c-852.29, v-475252, oi-0.0
2020-05-31, o-852.67, h-860.7076, l-842, c-843.34, v-265664, oi-0.0
2020-06-01, o-844.5, h-867.23, l-837.76, c-859.65, v-827440, oi-0.0
2020-06-02, o-865.46, h-874, l-850.65, c-853.52, v-447465, oi-0.0
2020-06-03, o-849.05, h-877.68, l-838.0875, c-840.38, v-837802, oi-0.0
2020-06-04, o-850, h-871, l-839.5191, c-865.01, v-750416, oi-0.0
2020-06-07, o-866.94, h-868.05, l-840.43, c-858.85, v-827080, oi-0.0
2020-06-08, o-849.75, h-876.7299, l-848.69, c-866.81, v-743900, oi-0.0
2020-06-09, o-877, h-892.94, l-863.02, c-886.925, v-368403, oi-0.0
2020-06-10, o-873.62, h-889.87, l-845.86, c-854.91, v-841536, oi-0.0
2020-06-11, o-874.43, h-886.6, l-870.3401, c-878.34, v-216637, oi-0.0
2020-06-14, o-885.86, h-940.38, l-877.02, c-924, v-525331, oi-0.0
2020-06-15, o-958.02, h-964.84, l-923.25, c-950.27, v-471651, oi-0.0
2020-06-16, o-960.31, h-967.27, l-928.66, c-935.21, v-434227, oi-0.0
2020-06-17, o-930, h-937.57, l-922.09, c-924.86, v-728273, oi-0.0
2020-06-18, o-929.19, h-961.99, l-922.5, c-954.25, v-786698, oi-0.0
2020-06-21, o-953.94, h-989, l-953.005, c-986.56, v-464173, oi-0.0
2020-06-22, o-995.3, h-998.11, l-976.38, c-977.9, v-335533, oi-0.0
2020-06-23, o-978.34, h-988.52, l-942, c-954.52, v-421100, oi-0.0
2020-06-24, o-950.35, h-972.945, l-944.35, c-969.28, v-215049, oi-0.0
2020-06-25, o-974.51, h-985.03, l-952.62, c-975, v-415693, oi-0.0
2020-06-28, o-970.3, h-987, l-949.98, c-980.51, v-287617, oi-0.0
2020-06-29, o-982, h-989.9899, l-971.01, c-985.43, v-247743, oi-0.0
2020-06-30, o-985, h-993.05, l-968.83, c-977.23, v-457186, oi-0.0
2020-07-01, o-991.91, h-997.99, l-982.6, c-988.42, v-239880, oi-0.0
2020-07-05, o-1001.93, h-1035.58, l-990, c-996.2201, v-540976, oi-0.0
2020-07-06, o-1000.58, h-1023.48, l-986.9, c-1007, v-377040, oi-0.0
2020-07-07, o-1020.75, h-1020.98, l-1001.44, c-1013.34, v-312508, oi-0.0
2020-07-08, o-1026.26, h-1026.26, l-991.8209, c-1018.41, v-378575, oi-0.0
2020-07-09, o-1020, h-1035.85, l-1001.61, c-1035.84, v-250536, oi-0.0
2020-07-12, o-1058.01, h-1125, l-979.82, c-982.78, v-497431, oi-0.0
2020-07-13, o-972.14, h-1000, l-950.405, c-972.75, v-589512, oi-0.0
2020-07-14, o-978.28, h-987.18, l-956.805, c-971.25, v-426266, oi-0.0
2020-07-15, o-959.66, h-965.72, l-945.79, c-957.4, v-260704, oi-0.0
2020-07-16, o-964.62, h-972.95, l-941.44, c-963.93, v-276017, oi-0.0
2020-07-19, o-980.34, h-1029.93, l-975, c-1024.3, v-376980, oi-0.0
2020-07-20, o-1059.99, h-1059.99, l-1013.3889, c-1019.99, v-334702, oi-0.0
2020-07-21, o-1029.15, h-1046.8, l-1003.83, c-1018.6476, v-273670, oi-0.0
2020-07-22, o-1018.45, h-1034.225, l-977.21, c-982.18, v-213006, oi-0.0
2020-07-23, o-968.03, h-1002.47, l-952.22, c-990, v-422216, oi-0.0
2020-07-26, o-1004.48, h-1081.74, l-996, c-1069.35, v-514345, oi-0.0
2020-07-27, o-1063, h-1066.3252, l-1039.82, c-1040, v-264151, oi-0.0
2020-07-28, o-1060.68, h-1095.345, l-1053.75, c-1085.96, v-437098, oi-0.0
2020-07-29, o-1085.55, h-1131.8868, l-1074.085, c-1107.4, v-707469, oi-0.0
2020-07-30, o-1147.11, h-1150.8239, l-1085.15, c-1123.96, v-659042, oi-0.0
2020-08-02, o-1124.99, h-1181.99, l-1124.99, c-1171.96, v-377038, oi-0.0
2020-08-03, o-1170.72, h-1175, l-1151.12, c-1173.79, v-352091, oi-0.0
2020-08-04, o-1186.72, h-1234.2699, l-1181.605, c-1225.01, v-585354, oi-0.0
2020-08-05, o-1235.34, h-1248.22, l-1200.1531, c-1219.675, v-347291, oi-0.0
2020-08-06, o-1218, h-1235, l-1162.315, c-1192.54, v-798082, oi-0.0
2020-08-09, o-1143.73, h-1160.76, l-1090, c-1109.99, v-810202, oi-0.0
2020-08-10, o-1137.99, h-1146, l-1097.72, c-1099.55, v-627268, oi-0.0
2020-08-11, o-1117.42, h-1138.97, l-1101.216, c-1110.67, v-530216, oi-0.0
2020-08-12, o-1122.51, h-1161.823, l-1121, c-1157.38, v-803123, oi-0.0
2020-08-13, o-1171.65, h-1172.495, l-1145, c-1160, v-330094, oi-0.0
2020-08-16, o-1171.76, h-1197.59, l-1165.01, c-1187.11, v-377999, oi-0.0
2020-08-17, o-1191, h-1221.32, l-1180, c-1208.54, v-304457, oi-0.0
2020-08-18, o-1213.78, h-1229.72, l-1198, c-1212.42, v-350555, oi-0.0
2020-08-19, o-1200.02, h-1221.08, l-1195.53, c-1215.47, v-185553, oi-0.0
2020-08-20, o-1211, h-1221.06, l-1200, c-1202.23, v-227973, oi-0.0
2020-08-23, o-1217, h-1231.59, l-1198.6638, c-1210.74, v-235335, oi-0.0
2020-08-24, o-1210.38, h-1233.99, l-1200.3, c-1224.37, v-237240, oi-0.0
2020-08-25, o-1230.06, h-1244.15, l-1208.205, c-1214.37, v-410772, oi-0.0
2020-08-26, o-1224.73, h-1225.08, l-1199, c-1201.39, v-216117, oi-0.0
2020-08-27, o-1208.01, h-1220.06, l-1172.8608, c-1177.64, v-546404, oi-0.0
2020-08-30, o-1174.75, h-1176.303, l-1128.56, c-1168.58, v-616364, oi-0.0
2020-08-31, o-1200, h-1222.682, l-1195.63, c-1210.84, v-624229, oi-0.0
2020-09-01, o-1221.11, h-1225, l-1171.6257, c-1195.97, v-549307, oi-0.0
2020-09-02, o-1168.48, h-1177.38, l-1067.92, c-1088.04, v-1024721, oi-0.0
2020-09-03, o-1085.01, h-1102.29, l-1000, c-1083.83, v-833511, oi-0.0
2020-09-07, o-1015.08, h-1078.7, l-1014.54, c-1021.08, v-594923, oi-0.0
2020-09-08, o-1065.81, h-1070.52, l-1030.1, c-1055.05, v-497436, oi-0.0
2020-09-09, o-1076.215, h-1090.815, l-1030.19, c-1039.8, v-466831, oi-0.0
2020-09-10, o-1046.35, h-1055, l-1015.49, c-1031.3, v-328380, oi-0.0
2020-09-13, o-1056, h-1065, l-1026.2317, c-1036.76, v-319003, oi-0.0
2020-09-14, o-1051.95, h-1054.71, l-1015, c-1030, v-340781, oi-0.0
2020-09-15, o-1035, h-1048.81, l-1000.51, c-1003.24, v-422834, oi-0.0
2020-09-16, o-979.99, h-995.82, l-959.87, c-980.15, v-636810, oi-0.0
2020-09-17, o-987.03, h-1005.5469, l-970.85, c-998.12, v-525922, oi-0.0
2020-09-20, o-984.39, h-1012.14, l-966.74, c-1011.02, v-303168, oi-0.0
2020-09-21, o-1023, h-1061.9122, l-1011.01, c-1060.97, v-542283, oi-0.0
2020-09-22, o-1072.72, h-1072.72, l-1010.6, c-1020.96, v-381023, oi-0.0
2020-09-23, o-1003.63, h-1048.94, l-986.83, c-1035.01, v-469783, oi-0.0
2020-09-24, o-1034.06, h-1068.39, l-1018.41, c-1061.335, v-335002, oi-0.0
2020-09-27, o-1100.01, h-1107.86, l-1070, c-1095.22, v-395639, oi-0.0
2020-09-28, o-1095.43, h-1095.43, l-1068, c-1082.88, v-172052, oi-0.0
2020-09-29, o-1085, h-1098, l-1076.65, c-1081.89, v-273172, oi-0.0
2020-09-30, o-1097.99, h-1117.86, l-1095.91, c-1115, v-315793, oi-0.0
2020-10-01, o-1083.55, h-1105, l-1063.7, c-1079.19, v-321077, oi-0.0
2020-10-04, o-1085.78, h-1097.6125, l-1079.0834, c-1091.32, v-225994, oi-0.0
2020-10-05, o-1086.79, h-1116.65, l-1085.01, c-1091.39, v-315550, oi-0.0
2020-10-06, o-1105.7, h-1149, l-1094.86, c-1144.78, v-478408, oi-0.0
2020-10-07, o-1158.54, h-1173.43, l-1150.72, c-1159.62, v-325812, oi-0.0
2020-10-08, o-1165.13, h-1202.99, l-1163.94, c-1200.01, v-358030, oi-0.0
2020-10-11, o-1236.23, h-1239, l-1201.89, c-1215.31, v-403578, oi-0.0
2020-10-12, o-1227.84, h-1280.4402, l-1202.23, c-1269.8, v-459674, oi-0.0
2020-10-13, o-1272.1985, h-1283.965, l-1217.17, c-1239.26, v-449277, oi-0.0
2020-10-14, o-1212.13, h-1261.92, l-1206, c-1257.99, v-332852, oi-0.0
2020-10-15, o-1269.89, h-1280.52, l-1258.05, c-1272.5, v-315293, oi-0.0
2020-10-18, o-1273, h-1298.81, l-1266.78, c-1282.9, v-520734, oi-0.0
2020-10-19, o-1297.31, h-1378.5, l-1295.01, c-1332.26, v-674588, oi-0.0
2020-10-20, o-1333.43, h-1374.93, l-1288.85, c-1299.07, v-503047, oi-0.0
2020-10-21, o-1293.67, h-1316, l-1269.4, c-1293.77, v-316350, oi-0.0
2020-10-22, o-1300.01, h-1312.67, l-1282.74, c-1311.355, v-194822, oi-0.0
2020-10-25, o-1303.08, h-1327.39, l-1255.385, c-1281.44, v-298472, oi-0.0
2020-10-26, o-1285.95, h-1293.81, l-1267.1, c-1281.8, v-265956, oi-0.0
2020-10-27, o-1248, h-1285.99, l-1237.46, c-1269.16, v-266419, oi-0.0
2020-10-28, o-1288.88, h-1314.77, l-1267.929, c-1303.01, v-322737, oi-0.0
2020-10-29, o-1279.41, h-1292.78, l-1195.01, c-1214.05, v-533910, oi-0.0
2020-11-01, o-1230, h-1252, l-1192.14, c-1215.13, v-261908, oi-0.0
2020-11-02, o-1220, h-1242.765, l-1196.63, c-1233.97, v-265742, oi-0.0
2020-11-03, o-1282, h-1321.16, l-1275, c-1314.63, v-481281, oi-0.0
2020-11-04, o-1405.1, h-1460, l-1372.7603, c-1437.03, v-856114, oi-0.0
2020-11-05, o-1437.605, h-1490.665, l-1395.68, c-1485.16, v-502434, oi-0.0
2020-11-08, o-1445.5052, h-1450.425, l-1330, c-1331.86, v-836604, oi-0.0
2020-11-09, o-1325.88, h-1325.93, l-1219.14, c-1224.71, v-940898, oi-0.0
2020-11-10, o-1274.39, h-1339.1, l-1267.52, c-1303.5, v-647220, oi-0.0
2020-11-11, o-1315, h-1355, l-1293.56, c-1294.7056, v-558424, oi-0.0
2020-11-12, o-1321.73, h-1335.46, l-1285.46, c-1305.45, v-340623, oi-0.0
2020-11-15, o-1286.55, h-1311.9, l-1275.89, c-1284.265, v-233624, oi-0.0
2020-11-16, o-1298.0356, h-1312.53, l-1283, c-1300, v-362897, oi-0.0
2020-11-17, o-1305.31, h-1327.41, l-1290.89, c-1318.09, v-426609, oi-0.0
2020-11-18, o-1324.96, h-1383.96, l-1312.31, c-1370.3, v-437880, oi-0.0
2020-11-19, o-1372.93, h-1423.97, l-1365.58, c-1417.87, v-568956, oi-0.0
2020-11-22, o-1431.47, h-1458.1, l-1413.99, c-1449.61, v-490948, oi-0.0
2020-11-23, o-1458.29, h-1460.645, l-1401.3501, c-1437.13, v-409171, oi-0.0
2020-11-24, o-1447.91, h-1484.225, l-1445, c-1479.3, v-395451, oi-0.0
2020-11-26, o-1480, h-1519.18, l-1463.27, c-1515.41, v-240835, oi-0.0
2020-11-29, o-1529.51, h-1558.26, l-1475.85, c-1556.36, v-538010, oi-0.0
2020-11-30, o-1556.04, h-1577, l-1516.55, c-1521.66, v-473153, oi-0.0
2020-12-01, o-1517.54, h-1525.39, l-1483.34, c-1521.87, v-443212, oi-0.0
2020-12-02, o-1537.3, h-1569.96, l-1533.3, c-1562, v-363124, oi-0.0
2020-12-03, o-1566.83, h-1566.83, l-1529, c-1557.44, v-253310, oi-0.0
2020-12-06, o-1557.2, h-1589.105, l-1551.4325, c-1576.02, v-330182, oi-0.0
2020-12-07, o-1580, h-1628.91, l-1575, c-1615, v-358409, oi-0.0
2020-12-08, o-1619.88, h-1619.88, l-1517.09, c-1537.43, v-635447, oi-0.0
2020-12-09, o-1531.55, h-1598, l-1512.6, c-1587.92, v-382617, oi-0.0
2020-12-10, o-1597, h-1606.62, l-1572.03, c-1606.62, v-292036, oi-0.0
2020-12-13, o-1612, h-1640, l-1610, c-1618.06, v-299858, oi-0.0
2020-12-14, o-1634.11, h-1676.915, l-1634.11, c-1668.36, v-428715, oi-0.0
2020-12-15, o-1670, h-1675.23, l-1640, c-1668.55, v-470941, oi-0.0
2020-12-16, o-1671.77, h-1693.995, l-1661.47, c-1677.88, v-304500, oi-0.0
2020-12-17, o-1697.66, h-1727.97, l-1676.375, c-1724.65, v-387762, oi-0.0
2020-12-20, o-1707.65, h-1726.7108, l-1665.3, c-1697.915, v-345892, oi-0.0
2020-12-21, o-1713.65, h-1735.75, l-1701.6848, c-1734.38, v-286035, oi-0.0
2020-12-22, o-1729.26, h-1735.39, l-1667.01, c-1669.47, v-338051, oi-0.0
2020-12-23, o-1672, h-1694.48, l-1665.8969, c-1689.305, v-115443, oi-0.0
2020-12-27, o-1700, h-1703.32, l-1625.7, c-1662.09, v-245256, oi-0.0
2020-12-28, o-1680, h-1689.41, l-1640.03, c-1676.33, v-225887, oi-0.0
2020-12-29, o-1690, h-1723.9604, l-1659.6, c-1711.27, v-282984, oi-0.0
2020-12-30, o-1718.59, h-1718.59, l-1660.9, c-1674.8, v-199604, oi-0.0
2021-01-03, o-1690.99, h-1725, l-1612.57, c-1639.48, v-798562, oi-0.0
2021-01-04, o-1639.38, h-1704.2491, l-1630, c-1649, v-504177, oi-0.0
2021-01-05, o-1627.32, h-1627.32, l-1564.95, c-1567.13, v-543697, oi-0.0
2021-01-06, o-1616.965, h-1629.33, l-1570.57, c-1597.54, v-1105723, oi-0.0
2021-01-07, o-1623.84, h-1719.26, l-1612.8291, c-1719, v-705020, oi-0.0
