Date, Open, High, Low, Close, Volume, Open Interest
2021-04-27, o-46.495, h-46.495, l-46.27, c-46.295, v-5750, oi-0.0
2021-04-27, o-46.295, h-46.375, l-46.2, c-46.225, v-4868, oi-0.0
2021-04-27, o-46.21, h-46.31, l-46.175, c-46.265, v-4179, oi-0.0
2021-04-27, o-46.165, h-46.2, l-46.05, c-46.05, v-7401, oi-0.0
2021-04-27, o-46.085, h-46.24, l-46.03, c-46.2, v-5480, oi-0.0
2021-04-27, o-46.14, h-46.2, l-46.1, c-46.11, v-3954, oi-0.0
2021-04-27, o-46.11, h-46.13, l-46.03, c-46.13, v-6294, oi-0.0
2021-04-27, o-46.135, h-46.135, l-46.02, c-46.095, v-6529, oi-0.0
2021-04-27, o-46.095, h-46.1, l-46.01, c-46.025, v-5759, oi-0.0
2021-04-27, o-46.005, h-46.03, l-45.96, c-45.99, v-7472, oi-0.0
2021-04-27, o-45.94, h-46.05, l-45.94, c-46.045, v-22773, oi-0.0
2021-04-27, o-45.995, h-46.005, l-45.94, c-45.945, v-11061, oi-0.0
2021-04-27, o-45.945, h-45.95, l-45.875, c-45.93, v-12700, oi-0.0
2021-04-27, o-45.925, h-46.04, l-45.84, c-45.91, v-63151, oi-0.0
2021-04-28, o-45.89, h-46.09, l-45.57, c-45.585, v-2530, oi-0.0
2021-04-28, o-45.6, h-46.265, l-45.6, c-46.265, v-5713, oi-0.0
2021-04-28, o-46.235, h-46.39, l-46.165, c-46.2, v-11697, oi-0.0
2021-04-28, o-46.32, h-46.7, l-46.32, c-46.665, v-4009, oi-0.0
2021-04-28, o-46.595, h-46.665, l-46.48, c-46.62, v-15546, oi-0.0
2021-04-28, o-46.61, h-46.695, l-46.515, c-46.515, v-25549, oi-0.0
2021-04-28, o-46.535, h-46.7, l-46.535, c-46.7, v-11832, oi-0.0
2021-04-28, o-46.75, h-46.75, l-46.425, c-46.425, v-2590, oi-0.0
2021-04-28, o-46.47, h-46.665, l-46.47, c-46.61, v-7491, oi-0.0
2021-04-28, o-46.505, h-46.52, l-46.46, c-46.46, v-3540, oi-0.0
2021-04-28, o-46.38, h-46.5, l-46.37, c-46.49, v-9122, oi-0.0
2021-04-28, o-46.5, h-46.54, l-46.44, c-46.54, v-4971, oi-0.0
2021-04-28, o-46.54, h-46.6, l-46.435, c-46.45, v-6481, oi-0.0
2021-04-28, o-46.445, h-46.475, l-46.255, c-46.27, v-5685, oi-0.0
2021-04-28, o-46.28, h-46.415, l-46.28, c-46.405, v-2855, oi-0.0
2021-04-28, o-46.385, h-46.445, l-46.35, c-46.41, v-3409, oi-0.0
2021-04-28, o-46.415, h-46.475, l-46.37, c-46.375, v-13914, oi-0.0
2021-04-28, o-46.365, h-46.405, l-46.27, c-46.27, v-5475, oi-0.0
2021-04-28, o-46.37, h-46.465, l-46.25, c-46.405, v-12915, oi-0.0
2021-04-28, o-46.405, h-46.52, l-46.405, c-46.5, v-4305, oi-0.0
2021-04-28, o-46.5, h-46.86, l-46.435, c-46.86, v-6129, oi-0.0
2021-04-28, o-46.85, h-46.895, l-46.62, c-46.76, v-10127, oi-0.0
