Date, Open, High, Low, Close, Volume, Open Interest
2019-05-28, o-125.38, h-125.39, l-124.04, c-124.94, v-19094366, oi-0.0
2019-05-29, o-125.26, h-125.76, l-124.78, c-125.73, v-14940725, oi-0.0
2019-05-30, o-124.23, h-124.615, l-123.32, c-123.59, v-19067178, oi-0.0
2019-06-02, o-123.85, h-124.37, l-119.01, c-119.88, v-33076693, oi-0.0
2019-06-03, o-121.27, h-123.28, l-120.6522, c-123.2, v-23847973, oi-0.0
2019-06-04, o-124.95, h-125.87, l-124.21, c-125.83, v-20223894, oi-0.0
2019-06-05, o-126.44, h-127.97, l-125.6, c-127.9, v-17659237, oi-0.0
2019-06-06, o-129.19, h-132.25, l-128.26, c-131.4, v-28442880, oi-0.0
2019-06-09, o-132.4, h-134.08, l-132, c-132.6, v-23572989, oi-0.0
2019-06-10, o-133.88, h-134.24, l-131.2757, c-132.1, v-18628257, oi-0.0
2019-06-11, o-131.4, h-131.97, l-130.71, c-131.49, v-14627551, oi-0.0
2019-06-12, o-131.98, h-133, l-131.56, c-132.32, v-29605510, oi-0.0
2019-06-13, o-132.26, h-133.79, l-131.64, c-132.47, v-28380382, oi-0.0
2019-06-16, o-132.63, h-133.73, l-132.53, c-132.89, v-11190315, oi-0.0
2019-06-17, o-134.19, h-135.24, l-133.57, c-135.18, v-22259993, oi-0.0
2019-06-18, o-135, h-135.93, l-133.81, c-135.59, v-17422488, oi-0.0
2019-06-19, o-137.45, h-137.66, l-135.72, c-136.89, v-24413637, oi-0.0
2019-06-20, o-136.58, h-137.73, l-136.46, c-136.94, v-32605935, oi-0.0
2019-06-23, o-137.27, h-138.4, l-137, c-137.79, v-15409700, oi-0.0
2019-06-24, o-137.25, h-137.59, l-132.73, c-133.43, v-28861090, oi-0.0
2019-06-25, o-134.35, h-135.74, l-133.6, c-133.93, v-18589050, oi-0.0
2019-06-26, o-134.14, h-134.71, l-133.51, c-134.14, v-13350840, oi-0.0
2019-06-27, o-134.495, h-134.58, l-133.1558, c-133.93, v-15208650, oi-0.0
2019-06-30, o-136.63, h-136.7, l-134.97, c-135.69, v-18770923, oi-0.0
2019-07-01, o-136.12, h-136.59, l-135.34, c-136.57, v-12885055, oi-0.0
2019-07-02, o-136.79, h-137.74, l-136.295, c-137.45, v-10872526, oi-0.0
2019-07-04, o-135.94, h-137.33, l-135.72, c-137.07, v-14788455, oi-0.0
2019-07-07, o-136.4, h-137.1, l-135.3701, c-136.97, v-13660084, oi-0.0
2019-07-08, o-136, h-136.97, l-135.8, c-136.435, v-15894256, oi-0.0
2019-07-09, o-137.13, h-138.58, l-137.02, c-137.86, v-18541986, oi-0.0
2019-07-10, o-138.2, h-139.22, l-137.87, c-138.4, v-19376896, oi-0.0
2019-07-11, o-138.85, h-139.13, l-138.0099, c-138.89, v-14813882, oi-0.0
2019-07-14, o-139.59, h-139.59, l-138.46, c-138.94, v-13238147, oi-0.0
2019-07-15, o-138.96, h-139.05, l-136.52, c-137.08, v-19654715, oi-0.0
2019-07-16, o-137.7, h-137.93, l-136.22, c-136.22, v-16462100, oi-0.0
2019-07-17, o-135.55, h-136.62, l-134.67, c-136.28, v-23382478, oi-0.0
2019-07-18, o-140.22, h-140.67, l-136.45, c-136.62, v-43308021, oi-0.0
2019-07-21, o-137.41, h-139.19, l-137.33, c-138.43, v-20785406, oi-0.0
2019-07-22, o-139.76, h-139.99, l-138.03, c-139.29, v-15676393, oi-0.0
2019-07-23, o-138.9, h-140.74, l-138.85, c-140.72, v-16545564, oi-0.0
2019-07-24, o-140.43, h-140.61, l-139.3215, c-140.19, v-15828520, oi-0.0
2019-07-25, o-140.37, h-141.675, l-140.3, c-141.34, v-13850451, oi-0.0
2019-07-28, o-141.5, h-141.51, l-139.3663, c-141.04, v-12886300, oi-0.0
