Date, Open, High, Low, Close, Volume, Open Interest
2021-05-19, o-134.53, h-134.78, l-134.53, c-134.74, v-2020, oi-0.0
2021-05-19, o-135.09, h-135.09, l-134.92, c-134.92, v-1289, oi-0.0
2021-05-19, o-134.9, h-134.995, l-134.89, c-134.995, v-1549, oi-0.0
2021-05-19, o-135.14, h-135.38, l-135.14, c-135.38, v-620, oi-0.0
2021-05-19, o-135.87, h-135.87, l-135.53, c-135.66, v-926, oi-0.0
2021-05-19, o-135.58, h-135.62, l-135.52, c-135.52, v-641, oi-0.0
2021-05-19, o-135.47, h-135.56, l-135.47, c-135.56, v-363, oi-0.0
2021-05-19, o-135.295, h-135.56, l-135.285, c-135.55, v-12167, oi-0.0
2021-05-19, o-135.53, h-135.74, l-135.495, c-135.74, v-7451, oi-0.0
2021-05-19, o-135.975, h-136.41, l-135.84, c-136.38, v-4915, oi-0.0
2021-05-19, o-136.31, h-136.34, l-135.87, c-136.11, v-1592, oi-0.0
2021-05-19, o-136.05, h-136.19, l-135.95, c-135.95, v-422, oi-0.0
2021-05-19, o-135.95, h-136.12, l-135.94, c-135.965, v-2228, oi-0.0
2021-05-19, o-136.065, h-136.185, l-135.98, c-135.98, v-2139, oi-0.0
2021-05-19, o-135.97, h-136, l-135.93, c-136, v-3600, oi-0.0
2021-05-19, o-136.19, h-136.31, l-136.02, c-136.31, v-4579, oi-0.0
2021-05-19, o-136.435, h-136.435, l-136.435, c-136.435, v-221, oi-0.0
2021-05-19, o-136.84, h-137.02, l-136.82, c-136.85, v-1887, oi-0.0
2021-05-19, o-136.89, h-137.48, l-136.81, c-137.29, v-1977, oi-0.0
2021-05-19, o-137.03, h-137.03, l-136.94, c-137.03, v-759, oi-0.0
2021-05-19, o-137.07, h-137.11, l-137.07, c-137.07, v-1084, oi-0.0
2021-05-19, o-137.12, h-137.12, l-136.91, c-136.92, v-919, oi-0.0
2021-05-19, o-136.82, h-136.82, l-136.82, c-136.82, v-100, oi-0.0
2021-05-19, o-136.64, h-136.85, l-136.64, c-136.74, v-600, oi-0.0
2021-05-19, o-136.54, h-136.64, l-136.54, c-136.63, v-736, oi-0.0
2021-05-19, o-136.59, h-136.7, l-136.55, c-136.55, v-373, oi-0.0
2021-05-19, o-136.92, h-137.06, l-136.92, c-137.06, v-321, oi-0.0
2021-05-19, o-136.98, h-137.135, l-136.98, c-137.09, v-809, oi-0.0
2021-05-19, o-137.08, h-137.09, l-137.05, c-137.05, v-300, oi-0.0
2021-05-19, o-137.02, h-137.085, l-136.84, c-136.84, v-1966, oi-0.0
2021-05-19, o-136.89, h-137.11, l-136.89, c-137.1, v-534, oi-0.0
2021-05-19, o-136.96, h-137.14, l-136.96, c-137.14, v-611, oi-0.0
2021-05-19, o-136.89, h-136.89, l-136.63, c-136.63, v-201, oi-0.0
2021-05-19, o-136.61, h-136.86, l-136.61, c-136.85, v-667, oi-0.0
2021-05-19, o-136.7, h-137.035, l-136.7, c-137.035, v-10826, oi-0.0
2021-05-19, o-136.85, h-136.85, l-136.85, c-136.85, v-100, oi-0.0
2021-05-19, o-136.72, h-136.89, l-136.71, c-136.71, v-1690, oi-0.0
2021-05-19, o-136.75, h-136.75, l-136.75, c-136.75, v-100, oi-0.0
2021-05-19, o-136.58, h-137.085, l-136.18, c-136.18, v-2499, oi-0.0
2021-05-19, o-136.11, h-136.7, l-136.1, c-136.7, v-1454, oi-0.0
2021-05-19, o-136.73, h-136.73, l-136.46, c-136.71, v-7883, oi-0.0
2021-05-19, o-136.595, h-136.76, l-136.33, c-136.76, v-4145, oi-0.0
2021-05-19, o-137.3, h-137.62, l-137.3, c-137.62, v-373, oi-0.0
2021-05-19, o-137.72, h-137.85, l-137.61, c-137.85, v-1044, oi-0.0
2021-05-19, o-137.93, h-138.025, l-137.69, c-137.69, v-1533, oi-0.0
2021-05-19, o-137.86, h-137.965, l-137.41, c-137.54, v-8983, oi-0.0
2021-05-19, o-137.62, h-137.87, l-137.57, c-137.65, v-3550, oi-0.0
2021-05-19, o-137.39, h-137.55, l-137.375, c-137.55, v-2106, oi-0.0
2021-05-19, o-137.62, h-137.62, l-137.515, c-137.59, v-1328, oi-0.0
2021-05-19, o-137.69, h-137.95, l-137.48, c-137.79, v-2066, oi-0.0
2021-05-19, o-137.6, h-137.62, l-137.17, c-137.18, v-4144, oi-0.0
2021-05-19, o-137.15, h-137.59, l-137.15, c-137.59, v-2684, oi-0.0
2021-05-19, o-137.96, h-138.145, l-137.915, c-138.145, v-1872, oi-0.0
2021-05-19, o-138, h-138.15, l-138, c-138.15, v-1040, oi-0.0
2021-05-19, o-138.22, h-138.515, l-138.04, c-138.375, v-2252, oi-0.0
2021-05-19, o-138.6, h-138.975, l-138.5, c-138.95, v-2687, oi-0.0
2021-05-19, o-138.835, h-138.835, l-138.32, c-138.49, v-2984, oi-0.0
2021-05-19, o-138.59, h-138.7, l-138.41, c-138.45, v-1959, oi-0.0
2021-05-19, o-138.6, h-138.92, l-138.455, c-138.76, v-2210, oi-0.0
2021-05-19, o-138.68, h-138.7, l-138.26, c-138.28, v-1516, oi-0.0
2021-05-19, o-138.18, h-138.56, l-138.18, c-138.49, v-1823, oi-0.0
2021-05-19, o-138.48, h-139.02, l-138.43, c-139.02, v-4492, oi-0.0
2021-05-20, o-138.6, h-139.79, l-138.6, c-139.62, v-797, oi-0.0
2021-05-20, o-139.74, h-140.49, l-139.545, c-140.49, v-3584, oi-0.0
2021-05-20, o-140.465, h-140.58, l-140.18, c-140.58, v-2021, oi-0.0
2021-05-20, o-140.21, h-140.85, l-140.21, c-140.795, v-2899, oi-0.0
2021-05-20, o-140.82, h-141.02, l-140.565, c-140.85, v-1725, oi-0.0
2021-05-20, o-140.575, h-141.06, l-140.575, c-140.71, v-500, oi-0.0
2021-05-20, o-141.125, h-141.44, l-141.105, c-141.44, v-989, oi-0.0
2021-05-20, o-141.57, h-141.62, l-141.255, c-141.255, v-844, oi-0.0
2021-05-20, o-141.225, h-141.39, l-141.15, c-141.18, v-2820, oi-0.0
2021-05-20, o-141.33, h-141.365, l-141.09, c-141.09, v-1780, oi-0.0
2021-05-20, o-141.2, h-141.49, l-141.2, c-141.21, v-1160, oi-0.0
2021-05-20, o-141.22, h-141.545, l-141.22, c-141.545, v-2020, oi-0.0
2021-05-20, o-141.58, h-141.58, l-141.24, c-141.395, v-3346, oi-0.0
2021-05-20, o-141.35, h-141.385, l-141.17, c-141.17, v-5829, oi-0.0
2021-05-20, o-141.045, h-141.095, l-140.75, c-140.82, v-3520, oi-0.0
