Date, Open, High, Low, Close, Volume, Open Interest
2021-05-24, o-101.03, h-101.03, l-101.03, c-101.03, v-133, oi-0.0
2021-05-24, o-101.06, h-101.07, l-101.06, c-101.07, v-204, oi-0.0
2021-05-24, o-101.05, h-101.05, l-101.05, c-101.05, v-133, oi-0.0
2021-05-24, o-101.06, h-101.06, l-101.01, c-101.01, v-201, oi-0.0
2021-05-24, o-101.02, h-101.02, l-101.02, c-101.02, v-234, oi-0.0
2021-05-24, o-101.02, h-101.02, l-101.02, c-101.02, v-200, oi-0.0
2021-05-24, o-100.97, h-100.97, l-100.95, c-100.95, v-201, oi-0.0
2021-05-24, o-100.95, h-100.95, l-100.95, c-100.95, v-133, oi-0.0
2021-05-24, o-100.98, h-101.01, l-100.98, c-101.01, v-333, oi-0.0
2021-05-24, o-100.97, h-100.97, l-100.96, c-100.96, v-204, oi-0.0
2021-05-24, o-100.95, h-100.985, l-100.95, c-100.985, v-249, oi-0.0
2021-05-24, o-100.995, h-101.03, l-100.995, c-101, v-400, oi-0.0
2021-05-24, o-101, h-101.04, l-100.995, c-101.04, v-902, oi-0.0
2021-05-24, o-101, h-101, l-100.995, c-100.995, v-400, oi-0.0
2021-05-24, o-100.985, h-101.01, l-100.985, c-101.01, v-1506, oi-0.0
2021-05-24, o-100.99, h-100.99, l-100.99, c-100.99, v-102, oi-0.0
2021-05-24, o-100.95, h-100.95, l-100.95, c-100.95, v-100, oi-0.0
2021-05-24, o-100.94, h-100.96, l-100.92, c-100.92, v-566, oi-0.0
2021-05-24, o-100.92, h-100.92, l-100.9, c-100.9, v-200, oi-0.0
2021-05-24, o-100.905, h-100.905, l-100.81, c-100.81, v-599, oi-0.0
2021-05-24, o-100.825, h-100.825, l-100.78, c-100.79, v-1205, oi-0.0
2021-05-24, o-100.81, h-100.81, l-100.81, c-100.81, v-140, oi-0.0
2021-05-24, o-100.81, h-100.81, l-100.755, c-100.755, v-345, oi-0.0
2021-05-24, o-100.78, h-100.78, l-100.78, c-100.78, v-262, oi-0.0
2021-05-24, o-100.795, h-100.815, l-100.795, c-100.815, v-833, oi-0.0
2021-05-24, o-100.805, h-100.81, l-100.805, c-100.81, v-206, oi-0.0
2021-05-24, o-100.81, h-100.81, l-100.81, c-100.81, v-233, oi-0.0
2021-05-24, o-100.835, h-100.835, l-100.835, c-100.835, v-200, oi-0.0
2021-05-24, o-100.89, h-100.89, l-100.89, c-100.89, v-105, oi-0.0
2021-05-24, o-100.905, h-100.905, l-100.905, c-100.905, v-206, oi-0.0
2021-05-24, o-100.93, h-100.93, l-100.93, c-100.93, v-103, oi-0.0
2021-05-24, o-100.91, h-100.91, l-100.89, c-100.9, v-366, oi-0.0
2021-05-24, o-100.88, h-100.885, l-100.855, c-100.86, v-1801, oi-0.0
2021-05-24, o-100.86, h-100.92, l-100.86, c-100.92, v-537, oi-0.0
2021-05-24, o-100.93, h-100.97, l-100.93, c-100.97, v-484, oi-0.0
2021-05-24, o-100.96, h-100.96, l-100.96, c-100.96, v-205, oi-0.0
2021-05-24, o-100.93, h-100.93, l-100.93, c-100.93, v-100, oi-0.0
2021-05-24, o-100.92, h-100.93, l-100.92, c-100.93, v-452, oi-0.0
2021-05-24, o-100.95, h-100.95, l-100.95, c-100.95, v-200, oi-0.0
2021-05-24, o-100.94, h-100.95, l-100.94, c-100.95, v-243, oi-0.0
2021-05-24, o-100.97, h-100.97, l-100.96, c-100.96, v-300, oi-0.0
2021-05-24, o-100.84, h-100.84, l-100.74, c-100.74, v-481, oi-0.0
2021-05-24, o-100.74, h-100.74, l-100.73, c-100.73, v-312, oi-0.0
2021-05-24, o-100.74, h-100.74, l-100.74, c-100.74, v-242, oi-0.0
2021-05-24, o-100.73, h-100.73, l-100.73, c-100.73, v-233, oi-0.0
2021-05-24, o-100.73, h-100.73, l-100.7, c-100.7, v-437, oi-0.0
2021-05-24, o-100.7, h-100.77, l-100.7, c-100.77, v-1324, oi-0.0
2021-05-24, o-100.745, h-100.77, l-100.74, c-100.77, v-862, oi-0.0
2021-05-24, o-100.74, h-100.74, l-100.73, c-100.73, v-551, oi-0.0
2021-05-24, o-100.69, h-100.72, l-100.68, c-100.71, v-534, oi-0.0
2021-05-24, o-100.73, h-100.73, l-100.72, c-100.72, v-414, oi-0.0
2021-05-25, o-101.6, h-101.6, l-101.6, c-101.6, v-137, oi-0.0
2021-05-25, o-102.15, h-102.16, l-102.15, c-102.16, v-234, oi-0.0
2021-05-25, o-102.205, h-102.205, l-102.205, c-102.205, v-110, oi-0.0
2021-05-25, o-102.245, h-102.245, l-102.2, c-102.2, v-321, oi-0.0
2021-05-25, o-102.16, h-102.16, l-102.16, c-102.16, v-119, oi-0.0
2021-05-25, o-102.18, h-102.18, l-102.18, c-102.18, v-164, oi-0.0
2021-05-25, o-102.17, h-102.17, l-102.17, c-102.17, v-189, oi-0.0
2021-05-25, o-101.765, h-101.765, l-101.685, c-101.685, v-200, oi-0.0
2021-05-25, o-101.63, h-101.63, l-101.57, c-101.57, v-319, oi-0.0
2021-05-25, o-101.23, h-101.23, l-101.23, c-101.23, v-126, oi-0.0
2021-05-25, o-101.25, h-101.25, l-101.25, c-101.25, v-200, oi-0.0
2021-05-25, o-101.17, h-101.17, l-101.17, c-101.17, v-101, oi-0.0
2021-05-25, o-101.26, h-101.27, l-101.26, c-101.27, v-200, oi-0.0
2021-05-25, o-101.34, h-101.34, l-101.34, c-101.34, v-200, oi-0.0
2021-05-25, o-101.19, h-101.2, l-101.19, c-101.2, v-301, oi-0.0
2021-05-25, o-101.2, h-101.2, l-101.11, c-101.11, v-320, oi-0.0
2021-05-25, o-101.15, h-101.15, l-101.12, c-101.12, v-218, oi-0.0
2021-05-25, o-101.08, h-101.08, l-101.08, c-101.08, v-100, oi-0.0
2021-05-25, o-101.1, h-101.1, l-101.1, c-101.1, v-100, oi-0.0
2021-05-25, o-101.09, h-101.09, l-101.08, c-101.08, v-200, oi-0.0
2021-05-25, o-101.14, h-101.14, l-101.14, c-101.14, v-104, oi-0.0
2021-05-25, o-101.44, h-101.44, l-101.44, c-101.44, v-100, oi-0.0
2021-05-25, o-101.4, h-101.47, l-101.4, c-101.47, v-300, oi-0.0
2021-05-25, o-101.71, h-101.71, l-101.69, c-101.69, v-242, oi-0.0
2021-05-25, o-101.52, h-101.52, l-101.51, c-101.51, v-200, oi-0.0
2021-05-25, o-101.45, h-101.45, l-101.45, c-101.45, v-100, oi-0.0
2021-05-25, o-101.74, h-101.74, l-101.74, c-101.74, v-100, oi-0.0
2021-05-25, o-101.78, h-101.78, l-101.73, c-101.73, v-286, oi-0.0
2021-05-25, o-101.86, h-101.86, l-101.83, c-101.83, v-274, oi-0.0
2021-05-25, o-101.89, h-101.89, l-101.89, c-101.89, v-191, oi-0.0
2021-05-25, o-101.83, h-101.83, l-101.83, c-101.83, v-133, oi-0.0
2021-05-25, o-101.88, h-101.88, l-101.88, c-101.88, v-432, oi-0.0
2021-05-25, o-101.74, h-101.74, l-101.74, c-101.74, v-133, oi-0.0
2021-05-25, o-101.69, h-101.69, l-101.69, c-101.69, v-250, oi-0.0
2021-05-25, o-101.74, h-101.74, l-101.74, c-101.74, v-175, oi-0.0
2021-05-25, o-101.77, h-101.82, l-101.77, c-101.82, v-236, oi-0.0
2021-05-25, o-101.77, h-101.77, l-101.77, c-101.77, v-100, oi-0.0
2021-05-25, o-101.72, h-101.77, l-101.72, c-101.77, v-336, oi-0.0
2021-05-25, o-101.62, h-101.62, l-101.62, c-101.62, v-333, oi-0.0
2021-05-25, o-101.67, h-101.67, l-101.67, c-101.67, v-109, oi-0.0
2021-05-25, o-101.7, h-101.7, l-101.58, c-101.58, v-324, oi-0.0
2021-05-25, o-101.35, h-101.35, l-101.25, c-101.25, v-300, oi-0.0
2021-05-25, o-101.315, h-101.315, l-101.315, c-101.315, v-200, oi-0.0
2021-05-25, o-101.19, h-101.19, l-101.19, c-101.19, v-100, oi-0.0
2021-05-25, o-101.15, h-101.15, l-101.15, c-101.15, v-102, oi-0.0
