Date, Open, High, Low, Close, Volume, Open Interest
2021-05-25, o-113.32, h-113.47, l-113.16, c-113.47, v-4342, oi-0.0
2021-05-25, o-113.54, h-113.59, l-113.35, c-113.5, v-4509, oi-0.0
2021-05-25, o-113.5, h-113.51, l-113.23, c-113.26, v-4933, oi-0.0
2021-05-25, o-113.27, h-113.7, l-113.27, c-113.66, v-2964, oi-0.0
2021-05-25, o-113.63, h-113.89, l-113.63, c-113.84, v-2938, oi-0.0
2021-05-25, o-113.84, h-113.92, l-113.61, c-113.8, v-2709, oi-0.0
2021-05-25, o-113.88, h-114.325, l-113.88, c-114.135, v-4036, oi-0.0
2021-05-25, o-114.135, h-114.17, l-113.95, c-114.005, v-3420, oi-0.0
2021-05-25, o-114.08, h-114.24, l-113.91, c-113.97, v-4399, oi-0.0
2021-05-25, o-114.02, h-114.025, l-113.86, c-113.99, v-3232, oi-0.0
2021-05-25, o-113.96, h-114.13, l-113.96, c-114.065, v-2204, oi-0.0
2021-05-25, o-114.025, h-114.08, l-113.99, c-114.08, v-4019, oi-0.0
2021-05-25, o-114.04, h-114.06, l-113.92, c-113.99, v-4787, oi-0.0
2021-05-25, o-113.95, h-113.98, l-113.86, c-113.9, v-3191, oi-0.0
2021-05-25, o-113.88, h-114.22, l-113.88, c-114.21, v-7079, oi-0.0
2021-05-25, o-114.2, h-114.33, l-114.17, c-114.24, v-8175, oi-0.0
2021-05-25, o-114.28, h-114.53, l-114.28, c-114.5, v-22722, oi-0.0
2021-05-26, o-116.32, h-117.47, l-116.27, c-116.95, v-29910, oi-0.0
2021-05-26, o-116.88, h-117.33, l-116.65, c-116.905, v-10848, oi-0.0
2021-05-26, o-116.9, h-116.925, l-116.63, c-116.82, v-10541, oi-0.0
2021-05-26, o-116.8, h-116.895, l-116.72, c-116.83, v-12881, oi-0.0
2021-05-26, o-116.825, h-116.95, l-116.73, c-116.825, v-8709, oi-0.0
2021-05-26, o-116.82, h-116.885, l-116.73, c-116.78, v-4470, oi-0.0
2021-05-26, o-116.75, h-116.8, l-116.64, c-116.8, v-11831, oi-0.0
2021-05-26, o-116.855, h-116.855, l-116.74, c-116.74, v-2165, oi-0.0
2021-05-26, o-116.69, h-116.69, l-116.2, c-116.2, v-2978, oi-0.0
